origin,dest,edge,date,forecast_volume,is_long_shutdown_corrected,raw_forecast_volume
DC17,DC4,DC17->DC4,2023-01-01,29846,False,32216
DC17,DC40,DC17->DC40,2023-01-01,0,False,0
DC17,DC5,DC17->DC5,2023-01-01,8372,False,9037
DC17,DC61,DC17->DC61,2023-01-01,0,False,0
DC17,DC62,DC17->DC62,2023-01-01,13450,False,14518
DC17,DC64,DC17->DC64,2023-01-01,0,False,0
DC17,DC65,DC17->DC65,2023-01-01,0,False,0
DC17,DC70,DC17->DC70,2023-01-01,120,False,130
DC17,DC8,DC17->DC8,2023-01-01,151,False,163
DC17,DC81,DC17->DC81,2023-01-01,0,False,0
DC17,DC9,DC17->DC9,2023-01-01,0,False,0
DC18,DC10,DC18->DC10,2023-01-01,0,False,0
DC18,DC14,DC18->DC14,2023-01-01,0,False,0
DC18,DC23,DC18->DC23,2023-01-01,0,False,0
DC18,DC4,DC18->DC4,2023-01-01,0,False,0
DC18,DC62,DC18->DC62,2023-01-01,0,False,0
DC18,DC8,DC18->DC8,2023-01-01,0,False,0
DC19,DC10,DC19->DC10,2023-01-01,11346,False,12247
DC19,DC12,DC19->DC12,2023-01-01,0,False,0
DC19,DC14,DC19->DC14,2023-01-01,8671,False,9359
DC19,DC20,DC19->DC20,2023-01-01,0,False,0
DC19,DC3,DC19->DC3,2023-01-01,13074,True,14112
DC19,DC32,DC19->DC32,2023-01-01,0,False,0
DC19,DC34,DC19->DC34,2023-01-01,0,False,0
DC19,DC35,DC19->DC35,2023-01-01,179,False,193
DC19,DC36,DC19->DC36,2023-01-01,0,False,0
DC19,DC4,DC19->DC4,2023-01-01,34200,False,36916
DC19,DC40,DC19->DC40,2023-01-01,0,False,0
DC19,DC5,DC19->DC5,2023-01-01,4987,False,5383
DC19,DC62,DC19->DC62,2023-01-01,11876,False,12819
DC19,DC64,DC19->DC64,2023-01-01,0,False,0
DC19,DC65,DC19->DC65,2023-01-01,0,False,0
DC19,DC70,DC19->DC70,2023-01-01,414,False,447
DC19,DC8,DC19->DC8,2023-01-01,132,False,143
DC19,DC81,DC19->DC81,2023-01-01,0,False,0
DC19,DC9,DC19->DC9,2023-01-01,0,False,0
DC2,DC10,DC2->DC10,2023-01-01,0,False,0
DC2,DC14,DC2->DC14,2023-01-01,0,False,0
DC2,DC3,DC2->DC3,2023-01-01,0,False,0
DC2,DC4,DC2->DC4,2023-01-01,0,False,0
DC2,DC5,DC2->DC5,2023-01-01,0,False,0
DC2,DC62,DC2->DC62,2023-01-01,0,False,0
DC2,DC8,DC2->DC8,2023-01-01,0,False,0
DC2,DC9,DC2->DC9,2023-01-01,0,False,0
DC20,DC10,DC20->DC10,2023-01-01,8242,False,8897
DC20,DC12,DC20->DC12,2023-01-01,0,False,0
DC20,DC14,DC20->DC14,2023-01-01,7499,False,8094
DC20,DC3,DC20->DC3,2023-01-01,7018,True,7575
DC20,DC32,DC20->DC32,2023-01-01,0,False,0
DC20,DC33,DC20->DC33,2023-01-01,0,False,0
DC20,DC34,DC20->DC34,2023-01-01,0,False,0
DC20,DC35,DC20->DC35,2023-01-01,8,False,9
DC20,DC4,DC20->DC4,2023-01-01,24590,False,26543
DC20,DC40,DC20->DC40,2023-01-01,0,False,0
DC20,DC5,DC20->DC5,2023-01-01,4506,False,4864
DC20,DC62,DC20->DC62,2023-01-01,8579,False,9260
DC20,DC64,DC20->DC64,2023-01-01,0,False,0
DC20,DC65,DC20->DC65,2023-01-01,0,False,0
DC20,DC70,DC20->DC70,2023-01-01,14,False,15
DC20,DC76,DC20->DC76,2023-01-01,0,False,0
DC20,DC8,DC20->DC8,2023-01-01,111,False,120
DC20,DC81,DC20->DC81,2023-01-01,0,False,0
DC20,DC9,DC20->DC9,2023-01-01,0,False,0
DC21,DC10,DC21->DC10,2023-01-01,0,False,0
DC21,DC12,DC21->DC12,2023-01-01,0,False,0
DC21,DC14,DC21->DC14,2023-01-01,0,False,0
DC21,DC20,DC21->DC20,2023-01-01,0,False,0
DC21,DC3,DC21->DC3,2023-01-01,16946,True,18292
DC21,DC32,DC21->DC32,2023-01-01,0,False,0
DC21,DC33,DC21->DC33,2023-01-01,0,False,0
DC21,DC34,DC21->DC34,2023-01-01,0,False,0
DC21,DC35,DC21->DC35,2023-01-01,0,False,0
DC21,DC4,DC21->DC4,2023-01-01,0,False,0
DC21,DC40,DC21->DC40,2023-01-01,0,False,0
DC21,DC5,DC21->DC5,2023-01-01,7993,True,8628
DC21,DC62,DC21->DC62,2023-01-01,0,False,0
DC21,DC70,DC21->DC70,2023-01-01,0,False,0
DC21,DC76,DC21->DC76,2023-01-01,0,False,0
DC21,DC8,DC21->DC8,2023-01-01,0,False,0
DC21,DC81,DC21->DC81,2023-01-01,0,False,0
DC21,DC9,DC21->DC9,2023-01-01,0,False,0
DC22,DC10,DC22->DC10,2023-01-01,9066,False,9786
DC22,DC12,DC22->DC12,2023-01-01,0,False,0
DC22,DC13,DC22->DC13,2023-01-01,0,False,0
DC22,DC14,DC22->DC14,2023-01-01,9451,False,10201
DC22,DC20,DC22->DC20,2023-01-01,0,False,0
DC22,DC21,DC22->DC21,2023-01-01,0,False,0
DC22,DC3,DC22->DC3,2023-01-01,5399,True,5828
DC22,DC32,DC22->DC32,2023-01-01,0,False,0
DC22,DC34,DC22->DC34,2023-01-01,0,False,0
DC22,DC35,DC22->DC35,2023-01-01,1259,False,1359
DC22,DC4,DC22->DC4,2023-01-01,35116,False,37904
DC22,DC40,DC22->DC40,2023-01-01,0,False,0
DC22,DC5,DC22->DC5,2023-01-01,4971,False,5366
DC22,DC62,DC22->DC62,2023-01-01,10353,False,11175
DC22,DC64,DC22->DC64,2023-01-01,0,False,0
DC22,DC65,DC22->DC65,2023-01-01,0,False,0
DC22,DC70,DC22->DC70,2023-01-01,1363,False,1471
DC22,DC76,DC22->DC76,2023-01-01,0,False,0
DC22,DC8,DC22->DC8,2023-01-01,136,False,147
DC22,DC81,DC22->DC81,2023-01-01,0,False,0
DC22,DC9,DC22->DC9,2023-01-01,0,False,0
DC23,DC10,DC23->DC10,2023-01-01,12138,False,13102
DC23,DC12,DC23->DC12,2023-01-01,4784,True,5164
DC23,DC14,DC23->DC14,2023-01-01,10346,False,11167
DC23,DC18,DC23->DC18,2023-01-01,0,False,0
DC23,DC20,DC23->DC20,2023-01-01,0,False,0
DC23,DC29,DC23->DC29,2023-01-01,0,False,0
DC23,DC3,DC23->DC3,2023-01-01,11312,True,12210
DC23,DC32,DC23->DC32,2023-01-01,0,False,0
DC23,DC34,DC23->DC34,2023-01-01,0,False,0
DC23,DC35,DC23->DC35,2023-01-01,1716,False,1852
DC23,DC36,DC23->DC36,2023-01-01,0,False,0
DC23,DC4,DC23->DC4,2023-01-01,45168,False,48755
DC23,DC40,DC23->DC40,2023-01-01,0,False,0
DC23,DC5,DC23->DC5,2023-01-01,6221,False,6715
DC23,DC6,DC23->DC6,2023-01-01,0,False,0
DC23,DC62,DC23->DC62,2023-01-01,11508,False,12422
DC23,DC64,DC23->DC64,2023-01-01,0,False,0
DC23,DC65,DC23->DC65,2023-01-01,0,False,0
DC23,DC70,DC23->DC70,2023-01-01,2985,False,3222
DC23,DC8,DC23->DC8,2023-01-01,126,False,136
DC23,DC81,DC23->DC81,2023-01-01,0,False,0
DC23,DC9,DC23->DC9,2023-01-01,0,False,0
DC24,DC10,DC24->DC10,2023-01-01,0,False,0
DC24,DC14,DC24->DC14,2023-01-01,0,False,0
DC24,DC3,DC24->DC3,2023-01-01,0,False,0
DC24,DC4,DC24->DC4,2023-01-01,0,False,0
DC24,DC5,DC24->DC5,2023-01-01,0,False,0
DC24,DC62,DC24->DC62,2023-01-01,0,False,0
DC24,DC8,DC24->DC8,2023-01-01,0,False,0
DC24,DC9,DC24->DC9,2023-01-01,0,False,0
DC25,DC10,DC25->DC10,2023-01-01,7103,False,7667
DC25,DC12,DC25->DC12,2023-01-01,0,False,0
DC25,DC14,DC25->DC14,2023-01-01,6095,False,6579
DC25,DC3,DC25->DC3,2023-01-01,19900,True,21480
DC25,DC32,DC25->DC32,2023-01-01,0,False,0
DC25,DC33,DC25->DC33,2023-01-01,0,False,0
DC25,DC34,DC25->DC34,2023-01-01,0,False,0
DC25,DC35,DC25->DC35,2023-01-01,29,False,31
DC25,DC4,DC25->DC4,2023-01-01,38,False,41
DC25,DC40,DC25->DC40,2023-01-01,0,False,0
DC25,DC5,DC25->DC5,2023-01-01,3310,False,3573
DC25,DC62,DC25->DC62,2023-01-01,7197,False,7769
DC25,DC64,DC25->DC64,2023-01-01,0,False,0
DC25,DC65,DC25->DC65,2023-01-01,0,False,0
DC25,DC70,DC25->DC70,2023-01-01,58,False,63
DC25,DC76,DC25->DC76,2023-01-01,0,False,0
DC25,DC8,DC25->DC8,2023-01-01,19068,False,20582
DC25,DC81,DC25->DC81,2023-01-01,0,False,0
DC25,DC9,DC25->DC9,2023-01-01,58430,True,63070
DC26,DC10,DC26->DC10,2023-01-01,2523,False,2723
DC26,DC12,DC26->DC12,2023-01-01,0,False,0
DC26,DC14,DC26->DC14,2023-01-01,2319,False,2503
DC26,DC3,DC26->DC3,2023-01-01,0,False,0
DC26,DC32,DC26->DC32,2023-01-01,0,False,0
DC26,DC34,DC26->DC34,2023-01-01,0,False,0
DC26,DC35,DC26->DC35,2023-01-01,0,False,0
DC26,DC4,DC26->DC4,2023-01-01,15,False,16
DC26,DC40,DC26->DC40,2023-01-01,0,False,0
DC26,DC5,DC26->DC5,2023-01-01,1140,False,1231
DC26,DC62,DC26->DC62,2023-01-01,2203,False,2378
DC26,DC64,DC26->DC64,2023-01-01,0,False,0
DC26,DC65,DC26->DC65,2023-01-01,0,False,0
DC26,DC70,DC26->DC70,2023-01-01,0,False,0
DC26,DC8,DC26->DC8,2023-01-01,6317,False,6819
DC26,DC81,DC26->DC81,2023-01-01,0,False,0
DC26,DC9,DC26->DC9,2023-01-01,13019,True,14053
DC27,DC10,DC27->DC10,2023-01-01,6366,False,6871
DC27,DC14,DC27->DC14,2023-01-01,4473,False,4828
DC27,DC3,DC27->DC3,2023-01-01,0,False,0
DC27,DC32,DC27->DC32,2023-01-01,0,False,0
DC27,DC34,DC27->DC34,2023-01-01,0,False,0
DC27,DC35,DC27->DC35,2023-01-01,12,False,13
DC27,DC4,DC27->DC4,2023-01-01,49,False,53
DC27,DC40,DC27->DC40,2023-01-01,0,False,0
DC27,DC5,DC27->DC5,2023-01-01,1754,False,1893
DC27,DC62,DC27->DC62,2023-01-01,4318,False,4661
DC27,DC64,DC27->DC64,2023-01-01,0,False,0
DC27,DC65,DC27->DC65,2023-01-01,0,False,0
DC27,DC70,DC27->DC70,2023-01-01,5,False,5
DC27,DC8,DC27->DC8,2023-01-01,19476,False,21023
DC27,DC9,DC27->DC9,2023-01-01,0,False,0
DC28,DC10,DC28->DC10,2023-01-01,4603,False,4969
DC28,DC12,DC28->DC12,2023-01-01,0,False,0
DC28,DC14,DC28->DC14,2023-01-01,3374,False,3642
DC28,DC20,DC28->DC20,2023-01-01,0,False,0
DC28,DC23,DC28->DC23,2023-01-01,0,False,0
DC28,DC3,DC28->DC3,2023-01-01,3281,True,3542
DC28,DC32,DC28->DC32,2023-01-01,0,False,0
DC28,DC34,DC28->DC34,2023-01-01,0,False,0
DC28,DC35,DC28->DC35,2023-01-01,26,False,28
DC28,DC4,DC28->DC4,2023-01-01,12934,False,13961
DC28,DC40,DC28->DC40,2023-01-01,0,False,0
DC28,DC5,DC28->DC5,2023-01-01,1937,False,2091
DC28,DC62,DC28->DC62,2023-01-01,3199,False,3453
DC28,DC64,DC28->DC64,2023-01-01,0,False,0
DC28,DC65,DC28->DC65,2023-01-01,0,False,0
DC28,DC70,DC28->DC70,2023-01-01,14,False,15
DC28,DC8,DC28->DC8,2023-01-01,74,False,80
DC28,DC81,DC28->DC81,2023-01-01,0,False,0
DC28,DC9,DC28->DC9,2023-01-01,0,False,0
DC29,DC36,DC29->DC36,2023-01-01,0,False,0
DC29,DC9,DC29->DC9,2023-01-01,0,False,0
DC3,DC10,DC3->DC10,2023-01-01,0,False,0
DC3,DC12,DC3->DC12,2023-01-01,0,False,0
DC3,DC14,DC3->DC14,2023-01-01,0,False,0
DC3,DC19,DC3->DC19,2023-01-01,0,False,0
DC3,DC21,DC3->DC21,2023-01-01,0,False,0
DC3,DC22,DC3->DC22,2023-01-01,0,False,0
DC3,DC23,DC3->DC23,2023-01-01,0,False,0
DC3,DC28,DC3->DC28,2023-01-01,0,False,0
DC3,DC30,DC3->DC30,2023-01-01,0,False,0
DC3,DC35,DC3->DC35,2023-01-01,0,False,0
DC3,DC36,DC3->DC36,2023-01-01,0,False,0
DC3,DC38,DC3->DC38,2023-01-01,0,False,0
DC3,DC4,DC3->DC4,2023-01-01,0,False,0
DC3,DC40,DC3->DC40,2023-01-01,0,False,0
DC3,DC5,DC3->DC5,2023-01-01,0,False,0
DC3,DC8,DC3->DC8,2023-01-01,0,False,0
DC3,DC9,DC3->DC9,2023-01-01,0,False,0
DC30,DC10,DC30->DC10,2023-01-01,2966,False,3201
DC30,DC12,DC30->DC12,2023-01-01,0,False,0
DC30,DC14,DC30->DC14,2023-01-01,3055,False,3298
DC30,DC23,DC30->DC23,2023-01-01,0,False,0
DC30,DC3,DC30->DC3,2023-01-01,0,False,0
DC30,DC32,DC30->DC32,2023-01-01,0,False,0
DC30,DC34,DC30->DC34,2023-01-01,0,False,0
DC30,DC35,DC30->DC35,2023-01-01,20,False,22
DC30,DC4,DC30->DC4,2023-01-01,9002,False,9717
DC30,DC40,DC30->DC40,2023-01-01,0,False,0
DC30,DC5,DC30->DC5,2023-01-01,1488,False,1606
DC30,DC62,DC30->DC62,2023-01-01,3191,False,3444
DC30,DC64,DC30->DC64,2023-01-01,0,False,0
DC30,DC65,DC30->DC65,2023-01-01,0,False,0
DC30,DC67,DC30->DC67,2023-01-01,0,False,0
DC30,DC70,DC30->DC70,2023-01-01,51,False,55
DC30,DC8,DC30->DC8,2023-01-01,37,False,40
DC30,DC81,DC30->DC81,2023-01-01,0,False,0
DC30,DC9,DC30->DC9,2023-01-01,0,False,0
DC31,DC10,DC31->DC10,2023-01-01,528,False,570
DC31,DC12,DC31->DC12,2023-01-01,0,False,0
DC31,DC14,DC31->DC14,2023-01-01,441,False,476
DC31,DC3,DC31->DC3,2023-01-01,0,False,0
DC31,DC32,DC31->DC32,2023-01-01,0,False,0
DC31,DC34,DC31->DC34,2023-01-01,0,False,0
DC31,DC35,DC31->DC35,2023-01-01,0,False,0
DC31,DC37,DC31->DC37,2023-01-01,0,False,0
DC31,DC4,DC31->DC4,2023-01-01,2253,False,2432
DC31,DC40,DC31->DC40,2023-01-01,0,False,0
DC31,DC5,DC31->DC5,2023-01-01,106,False,114
DC31,DC62,DC31->DC62,2023-01-01,513,False,554
DC31,DC64,DC31->DC64,2023-01-01,0,False,0
DC31,DC65,DC31->DC65,2023-01-01,0,False,0
DC31,DC70,DC31->DC70,2023-01-01,2,False,2
DC31,DC76,DC31->DC76,2023-01-01,0,False,0
DC31,DC8,DC31->DC8,2023-01-01,14,False,15
DC31,DC9,DC31->DC9,2023-01-01,0,False,0
DC32,DC10,DC32->DC10,2023-01-01,0,False,0
DC32,DC12,DC32->DC12,2023-01-01,0,False,0
DC32,DC14,DC32->DC14,2023-01-01,0,False,0
DC32,DC35,DC32->DC35,2023-01-01,0,False,0
DC32,DC40,DC32->DC40,2023-01-01,0,False,0
DC32,DC70,DC32->DC70,2023-01-01,0,False,0
DC33,DC10,DC33->DC10,2023-01-01,0,False,0
DC33,DC14,DC33->DC14,2023-01-01,0,False,0
DC33,DC3,DC33->DC3,2023-01-01,0,False,0
DC33,DC4,DC33->DC4,2023-01-01,0,False,0
DC33,DC5,DC33->DC5,2023-01-01,0,False,0
DC33,DC62,DC33->DC62,2023-01-01,0,False,0
DC33,DC65,DC33->DC65,2023-01-01,0,False,0
DC33,DC8,DC33->DC8,2023-01-01,0,False,0
DC33,DC9,DC33->DC9,2023-01-01,0,False,0
DC34,DC10,DC34->DC10,2023-01-01,40,False,43
DC34,DC12,DC34->DC12,2023-01-01,0,False,0
DC34,DC14,DC34->DC14,2023-01-01,42,False,45
DC34,DC3,DC34->DC3,2023-01-01,0,False,0
DC34,DC30,DC34->DC30,2023-01-01,0,False,0
DC34,DC32,DC34->DC32,2023-01-01,0,False,0
DC34,DC35,DC34->DC35,2023-01-01,216,False,233
DC34,DC4,DC34->DC4,2023-01-01,1,False,1
DC34,DC40,DC34->DC40,2023-01-01,0,False,0
DC34,DC5,DC34->DC5,2023-01-01,14,False,15
DC34,DC62,DC34->DC62,2023-01-01,48,False,52
DC34,DC64,DC34->DC64,2023-01-01,0,False,0
DC34,DC67,DC34->DC67,2023-01-01,0,False,0
DC34,DC70,DC34->DC70,2023-01-01,681,False,735
DC34,DC8,DC34->DC8,2023-01-01,65,False,70
DC34,DC9,DC34->DC9,2023-01-01,0,False,0
DC35,DC10,DC35->DC10,2023-01-01,0,False,0
DC35,DC12,DC35->DC12,2023-01-01,0,False,0
DC35,DC14,DC35->DC14,2023-01-01,0,False,0
DC35,DC17,DC35->DC17,2023-01-01,0,False,0
DC35,DC23,DC35->DC23,2023-01-01,0,False,0
DC35,DC3,DC35->DC3,2023-01-01,0,False,0
DC35,DC30,DC35->DC30,2023-01-01,0,False,0
DC35,DC32,DC35->DC32,2023-01-01,0,False,0
DC35,DC34,DC35->DC34,2023-01-01,0,False,0
DC35,DC36,DC35->DC36,2023-01-01,0,False,0
DC35,DC4,DC35->DC4,2023-01-01,0,False,0
DC35,DC40,DC35->DC40,2023-01-01,0,False,0
DC35,DC5,DC35->DC5,2023-01-01,0,False,0
DC35,DC62,DC35->DC62,2023-01-01,0,False,0
DC35,DC67,DC35->DC67,2023-01-01,0,False,0
DC35,DC70,DC35->DC70,2023-01-01,14,False,15
DC35,DC8,DC35->DC8,2023-01-01,0,False,0
DC35,DC9,DC35->DC9,2023-01-01,0,False,0
DC36,DC10,DC36->DC10,2023-01-01,19031,False,20542
DC36,DC12,DC36->DC12,2023-01-01,0,False,0
DC36,DC14,DC36->DC14,2023-01-01,12500,False,13493
DC36,DC20,DC36->DC20,2023-01-01,0,False,0
DC36,DC23,DC36->DC23,2023-01-01,0,False,0
DC36,DC29,DC36->DC29,2023-01-01,0,False,0
DC36,DC3,DC36->DC3,2023-01-01,10487,True,11320
DC36,DC32,DC36->DC32,2023-01-01,0,False,0
DC36,DC33,DC36->DC33,2023-01-01,0,False,0
DC36,DC34,DC36->DC34,2023-01-01,0,False,0
DC36,DC35,DC36->DC35,2023-01-01,745,False,804
DC36,DC4,DC36->DC4,2023-01-01,46373,False,50055
DC36,DC40,DC36->DC40,2023-01-01,0,False,0
DC36,DC5,DC36->DC5,2023-01-01,7807,False,8427
DC36,DC62,DC36->DC62,2023-01-01,15383,False,16604
DC36,DC64,DC36->DC64,2023-01-01,0,False,0
DC36,DC65,DC36->DC65,2023-01-01,0,False,0
DC36,DC70,DC36->DC70,2023-01-01,958,False,1034
DC36,DC8,DC36->DC8,2023-01-01,178,False,192
DC36,DC81,DC36->DC81,2023-01-01,0,False,0
DC36,DC9,DC36->DC9,2023-01-01,0,False,0
DC37,DC10,DC37->DC10,2023-01-01,0,False,0
DC37,DC14,DC37->DC14,2023-01-01,0,False,0
DC37,DC3,DC37->DC3,2023-01-01,0,False,0
DC37,DC4,DC37->DC4,2023-01-01,0,False,0
DC37,DC5,DC37->DC5,2023-01-01,0,False,0
DC37,DC54,DC37->DC54,2023-01-01,0,False,0
DC37,DC62,DC37->DC62,2023-01-01,0,False,0
DC37,DC8,DC37->DC8,2023-01-01,0,False,0
