origin,dest,edge,date,forecast_volume,is_long_shutdown_corrected,raw_forecast_volume
DC14,DC10,DC14->DC10,2023-01-14,26724,False,28846
DC20,DC35,DC20->DC35,2023-01-14,6,False,7
DC25,DC62,DC25->DC62,2023-01-14,8332,False,8994
DC14,DC10,DC14->DC10,2023-01-15,26724,False,28846
DC20,DC35,DC20->DC35,2023-01-15,6,False,6
DC25,DC62,DC25->DC62,2023-01-15,8282,False,8940
DC14,DC10,DC14->DC10,2023-01-16,27173,False,29331
DC20,DC35,DC20->DC35,2023-01-16,6,False,6
DC25,DC62,DC25->DC62,2023-01-16,9045,False,9763
DC14,DC10,DC14->DC10,2023-01-17,27007,False,29152
DC20,DC35,DC20->DC35,2023-01-17,5,False,5
DC25,DC62,DC25->DC62,2023-01-17,8963,False,9675
DC14,DC10,DC14->DC10,2023-01-18,27256,False,29420
DC20,DC35,DC20->DC35,2023-01-18,6,False,7
DC25,DC62,DC25->DC62,2023-01-18,8935,False,9645
DC14,DC10,DC14->DC10,2023-01-19,26099,False,28171
DC20,DC35,DC20->DC35,2023-01-19,6,False,6
DC25,DC62,DC25->DC62,2023-01-19,8587,False,9269
DC14,DC10,DC14->DC10,2023-01-20,25054,False,27043
DC20,DC35,DC20->DC35,2023-01-20,8,False,9
DC25,DC62,DC25->DC62,2023-01-20,7904,False,8532
DC14,DC10,DC14->DC10,2023-01-21,14318,False,15455
DC20,DC35,DC20->DC35,2023-01-21,6,False,6
DC25,DC62,DC25->DC62,2023-01-21,3754,False,4052
DC14,DC10,DC14->DC10,2023-01-22,18390,False,19850
DC20,DC35,DC20->DC35,2023-01-22,8,False,9
DC25,DC62,DC25->DC62,2023-01-22,6084,False,6567
DC14,DC10,DC14->DC10,2023-01-23,20125,False,21723
DC20,DC35,DC20->DC35,2023-01-23,6,False,7
DC25,DC62,DC25->DC62,2023-01-23,5782,False,6241
DC14,DC10,DC14->DC10,2023-01-24,23837,False,25730
DC20,DC35,DC20->DC35,2023-01-24,8,False,9
DC25,DC62,DC25->DC62,2023-01-24,7510,False,8106
DC14,DC10,DC14->DC10,2023-01-25,24001,False,25907
DC20,DC35,DC20->DC35,2023-01-25,8,False,9
DC25,DC62,DC25->DC62,2023-01-25,7675,False,8284
DC14,DC10,DC14->DC10,2023-01-26,22952,False,24774
DC20,DC35,DC20->DC35,2023-01-26,9,False,10
DC25,DC62,DC25->DC62,2023-01-26,8702,False,9393
DC14,DC10,DC14->DC10,2023-01-27,22767,False,24575
DC20,DC35,DC20->DC35,2023-01-27,9,False,10
DC25,DC62,DC25->DC62,2023-01-27,8802,False,9501
DC14,DC10,DC14->DC10,2023-01-28,24022,False,25930
DC20,DC35,DC20->DC35,2023-01-28,9,False,10
DC25,DC62,DC25->DC62,2023-01-28,8359,False,9023
DC14,DC10,DC14->DC10,2023-01-29,24106,False,26020
DC20,DC35,DC20->DC35,2023-01-29,8,False,9
DC25,DC62,DC25->DC62,2023-01-29,8146,False,8793
DC14,DC10,DC14->DC10,2023-01-30,26223,False,28305
DC20,DC35,DC20->DC35,2023-01-30,8,False,9
DC25,DC62,DC25->DC62,2023-01-30,8913,False,9621
DC14,DC10,DC14->DC10,2023-01-31,24987,False,26971
DC20,DC35,DC20->DC35,2023-01-31,8,False,9
DC25,DC62,DC25->DC62,2023-01-31,8986,False,9700
