survey_date,method,distance_m,bed_elevation_m
2016-06-08,linear,580.0,45.260999999999996
2016-06-08,linear,585.0,45.2645
2016-06-08,linear,590.0,45.268
2016-06-08,linear,595.0,45.271499999999996
2016-06-08,linear,600.0,45.275
2016-06-08,linear,605.0,45.271499999999996
2016-06-08,linear,610.0,45.268
2016-06-08,linear,615.0,45.2645
2016-06-08,linear,620.0,45.260999999999996
2016-06-08,linear,625.0,45.2575
2016-06-08,linear,630.0,45.254
2016-06-08,linear,635.0,45.250499999999995
2016-06-08,linear,640.0,45.247
2016-06-08,linear,645.0,45.2435
2016-06-08,linear,650.0,45.239999999999995
2016-06-08,linear,655.0,45.2365
2016-06-08,linear,660.0,45.233
2016-06-08,linear,665.0,45.2295
2016-06-08,linear,670.0,45.226
2016-06-08,linear,675.0,45.2225
2016-06-08,linear,680.0,45.219
2016-06-08,linear,685.0,45.2155
2016-06-08,linear,690.0,45.211999999999996
2016-06-08,linear,695.0,45.2085
2016-06-08,linear,700.0,45.205
2016-06-08,linear,705.0,45.245625
2016-06-08,linear,710.0,45.286249999999995
2016-06-08,linear,715.0,45.326874999999994
2016-06-08,linear,720.0,45.3675
2016-06-08,linear,725.0,45.408125
2016-06-08,linear,730.0,45.44875
2016-06-08,linear,735.0,45.46535714285714
2016-06-08,linear,740.0,45.46595238095238
2016-06-08,linear,745.0,45.46654761904762
2016-06-08,linear,750.0,45.46714285714285
2016-06-08,linear,755.0,45.46773809523809
2016-06-08,linear,760.0,45.468333333333334
2016-06-08,linear,765.0,45.46892857142857
2016-06-08,linear,770.0,45.46952380952381
2016-06-08,linear,775.0,45.47011904761904
2016-06-08,linear,780.0,45.47071428571428
2016-06-08,linear,785.0,45.47130952380952
2016-06-08,linear,790.0,45.47190476190476
2016-06-08,linear,795.0,45.4725
2016-06-08,linear,800.0,45.47309523809523
2016-06-08,linear,805.0,45.47369047619048
2016-06-08,linear,810.0,45.47428571428571
2016-06-08,linear,815.0,45.47488095238095
2016-06-08,linear,820.0,45.475476190476186
2016-06-08,linear,825.0,45.47607142857143
2016-06-08,linear,830.0,45.47666666666667
2016-06-08,linear,835.0,45.4772619047619
2016-06-08,linear,840.0,45.47785714285714
2016-06-08,linear,845.0,45.478452380952376
2016-06-08,linear,850.0,45.47904761904762
2016-06-08,linear,855.0,45.479642857142856
2016-06-08,linear,860.0,45.48023809523809
2016-06-08,linear,865.0,45.48083333333333
2016-06-08,linear,870.0,45.48142857142857
2016-06-08,linear,875.0,45.48202380952381
2016-06-08,linear,880.0,45.482619047619046
2016-06-08,linear,885.0,45.48321428571428
2016-06-08,linear,890.0,45.483809523809526
2016-06-08,linear,895.0,45.48440476190476
2016-06-08,linear,900.0,45.485
2016-06-08,linear,905.0,45.491
2016-06-08,linear,910.0,45.497
2016-06-08,linear,915.0,45.503
2016-06-08,linear,920.0,45.509
2016-06-08,linear,925.0,45.515
2016-06-08,linear,930.0,45.521
2016-06-08,linear,935.0,45.527
2016-06-08,linear,940.0,45.533
2016-06-08,linear,945.0,45.539
2016-06-08,linear,950.0,45.545
2016-06-08,linear,955.0,45.550999999999995
2016-06-08,linear,960.0,45.556999999999995
2016-06-08,linear,965.0,45.562999999999995
2016-06-08,linear,970.0,45.568999999999996
2016-06-08,linear,975.0,45.574999999999996
2016-06-08,linear,980.0,45.580999999999996
2016-06-08,linear,985.0,45.586999999999996
2016-06-08,linear,990.0,45.592999999999996
2016-06-08,linear,995.0,45.599
2016-06-08,linear,1000.0,45.605
2016-06-08,linear,1005.0,45.571
2016-06-08,linear,1010.0,45.537
2016-06-08,linear,1015.0,45.503
2016-06-08,linear,1020.0,45.468999999999994
2016-06-08,linear,1025.0,45.434999999999995
2016-06-08,linear,1030.0,45.400999999999996
2016-06-08,linear,1035.0,45.367
2016-06-08,linear,1040.0,45.333
2016-06-08,linear,1045.0,45.299
2016-06-08,linear,1050.0,45.265
2016-06-08,linear,1055.0,45.230999999999995
2016-06-08,linear,1060.0,45.196999999999996
2016-06-08,linear,1065.0,45.163
2016-06-08,linear,1070.0,45.129
2016-06-08,linear,1075.0,45.095
2016-06-08,linear,1080.0,45.061
2016-06-08,linear,1085.0,45.026999999999994
2016-06-08,linear,1090.0,44.992999999999995
2016-06-08,linear,1095.0,44.958999999999996
2016-06-08,linear,1100.0,44.925
2016-06-08,linear,1105.0,44.945499999999996
2016-06-08,linear,1110.0,44.965999999999994
2016-06-08,linear,1115.0,44.9865
2016-06-08,linear,1120.0,45.007
2016-06-08,linear,1125.0,45.027499999999996
2016-06-08,linear,1130.0,45.048
2016-06-08,linear,1135.0,45.0685
2016-06-08,linear,1140.0,45.089
2016-06-08,linear,1145.0,45.1095
2016-06-08,linear,1150.0,45.129999999999995
2016-06-08,linear,1155.0,45.1505
2016-06-08,linear,1160.0,45.171
2016-06-08,linear,1165.0,45.1915
2016-06-08,linear,1170.0,45.212
2016-06-08,linear,1175.0,45.2325
2016-06-08,linear,1180.0,45.253
2016-06-08,linear,1185.0,45.2735
2016-06-08,linear,1190.0,45.294
2016-06-08,linear,1195.0,45.3145
2016-06-08,linear,1200.0,45.335
2016-06-08,linear,1205.0,45.335
2016-06-08,linear,1210.0,45.335
2016-06-08,linear,1215.0,45.335
2016-06-08,linear,1220.0,45.335
2016-06-08,linear,1225.0,45.335
2016-06-08,linear,1230.0,45.335
2016-06-08,linear,1235.0,45.335
2016-06-08,linear,1240.0,45.335
2016-06-08,linear,1245.0,45.335
2016-06-08,linear,1250.0,45.335
2016-06-08,linear,1255.0,45.335
2016-06-08,linear,1260.0,45.335
2016-06-08,linear,1265.0,45.335
2016-06-08,linear,1270.0,45.335
2016-06-08,linear,1275.0,45.335
2016-06-08,linear,1280.0,45.335
2016-06-08,linear,1285.0,45.335
2016-06-08,linear,1290.0,45.335
2016-06-08,linear,1295.0,45.335
2016-06-08,linear,1300.0,45.335
2016-06-08,linear,1305.0,45.3490350877193
2016-06-08,linear,1310.0,45.363070175438594
2016-06-08,linear,1315.0,45.377105263157894
2016-06-08,linear,1320.0,45.391140350877194
2016-06-08,linear,1325.0,45.405175438596494
2016-06-08,linear,1330.0,45.41921052631579
2016-06-08,linear,1335.0,45.43324561403509
2016-06-08,linear,1340.0,45.44728070175439
2016-06-08,linear,1345.0,45.46131578947368
2016-06-08,linear,1350.0,45.47535087719298
2016-06-08,linear,1355.0,45.48938596491228
2016-06-08,linear,1360.0,45.49319277108434
2016-06-08,linear,1365.0,45.490180722891566
2016-06-08,linear,1370.0,45.48716867469879
2016-06-08,linear,1375.0,45.48415662650602
2016-06-08,linear,1380.0,45.48114457831325
2016-06-08,linear,1385.0,45.47813253012048
2016-06-08,linear,1390.0,45.47512048192771
2016-06-08,linear,1395.0,45.47210843373494
2016-06-08,linear,1400.0,45.469096385542166
2016-06-08,linear,1405.0,45.46608433734939
2016-06-08,linear,1410.0,45.46307228915663
2016-06-08,linear,1415.0,45.460060240963855
2016-06-08,linear,1420.0,45.45704819277108
2016-06-08,linear,1425.0,45.45403614457831
2016-06-08,linear,1430.0,45.451024096385545
2016-06-08,linear,1435.0,45.44801204819277
2016-06-08,linear,1440.0,45.445
2016-06-08,linear,1445.0,44.32973684210526
2016-06-08,linear,1450.0,44.266578947368416
2016-06-08,linear,1455.0,44.203421052631576
2016-06-08,linear,1460.0,44.14026315789473
2016-06-08,linear,1465.0,44.14448743718592
2016-06-08,linear,1470.0,44.19363316582914
2016-06-08,linear,1475.0,44.24277889447236
2016-06-08,linear,1480.0,44.29192462311557
2016-06-08,linear,1485.0,44.34107035175879
2016-06-08,linear,1490.0,44.390216080402006
2016-06-08,linear,1495.0,44.439361809045224
2016-06-08,linear,1500.0,44.488507537688434
2016-06-08,linear,1505.0,44.53765326633165
2016-06-08,linear,1510.0,44.58679899497487
2016-06-08,linear,1515.0,44.63594472361809
2016-06-08,linear,1520.0,44.6850904522613
2016-06-08,linear,1525.0,44.73423618090452
2016-06-08,linear,1530.0,44.783381909547735
2016-06-08,linear,1535.0,44.83252763819095
2016-06-08,linear,1540.0,44.881673366834164
2016-06-08,linear,1545.0,44.93081909547738
2016-06-08,linear,1550.0,44.9799648241206
2016-06-08,linear,1555.0,45.02911055276382
2016-06-08,linear,1560.0,45.07825628140703
2016-06-08,linear,1565.0,45.12740201005025
2016-06-08,linear,1570.0,45.176547738693465
2016-06-08,linear,1575.0,45.22569346733668
2016-06-08,linear,1580.0,45.274839195979894
2016-06-08,linear,1585.0,45.32398492462311
2016-06-08,linear,1590.0,45.37313065326633
2016-06-08,linear,1595.0,45.42227638190955
2016-06-08,linear,1600.0,45.47142211055276
2016-06-08,linear,1605.0,45.52056783919598
2016-06-08,linear,1610.0,45.569713567839194
2016-06-08,linear,1615.0,45.61885929648241
2016-06-08,linear,1620.0,45.66800502512562
2016-06-08,linear,1625.0,45.71715075376884
2016-06-08,linear,1630.0,45.76629648241206
2016-06-08,linear,1635.0,45.81544221105528
2016-06-08,linear,1640.0,45.86458793969849
2016-06-08,linear,1645.0,45.913733668341706
2016-06-08,linear,1650.0,45.962879396984924
2016-06-08,linear,1655.0,46.01202512562814
2016-06-08,linear,1660.0,46.06117085427135
2016-06-08,linear,1665.0,45.969
2016-06-08,linear,1670.0,45.841499999999996
2016-06-08,linear,1675.0,45.714
2016-06-08,linear,1680.0,45.5865
2016-06-08,linear,1685.0,45.761
2016-06-08,linear,1690.0,46.011
2016-06-08,linear,1695.0,46.701
2016-06-08,linear,1700.0,46.665705882352945
2016-06-08,linear,1705.0,46.63041176470588
2016-06-08,linear,1710.0,46.59511764705883
2016-06-08,linear,1715.0,46.331
2016-06-08,linear,1720.0,45.481
2016-06-08,linear,1725.0,44.181
2016-06-08,linear,1730.0,43.681
2016-06-08,linear,1735.0,43.525444444444446
2016-06-08,linear,1740.0,43.382428571428576
2016-06-08,linear,1745.0,43.28957142857143
2016-06-08,linear,1750.0,42.870999999999995
2016-06-08,linear,1755.0,42.437666666666665
2016-06-08,linear,1760.0,42.270999999999994
2016-06-08,linear,1765.0,42.10433333333333
2016-06-08,linear,1770.0,41.94381818181818
2016-06-08,linear,1775.0,41.807909090909085
2016-06-08,linear,1780.0,41.672
2016-06-08,linear,1785.0,41.654586206896546
2016-06-08,linear,1790.0,41.6371724137931
2016-06-08,linear,1795.0,41.61975862068965
2016-06-08,linear,1800.0,41.60234482758621
2016-06-08,linear,1805.0,41.58493103448276
2016-06-08,linear,1810.0,41.571
2016-06-08,linear,1815.0,41.571
2016-06-08,linear,1820.0,41.571
2016-06-08,linear,1825.0,41.571
2016-06-08,linear,1830.0,41.571
2016-06-08,linear,1835.0,41.571
2016-06-08,linear,1840.0,41.571
2016-06-08,linear,1845.0,41.60736363636364
2016-06-08,linear,1850.0,41.65281818181818
2016-06-08,linear,1855.0,41.63782352941176
2016-06-08,linear,1860.0,41.5825294117647
2016-06-08,linear,1865.0,41.527235294117645
2016-06-08,linear,1870.0,41.48
2016-06-08,linear,1875.0,41.464
2016-06-08,linear,1880.0,41.468374999999995
2016-06-08,linear,1885.0,41.455615384615385
2016-06-08,linear,1890.0,41.417153846153845
2016-06-08,linear,1895.0,41.37869230769231
2016-06-08,linear,1900.0,41.371
2016-06-08,linear,1905.0,41.371
2016-06-08,linear,1910.0,41.385285714285715
2016-06-08,linear,1915.0,41.456714285714284
2016-06-08,linear,1920.0,41.52814285714285
2016-06-08,linear,1925.0,41.5835
2016-06-08,linear,1930.0,41.61475
2016-06-08,linear,1935.0,41.646
2016-06-08,linear,1940.0,41.6701
2016-06-08,linear,1945.0,41.6656
2016-06-08,linear,1950.0,41.64683333333333
2016-06-08,linear,1955.0,41.571
2016-06-08,linear,1960.0,41.494076923076925
2016-06-08,linear,1965.0,41.417153846153845
2016-06-08,linear,1970.0,41.39322222222222
2016-06-08,linear,1975.0,41.44877777777778
2016-06-08,linear,1980.0,41.43942105263157
2016-06-08,linear,1985.0,41.38678947368421
2016-06-08,linear,1990.0,41.33415789473684
2016-06-08,linear,1995.0,41.28152631578948
2016-06-08,linear,2000.0,41.251
2016-06-08,linear,2005.0,41.226
2016-06-08,linear,2010.0,41.201
2016-06-08,linear,2015.0,41.153666666666666
2016-06-08,linear,2020.0,41.016999999999996
2016-06-08,linear,2025.0,40.88033333333333
2016-06-08,linear,2030.0,40.786625
2016-06-08,linear,2035.0,40.86475
2016-06-08,linear,2040.0,40.942875
2016-06-08,linear,2045.0,41.021
2016-06-08,linear,2050.0,41.099125
2016-06-08,linear,2055.0,41.17725
2016-06-08,linear,2060.0,41.255375
2016-06-08,linear,2065.0,41.692052631578946
2016-06-08,linear,2070.0,42.21836842105263
2016-06-08,linear,2075.0,42.744684210526316
2016-06-08,linear,2080.0,43.271
2016-06-08,linear,2085.0,43.73054545454546
2016-06-08,linear,2090.0,44.190090909090905
2016-06-08,linear,2095.0,44.4965
2016-06-08,linear,2100.0,44.727666666666664
2016-06-08,linear,2105.0,44.78856756756757
2016-06-08,linear,2110.0,44.834513513513514
2016-06-08,linear,2115.0,44.88045945945946
2016-06-08,linear,2120.0,44.926405405405404
2016-06-08,linear,2125.0,44.97235135135135
2016-06-08,linear,2130.0,45.018297297297295
2016-06-08,linear,2135.0,45.06424324324324
2016-06-08,linear,2140.0,45.11394117647059
2016-06-08,linear,2145.0,45.17864705882353
2016-06-08,linear,2150.0,45.24335294117647
2016-06-08,linear,2155.0,45.30805882352941
2016-06-08,linear,2160.0,45.501
2016-06-08,linear,2165.0,45.726
2016-06-08,linear,2170.0,45.951
2016-06-08,linear,2175.0,46.176
2016-06-08,linear,2180.0,46.401
2016-06-08,linear,2185.0,46.74433333333334
2016-06-08,linear,2190.0,47.561
2016-06-08,linear,2195.0,46.87722222222222
2016-06-08,linear,2200.0,46.285
2016-06-08,linear,2205.0,46.279999999999994
2016-06-08,linear,2210.0,46.275
2016-06-08,linear,2215.0,46.269999999999996
2016-06-08,linear,2220.0,46.26499999999999
2016-06-08,linear,2225.0,46.26
2016-06-08,linear,2230.0,46.254999999999995
2016-06-08,linear,2235.0,46.24999999999999
2016-06-08,linear,2240.0,46.245
2016-06-08,linear,2245.0,46.239999999999995
2016-06-08,linear,2250.0,46.235
2016-06-08,linear,2255.0,46.23
2016-06-08,linear,2260.0,46.224999999999994
2016-06-08,linear,2265.0,46.22
2016-06-08,linear,2270.0,46.214999999999996
2016-06-08,linear,2275.0,46.209999999999994
2016-06-08,linear,2280.0,46.205
2016-06-08,linear,2285.0,46.199999999999996
2016-06-08,linear,2290.0,46.19499999999999
2016-06-08,linear,2295.0,46.19
2016-06-08,linear,2300.0,46.184999999999995
2016-06-08,linear,2305.0,46.16949999999999
2016-06-08,linear,2310.0,46.153999999999996
2016-06-08,linear,2315.0,46.13849999999999
2016-06-08,linear,2320.0,46.123
2016-06-08,linear,2325.0,46.107499999999995
2016-06-08,linear,2330.0,46.092
2016-06-08,linear,2335.0,46.076499999999996
2016-06-08,linear,2340.0,46.061
2016-06-08,linear,2345.0,46.0455
2016-06-08,linear,2350.0,46.03
2016-06-08,linear,2355.0,46.0145
2016-06-08,linear,2360.0,45.998999999999995
2016-06-08,linear,2365.0,45.9835
2016-06-08,linear,2370.0,45.967999999999996
2016-06-08,linear,2375.0,45.9525
2016-06-08,linear,2380.0,45.937
2016-06-08,linear,2385.0,45.9215
2016-06-08,linear,2390.0,45.906
2016-06-08,linear,2395.0,45.8905
2016-06-08,linear,2400.0,45.875
2016-06-08,linear,2405.0,45.84342105263158
2016-06-08,linear,2410.0,45.81184210526316
2016-06-08,linear,2415.0,45.78026315789474
2016-06-08,linear,2420.0,45.748684210526314
2016-06-08,linear,2425.0,45.71710526315789
2016-06-08,linear,2430.0,45.685526315789474
2016-06-08,linear,2435.0,45.65394736842105
2016-06-08,linear,2440.0,46.53
2016-06-08,linear,2445.0,47.464999999999996
2016-06-08,linear,2450.0,46.39
2016-06-08,linear,2455.0,45.74287234042553
2016-06-08,linear,2460.0,45.73755319148936
2016-06-08,linear,2465.0,45.73223404255319
2016-06-08,linear,2470.0,45.72691489361702
2016-06-08,linear,2475.0,45.72159574468085
2016-06-08,linear,2480.0,45.71627659574468
2016-06-08,linear,2485.0,45.71095744680851
2016-06-08,linear,2490.0,45.70563829787234
2016-06-08,linear,2495.0,45.70031914893617
2016-06-08,linear,2500.0,45.695
2016-06-08,linear,2505.0,45.692
2016-06-08,linear,2510.0,45.689
2016-06-08,linear,2515.0,45.686
2016-06-08,linear,2520.0,45.683
2016-06-08,linear,2525.0,45.68
2016-06-08,linear,2530.0,45.677
2016-06-08,linear,2535.0,45.674
2016-06-08,linear,2540.0,45.671
2016-06-08,linear,2545.0,45.668
2016-06-08,linear,2550.0,45.665
2016-06-08,linear,2555.0,45.662
2016-06-08,linear,2560.0,45.659
2016-06-08,linear,2565.0,45.656
2016-06-08,linear,2570.0,45.653
2016-06-08,linear,2575.0,45.65
2016-06-08,linear,2580.0,45.647
2016-06-08,linear,2585.0,45.644
2016-06-08,linear,2590.0,45.641
2016-06-08,linear,2595.0,45.638
2016-06-08,linear,2600.0,45.635
2016-06-08,linear,2605.0,45.625
2016-06-08,linear,2610.0,45.614999999999995
2016-06-08,linear,2615.0,45.605
2016-06-08,linear,2620.0,45.595
2016-06-08,linear,2625.0,45.585
2016-06-08,linear,2630.0,45.574999999999996
2016-06-08,linear,2635.0,45.565
2016-06-08,linear,2640.0,45.555
2016-06-08,linear,2645.0,45.544999999999995
2016-06-08,linear,2650.0,45.535
2016-06-08,linear,2655.0,45.525
2016-06-08,linear,2660.0,45.51499999999999
2016-06-08,linear,2665.0,45.504999999999995
2016-06-08,linear,2670.0,45.495
2016-06-08,linear,2675.0,45.485
2016-06-08,linear,2680.0,45.474999999999994
2016-06-08,linear,2685.0,45.464999999999996
2016-06-08,linear,2690.0,45.455
2016-06-08,linear,2695.0,45.44499999999999
2016-06-08,linear,2700.0,45.434999999999995
2016-06-08,linear,2705.0,45.43599999999999
2016-06-08,linear,2710.0,45.437
2016-06-08,linear,2715.0,45.437999999999995
2016-06-08,linear,2720.0,45.43899999999999
2016-06-08,linear,2725.0,45.44
2016-06-08,linear,2730.0,45.440999999999995
2016-06-08,linear,2735.0,45.44199999999999
2016-06-08,linear,2740.0,45.443
2016-06-08,linear,2745.0,45.443999999999996
2016-06-08,linear,2750.0,45.44499999999999
2016-06-08,linear,2755.0,45.446
2016-06-08,linear,2760.0,45.446999999999996
2016-06-08,linear,2765.0,45.448
2016-06-08,linear,2770.0,45.449
2016-06-08,linear,2775.0,45.449999999999996
2016-06-08,linear,2780.0,45.451
2016-06-08,linear,2785.0,45.452
2016-06-08,linear,2790.0,45.452999999999996
2016-06-08,linear,2795.0,45.454
2016-06-08,linear,2800.0,45.455
2016-06-08,linear,2805.0,45.504
2016-06-08,linear,2810.0,45.553
2016-06-08,linear,2815.0,45.602
2016-06-08,linear,2820.0,45.650999999999996
2016-06-08,linear,2825.0,45.7
2016-06-08,linear,2830.0,45.749
2016-06-08,linear,2835.0,45.798
2016-06-08,linear,2840.0,45.847
2016-06-08,linear,2845.0,45.896
2016-06-08,linear,2850.0,45.945
2016-06-08,linear,2855.0,45.889
2016-06-08,linear,2860.0,45.833
2016-06-08,linear,2865.0,45.777
2016-06-08,linear,2870.0,45.721
2016-06-08,linear,2875.0,45.665
2016-06-08,linear,2880.0,45.609
2016-06-08,linear,2885.0,45.553
2016-06-08,linear,2890.0,45.497
2016-06-08,linear,2895.0,45.440999999999995
2016-06-08,linear,2900.0,45.385
2016-06-08,linear,2905.0,45.3775
2016-06-08,linear,2910.0,45.37
2016-06-08,linear,2915.0,45.3625
2016-06-08,linear,2920.0,45.355
2016-06-08,linear,2925.0,45.3475
2016-06-08,linear,2930.0,45.339999999999996
2016-06-08,linear,2935.0,45.332499999999996
2016-06-08,linear,2940.0,45.324999999999996
2016-06-08,linear,2945.0,45.317499999999995
2016-06-08,linear,2950.0,45.31
2016-06-08,linear,2955.0,45.3025
2016-06-08,linear,2960.0,45.295
2016-06-08,linear,2965.0,45.2875
2016-06-08,linear,2970.0,45.28
2016-06-08,linear,2975.0,45.2725
2016-06-08,linear,2980.0,45.265
2016-06-08,linear,2985.0,45.2575
2016-06-08,linear,2990.0,45.25
2016-06-08,linear,2995.0,45.2425
2016-06-08,linear,3000.0,45.235
2016-06-08,linear,3005.0,45.23916666666667
2016-06-08,linear,3010.0,45.24333333333333
2016-06-08,linear,3015.0,45.2475
2016-06-08,linear,3020.0,45.251666666666665
2016-06-08,linear,3025.0,45.255833333333335
2016-06-08,linear,3030.0,45.26
2016-06-08,linear,3035.0,45.26416666666667
2016-06-08,linear,3040.0,45.26833333333333
2016-06-08,linear,3045.0,45.2725
2016-06-08,linear,3050.0,45.276666666666664
2016-06-08,linear,3055.0,45.280833333333334
2016-06-08,linear,3060.0,45.285
2016-06-08,linear,3065.0,45.28916666666667
2016-06-08,linear,3070.0,45.29333333333333
2016-06-08,linear,3075.0,45.2975
2016-06-08,linear,3080.0,45.30166666666666
2016-06-08,linear,3085.0,45.30583333333333
2016-06-08,linear,3090.0,45.309999999999995
2016-06-08,linear,3095.0,45.314166666666665
2016-06-08,linear,3100.0,44.835
2016-06-08,linear,3105.0,44.800714285714285
2016-06-08,linear,3110.0,44.76642857142857
2016-06-08,linear,3115.0,44.732142857142854
2016-06-08,linear,3120.0,44.697857142857146
2016-06-08,linear,3125.0,44.66357142857143
2016-06-08,linear,3130.0,44.629285714285714
2016-06-08,linear,3135.0,44.595
2016-06-08,linear,3140.0,44.56071428571428
2016-06-08,linear,3145.0,44.52642857142857
2016-06-08,linear,3150.0,44.49214285714285
2016-06-08,linear,3155.0,44.457857142857144
2016-06-08,linear,3160.0,44.42357142857143
2016-06-08,linear,3165.0,44.38928571428571
2016-06-08,linear,3170.0,44.355
2016-06-08,linear,3175.0,45.37499999999999
2016-06-08,linear,3180.0,45.324999999999996
2016-06-08,linear,3185.0,45.275
2016-06-08,linear,3190.0,45.225
2016-06-08,linear,3195.0,45.175
2016-06-08,linear,3200.0,45.125
2016-06-08,linear,3205.0,45.1135
2016-06-08,linear,3210.0,45.102
2016-06-08,linear,3215.0,45.0905
2016-06-08,linear,3220.0,45.079
2016-06-08,linear,3225.0,45.067499999999995
2016-06-08,linear,3230.0,45.056
2016-06-08,linear,3235.0,45.0445
2016-06-08,linear,3240.0,45.033
2016-06-08,linear,3245.0,45.021499999999996
2016-06-08,linear,3250.0,45.01
2016-06-08,linear,3255.0,44.9985
2016-06-08,linear,3260.0,44.986999999999995
2016-06-08,linear,3265.0,44.9755
2016-06-08,linear,3270.0,44.964
2016-06-08,linear,3275.0,44.9525
2016-06-08,linear,3280.0,44.940999999999995
2016-06-08,linear,3285.0,44.9295
2016-06-08,linear,3290.0,44.918
2016-06-08,linear,3295.0,44.906499999999994
2016-06-08,linear,3300.0,44.894999999999996
2016-06-08,linear,3305.0,44.903499999999994
2016-06-08,linear,3310.0,44.912
2016-06-08,linear,3315.0,44.9205
2016-06-08,linear,3320.0,44.928999999999995
2016-06-08,linear,3325.0,44.9375
2016-06-08,linear,3330.0,44.946
2016-06-08,linear,3335.0,44.954499999999996
2016-06-08,linear,3340.0,44.962999999999994
