scheme,date,original_edge,demand_type,alternative_origin,alternative_dest,alternative_edge,allocated_volume,unserved_volume
min_changed_plus_2,2023-01-01,DC52->DC5,inbound_to_closed_site,DC52,DC10,DC52->DC10,43,0
min_changed_plus_2,2023-01-01,DC53->DC5,inbound_to_closed_site,DC53,DC65,DC53->DC65,506,0
min_changed_plus_2,2023-01-01,DC55->DC5,inbound_to_closed_site,DC55,DC4,DC55->DC4,39,0
min_changed_plus_2,2023-01-01,DC56->DC5,inbound_to_closed_site,DC56,DC8,DC56->DC8,1,0
min_changed_plus_2,2023-01-01,DC59->DC5,inbound_to_closed_site,DC59,DC14,DC59->DC14,275,0
min_changed_plus_2,2023-01-01,DC60->DC5,inbound_to_closed_site,DC60,DC62,DC60->DC62,1476,0
min_changed_plus_2,2023-01-01,DC62->DC5,inbound_to_closed_site,DC62,DC8,DC62->DC8,3083,0
min_changed_plus_2,2023-01-01,DC68->DC5,inbound_to_closed_site,DC68,DC8,DC68->DC8,89,0
min_changed_plus_2,2023-01-01,DC69->DC5,inbound_to_closed_site,DC69,DC8,DC69->DC8,304,0
min_changed_plus_2,2023-01-01,DC7->DC5,inbound_to_closed_site,DC7,DC4,DC7->DC4,58,0
min_changed_plus_2,2023-01-01,DC71->DC5,inbound_to_closed_site,DC71,DC4,DC71->DC4,17,0
min_changed_plus_2,2023-01-01,DC73->DC5,inbound_to_closed_site,DC73,DC8,DC73->DC8,2586,0
min_changed_plus_2,2023-01-01,DC8->DC5,inbound_to_closed_site,DC8,DC14,DC8->DC14,4936,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC10,DC9->DC10,1761,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC12,DC9->DC12,388,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC13,DC9->DC13,10,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC19,DC9->DC19,2,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC21,DC9->DC21,1,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC22,DC9->DC22,5,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC23,DC9->DC23,2,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC25,DC9->DC25,44,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC3,DC9->DC3,4174,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC32,DC9->DC32,120,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC34,DC9->DC34,476,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC35,DC9->DC35,259,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC36,DC9->DC36,12,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC4,DC9->DC4,2114,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC40,DC9->DC40,12,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC48,DC9->DC48,7,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC51,DC9->DC51,2,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC58,DC9->DC58,1,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC62,DC9->DC62,2,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC67,DC9->DC67,142,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC79,DC9->DC79,2,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,DC9,DC8,DC9->DC8,2225,0
min_changed_plus_2,2023-01-01,DC9->DC5,inbound_to_closed_site,,,,0,4718
min_changed_plus_2,2023-01-02,DC10->DC5,inbound_to_closed_site,DC10,DC12,DC10->DC12,993,0
min_changed_plus_2,2023-01-02,DC10->DC5,inbound_to_closed_site,DC10,DC4,DC10->DC4,5578,0
min_changed_plus_2,2023-01-02,DC14->DC5,inbound_to_closed_site,DC14,DC35,DC14->DC35,13999,0
min_changed_plus_2,2023-01-02,DC15->DC5,inbound_to_closed_site,DC15,DC9,DC15->DC9,2865,0
min_changed_plus_2,2023-01-02,DC17->DC5,inbound_to_closed_site,DC17,DC35,DC17->DC35,8439,0
min_changed_plus_2,2023-01-02,DC19->DC5,inbound_to_closed_site,DC19,DC8,DC19->DC8,5009,0
min_changed_plus_2,2023-01-02,DC20->DC5,inbound_to_closed_site,DC20,DC35,DC20->DC35,4485,0
min_changed_plus_2,2023-01-02,DC21->DC5,inbound_to_closed_site,DC21,DC3,DC21->DC3,9447,0
min_changed_plus_2,2023-01-02,DC22->DC5,inbound_to_closed_site,DC22,DC3,DC22->DC3,5207,0
min_changed_plus_2,2023-01-02,DC23->DC5,inbound_to_closed_site,DC23,DC65,DC23->DC65,6047,0
min_changed_plus_2,2023-01-02,DC25->DC5,inbound_to_closed_site,DC25,DC14,DC25->DC14,3898,0
min_changed_plus_2,2023-01-02,DC26->DC5,inbound_to_closed_site,DC26,DC9,DC26->DC9,1226,0
min_changed_plus_2,2023-01-02,DC27->DC5,inbound_to_closed_site,DC27,DC65,DC27->DC65,1365,0
min_changed_plus_2,2023-01-02,DC28->DC5,inbound_to_closed_site,DC28,DC8,DC28->DC8,2058,0
min_changed_plus_2,2023-01-02,DC30->DC5,inbound_to_closed_site,DC30,DC62,DC30->DC62,1423,0
min_changed_plus_2,2023-01-02,DC31->DC5,inbound_to_closed_site,DC31,DC64,DC31->DC64,121,0
min_changed_plus_2,2023-01-02,DC34->DC5,inbound_to_closed_site,DC34,DC12,DC34->DC12,20,0
min_changed_plus_2,2023-01-02,DC36->DC5,inbound_to_closed_site,DC36,DC64,DC36->DC64,7876,0
min_changed_plus_2,2023-01-02,DC38->DC5,inbound_to_closed_site,DC38,DC62,DC38->DC62,2583,0
min_changed_plus_2,2023-01-02,DC4->DC5,inbound_to_closed_site,DC4,DC62,DC4->DC62,8,0
min_changed_plus_2,2023-01-02,DC40->DC5,inbound_to_closed_site,DC40,DC14,DC40->DC14,6,0
min_changed_plus_2,2023-01-02,DC42->DC5,inbound_to_closed_site,DC42,DC14,DC42->DC14,370,0
min_changed_plus_2,2023-01-02,DC43->DC5,inbound_to_closed_site,DC43,DC3,DC43->DC3,686,0
min_changed_plus_2,2023-01-02,DC44->DC5,inbound_to_closed_site,DC44,DC3,DC44->DC3,2604,0
min_changed_plus_2,2023-01-02,DC46->DC5,inbound_to_closed_site,DC46,DC62,DC46->DC62,844,0
min_changed_plus_2,2023-01-02,DC47->DC5,inbound_to_closed_site,DC47,DC9,DC47->DC9,1528,0
min_changed_plus_2,2023-01-02,DC48->DC5,inbound_to_closed_site,DC48,DC8,DC48->DC8,1177,0
min_changed_plus_2,2023-01-02,DC5->DC10,outbound_from_closed_site,DC8,DC10,DC8->DC10,192,0
min_changed_plus_2,2023-01-02,DC5->DC14,outbound_from_closed_site,DC68,DC14,DC68->DC14,78,0
min_changed_plus_2,2023-01-02,DC5->DC35,outbound_from_closed_site,DC17,DC35,DC17->DC35,1,0
min_changed_plus_2,2023-01-02,DC5->DC4,outbound_from_closed_site,DC71,DC4,DC71->DC4,813,0
min_changed_plus_2,2023-01-02,DC5->DC62,outbound_from_closed_site,DC73,DC62,DC73->DC62,151,0
min_changed_plus_2,2023-01-02,DC5->DC70,outbound_from_closed_site,DC19,DC70,DC19->DC70,12,0
min_changed_plus_2,2023-01-02,DC5->DC8,outbound_from_closed_site,DC19,DC8,DC19->DC8,6,0
min_changed_plus_2,2023-01-02,DC50->DC5,inbound_to_closed_site,DC50,DC35,DC50->DC35,759,0
min_changed_plus_2,2023-01-02,DC51->DC5,inbound_to_closed_site,DC51,DC35,DC51->DC35,3071,0
min_changed_plus_2,2023-01-02,DC52->DC5,inbound_to_closed_site,DC52,DC14,DC52->DC14,46,0
min_changed_plus_2,2023-01-02,DC53->DC5,inbound_to_closed_site,DC53,DC62,DC53->DC62,529,0
min_changed_plus_2,2023-01-02,DC55->DC5,inbound_to_closed_site,DC55,DC62,DC55->DC62,34,0
min_changed_plus_2,2023-01-02,DC59->DC5,inbound_to_closed_site,DC59,DC8,DC59->DC8,316,0
min_changed_plus_2,2023-01-02,DC60->DC5,inbound_to_closed_site,DC60,DC35,DC60->DC35,1212,0
min_changed_plus_2,2023-01-02,DC62->DC5,inbound_to_closed_site,DC62,DC14,DC62->DC14,2740,0
min_changed_plus_2,2023-01-02,DC68->DC5,inbound_to_closed_site,DC68,DC14,DC68->DC14,91,0
min_changed_plus_2,2023-01-02,DC69->DC5,inbound_to_closed_site,DC69,DC14,DC69->DC14,34,0
min_changed_plus_2,2023-01-02,DC7->DC5,inbound_to_closed_site,DC7,DC9,DC7->DC9,65,0
min_changed_plus_2,2023-01-02,DC71->DC5,inbound_to_closed_site,DC71,DC4,DC71->DC4,34,0
min_changed_plus_2,2023-01-02,DC73->DC5,inbound_to_closed_site,DC73,DC62,DC73->DC62,2667,0
min_changed_plus_2,2023-01-02,DC8->DC5,inbound_to_closed_site,DC8,DC10,DC8->DC10,4699,0
min_changed_plus_2,2023-01-02,DC9->DC5,inbound_to_closed_site,DC9,DC3,DC9->DC3,13989,0
min_changed_plus_2,2023-01-03,DC10->DC5,inbound_to_closed_site,DC10,DC12,DC10->DC12,993,0
min_changed_plus_2,2023-01-03,DC10->DC5,inbound_to_closed_site,DC10,DC9,DC10->DC9,5478,0
min_changed_plus_2,2023-01-03,DC14->DC5,inbound_to_closed_site,DC14,DC35,DC14->DC35,13951,0
min_changed_plus_2,2023-01-03,DC15->DC5,inbound_to_closed_site,DC15,DC14,DC15->DC14,2836,0
min_changed_plus_2,2023-01-03,DC17->DC5,inbound_to_closed_site,DC17,DC3,DC17->DC3,8356,0
min_changed_plus_2,2023-01-03,DC19->DC5,inbound_to_closed_site,DC19,DC3,DC19->DC3,5001,0
min_changed_plus_2,2023-01-03,DC20->DC5,inbound_to_closed_site,DC20,DC12,DC20->DC12,4523,0
min_changed_plus_2,2023-01-03,DC21->DC5,inbound_to_closed_site,DC21,DC10,DC21->DC10,9228,0
min_changed_plus_2,2023-01-03,DC22->DC5,inbound_to_closed_site,DC22,DC65,DC22->DC65,5142,0
min_changed_plus_2,2023-01-03,DC23->DC5,inbound_to_closed_site,DC23,DC64,DC23->DC64,5645,0
min_changed_plus_2,2023-01-03,DC25->DC5,inbound_to_closed_site,DC25,DC3,DC25->DC3,4525,0
min_changed_plus_2,2023-01-03,DC26->DC5,inbound_to_closed_site,DC26,DC9,DC26->DC9,1223,0
min_changed_plus_2,2023-01-03,DC27->DC5,inbound_to_closed_site,DC27,DC65,DC27->DC65,1280,0
min_changed_plus_2,2023-01-03,DC28->DC5,inbound_to_closed_site,DC28,DC8,DC28->DC8,2097,0
min_changed_plus_2,2023-01-03,DC30->DC5,inbound_to_closed_site,DC30,DC62,DC30->DC62,1410,0
min_changed_plus_2,2023-01-03,DC31->DC5,inbound_to_closed_site,DC31,DC64,DC31->DC64,98,0
min_changed_plus_2,2023-01-03,DC34->DC5,inbound_to_closed_site,DC34,DC12,DC34->DC12,23,0
min_changed_plus_2,2023-01-03,DC36->DC5,inbound_to_closed_site,DC36,DC64,DC36->DC64,7871,0
min_changed_plus_2,2023-01-03,DC38->DC5,inbound_to_closed_site,DC38,DC62,DC38->DC62,2546,0
min_changed_plus_2,2023-01-03,DC4->DC5,inbound_to_closed_site,DC4,DC62,DC4->DC62,14,0
min_changed_plus_2,2023-01-03,DC40->DC5,inbound_to_closed_site,DC40,DC9,DC40->DC9,6,0
min_changed_plus_2,2023-01-03,DC42->DC5,inbound_to_closed_site,DC42,DC4,DC42->DC4,373,0
min_changed_plus_2,2023-01-03,DC43->DC5,inbound_to_closed_site,DC43,DC3,DC43->DC3,712,0
min_changed_plus_2,2023-01-03,DC44->DC5,inbound_to_closed_site,DC44,DC3,DC44->DC3,2491,0
min_changed_plus_2,2023-01-03,DC46->DC5,inbound_to_closed_site,DC46,DC62,DC46->DC62,844,0
min_changed_plus_2,2023-01-03,DC47->DC5,inbound_to_closed_site,DC47,DC9,DC47->DC9,1490,0
min_changed_plus_2,2023-01-03,DC48->DC5,inbound_to_closed_site,DC48,DC8,DC48->DC8,1118,0
min_changed_plus_2,2023-01-03,DC5->DC10,outbound_from_closed_site,DC68,DC10,DC68->DC10,183,0
min_changed_plus_2,2023-01-03,DC5->DC14,outbound_from_closed_site,DC7,DC14,DC7->DC14,80,0
min_changed_plus_2,2023-01-03,DC5->DC4,outbound_from_closed_site,DC42,DC4,DC42->DC4,1053,0
min_changed_plus_2,2023-01-03,DC5->DC62,outbound_from_closed_site,DC46,DC62,DC46->DC62,152,0
min_changed_plus_2,2023-01-03,DC5->DC70,outbound_from_closed_site,DC46,DC70,DC46->DC70,15,0
min_changed_plus_2,2023-01-03,DC5->DC8,outbound_from_closed_site,DC59,DC8,DC59->DC8,6,0
min_changed_plus_2,2023-01-03,DC50->DC5,inbound_to_closed_site,DC50,DC10,DC50->DC10,751,0
min_changed_plus_2,2023-01-03,DC51->DC5,inbound_to_closed_site,DC51,DC12,DC51->DC12,2957,0
min_changed_plus_2,2023-01-03,DC52->DC5,inbound_to_closed_site,DC52,DC35,DC52->DC35,45,0
min_changed_plus_2,2023-01-03,DC53->DC5,inbound_to_closed_site,DC53,DC14,DC53->DC14,487,0
min_changed_plus_2,2023-01-03,DC55->DC5,inbound_to_closed_site,DC55,DC3,DC55->DC3,39,0
min_changed_plus_2,2023-01-03,DC59->DC5,inbound_to_closed_site,DC59,DC8,DC59->DC8,305,0
min_changed_plus_2,2023-01-03,DC60->DC5,inbound_to_closed_site,DC60,DC14,DC60->DC14,1128,0
min_changed_plus_2,2023-01-03,DC62->DC5,inbound_to_closed_site,DC62,DC14,DC62->DC14,3012,0
min_changed_plus_2,2023-01-03,DC68->DC5,inbound_to_closed_site,DC68,DC10,DC68->DC10,112,0
min_changed_plus_2,2023-01-03,DC69->DC5,inbound_to_closed_site,DC69,DC10,DC69->DC10,22,0
min_changed_plus_2,2023-01-03,DC7->DC5,inbound_to_closed_site,DC7,DC14,DC7->DC14,93,0
min_changed_plus_2,2023-01-03,DC71->DC5,inbound_to_closed_site,DC71,DC12,DC71->DC12,35,0
min_changed_plus_2,2023-01-03,DC73->DC5,inbound_to_closed_site,DC73,DC3,DC73->DC3,2656,0
min_changed_plus_2,2023-01-03,DC8->DC5,inbound_to_closed_site,DC8,DC14,DC8->DC14,4935,0
min_changed_plus_2,2023-01-03,DC9->DC5,inbound_to_closed_site,DC9,DC3,DC9->DC3,13590,0
min_changed_plus_2,2023-01-04,DC10->DC5,inbound_to_closed_site,DC10,DC4,DC10->DC4,6471,0
min_changed_plus_2,2023-01-04,DC14->DC5,inbound_to_closed_site,DC14,DC35,DC14->DC35,13951,0
min_changed_plus_2,2023-01-04,DC15->DC5,inbound_to_closed_site,DC15,DC8,DC15->DC8,2836,0
min_changed_plus_2,2023-01-04,DC17->DC5,inbound_to_closed_site,DC17,DC35,DC17->DC35,8455,0
min_changed_plus_2,2023-01-04,DC19->DC5,inbound_to_closed_site,DC19,DC14,DC19->DC14,4965,0
min_changed_plus_2,2023-01-04,DC20->DC5,inbound_to_closed_site,DC20,DC4,DC20->DC4,4523,0
min_changed_plus_2,2023-01-04,DC21->DC5,inbound_to_closed_site,DC21,DC10,DC21->DC10,7885,0
min_changed_plus_2,2023-01-04,DC22->DC5,inbound_to_closed_site,DC22,DC62,DC22->DC62,5142,0
min_changed_plus_2,2023-01-04,DC23->DC5,inbound_to_closed_site,DC23,DC3,DC23->DC3,5423,0
min_changed_plus_2,2023-01-04,DC25->DC5,inbound_to_closed_site,DC25,DC10,DC25->DC10,4112,0
min_changed_plus_2,2023-01-04,DC26->DC5,inbound_to_closed_site,DC26,DC9,DC26->DC9,1254,0
min_changed_plus_2,2023-01-04,DC27->DC5,inbound_to_closed_site,DC27,DC65,DC27->DC65,1187,0
min_changed_plus_2,2023-01-04,DC28->DC5,inbound_to_closed_site,DC28,DC8,DC28->DC8,2083,0
min_changed_plus_2,2023-01-04,DC30->DC5,inbound_to_closed_site,DC30,DC62,DC30->DC62,1415,0
min_changed_plus_2,2023-01-04,DC31->DC5,inbound_to_closed_site,DC31,DC64,DC31->DC64,115,0
min_changed_plus_2,2023-01-04,DC34->DC5,inbound_to_closed_site,DC34,DC12,DC34->DC12,20,0
min_changed_plus_2,2023-01-04,DC36->DC5,inbound_to_closed_site,DC36,DC64,DC36->DC64,7738,0
min_changed_plus_2,2023-01-04,DC38->DC5,inbound_to_closed_site,DC38,DC62,DC38->DC62,2422,0
min_changed_plus_2,2023-01-04,DC4->DC5,inbound_to_closed_site,DC4,DC62,DC4->DC62,12,0
min_changed_plus_2,2023-01-04,DC40->DC5,inbound_to_closed_site,DC40,DC4,DC40->DC4,6,0
min_changed_plus_2,2023-01-04,DC42->DC5,inbound_to_closed_site,DC42,DC14,DC42->DC14,362,0
min_changed_plus_2,2023-01-04,DC43->DC5,inbound_to_closed_site,DC43,DC3,DC43->DC3,725,0
min_changed_plus_2,2023-01-04,DC44->DC5,inbound_to_closed_site,DC44,DC3,DC44->DC3,2676,0
min_changed_plus_2,2023-01-04,DC46->DC5,inbound_to_closed_site,DC46,DC62,DC46->DC62,813,0
min_changed_plus_2,2023-01-04,DC47->DC5,inbound_to_closed_site,DC47,DC9,DC47->DC9,1506,0
min_changed_plus_2,2023-01-04,DC48->DC5,inbound_to_closed_site,DC48,DC8,DC48->DC8,1106,0
min_changed_plus_2,2023-01-04,DC5->DC10,outbound_from_closed_site,DC21,DC10,DC21->DC10,183,0
min_changed_plus_2,2023-01-04,DC5->DC14,outbound_from_closed_site,DC19,DC14,DC19->DC14,79,0
min_changed_plus_2,2023-01-04,DC5->DC4,outbound_from_closed_site,DC26,DC4,DC26->DC4,1270,0
min_changed_plus_2,2023-01-04,DC5->DC62,outbound_from_closed_site,DC46,DC62,DC46->DC62,152,0
min_changed_plus_2,2023-01-04,DC5->DC70,outbound_from_closed_site,DC14,DC70,DC14->DC70,12,0
min_changed_plus_2,2023-01-04,DC5->DC8,outbound_from_closed_site,DC28,DC8,DC28->DC8,6,0
min_changed_plus_2,2023-01-04,DC50->DC5,inbound_to_closed_site,DC50,DC62,DC50->DC62,705,0
min_changed_plus_2,2023-01-04,DC51->DC5,inbound_to_closed_site,DC51,DC10,DC51->DC10,2970,0
min_changed_plus_2,2023-01-04,DC52->DC5,inbound_to_closed_site,DC52,DC8,DC52->DC8,44,0
min_changed_plus_2,2023-01-04,DC53->DC5,inbound_to_closed_site,DC53,DC10,DC53->DC10,409,0
min_changed_plus_2,2023-01-04,DC55->DC5,inbound_to_closed_site,DC55,DC14,DC55->DC14,37,0
min_changed_plus_2,2023-01-04,DC59->DC5,inbound_to_closed_site,DC59,DC14,DC59->DC14,290,0
min_changed_plus_2,2023-01-04,DC60->DC5,inbound_to_closed_site,DC60,DC10,DC60->DC10,1065,0
min_changed_plus_2,2023-01-04,DC62->DC5,inbound_to_closed_site,DC62,DC14,DC62->DC14,3144,0
min_changed_plus_2,2023-01-04,DC68->DC5,inbound_to_closed_site,DC68,DC14,DC68->DC14,95,0
min_changed_plus_2,2023-01-04,DC69->DC5,inbound_to_closed_site,DC69,DC10,DC69->DC10,23,0
min_changed_plus_2,2023-01-04,DC7->DC5,inbound_to_closed_site,DC7,DC4,DC7->DC4,88,0
min_changed_plus_2,2023-01-04,DC71->DC5,inbound_to_closed_site,DC71,DC10,DC71->DC10,36,0
min_changed_plus_2,2023-01-04,DC73->DC5,inbound_to_closed_site,DC73,DC3,DC73->DC3,2618,0
min_changed_plus_2,2023-01-04,DC8->DC5,inbound_to_closed_site,DC8,DC10,DC8->DC10,4945,0
min_changed_plus_2,2023-01-04,DC9->DC5,inbound_to_closed_site,DC9,DC3,DC9->DC3,7639,0
min_changed_plus_2,2023-01-04,DC9->DC5,inbound_to_closed_site,DC9,DC4,DC9->DC4,1545,0
min_changed_plus_2,2023-01-04,DC9->DC5,inbound_to_closed_site,DC9,DC8,DC9->DC8,2143,0
min_changed_plus_2,2023-01-05,DC10->DC5,inbound_to_closed_site,DC10,DC4,DC10->DC4,6338,0
min_changed_plus_2,2023-01-05,DC14->DC5,inbound_to_closed_site,DC14,DC8,DC14->DC8,13839,0
min_changed_plus_2,2023-01-05,DC15->DC5,inbound_to_closed_site,DC15,DC8,DC15->DC8,2801,0
min_changed_plus_2,2023-01-05,DC17->DC5,inbound_to_closed_site,DC17,DC14,DC17->DC14,8456,0
min_changed_plus_2,2023-01-05,DC19->DC5,inbound_to_closed_site,DC19,DC10,DC19->DC10,4988,0
min_changed_plus_2,2023-01-05,DC20->DC5,inbound_to_closed_site,DC20,DC10,DC20->DC10,4629,0
min_changed_plus_2,2023-01-05,DC21->DC5,inbound_to_closed_site,DC21,DC14,DC21->DC14,16939,0
min_changed_plus_2,2023-01-05,DC22->DC5,inbound_to_closed_site,DC22,DC10,DC22->DC10,4996,0
min_changed_plus_2,2023-01-05,DC23->DC5,inbound_to_closed_site,DC23,DC70,DC23->DC70,5456,0
min_changed_plus_2,2023-01-05,DC25->DC5,inbound_to_closed_site,DC25,DC14,DC25->DC14,4072,0
min_changed_plus_2,2023-01-05,DC26->DC5,inbound_to_closed_site,DC26,DC62,DC26->DC62,1235,0
min_changed_plus_2,2023-01-05,DC27->DC5,inbound_to_closed_site,DC27,DC62,DC27->DC62,1140,0
min_changed_plus_2,2023-01-05,DC28->DC5,inbound_to_closed_site,DC28,DC8,DC28->DC8,2028,0
min_changed_plus_2,2023-01-05,DC30->DC5,inbound_to_closed_site,DC30,DC62,DC30->DC62,1390,0
min_changed_plus_2,2023-01-05,DC31->DC5,inbound_to_closed_site,DC31,DC62,DC31->DC62,96,0
min_changed_plus_2,2023-01-05,DC34->DC5,inbound_to_closed_site,DC34,DC14,DC34->DC14,24,0
min_changed_plus_2,2023-01-05,DC36->DC5,inbound_to_closed_site,DC36,DC10,DC36->DC10,7704,0
min_changed_plus_2,2023-01-05,DC38->DC5,inbound_to_closed_site,DC38,DC62,DC38->DC62,2323,0
min_changed_plus_2,2023-01-05,DC4->DC5,inbound_to_closed_site,DC4,DC62,DC4->DC62,13,0
min_changed_plus_2,2023-01-05,DC40->DC5,inbound_to_closed_site,DC40,DC70,DC40->DC70,6,0
min_changed_plus_2,2023-01-05,DC42->DC5,inbound_to_closed_site,DC42,DC14,DC42->DC14,346,0
min_changed_plus_2,2023-01-05,DC43->DC5,inbound_to_closed_site,DC43,DC4,DC43->DC4,747,0
min_changed_plus_2,2023-01-05,DC44->DC5,inbound_to_closed_site,DC44,DC70,DC44->DC70,2109,0
min_changed_plus_2,2023-01-05,DC46->DC5,inbound_to_closed_site,DC46,DC62,DC46->DC62,749,0
min_changed_plus_2,2023-01-05,DC47->DC5,inbound_to_closed_site,DC47,DC14,DC47->DC14,1313,0
min_changed_plus_2,2023-01-05,DC48->DC5,inbound_to_closed_site,DC48,DC8,DC48->DC8,1079,0
min_changed_plus_2,2023-01-05,DC5->DC10,outbound_from_closed_site,DC62,DC10,DC62->DC10,173,0
min_changed_plus_2,2023-01-05,DC5->DC14,outbound_from_closed_site,DC69,DC14,DC69->DC14,77,0
min_changed_plus_2,2023-01-05,DC5->DC4,outbound_from_closed_site,DC7,DC4,DC7->DC4,1173,0
