id,tower_y_m,width_m,height_m,center_z_m,clearance_m,rotation_deg,offset_u,offset_v,mirror_count,total_area_m2,annual_avg_optical_efficiency,annual_avg_cosine_efficiency,annual_avg_shadow_blocking_efficiency,annual_avg_truncation_efficiency,annual_field_power_mw,annual_unit_area_power_kw_m2,annual_total_area_m2
target-20,-60.0,6.15,6.0,3.1,0.05,0.0,0,0,3243,119666.70000000001,0.5011780406814416,0.7796044373707433,0.7873191617843561,0.9496402282634167,57.532002988200695,0.48076869328059274,119666.70000000001
target-21,-60.0,6.2,6.2,3.1,0.05,0.0,0,0,3209,123353.96000000002,0.4912778738447212,0.7798280189526202,0.7755028175963438,0.9460326390727217,58.14053145389193,0.47133088758473524,123353.96000000002
target-22,-60.0,6.2,6.15,3.1,0.05,0.0,0,0,3209,122359.17000000001,0.4938115165780075,0.7798280189526202,0.7786969590734394,0.9467066452556482,57.965625233290446,0.47373339679641857,122359.17000000001
target-23,-60.0,6.2,6.1000000000000005,3.1,0.05,0.0,0,0,3209,121364.38000000002,0.49634080981907136,0.7798280189526202,0.7818440324088503,0.947404474932521,57.7861988798939,0.476138047093339,121364.38000000002
target-24,-60.0,6.2,6.05,3.1,0.05,0.0,0,0,3209,120369.59,0.4988488694019193,0.7798280189526202,0.7849099537758389,0.9481156276565672,57.60024294275664,0.47852819755186204,120369.59
target-25,-60.0,6.25,6.25,3.125,0.05,0.0,0,0,3192,124687.5,0.4888468947074143,0.7793567525062882,0.7741293337510444,0.9438638495528769,58.47933923481332,0.4690072319584026,124687.5
target-26,-60.0,6.25,6.2,3.1,0.05,0.0,0,0,3192,123690.0,0.4914202621934449,0.7793757109087198,0.7773470133667502,0.9445508361049165,58.313859148120535,0.4714516868632916,123690.0
target-27,-60.0,6.25,6.15,3.1,0.05,0.0,0,0,3192,122692.5,0.49391590072849945,0.7793757109087198,0.7805206375313283,0.9452085473702017,58.133744272147,0.47381660877516546,122692.5
target-28,-60.0,6.25,6.1,3.1,0.05,0.0,0,0,3192,121695.0,0.49644036909415973,0.7793757109087198,0.7836289943609023,0.9459243576480029,57.9536921337579,0.4762208154300334,121695.0
target-29,-60.0,6.3,6.3,3.15,0.05,0.0,0,0,3168,125737.92,0.4862304251430623,0.7794494627528383,0.7712821575126263,0.9424555245656888,58.65518138224825,0.46648760677962736,125737.92
target-30,-60.0,6.3,6.25,3.125,0.05,0.0,0,0,3168,124740.0,0.4887559976798385,0.7794683973021238,0.7745061289983165,0.9430340926434676,58.488890942911645,0.46888641127875313,124740.0
target-31,-60.0,6.3,6.2,3.1,0.05,0.0,0,0,3168,123742.08,0.4913620569742736,0.7794873289588242,0.7777909301346803,0.9436877056185372,58.32726120672323,0.47136157083122604,123742.08
target-32,-60.0,6.3,6.1499999999999995,3.1,0.05,0.0,0,0,3168,122744.15999999999,0.49383835050435426,0.7794873289588242,0.7808866661405723,0.944369840586894,58.145187830327,0.4737104219893394,122744.15999999999
