sample_datetime,sample_date,year,month,sample_type,r04_risk_level,conservative_risk_level,base_interval_days,trigger_threshold,trigger_rule
2022-07-28 09:00:00,2022-07-28,2022,7,base_daily_composite,high,high,3,2.5,D>=threshold -> add one sample on each of next 2 days
2022-07-31 09:00:00,2022-07-31,2022,7,base_daily_composite,high,high,3,2.5,D>=threshold -> add one sample on each of next 2 days
2022-08-01 09:00:00,2022-08-01,2022,8,base_daily_composite,medium,high,5,1.0,D>=threshold -> add one sample on each of next 2 days
2022-08-06 09:00:00,2022-08-06,2022,8,base_daily_composite,medium,high,5,1.0,D>=threshold -> add one sample on each of next 2 days
2022-08-11 09:00:00,2022-08-11,2022,8,base_daily_composite,medium,high,5,1.0,D>=threshold -> add one sample on each of next 2 days
2022-08-16 09:00:00,2022-08-16,2022,8,base_daily_composite,medium,high,5,1.0,D>=threshold -> add one sample on each of next 2 days
2022-08-21 09:00:00,2022-08-21,2022,8,base_daily_composite,medium,high,5,1.0,D>=threshold -> add one sample on each of next 2 days
2022-08-26 09:00:00,2022-08-26,2022,8,base_daily_composite,medium,high,5,1.0,D>=threshold -> add one sample on each of next 2 days
2022-08-31 09:00:00,2022-08-31,2022,8,base_daily_composite,medium,high,5,1.0,D>=threshold -> add one sample on each of next 2 days
2022-09-01 09:00:00,2022-09-01,2022,9,base_daily_composite,high,high,5,1.5,D>=threshold -> add one sample on each of next 2 days
2022-09-06 09:00:00,2022-09-06,2022,9,base_daily_composite,high,high,5,1.5,D>=threshold -> add one sample on each of next 2 days
2022-09-11 09:00:00,2022-09-11,2022,9,base_daily_composite,high,high,5,1.5,D>=threshold -> add one sample on each of next 2 days
2022-09-16 09:00:00,2022-09-16,2022,9,base_daily_composite,high,high,5,1.5,D>=threshold -> add one sample on each of next 2 days
2022-09-21 09:00:00,2022-09-21,2022,9,base_daily_composite,high,high,5,1.5,D>=threshold -> add one sample on each of next 2 days
2022-09-26 09:00:00,2022-09-26,2022,9,base_daily_composite,high,high,5,1.5,D>=threshold -> add one sample on each of next 2 days
2022-10-01 09:00:00,2022-10-01,2022,10,base_daily_composite,medium,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2022-10-04 09:00:00,2022-10-04,2022,10,base_daily_composite,medium,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2022-10-07 09:00:00,2022-10-07,2022,10,base_daily_composite,medium,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2022-10-10 09:00:00,2022-10-10,2022,10,base_daily_composite,medium,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2022-10-13 09:00:00,2022-10-13,2022,10,base_daily_composite,medium,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2022-10-16 09:00:00,2022-10-16,2022,10,base_daily_composite,medium,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2022-10-19 09:00:00,2022-10-19,2022,10,base_daily_composite,medium,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2022-10-22 09:00:00,2022-10-22,2022,10,base_daily_composite,medium,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2022-10-25 09:00:00,2022-10-25,2022,10,base_daily_composite,medium,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2022-10-28 09:00:00,2022-10-28,2022,10,base_daily_composite,medium,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2022-10-31 09:00:00,2022-10-31,2022,10,base_daily_composite,medium,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2022-11-01 09:00:00,2022-11-01,2022,11,base_daily_composite,medium,medium,10,1.0,D>=threshold -> add one sample on each of next 2 days
2022-11-11 09:00:00,2022-11-11,2022,11,base_daily_composite,medium,medium,10,1.0,D>=threshold -> add one sample on each of next 2 days
2022-11-21 09:00:00,2022-11-21,2022,11,base_daily_composite,medium,medium,10,1.0,D>=threshold -> add one sample on each of next 2 days
2022-12-01 09:00:00,2022-12-01,2022,12,base_daily_composite,low,low,14,1.0,D>=threshold -> add one sample on each of next 2 days
2022-12-15 09:00:00,2022-12-15,2022,12,base_daily_composite,low,low,14,1.0,D>=threshold -> add one sample on each of next 2 days
2022-12-29 09:00:00,2022-12-29,2022,12,base_daily_composite,low,low,14,1.0,D>=threshold -> add one sample on each of next 2 days
2023-01-01 09:00:00,2023-01-01,2023,1,base_daily_composite,low,low,14,1.0,D>=threshold -> add one sample on each of next 2 days
2023-01-15 09:00:00,2023-01-15,2023,1,base_daily_composite,low,low,14,1.0,D>=threshold -> add one sample on each of next 2 days
2023-01-29 09:00:00,2023-01-29,2023,1,base_daily_composite,low,low,14,1.0,D>=threshold -> add one sample on each of next 2 days
2023-02-01 09:00:00,2023-02-01,2023,2,base_daily_composite,low,low,14,1.0,D>=threshold -> add one sample on each of next 2 days
2023-02-15 09:00:00,2023-02-15,2023,2,base_daily_composite,low,low,14,1.0,D>=threshold -> add one sample on each of next 2 days
2023-03-01 09:00:00,2023-03-01,2023,3,base_daily_composite,low,low,14,1.0,D>=threshold -> add one sample on each of next 2 days
2023-03-15 09:00:00,2023-03-15,2023,3,base_daily_composite,low,low,14,1.0,D>=threshold -> add one sample on each of next 2 days
2023-03-29 09:00:00,2023-03-29,2023,3,base_daily_composite,low,low,14,1.0,D>=threshold -> add one sample on each of next 2 days
2023-04-01 09:00:00,2023-04-01,2023,4,base_daily_composite,medium,medium,10,1.0,D>=threshold -> add one sample on each of next 2 days
2023-04-11 09:00:00,2023-04-11,2023,4,base_daily_composite,medium,medium,10,1.0,D>=threshold -> add one sample on each of next 2 days
2023-04-21 09:00:00,2023-04-21,2023,4,base_daily_composite,medium,medium,10,1.0,D>=threshold -> add one sample on each of next 2 days
2023-05-01 09:00:00,2023-05-01,2023,5,base_daily_composite,medium,medium,10,1.0,D>=threshold -> add one sample on each of next 2 days
2023-05-11 09:00:00,2023-05-11,2023,5,base_daily_composite,medium,medium,10,1.0,D>=threshold -> add one sample on each of next 2 days
2023-05-21 09:00:00,2023-05-21,2023,5,base_daily_composite,medium,medium,10,1.0,D>=threshold -> add one sample on each of next 2 days
2023-05-31 09:00:00,2023-05-31,2023,5,base_daily_composite,medium,medium,10,1.0,D>=threshold -> add one sample on each of next 2 days
2023-06-01 09:00:00,2023-06-01,2023,6,base_daily_composite,high,high,5,2.0,D>=threshold -> add one sample on each of next 2 days
2023-06-06 09:00:00,2023-06-06,2023,6,base_daily_composite,high,high,5,2.0,D>=threshold -> add one sample on each of next 2 days
2023-06-11 09:00:00,2023-06-11,2023,6,base_daily_composite,high,high,5,2.0,D>=threshold -> add one sample on each of next 2 days
2023-06-16 09:00:00,2023-06-16,2023,6,base_daily_composite,high,high,5,2.0,D>=threshold -> add one sample on each of next 2 days
2023-06-21 09:00:00,2023-06-21,2023,6,base_daily_composite,high,high,5,2.0,D>=threshold -> add one sample on each of next 2 days
2023-06-26 09:00:00,2023-06-26,2023,6,base_daily_composite,high,high,5,2.0,D>=threshold -> add one sample on each of next 2 days
2023-07-01 09:00:00,2023-07-01,2023,7,base_daily_composite,high,high,3,2.5,D>=threshold -> add one sample on each of next 2 days
2023-07-04 09:00:00,2023-07-04,2023,7,base_daily_composite,high,high,3,2.5,D>=threshold -> add one sample on each of next 2 days
2023-07-07 09:00:00,2023-07-07,2023,7,base_daily_composite,high,high,3,2.5,D>=threshold -> add one sample on each of next 2 days
2023-07-10 09:00:00,2023-07-10,2023,7,base_daily_composite,high,high,3,2.5,D>=threshold -> add one sample on each of next 2 days
2023-07-13 09:00:00,2023-07-13,2023,7,base_daily_composite,high,high,3,2.5,D>=threshold -> add one sample on each of next 2 days
2023-07-16 09:00:00,2023-07-16,2023,7,base_daily_composite,high,high,3,2.5,D>=threshold -> add one sample on each of next 2 days
2023-07-19 09:00:00,2023-07-19,2023,7,base_daily_composite,high,high,3,2.5,D>=threshold -> add one sample on each of next 2 days
2023-07-22 09:00:00,2023-07-22,2023,7,base_daily_composite,high,high,3,2.5,D>=threshold -> add one sample on each of next 2 days
2023-07-25 09:00:00,2023-07-25,2023,7,base_daily_composite,high,high,3,2.5,D>=threshold -> add one sample on each of next 2 days
2023-07-28 09:00:00,2023-07-28,2023,7,base_daily_composite,high,high,3,2.5,D>=threshold -> add one sample on each of next 2 days
2023-07-31 09:00:00,2023-07-31,2023,7,base_daily_composite,high,high,3,2.5,D>=threshold -> add one sample on each of next 2 days
2023-08-01 09:00:00,2023-08-01,2023,8,base_daily_composite,high,high,5,1.0,D>=threshold -> add one sample on each of next 2 days
2023-08-06 09:00:00,2023-08-06,2023,8,base_daily_composite,high,high,5,1.0,D>=threshold -> add one sample on each of next 2 days
2023-08-11 09:00:00,2023-08-11,2023,8,base_daily_composite,high,high,5,1.0,D>=threshold -> add one sample on each of next 2 days
2023-08-16 09:00:00,2023-08-16,2023,8,base_daily_composite,high,high,5,1.0,D>=threshold -> add one sample on each of next 2 days
2023-08-21 09:00:00,2023-08-21,2023,8,base_daily_composite,high,high,5,1.0,D>=threshold -> add one sample on each of next 2 days
2023-08-26 09:00:00,2023-08-26,2023,8,base_daily_composite,high,high,5,1.0,D>=threshold -> add one sample on each of next 2 days
2023-08-31 09:00:00,2023-08-31,2023,8,base_daily_composite,high,high,5,1.0,D>=threshold -> add one sample on each of next 2 days
2023-09-01 09:00:00,2023-09-01,2023,9,base_daily_composite,high,high,5,1.5,D>=threshold -> add one sample on each of next 2 days
2023-09-06 09:00:00,2023-09-06,2023,9,base_daily_composite,high,high,5,1.5,D>=threshold -> add one sample on each of next 2 days
2023-09-11 09:00:00,2023-09-11,2023,9,base_daily_composite,high,high,5,1.5,D>=threshold -> add one sample on each of next 2 days
2023-09-16 09:00:00,2023-09-16,2023,9,base_daily_composite,high,high,5,1.5,D>=threshold -> add one sample on each of next 2 days
2023-09-21 09:00:00,2023-09-21,2023,9,base_daily_composite,high,high,5,1.5,D>=threshold -> add one sample on each of next 2 days
2023-09-26 09:00:00,2023-09-26,2023,9,base_daily_composite,high,high,5,1.5,D>=threshold -> add one sample on each of next 2 days
2023-10-01 09:00:00,2023-10-01,2023,10,base_daily_composite,high,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2023-10-04 09:00:00,2023-10-04,2023,10,base_daily_composite,high,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2023-10-07 09:00:00,2023-10-07,2023,10,base_daily_composite,high,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2023-10-10 09:00:00,2023-10-10,2023,10,base_daily_composite,high,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2023-10-13 09:00:00,2023-10-13,2023,10,base_daily_composite,high,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2023-10-16 09:00:00,2023-10-16,2023,10,base_daily_composite,high,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2023-10-19 09:00:00,2023-10-19,2023,10,base_daily_composite,high,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2023-10-22 09:00:00,2023-10-22,2023,10,base_daily_composite,high,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2023-10-25 09:00:00,2023-10-25,2023,10,base_daily_composite,high,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2023-10-28 09:00:00,2023-10-28,2023,10,base_daily_composite,high,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2023-10-31 09:00:00,2023-10-31,2023,10,base_daily_composite,high,high,3,1.5,D>=threshold -> add one sample on each of next 2 days
2023-11-01 09:00:00,2023-11-01,2023,11,base_daily_composite,medium,medium,10,1.0,D>=threshold -> add one sample on each of next 2 days
2023-11-11 09:00:00,2023-11-11,2023,11,base_daily_composite,medium,medium,10,1.0,D>=threshold -> add one sample on each of next 2 days
2023-11-21 09:00:00,2023-11-21,2023,11,base_daily_composite,medium,medium,10,1.0,D>=threshold -> add one sample on each of next 2 days
2023-12-01 09:00:00,2023-12-01,2023,12,base_daily_composite,low,low,14,1.0,D>=threshold -> add one sample on each of next 2 days
2023-12-15 09:00:00,2023-12-15,2023,12,base_daily_composite,low,low,14,1.0,D>=threshold -> add one sample on each of next 2 days
2023-12-29 09:00:00,2023-12-29,2023,12,base_daily_composite,low,low,14,1.0,D>=threshold -> add one sample on each of next 2 days
