场地1,场地2,edge,日期,预测货量
DC12,DC9,DC12->DC9,2023-01-01,0
DC13,DC10,DC13->DC10,2023-01-01,0
DC13,DC14,DC13->DC14,2023-01-01,0
DC13,DC15,DC13->DC15,2023-01-01,0
DC13,DC3,DC13->DC3,2023-01-01,0
DC13,DC4,DC13->DC4,2023-01-01,0
DC13,DC5,DC13->DC5,2023-01-01,0
DC13,DC62,DC13->DC62,2023-01-01,0
DC13,DC8,DC13->DC8,2023-01-01,0
DC13,DC9,DC13->DC9,2023-01-01,0
DC14,DC10,DC14->DC10,2023-01-01,28138
DC14,DC11,DC14->DC11,2023-01-01,0
DC14,DC12,DC14->DC12,2023-01-01,0
DC14,DC13,DC14->DC13,2023-01-01,0
DC14,DC17,DC14->DC17,2023-01-01,0
DC14,DC19,DC14->DC19,2023-01-01,0
DC14,DC20,DC14->DC20,2023-01-01,0
DC14,DC21,DC14->DC21,2023-01-01,0
DC14,DC22,DC14->DC22,2023-01-01,0
DC14,DC23,DC14->DC23,2023-01-01,0
DC14,DC25,DC14->DC25,2023-01-01,0
DC14,DC3,DC14->DC3,2023-01-01,1
DC14,DC30,DC14->DC30,2023-01-01,0
DC14,DC32,DC14->DC32,2023-01-01,0
DC14,DC33,DC14->DC33,2023-01-01,0
DC14,DC34,DC14->DC34,2023-01-01,0
DC14,DC35,DC14->DC35,2023-01-01,446
DC14,DC36,DC14->DC36,2023-01-01,0
DC14,DC38,DC14->DC38,2023-01-01,0
DC14,DC4,DC14->DC4,2023-01-01,222
DC14,DC40,DC14->DC40,2023-01-01,0
DC14,DC43,DC14->DC43,2023-01-01,0
DC14,DC5,DC14->DC5,2023-01-01,14902
DC14,DC61,DC14->DC61,2023-01-01,0
DC14,DC62,DC14->DC62,2023-01-01,27278
DC14,DC64,DC14->DC64,2023-01-01,0
DC14,DC65,DC14->DC65,2023-01-01,0
DC14,DC67,DC14->DC67,2023-01-01,0
DC14,DC70,DC14->DC70,2023-01-01,306
DC14,DC76,DC14->DC76,2023-01-01,0
DC14,DC78,DC14->DC78,2023-01-01,0
DC14,DC8,DC14->DC8,2023-01-01,121270
DC14,DC81,DC14->DC81,2023-01-01,0
DC14,DC9,DC14->DC9,2023-01-01,0
DC15,DC10,DC15->DC10,2023-01-01,6738
DC15,DC12,DC15->DC12,2023-01-01,0
DC15,DC13,DC15->DC13,2023-01-01,0
DC15,DC14,DC15->DC14,2023-01-01,6663
DC15,DC3,DC15->DC3,2023-01-01,0
DC15,DC32,DC15->DC32,2023-01-01,0
DC15,DC33,DC15->DC33,2023-01-01,0
DC15,DC34,DC15->DC34,2023-01-01,0
DC15,DC35,DC15->DC35,2023-01-01,3
DC15,DC4,DC15->DC4,2023-01-01,58
DC15,DC40,DC15->DC40,2023-01-01,0
DC15,DC5,DC15->DC5,2023-01-01,2909
DC15,DC62,DC15->DC62,2023-01-01,6506
DC15,DC64,DC15->DC64,2023-01-01,0
DC15,DC65,DC15->DC65,2023-01-01,0
DC15,DC70,DC15->DC70,2023-01-01,9
DC15,DC8,DC15->DC8,2023-01-01,15687
DC15,DC81,DC15->DC81,2023-01-01,0
DC15,DC9,DC15->DC9,2023-01-01,0
DC16,DC10,DC16->DC10,2023-01-01,0
DC16,DC14,DC16->DC14,2023-01-01,0
DC16,DC35,DC16->DC35,2023-01-01,0
DC16,DC4,DC16->DC4,2023-01-01,0
DC16,DC5,DC16->DC5,2023-01-01,0
DC16,DC62,DC16->DC62,2023-01-01,0
DC16,DC70,DC16->DC70,2023-01-01,0
DC16,DC8,DC16->DC8,2023-01-01,0
DC17,DC10,DC17->DC10,2023-01-01,14689
DC17,DC12,DC17->DC12,2023-01-01,0
DC17,DC14,DC17->DC14,2023-01-01,11685
DC17,DC20,DC17->DC20,2023-01-01,0
DC17,DC29,DC17->DC29,2023-01-01,0
DC17,DC3,DC17->DC3,2023-01-01,1
DC17,DC32,DC17->DC32,2023-01-01,0
DC17,DC34,DC17->DC34,2023-01-01,0
DC17,DC35,DC17->DC35,2023-01-01,152
DC17,DC4,DC17->DC4,2023-01-01,34603
DC17,DC40,DC17->DC40,2023-01-01,0
DC17,DC5,DC17->DC5,2023-01-01,7918
DC17,DC61,DC17->DC61,2023-01-01,0
DC17,DC62,DC17->DC62,2023-01-01,15126
DC17,DC64,DC17->DC64,2023-01-01,0
DC17,DC65,DC17->DC65,2023-01-01,0
DC17,DC70,DC17->DC70,2023-01-01,154
DC17,DC8,DC17->DC8,2023-01-01,169
DC17,DC81,DC17->DC81,2023-01-01,0
DC17,DC9,DC17->DC9,2023-01-01,0
DC18,DC10,DC18->DC10,2023-01-01,0
DC18,DC14,DC18->DC14,2023-01-01,0
DC18,DC23,DC18->DC23,2023-01-01,0
DC18,DC4,DC18->DC4,2023-01-01,0
DC18,DC62,DC18->DC62,2023-01-01,0
DC18,DC8,DC18->DC8,2023-01-01,0
DC19,DC10,DC19->DC10,2023-01-01,12124
DC19,DC12,DC19->DC12,2023-01-01,0
DC19,DC14,DC19->DC14,2023-01-01,9202
DC19,DC20,DC19->DC20,2023-01-01,0
DC19,DC3,DC19->DC3,2023-01-01,0
DC19,DC32,DC19->DC32,2023-01-01,0
DC19,DC34,DC19->DC34,2023-01-01,0
DC19,DC35,DC19->DC35,2023-01-01,210
DC19,DC36,DC19->DC36,2023-01-01,0
DC19,DC4,DC19->DC4,2023-01-01,36804
DC19,DC40,DC19->DC40,2023-01-01,0
DC19,DC5,DC19->DC5,2023-01-01,5511
DC19,DC62,DC19->DC62,2023-01-01,13670
DC19,DC64,DC19->DC64,2023-01-01,0
DC19,DC65,DC19->DC65,2023-01-01,0
DC19,DC70,DC19->DC70,2023-01-01,425
DC19,DC8,DC19->DC8,2023-01-01,145
DC19,DC81,DC19->DC81,2023-01-01,0
DC19,DC9,DC19->DC9,2023-01-01,0
DC2,DC10,DC2->DC10,2023-01-01,0
DC2,DC14,DC2->DC14,2023-01-01,0
DC2,DC3,DC2->DC3,2023-01-01,0
DC2,DC4,DC2->DC4,2023-01-01,0
DC2,DC5,DC2->DC5,2023-01-01,0
DC2,DC62,DC2->DC62,2023-01-01,0
DC2,DC8,DC2->DC8,2023-01-01,0
DC2,DC9,DC2->DC9,2023-01-01,0
DC20,DC10,DC20->DC10,2023-01-01,8765
DC20,DC12,DC20->DC12,2023-01-01,0
DC20,DC14,DC20->DC14,2023-01-01,8191
DC20,DC3,DC20->DC3,2023-01-01,0
DC20,DC32,DC20->DC32,2023-01-01,0
DC20,DC33,DC20->DC33,2023-01-01,0
DC20,DC34,DC20->DC34,2023-01-01,0
DC20,DC35,DC20->DC35,2023-01-01,11
DC20,DC4,DC20->DC4,2023-01-01,24811
DC20,DC40,DC20->DC40,2023-01-01,0
DC20,DC5,DC20->DC5,2023-01-01,4816
DC20,DC62,DC20->DC62,2023-01-01,9118
DC20,DC64,DC20->DC64,2023-01-01,0
DC20,DC65,DC20->DC65,2023-01-01,0
DC20,DC70,DC20->DC70,2023-01-01,21
DC20,DC76,DC20->DC76,2023-01-01,0
DC20,DC8,DC20->DC8,2023-01-01,111
DC20,DC81,DC20->DC81,2023-01-01,0
DC20,DC9,DC20->DC9,2023-01-01,0
DC21,DC10,DC21->DC10,2023-01-01,0
DC21,DC12,DC21->DC12,2023-01-01,0
DC21,DC14,DC21->DC14,2023-01-01,0
DC21,DC20,DC21->DC20,2023-01-01,0
DC21,DC3,DC21->DC3,2023-01-01,0
DC21,DC32,DC21->DC32,2023-01-01,0
DC21,DC33,DC21->DC33,2023-01-01,0
DC21,DC34,DC21->DC34,2023-01-01,0
DC21,DC35,DC21->DC35,2023-01-01,0
DC21,DC4,DC21->DC4,2023-01-01,0
DC21,DC40,DC21->DC40,2023-01-01,0
DC21,DC5,DC21->DC5,2023-01-01,0
DC21,DC62,DC21->DC62,2023-01-01,0
DC21,DC70,DC21->DC70,2023-01-01,0
DC21,DC76,DC21->DC76,2023-01-01,0
DC21,DC8,DC21->DC8,2023-01-01,0
DC21,DC81,DC21->DC81,2023-01-01,0
DC21,DC9,DC21->DC9,2023-01-01,0
DC22,DC10,DC22->DC10,2023-01-01,10636
DC22,DC12,DC22->DC12,2023-01-01,0
DC22,DC13,DC22->DC13,2023-01-01,0
DC22,DC14,DC22->DC14,2023-01-01,9871
DC22,DC20,DC22->DC20,2023-01-01,0
DC22,DC21,DC22->DC21,2023-01-01,0
DC22,DC3,DC22->DC3,2023-01-01,10
DC22,DC32,DC22->DC32,2023-01-01,0
DC22,DC34,DC22->DC34,2023-01-01,0
DC22,DC35,DC22->DC35,2023-01-01,1207
DC22,DC4,DC22->DC4,2023-01-01,36757
DC22,DC40,DC22->DC40,2023-01-01,0
DC22,DC5,DC22->DC5,2023-01-01,4971
DC22,DC62,DC22->DC62,2023-01-01,10975
DC22,DC64,DC22->DC64,2023-01-01,0
DC22,DC65,DC22->DC65,2023-01-01,0
DC22,DC70,DC22->DC70,2023-01-01,1113
DC22,DC76,DC22->DC76,2023-01-01,0
DC22,DC8,DC22->DC8,2023-01-01,145
DC22,DC81,DC22->DC81,2023-01-01,0
DC22,DC9,DC22->DC9,2023-01-01,0
DC23,DC10,DC23->DC10,2023-01-01,12630
DC23,DC12,DC23->DC12,2023-01-01,0
DC23,DC14,DC23->DC14,2023-01-01,11320
DC23,DC18,DC23->DC18,2023-01-01,0
DC23,DC20,DC23->DC20,2023-01-01,0
DC23,DC29,DC23->DC29,2023-01-01,0
DC23,DC3,DC23->DC3,2023-01-01,4
DC23,DC32,DC23->DC32,2023-01-01,0
DC23,DC34,DC23->DC34,2023-01-01,0
DC23,DC35,DC23->DC35,2023-01-01,2265
DC23,DC36,DC23->DC36,2023-01-01,0
DC23,DC4,DC23->DC4,2023-01-01,49394
DC23,DC40,DC23->DC40,2023-01-01,0
DC23,DC5,DC23->DC5,2023-01-01,6516
DC23,DC6,DC23->DC6,2023-01-01,0
DC23,DC62,DC23->DC62,2023-01-01,12188
DC23,DC64,DC23->DC64,2023-01-01,0
DC23,DC65,DC23->DC65,2023-01-01,0
DC23,DC70,DC23->DC70,2023-01-01,4379
DC23,DC8,DC23->DC8,2023-01-01,124
DC23,DC81,DC23->DC81,2023-01-01,0
DC23,DC9,DC23->DC9,2023-01-01,0
DC24,DC10,DC24->DC10,2023-01-01,0
DC24,DC14,DC24->DC14,2023-01-01,0
DC24,DC3,DC24->DC3,2023-01-01,0
DC24,DC4,DC24->DC4,2023-01-01,0
DC24,DC5,DC24->DC5,2023-01-01,0
DC24,DC62,DC24->DC62,2023-01-01,0
DC24,DC8,DC24->DC8,2023-01-01,0
DC24,DC9,DC24->DC9,2023-01-01,0
DC25,DC10,DC25->DC10,2023-01-01,7508
DC25,DC12,DC25->DC12,2023-01-01,0
DC25,DC14,DC25->DC14,2023-01-01,6805
DC25,DC3,DC25->DC3,2023-01-01,5
DC25,DC32,DC25->DC32,2023-01-01,0
DC25,DC33,DC25->DC33,2023-01-01,0
DC25,DC34,DC25->DC34,2023-01-01,0
DC25,DC35,DC25->DC35,2023-01-01,28
DC25,DC4,DC25->DC4,2023-01-01,34
DC25,DC40,DC25->DC40,2023-01-01,0
DC25,DC5,DC25->DC5,2023-01-01,3086
DC25,DC62,DC25->DC62,2023-01-01,7221
DC25,DC64,DC25->DC64,2023-01-01,0
DC25,DC65,DC25->DC65,2023-01-01,0
DC25,DC70,DC25->DC70,2023-01-01,41
DC25,DC76,DC25->DC76,2023-01-01,0
DC25,DC8,DC25->DC8,2023-01-01,19742
DC25,DC81,DC25->DC81,2023-01-01,0
DC25,DC9,DC25->DC9,2023-01-01,0
DC26,DC10,DC26->DC10,2023-01-01,2488
DC26,DC12,DC26->DC12,2023-01-01,0
DC26,DC14,DC26->DC14,2023-01-01,2288
DC26,DC3,DC26->DC3,2023-01-01,0
DC26,DC32,DC26->DC32,2023-01-01,0
DC26,DC34,DC26->DC34,2023-01-01,0
DC26,DC35,DC26->DC35,2023-01-01,0
DC26,DC4,DC26->DC4,2023-01-01,14
DC26,DC40,DC26->DC40,2023-01-01,0
DC26,DC5,DC26->DC5,2023-01-01,1208
DC26,DC62,DC26->DC62,2023-01-01,2598
DC26,DC64,DC26->DC64,2023-01-01,0
DC26,DC65,DC26->DC65,2023-01-01,0
DC26,DC70,DC26->DC70,2023-01-01,0
DC26,DC8,DC26->DC8,2023-01-01,6718
DC26,DC81,DC26->DC81,2023-01-01,0
DC26,DC9,DC26->DC9,2023-01-01,0
DC27,DC10,DC27->DC10,2023-01-01,7191
DC27,DC14,DC27->DC14,2023-01-01,5623
DC27,DC3,DC27->DC3,2023-01-01,0
DC27,DC32,DC27->DC32,2023-01-01,0
DC27,DC34,DC27->DC34,2023-01-01,0
DC27,DC35,DC27->DC35,2023-01-01,11
DC27,DC4,DC27->DC4,2023-01-01,53
DC27,DC40,DC27->DC40,2023-01-01,0
DC27,DC5,DC27->DC5,2023-01-01,2197
DC27,DC62,DC27->DC62,2023-01-01,5844
DC27,DC64,DC27->DC64,2023-01-01,0
DC27,DC65,DC27->DC65,2023-01-01,0
DC27,DC70,DC27->DC70,2023-01-01,5
DC27,DC8,DC27->DC8,2023-01-01,20515
DC27,DC9,DC27->DC9,2023-01-01,0
DC28,DC10,DC28->DC10,2023-01-01,4698
DC28,DC12,DC28->DC12,2023-01-01,0
DC28,DC14,DC28->DC14,2023-01-01,3459
DC28,DC20,DC28->DC20,2023-01-01,0
DC28,DC23,DC28->DC23,2023-01-01,0
DC28,DC3,DC28->DC3,2023-01-01,0
DC28,DC32,DC28->DC32,2023-01-01,0
DC28,DC34,DC28->DC34,2023-01-01,0
DC28,DC35,DC28->DC35,2023-01-01,27
DC28,DC4,DC28->DC4,2023-01-01,13919
DC28,DC40,DC28->DC40,2023-01-01,0
DC28,DC5,DC28->DC5,2023-01-01,2150
DC28,DC62,DC28->DC62,2023-01-01,3490
DC28,DC64,DC28->DC64,2023-01-01,0
DC28,DC65,DC28->DC65,2023-01-01,0
DC28,DC70,DC28->DC70,2023-01-01,14
DC28,DC8,DC28->DC8,2023-01-01,85
DC28,DC81,DC28->DC81,2023-01-01,0
DC28,DC9,DC28->DC9,2023-01-01,0
DC29,DC36,DC29->DC36,2023-01-01,0
DC29,DC9,DC29->DC9,2023-01-01,0
DC3,DC10,DC3->DC10,2023-01-01,0
DC3,DC12,DC3->DC12,2023-01-01,0
DC3,DC14,DC3->DC14,2023-01-01,0
DC3,DC19,DC3->DC19,2023-01-01,0
DC3,DC21,DC3->DC21,2023-01-01,0
DC3,DC22,DC3->DC22,2023-01-01,0
DC3,DC23,DC3->DC23,2023-01-01,0
DC3,DC28,DC3->DC28,2023-01-01,0
DC3,DC30,DC3->DC30,2023-01-01,0
DC3,DC35,DC3->DC35,2023-01-01,0
DC3,DC36,DC3->DC36,2023-01-01,0
DC3,DC38,DC3->DC38,2023-01-01,0
DC3,DC4,DC3->DC4,2023-01-01,0
DC3,DC40,DC3->DC40,2023-01-01,0
DC3,DC5,DC3->DC5,2023-01-01,0
DC3,DC8,DC3->DC8,2023-01-01,0
DC3,DC9,DC3->DC9,2023-01-01,0
DC30,DC10,DC30->DC10,2023-01-01,3216
DC30,DC12,DC30->DC12,2023-01-01,0
DC30,DC14,DC30->DC14,2023-01-01,3032
DC30,DC23,DC30->DC23,2023-01-01,0
DC30,DC3,DC30->DC3,2023-01-01,0
DC30,DC32,DC30->DC32,2023-01-01,0
DC30,DC34,DC30->DC34,2023-01-01,0
DC30,DC35,DC30->DC35,2023-01-01,34
DC30,DC4,DC30->DC4,2023-01-01,10744
DC30,DC40,DC30->DC40,2023-01-01,0
DC30,DC5,DC30->DC5,2023-01-01,1749
DC30,DC62,DC30->DC62,2023-01-01,3285
DC30,DC64,DC30->DC64,2023-01-01,0
DC30,DC65,DC30->DC65,2023-01-01,0
DC30,DC67,DC30->DC67,2023-01-01,0
DC30,DC70,DC30->DC70,2023-01-01,46
DC30,DC8,DC30->DC8,2023-01-01,43
DC30,DC81,DC30->DC81,2023-01-01,0
DC30,DC9,DC30->DC9,2023-01-01,0
DC31,DC10,DC31->DC10,2023-01-01,567
DC31,DC12,DC31->DC12,2023-01-01,0
DC31,DC14,DC31->DC14,2023-01-01,532
DC31,DC3,DC31->DC3,2023-01-01,0
DC31,DC32,DC31->DC32,2023-01-01,0
DC31,DC34,DC31->DC34,2023-01-01,0
DC31,DC35,DC31->DC35,2023-01-01,0
DC31,DC37,DC31->DC37,2023-01-01,0
DC31,DC4,DC31->DC4,2023-01-01,2258
DC31,DC40,DC31->DC40,2023-01-01,0
DC31,DC5,DC31->DC5,2023-01-01,164
DC31,DC62,DC31->DC62,2023-01-01,593
DC31,DC64,DC31->DC64,2023-01-01,0
DC31,DC65,DC31->DC65,2023-01-01,0
DC31,DC70,DC31->DC70,2023-01-01,2
DC31,DC76,DC31->DC76,2023-01-01,0
DC31,DC8,DC31->DC8,2023-01-01,17
DC31,DC9,DC31->DC9,2023-01-01,0
DC32,DC10,DC32->DC10,2023-01-01,0
DC32,DC12,DC32->DC12,2023-01-01,0
DC32,DC14,DC32->DC14,2023-01-01,0
DC32,DC35,DC32->DC35,2023-01-01,0
DC32,DC40,DC32->DC40,2023-01-01,0
DC32,DC70,DC32->DC70,2023-01-01,0
DC33,DC10,DC33->DC10,2023-01-01,0
DC33,DC14,DC33->DC14,2023-01-01,0
DC33,DC3,DC33->DC3,2023-01-01,0
DC33,DC4,DC33->DC4,2023-01-01,0
DC33,DC5,DC33->DC5,2023-01-01,0
DC33,DC62,DC33->DC62,2023-01-01,0
DC33,DC65,DC33->DC65,2023-01-01,0
DC33,DC8,DC33->DC8,2023-01-01,0
DC33,DC9,DC33->DC9,2023-01-01,0
DC34,DC10,DC34->DC10,2023-01-01,33
DC34,DC12,DC34->DC12,2023-01-01,0
DC34,DC14,DC34->DC14,2023-01-01,43
DC34,DC3,DC34->DC3,2023-01-01,0
DC34,DC30,DC34->DC30,2023-01-01,0
DC34,DC32,DC34->DC32,2023-01-01,0
DC34,DC35,DC34->DC35,2023-01-01,358
DC34,DC4,DC34->DC4,2023-01-01,1
DC34,DC40,DC34->DC40,2023-01-01,0
DC34,DC5,DC34->DC5,2023-01-01,14
DC34,DC62,DC34->DC62,2023-01-01,38
DC34,DC64,DC34->DC64,2023-01-01,0
DC34,DC67,DC34->DC67,2023-01-01,0
DC34,DC70,DC34->DC70,2023-01-01,539
DC34,DC8,DC34->DC8,2023-01-01,72
DC34,DC9,DC34->DC9,2023-01-01,0
DC35,DC10,DC35->DC10,2023-01-01,0
DC35,DC12,DC35->DC12,2023-01-01,0
DC35,DC14,DC35->DC14,2023-01-01,0
DC35,DC17,DC35->DC17,2023-01-01,0
DC35,DC23,DC35->DC23,2023-01-01,0
DC35,DC3,DC35->DC3,2023-01-01,0
DC35,DC30,DC35->DC30,2023-01-01,0
DC35,DC32,DC35->DC32,2023-01-01,0
DC35,DC34,DC35->DC34,2023-01-01,0
DC35,DC36,DC35->DC36,2023-01-01,0
DC35,DC4,DC35->DC4,2023-01-01,0
DC35,DC40,DC35->DC40,2023-01-01,0
DC35,DC5,DC35->DC5,2023-01-01,0
DC35,DC62,DC35->DC62,2023-01-01,0
DC35,DC67,DC35->DC67,2023-01-01,0
DC35,DC70,DC35->DC70,2023-01-01,11
DC35,DC8,DC35->DC8,2023-01-01,0
DC35,DC9,DC35->DC9,2023-01-01,0
DC36,DC10,DC36->DC10,2023-01-01,19962
DC36,DC12,DC36->DC12,2023-01-01,0
DC36,DC14,DC36->DC14,2023-01-01,12666
DC36,DC20,DC36->DC20,2023-01-01,0
DC36,DC23,DC36->DC23,2023-01-01,0
DC36,DC29,DC36->DC29,2023-01-01,0
DC36,DC3,DC36->DC3,2023-01-01,3
DC36,DC32,DC36->DC32,2023-01-01,0
DC36,DC33,DC36->DC33,2023-01-01,0
DC36,DC34,DC36->DC34,2023-01-01,0
DC36,DC35,DC36->DC35,2023-01-01,672
DC36,DC4,DC36->DC4,2023-01-01,49378
DC36,DC40,DC36->DC40,2023-01-01,0
DC36,DC5,DC36->DC5,2023-01-01,8196
DC36,DC62,DC36->DC62,2023-01-01,16998
DC36,DC64,DC36->DC64,2023-01-01,0
DC36,DC65,DC36->DC65,2023-01-01,0
DC36,DC70,DC36->DC70,2023-01-01,1118
DC36,DC8,DC36->DC8,2023-01-01,220
DC36,DC81,DC36->DC81,2023-01-01,0
DC36,DC9,DC36->DC9,2023-01-01,0
DC37,DC10,DC37->DC10,2023-01-01,0
DC37,DC14,DC37->DC14,2023-01-01,0
DC37,DC3,DC37->DC3,2023-01-01,0
DC37,DC4,DC37->DC4,2023-01-01,0
DC37,DC5,DC37->DC5,2023-01-01,0
DC37,DC54,DC37->DC54,2023-01-01,0
DC37,DC62,DC37->DC62,2023-01-01,0
DC37,DC8,DC37->DC8,2023-01-01,0
DC37,DC9,DC37->DC9,2023-01-01,0
DC38,DC10,DC38->DC10,2023-01-01,4428
DC38,DC12,DC38->DC12,2023-01-01,0
DC38,DC14,DC38->DC14,2023-01-01,4222
DC38,DC22,DC38->DC22,2023-01-01,0
DC38,DC3,DC38->DC3,2023-01-01,0
DC38,DC32,DC38->DC32,2023-01-01,0
DC38,DC34,DC38->DC34,2023-01-01,0
DC38,DC35,DC38->DC35,2023-01-01,409
DC38,DC4,DC38->DC4,2023-01-01,12363
DC38,DC40,DC38->DC40,2023-01-01,0
DC38,DC5,DC38->DC5,2023-01-01,2227
DC38,DC62,DC38->DC62,2023-01-01,4719
DC38,DC64,DC38->DC64,2023-01-01,0
DC38,DC65,DC38->DC65,2023-01-01,0
DC38,DC70,DC38->DC70,2023-01-01,977
DC38,DC8,DC38->DC8,2023-01-01,72
DC38,DC81,DC38->DC81,2023-01-01,0
DC38,DC9,DC38->DC9,2023-01-01,0
DC39,DC10,DC39->DC10,2023-01-01,0
DC39,DC14,DC39->DC14,2023-01-01,0
DC39,DC4,DC39->DC4,2023-01-01,0
DC39,DC5,DC39->DC5,2023-01-01,0
DC39,DC8,DC39->DC8,2023-01-01,0
DC39,DC9,DC39->DC9,2023-01-01,0
DC4,DC10,DC4->DC10,2023-01-01,23
DC4,DC14,DC4->DC14,2023-01-01,59
DC4,DC17,DC4->DC17,2023-01-01,0
DC4,DC19,DC4->DC19,2023-01-01,0
DC4,DC20,DC4->DC20,2023-01-01,0
DC4,DC21,DC4->DC21,2023-01-01,0
DC4,DC22,DC4->DC22,2023-01-01,0
DC4,DC23,DC4->DC23,2023-01-01,0
DC4,DC3,DC4->DC3,2023-01-01,0
DC4,DC30,DC4->DC30,2023-01-01,0
DC4,DC34,DC4->DC34,2023-01-01,0
DC4,DC35,DC4->DC35,2023-01-01,0
DC4,DC36,DC4->DC36,2023-01-01,0
DC4,DC38,DC4->DC38,2023-01-01,0
DC4,DC40,DC4->DC40,2023-01-01,0
DC4,DC5,DC4->DC5,2023-01-01,6
DC4,DC62,DC4->DC62,2023-01-01,42
DC4,DC64,DC4->DC64,2023-01-01,0
DC4,DC65,DC4->DC65,2023-01-01,0
DC4,DC70,DC4->DC70,2023-01-01,0
DC4,DC8,DC4->DC8,2023-01-01,69
DC4,DC9,DC4->DC9,2023-01-01,0
DC40,DC10,DC40->DC10,2023-01-01,5
DC40,DC12,DC40->DC12,2023-01-01,0
DC40,DC14,DC40->DC14,2023-01-01,3
DC40,DC21,DC40->DC21,2023-01-01,0
DC40,DC22,DC40->DC22,2023-01-01,0
DC40,DC3,DC40->DC3,2023-01-01,0
DC40,DC30,DC40->DC30,2023-01-01,0
DC40,DC32,DC40->DC32,2023-01-01,0
DC40,DC34,DC40->DC34,2023-01-01,0
DC40,DC35,DC40->DC35,2023-01-01,2229
DC40,DC4,DC40->DC4,2023-01-01,12
DC40,DC5,DC40->DC5,2023-01-01,4
DC40,DC62,DC40->DC62,2023-01-01,14
DC40,DC67,DC40->DC67,2023-01-01,0
DC40,DC70,DC40->DC70,2023-01-01,3039
DC40,DC8,DC40->DC8,2023-01-01,0
DC40,DC9,DC40->DC9,2023-01-01,0
DC41,DC10,DC41->DC10,2023-01-01,0
DC41,DC12,DC41->DC12,2023-01-01,0
DC41,DC14,DC41->DC14,2023-01-01,0
DC41,DC29,DC41->DC29,2023-01-01,0
DC41,DC3,DC41->DC3,2023-01-01,0
DC41,DC35,DC41->DC35,2023-01-01,0
DC41,DC40,DC41->DC40,2023-01-01,0
DC41,DC5,DC41->DC5,2023-01-01,0
DC41,DC81,DC41->DC81,2023-01-01,0
DC41,DC9,DC41->DC9,2023-01-01,0
DC42,DC10,DC42->DC10,2023-01-01,1059
DC42,DC12,DC42->DC12,2023-01-01,0
DC42,DC14,DC42->DC14,2023-01-01,1197
DC42,DC29,DC42->DC29,2023-01-01,0
DC42,DC3,DC42->DC3,2023-01-01,0
DC42,DC32,DC42->DC32,2023-01-01,0
DC42,DC34,DC42->DC34,2023-01-01,0
DC42,DC35,DC42->DC35,2023-01-01,25
