场地1,场地2,edge,日期,预测货量
DC10,DC13,DC10->DC13,2023-01-24,0
DC10,DC13,DC10->DC13,2023-01-25,0
DC10,DC13,DC10->DC13,2023-01-26,0
DC10,DC13,DC10->DC13,2023-01-27,0
DC10,DC13,DC10->DC13,2023-01-28,0
DC10,DC13,DC10->DC13,2023-01-29,0
DC10,DC13,DC10->DC13,2023-01-30,0
DC10,DC13,DC10->DC13,2023-01-31,0
DC10,DC14,DC10->DC14,2023-01-01,5565
DC10,DC14,DC10->DC14,2023-01-02,8941
DC10,DC14,DC10->DC14,2023-01-03,8894
DC10,DC14,DC10->DC14,2023-01-04,9154
DC10,DC14,DC10->DC14,2023-01-05,11544
DC10,DC14,DC10->DC14,2023-01-06,8964
DC10,DC14,DC10->DC14,2023-01-07,9127
DC10,DC14,DC10->DC14,2023-01-08,9368
DC10,DC14,DC10->DC14,2023-01-09,8652
DC10,DC14,DC10->DC14,2023-01-10,10929
DC10,DC14,DC10->DC14,2023-01-11,10485
DC10,DC14,DC10->DC14,2023-01-12,11078
DC10,DC14,DC10->DC14,2023-01-13,13231
DC10,DC14,DC10->DC14,2023-01-14,13712
DC10,DC14,DC10->DC14,2023-01-15,10071
DC10,DC14,DC10->DC14,2023-01-16,7801
DC10,DC14,DC10->DC14,2023-01-17,9161
DC10,DC14,DC10->DC14,2023-01-18,8218
DC10,DC14,DC10->DC14,2023-01-19,8325
DC10,DC14,DC10->DC14,2023-01-20,7276
DC10,DC14,DC10->DC14,2023-01-21,6382
DC10,DC14,DC10->DC14,2023-01-22,5628
DC10,DC14,DC10->DC14,2023-01-23,6695
DC10,DC14,DC10->DC14,2023-01-24,7545
DC10,DC14,DC10->DC14,2023-01-25,6019
DC10,DC14,DC10->DC14,2023-01-26,6487
DC10,DC14,DC10->DC14,2023-01-27,5703
DC10,DC14,DC10->DC14,2023-01-28,7363
DC10,DC14,DC10->DC14,2023-01-29,6066
DC10,DC14,DC10->DC14,2023-01-30,6366
DC10,DC14,DC10->DC14,2023-01-31,8285
DC10,DC17,DC10->DC17,2023-01-01,0
DC10,DC17,DC10->DC17,2023-01-02,0
DC10,DC17,DC10->DC17,2023-01-03,0
DC10,DC17,DC10->DC17,2023-01-04,0
DC10,DC17,DC10->DC17,2023-01-05,0
DC10,DC17,DC10->DC17,2023-01-06,0
DC10,DC17,DC10->DC17,2023-01-07,0
DC10,DC17,DC10->DC17,2023-01-08,0
DC10,DC17,DC10->DC17,2023-01-09,0
DC10,DC17,DC10->DC17,2023-01-10,0
DC10,DC17,DC10->DC17,2023-01-11,0
DC10,DC17,DC10->DC17,2023-01-12,0
DC10,DC17,DC10->DC17,2023-01-13,0
DC10,DC17,DC10->DC17,2023-01-14,0
DC10,DC17,DC10->DC17,2023-01-15,1
DC10,DC17,DC10->DC17,2023-01-16,0
DC10,DC17,DC10->DC17,2023-01-17,0
DC10,DC17,DC10->DC17,2023-01-18,0
DC10,DC17,DC10->DC17,2023-01-19,0
DC10,DC17,DC10->DC17,2023-01-20,0
DC10,DC17,DC10->DC17,2023-01-21,0
DC10,DC17,DC10->DC17,2023-01-22,0
DC10,DC17,DC10->DC17,2023-01-23,0
DC10,DC17,DC10->DC17,2023-01-24,0
DC10,DC17,DC10->DC17,2023-01-25,0
DC10,DC17,DC10->DC17,2023-01-26,0
DC10,DC17,DC10->DC17,2023-01-27,0
DC10,DC17,DC10->DC17,2023-01-28,0
DC10,DC17,DC10->DC17,2023-01-29,0
DC10,DC17,DC10->DC17,2023-01-30,0
DC10,DC17,DC10->DC17,2023-01-31,0
DC10,DC19,DC10->DC19,2023-01-01,0
DC10,DC19,DC10->DC19,2023-01-02,0
DC10,DC19,DC10->DC19,2023-01-03,0
DC10,DC19,DC10->DC19,2023-01-04,0
DC10,DC19,DC10->DC19,2023-01-05,0
DC10,DC19,DC10->DC19,2023-01-06,0
DC10,DC19,DC10->DC19,2023-01-07,0
DC10,DC19,DC10->DC19,2023-01-08,0
DC10,DC19,DC10->DC19,2023-01-09,0
DC10,DC19,DC10->DC19,2023-01-10,0
DC10,DC19,DC10->DC19,2023-01-11,0
DC10,DC19,DC10->DC19,2023-01-12,0
DC10,DC19,DC10->DC19,2023-01-13,0
DC10,DC19,DC10->DC19,2023-01-14,0
DC10,DC19,DC10->DC19,2023-01-15,0
DC10,DC19,DC10->DC19,2023-01-16,0
DC10,DC19,DC10->DC19,2023-01-17,0
DC10,DC19,DC10->DC19,2023-01-18,0
DC10,DC19,DC10->DC19,2023-01-19,0
DC10,DC19,DC10->DC19,2023-01-20,0
DC10,DC19,DC10->DC19,2023-01-21,0
DC10,DC19,DC10->DC19,2023-01-22,0
DC10,DC19,DC10->DC19,2023-01-23,0
DC10,DC19,DC10->DC19,2023-01-24,0
DC10,DC19,DC10->DC19,2023-01-25,0
DC10,DC19,DC10->DC19,2023-01-26,0
DC10,DC19,DC10->DC19,2023-01-27,0
DC10,DC19,DC10->DC19,2023-01-28,0
DC10,DC19,DC10->DC19,2023-01-29,0
DC10,DC19,DC10->DC19,2023-01-30,0
DC10,DC19,DC10->DC19,2023-01-31,0
DC10,DC20,DC10->DC20,2023-01-01,0
DC10,DC20,DC10->DC20,2023-01-02,0
DC10,DC20,DC10->DC20,2023-01-03,0
DC10,DC20,DC10->DC20,2023-01-04,0
DC10,DC20,DC10->DC20,2023-01-05,0
DC10,DC20,DC10->DC20,2023-01-06,0
DC10,DC20,DC10->DC20,2023-01-07,0
DC10,DC20,DC10->DC20,2023-01-08,0
DC10,DC20,DC10->DC20,2023-01-09,0
DC10,DC20,DC10->DC20,2023-01-10,0
DC10,DC20,DC10->DC20,2023-01-11,0
DC10,DC20,DC10->DC20,2023-01-12,0
DC10,DC20,DC10->DC20,2023-01-13,0
DC10,DC20,DC10->DC20,2023-01-14,0
DC10,DC20,DC10->DC20,2023-01-15,0
DC10,DC20,DC10->DC20,2023-01-16,0
DC10,DC20,DC10->DC20,2023-01-17,0
DC10,DC20,DC10->DC20,2023-01-18,0
DC10,DC20,DC10->DC20,2023-01-19,0
DC10,DC20,DC10->DC20,2023-01-20,0
DC10,DC20,DC10->DC20,2023-01-21,0
DC10,DC20,DC10->DC20,2023-01-22,0
DC10,DC20,DC10->DC20,2023-01-23,0
DC10,DC20,DC10->DC20,2023-01-24,0
DC10,DC20,DC10->DC20,2023-01-25,0
DC10,DC20,DC10->DC20,2023-01-26,0
DC10,DC20,DC10->DC20,2023-01-27,0
DC10,DC20,DC10->DC20,2023-01-28,0
DC10,DC20,DC10->DC20,2023-01-29,0
DC10,DC20,DC10->DC20,2023-01-30,0
DC10,DC20,DC10->DC20,2023-01-31,0
DC10,DC21,DC10->DC21,2023-01-01,0
DC10,DC21,DC10->DC21,2023-01-02,0
DC10,DC21,DC10->DC21,2023-01-03,0
DC10,DC21,DC10->DC21,2023-01-04,1
DC10,DC21,DC10->DC21,2023-01-05,0
DC10,DC21,DC10->DC21,2023-01-06,1
DC10,DC21,DC10->DC21,2023-01-07,1
DC10,DC21,DC10->DC21,2023-01-08,3
DC10,DC21,DC10->DC21,2023-01-09,1
DC10,DC21,DC10->DC21,2023-01-10,0
DC10,DC21,DC10->DC21,2023-01-11,0
DC10,DC21,DC10->DC21,2023-01-12,0
DC10,DC21,DC10->DC21,2023-01-13,1
DC10,DC21,DC10->DC21,2023-01-14,0
DC10,DC21,DC10->DC21,2023-01-15,0
DC10,DC21,DC10->DC21,2023-01-16,3
DC10,DC21,DC10->DC21,2023-01-17,0
DC10,DC21,DC10->DC21,2023-01-18,0
DC10,DC21,DC10->DC21,2023-01-19,0
DC10,DC21,DC10->DC21,2023-01-20,2
DC10,DC21,DC10->DC21,2023-01-21,0
DC10,DC21,DC10->DC21,2023-01-22,0
DC10,DC21,DC10->DC21,2023-01-23,0
DC10,DC21,DC10->DC21,2023-01-24,0
DC10,DC21,DC10->DC21,2023-01-25,0
DC10,DC21,DC10->DC21,2023-01-26,0
DC10,DC21,DC10->DC21,2023-01-27,0
DC10,DC21,DC10->DC21,2023-01-28,0
DC10,DC21,DC10->DC21,2023-01-29,0
DC10,DC21,DC10->DC21,2023-01-30,0
DC10,DC21,DC10->DC21,2023-01-31,0
DC10,DC22,DC10->DC22,2023-01-01,4
DC10,DC22,DC10->DC22,2023-01-02,0
DC10,DC22,DC10->DC22,2023-01-03,0
DC10,DC22,DC10->DC22,2023-01-04,0
DC10,DC22,DC10->DC22,2023-01-05,0
DC10,DC22,DC10->DC22,2023-01-06,0
DC10,DC22,DC10->DC22,2023-01-07,4
DC10,DC22,DC10->DC22,2023-01-08,0
DC10,DC22,DC10->DC22,2023-01-09,0
DC10,DC22,DC10->DC22,2023-01-10,0
DC10,DC22,DC10->DC22,2023-01-11,0
DC10,DC22,DC10->DC22,2023-01-12,0
DC10,DC22,DC10->DC22,2023-01-13,0
DC10,DC22,DC10->DC22,2023-01-14,0
DC10,DC22,DC10->DC22,2023-01-15,0
DC10,DC22,DC10->DC22,2023-01-16,3
DC10,DC22,DC10->DC22,2023-01-17,0
DC10,DC22,DC10->DC22,2023-01-18,0
DC10,DC22,DC10->DC22,2023-01-19,0
DC10,DC22,DC10->DC22,2023-01-20,0
DC10,DC22,DC10->DC22,2023-01-21,1
DC10,DC22,DC10->DC22,2023-01-22,1
DC10,DC22,DC10->DC22,2023-01-23,0
DC10,DC22,DC10->DC22,2023-01-24,0
DC10,DC22,DC10->DC22,2023-01-25,0
DC10,DC22,DC10->DC22,2023-01-26,0
DC10,DC22,DC10->DC22,2023-01-27,0
DC10,DC22,DC10->DC22,2023-01-28,1
DC10,DC22,DC10->DC22,2023-01-29,0
DC10,DC22,DC10->DC22,2023-01-30,0
DC10,DC22,DC10->DC22,2023-01-31,0
DC10,DC23,DC10->DC23,2023-01-01,0
DC10,DC23,DC10->DC23,2023-01-02,0
DC10,DC23,DC10->DC23,2023-01-03,1
DC10,DC23,DC10->DC23,2023-01-04,0
DC10,DC23,DC10->DC23,2023-01-05,0
DC10,DC23,DC10->DC23,2023-01-06,0
DC10,DC23,DC10->DC23,2023-01-07,0
DC10,DC23,DC10->DC23,2023-01-08,0
DC10,DC23,DC10->DC23,2023-01-09,2
DC10,DC23,DC10->DC23,2023-01-10,0
DC10,DC23,DC10->DC23,2023-01-11,0
DC10,DC23,DC10->DC23,2023-01-12,2
DC10,DC23,DC10->DC23,2023-01-13,0
DC10,DC23,DC10->DC23,2023-01-14,0
DC10,DC23,DC10->DC23,2023-01-15,0
DC10,DC23,DC10->DC23,2023-01-16,0
DC10,DC23,DC10->DC23,2023-01-17,0
DC10,DC23,DC10->DC23,2023-01-18,0
DC10,DC23,DC10->DC23,2023-01-19,0
DC10,DC23,DC10->DC23,2023-01-20,0
DC10,DC23,DC10->DC23,2023-01-21,0
DC10,DC23,DC10->DC23,2023-01-22,0
DC10,DC23,DC10->DC23,2023-01-23,0
DC10,DC23,DC10->DC23,2023-01-24,1
DC10,DC23,DC10->DC23,2023-01-25,0
DC10,DC23,DC10->DC23,2023-01-26,0
DC10,DC23,DC10->DC23,2023-01-27,0
DC10,DC23,DC10->DC23,2023-01-28,0
DC10,DC23,DC10->DC23,2023-01-29,0
DC10,DC23,DC10->DC23,2023-01-30,0
DC10,DC23,DC10->DC23,2023-01-31,0
DC10,DC25,DC10->DC25,2023-01-01,0
DC10,DC25,DC10->DC25,2023-01-02,0
DC10,DC25,DC10->DC25,2023-01-03,0
DC10,DC25,DC10->DC25,2023-01-04,0
DC10,DC25,DC10->DC25,2023-01-05,0
DC10,DC25,DC10->DC25,2023-01-06,0
DC10,DC25,DC10->DC25,2023-01-07,0
DC10,DC25,DC10->DC25,2023-01-08,0
DC10,DC25,DC10->DC25,2023-01-09,0
DC10,DC25,DC10->DC25,2023-01-10,0
DC10,DC25,DC10->DC25,2023-01-11,0
DC10,DC25,DC10->DC25,2023-01-12,0
DC10,DC25,DC10->DC25,2023-01-13,0
DC10,DC25,DC10->DC25,2023-01-14,0
DC10,DC25,DC10->DC25,2023-01-15,0
DC10,DC25,DC10->DC25,2023-01-16,0
DC10,DC25,DC10->DC25,2023-01-17,0
DC10,DC25,DC10->DC25,2023-01-18,0
DC10,DC25,DC10->DC25,2023-01-19,0
DC10,DC25,DC10->DC25,2023-01-20,0
DC10,DC25,DC10->DC25,2023-01-21,0
DC10,DC25,DC10->DC25,2023-01-22,0
DC10,DC25,DC10->DC25,2023-01-23,0
DC10,DC25,DC10->DC25,2023-01-24,0
DC10,DC25,DC10->DC25,2023-01-25,0
DC10,DC25,DC10->DC25,2023-01-26,0
DC10,DC25,DC10->DC25,2023-01-27,0
DC10,DC25,DC10->DC25,2023-01-28,0
DC10,DC25,DC10->DC25,2023-01-29,0
DC10,DC25,DC10->DC25,2023-01-30,0
DC10,DC25,DC10->DC25,2023-01-31,0
DC10,DC27,DC10->DC27,2023-01-01,0
DC10,DC27,DC10->DC27,2023-01-02,0
DC10,DC27,DC10->DC27,2023-01-03,0
DC10,DC27,DC10->DC27,2023-01-04,0
DC10,DC27,DC10->DC27,2023-01-05,0
DC10,DC27,DC10->DC27,2023-01-06,0
DC10,DC27,DC10->DC27,2023-01-07,0
DC10,DC27,DC10->DC27,2023-01-08,0
DC10,DC27,DC10->DC27,2023-01-09,0
DC10,DC27,DC10->DC27,2023-01-10,0
DC10,DC27,DC10->DC27,2023-01-11,0
DC10,DC27,DC10->DC27,2023-01-12,0
DC10,DC27,DC10->DC27,2023-01-13,0
DC10,DC27,DC10->DC27,2023-01-14,0
DC10,DC27,DC10->DC27,2023-01-15,0
DC10,DC27,DC10->DC27,2023-01-16,0
DC10,DC27,DC10->DC27,2023-01-17,0
DC10,DC27,DC10->DC27,2023-01-18,0
DC10,DC27,DC10->DC27,2023-01-19,0
DC10,DC27,DC10->DC27,2023-01-20,0
DC10,DC27,DC10->DC27,2023-01-21,0
DC10,DC27,DC10->DC27,2023-01-22,0
DC10,DC27,DC10->DC27,2023-01-23,0
DC10,DC27,DC10->DC27,2023-01-24,0
DC10,DC27,DC10->DC27,2023-01-25,0
DC10,DC27,DC10->DC27,2023-01-26,0
DC10,DC27,DC10->DC27,2023-01-27,0
DC10,DC27,DC10->DC27,2023-01-28,0
DC10,DC27,DC10->DC27,2023-01-29,0
DC10,DC27,DC10->DC27,2023-01-30,0
DC10,DC27,DC10->DC27,2023-01-31,0
DC10,DC28,DC10->DC28,2023-01-01,0
DC10,DC28,DC10->DC28,2023-01-02,0
DC10,DC28,DC10->DC28,2023-01-03,0
DC10,DC28,DC10->DC28,2023-01-04,0
DC10,DC28,DC10->DC28,2023-01-05,0
DC10,DC28,DC10->DC28,2023-01-06,0
DC10,DC28,DC10->DC28,2023-01-07,0
DC10,DC28,DC10->DC28,2023-01-08,0
DC10,DC28,DC10->DC28,2023-01-09,0
DC10,DC28,DC10->DC28,2023-01-10,0
DC10,DC28,DC10->DC28,2023-01-11,0
DC10,DC28,DC10->DC28,2023-01-12,0
DC10,DC28,DC10->DC28,2023-01-13,2
DC10,DC28,DC10->DC28,2023-01-14,0
DC10,DC28,DC10->DC28,2023-01-15,0
DC10,DC28,DC10->DC28,2023-01-16,0
DC10,DC28,DC10->DC28,2023-01-17,0
DC10,DC28,DC10->DC28,2023-01-18,0
DC10,DC28,DC10->DC28,2023-01-19,0
DC10,DC28,DC10->DC28,2023-01-20,0
DC10,DC28,DC10->DC28,2023-01-21,0
DC10,DC28,DC10->DC28,2023-01-22,0
DC10,DC28,DC10->DC28,2023-01-23,0
DC10,DC28,DC10->DC28,2023-01-24,0
DC10,DC28,DC10->DC28,2023-01-25,0
DC10,DC28,DC10->DC28,2023-01-26,0
DC10,DC28,DC10->DC28,2023-01-27,0
DC10,DC28,DC10->DC28,2023-01-28,0
DC10,DC28,DC10->DC28,2023-01-29,0
DC10,DC28,DC10->DC28,2023-01-30,0
DC10,DC28,DC10->DC28,2023-01-31,0
DC10,DC3,DC10->DC3,2023-01-01,1818
DC10,DC3,DC10->DC3,2023-01-02,3685
DC10,DC3,DC10->DC3,2023-01-03,5027
DC10,DC3,DC10->DC3,2023-01-04,3001
DC10,DC3,DC10->DC3,2023-01-05,1872
DC10,DC3,DC10->DC3,2023-01-06,2986
DC10,DC3,DC10->DC3,2023-01-07,2802
DC10,DC3,DC10->DC3,2023-01-08,3086
DC10,DC3,DC10->DC3,2023-01-09,3858
DC10,DC3,DC10->DC3,2023-01-10,1565
DC10,DC3,DC10->DC3,2023-01-11,3558
DC10,DC3,DC10->DC3,2023-01-12,2016
DC10,DC3,DC10->DC3,2023-01-13,2814
DC10,DC3,DC10->DC3,2023-01-14,2508
DC10,DC3,DC10->DC3,2023-01-15,1412
DC10,DC3,DC10->DC3,2023-01-16,1715
DC10,DC3,DC10->DC3,2023-01-17,2030
DC10,DC3,DC10->DC3,2023-01-18,3627
DC10,DC3,DC10->DC3,2023-01-19,993
DC10,DC3,DC10->DC3,2023-01-20,1424
DC10,DC3,DC10->DC3,2023-01-21,932
DC10,DC3,DC10->DC3,2023-01-22,419
DC10,DC3,DC10->DC3,2023-01-23,1122
DC10,DC3,DC10->DC3,2023-01-24,1398
DC10,DC3,DC10->DC3,2023-01-25,856
DC10,DC3,DC10->DC3,2023-01-26,654
DC10,DC3,DC10->DC3,2023-01-27,918
DC10,DC3,DC10->DC3,2023-01-28,1044
DC10,DC3,DC10->DC3,2023-01-29,2458
DC10,DC3,DC10->DC3,2023-01-30,1520
DC10,DC3,DC10->DC3,2023-01-31,1306
DC10,DC30,DC10->DC30,2023-01-01,0
DC10,DC30,DC10->DC30,2023-01-02,0
DC10,DC30,DC10->DC30,2023-01-03,0
DC10,DC30,DC10->DC30,2023-01-04,1
DC10,DC30,DC10->DC30,2023-01-05,2
DC10,DC30,DC10->DC30,2023-01-06,0
DC10,DC30,DC10->DC30,2023-01-07,0
DC10,DC30,DC10->DC30,2023-01-08,0
DC10,DC30,DC10->DC30,2023-01-09,0
DC10,DC30,DC10->DC30,2023-01-10,0
DC10,DC30,DC10->DC30,2023-01-11,0
DC10,DC30,DC10->DC30,2023-01-12,0
DC10,DC30,DC10->DC30,2023-01-13,0
DC10,DC30,DC10->DC30,2023-01-14,0
DC10,DC30,DC10->DC30,2023-01-15,1
DC10,DC30,DC10->DC30,2023-01-16,0
DC10,DC30,DC10->DC30,2023-01-17,0
DC10,DC30,DC10->DC30,2023-01-18,2
DC10,DC30,DC10->DC30,2023-01-19,0
DC10,DC30,DC10->DC30,2023-01-20,0
DC10,DC30,DC10->DC30,2023-01-21,0
DC10,DC30,DC10->DC30,2023-01-22,0
DC10,DC30,DC10->DC30,2023-01-23,0
DC10,DC30,DC10->DC30,2023-01-24,0
DC10,DC30,DC10->DC30,2023-01-25,1
DC10,DC30,DC10->DC30,2023-01-26,0
DC10,DC30,DC10->DC30,2023-01-27,0
DC10,DC30,DC10->DC30,2023-01-28,0
DC10,DC30,DC10->DC30,2023-01-29,0
DC10,DC30,DC10->DC30,2023-01-30,0
DC10,DC30,DC10->DC30,2023-01-31,0
DC10,DC32,DC10->DC32,2023-01-01,10
DC10,DC32,DC10->DC32,2023-01-02,2
DC10,DC32,DC10->DC32,2023-01-03,0
DC10,DC32,DC10->DC32,2023-01-04,11
DC10,DC32,DC10->DC32,2023-01-05,2
DC10,DC32,DC10->DC32,2023-01-06,1
DC10,DC32,DC10->DC32,2023-01-07,0
DC10,DC32,DC10->DC32,2023-01-08,6
DC10,DC32,DC10->DC32,2023-01-09,3
DC10,DC32,DC10->DC32,2023-01-10,5
DC10,DC32,DC10->DC32,2023-01-11,2
DC10,DC32,DC10->DC32,2023-01-12,0
DC10,DC32,DC10->DC32,2023-01-13,4
DC10,DC32,DC10->DC32,2023-01-14,2
DC10,DC32,DC10->DC32,2023-01-15,2
DC10,DC32,DC10->DC32,2023-01-16,2
DC10,DC32,DC10->DC32,2023-01-17,0
DC10,DC32,DC10->DC32,2023-01-18,0
DC10,DC32,DC10->DC32,2023-01-19,11
DC10,DC32,DC10->DC32,2023-01-20,10
DC10,DC32,DC10->DC32,2023-01-21,0
DC10,DC32,DC10->DC32,2023-01-22,1
DC10,DC32,DC10->DC32,2023-01-23,0
DC10,DC32,DC10->DC32,2023-01-24,0
DC10,DC32,DC10->DC32,2023-01-25,6
DC10,DC32,DC10->DC32,2023-01-26,5
DC10,DC32,DC10->DC32,2023-01-27,1
DC10,DC32,DC10->DC32,2023-01-28,0
DC10,DC32,DC10->DC32,2023-01-29,3
DC10,DC32,DC10->DC32,2023-01-30,3
DC10,DC32,DC10->DC32,2023-01-31,4
DC10,DC33,DC10->DC33,2023-01-01,0
DC10,DC33,DC10->DC33,2023-01-02,0
DC10,DC33,DC10->DC33,2023-01-03,1
DC10,DC33,DC10->DC33,2023-01-04,1
DC10,DC33,DC10->DC33,2023-01-05,1
DC10,DC33,DC10->DC33,2023-01-06,4
DC10,DC33,DC10->DC33,2023-01-07,0
DC10,DC33,DC10->DC33,2023-01-08,0
DC10,DC33,DC10->DC33,2023-01-09,0
DC10,DC33,DC10->DC33,2023-01-10,0
DC10,DC33,DC10->DC33,2023-01-11,1
DC10,DC33,DC10->DC33,2023-01-12,1
DC10,DC33,DC10->DC33,2023-01-13,1
DC10,DC33,DC10->DC33,2023-01-14,0
DC10,DC33,DC10->DC33,2023-01-15,0
DC10,DC33,DC10->DC33,2023-01-16,1
DC10,DC33,DC10->DC33,2023-01-17,0
DC10,DC33,DC10->DC33,2023-01-18,1
DC10,DC33,DC10->DC33,2023-01-19,1
DC10,DC33,DC10->DC33,2023-01-20,0
DC10,DC33,DC10->DC33,2023-01-21,0
DC10,DC33,DC10->DC33,2023-01-22,0
DC10,DC33,DC10->DC33,2023-01-23,0
DC10,DC33,DC10->DC33,2023-01-24,0
DC10,DC33,DC10->DC33,2023-01-25,1
DC10,DC33,DC10->DC33,2023-01-26,2
DC10,DC33,DC10->DC33,2023-01-27,0
DC10,DC33,DC10->DC33,2023-01-28,0
DC10,DC33,DC10->DC33,2023-01-29,1
DC10,DC33,DC10->DC33,2023-01-30,0
DC10,DC33,DC10->DC33,2023-01-31,0
DC10,DC34,DC10->DC34,2023-01-01,11
DC10,DC34,DC10->DC34,2023-01-02,0
DC10,DC34,DC10->DC34,2023-01-03,0
DC10,DC34,DC10->DC34,2023-01-04,2
DC10,DC34,DC10->DC34,2023-01-05,26
DC10,DC34,DC10->DC34,2023-01-06,1
DC10,DC34,DC10->DC34,2023-01-07,0
DC10,DC34,DC10->DC34,2023-01-08,1
DC10,DC34,DC10->DC34,2023-01-09,5
DC10,DC34,DC10->DC34,2023-01-10,86
DC10,DC34,DC10->DC34,2023-01-11,22
DC10,DC34,DC10->DC34,2023-01-12,1
DC10,DC34,DC10->DC34,2023-01-13,1
DC10,DC34,DC10->DC34,2023-01-14,2
DC10,DC34,DC10->DC34,2023-01-15,3
DC10,DC34,DC10->DC34,2023-01-16,0
DC10,DC34,DC10->DC34,2023-01-17,0
DC10,DC34,DC10->DC34,2023-01-18,1
DC10,DC34,DC10->DC34,2023-01-19,5
DC10,DC34,DC10->DC34,2023-01-20,5
DC10,DC34,DC10->DC34,2023-01-21,4
DC10,DC34,DC10->DC34,2023-01-22,2
DC10,DC34,DC10->DC34,2023-01-23,0
DC10,DC34,DC10->DC34,2023-01-24,1
DC10,DC34,DC10->DC34,2023-01-25,1
DC10,DC34,DC10->DC34,2023-01-26,0
DC10,DC34,DC10->DC34,2023-01-27,1
DC10,DC34,DC10->DC34,2023-01-28,0
DC10,DC34,DC10->DC34,2023-01-29,1
