sample_id,artifact_id,glass_type,pattern,color,surface_weathering,point_weathering,component_sum,source,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
10,10,高钾,B,蓝绿,风化,风化,99.81,question1_preweathering_prediction,72.49709621205172,0.1095364908779433,15.814892369828373,2.3985081208683114,1.0915327633199374,3.4722520875955176,2.0432129836749686,1.546195998221352,0.2257730882726641,0.1165721945561789,0.3378178451829785,0.1255687800368086,0.1039126664088354,0.1171283991044259
11,11,铅钡,C,浅蓝,风化,风化,95.39,question1_preweathering_prediction,69.22541036772633,0.1539095843045147,0.4911383903556008,1.1918467460069233,0.8273013299072148,4.051434713379172,0.028999384646412,2.645912109734959,10.387601149242938,9.745844522229904,0.7102165125626397,0.341826213644809,0.0994024586953476,0.099156517563241
12,12,高钾,B,蓝绿,风化,风化,99.57000000000002,question1_preweathering_prediction,65.42362087362986,0.1014462743657978,15.939192879542658,5.875849048769615,1.0109136352596926,5.512793592431039,2.0499960503938786,2.6659501133239223,0.209097794476947,0.1079623305218606,0.7821676943778164,0.1162944404124386,0.0962378179372097,0.108477454557264
13,13,高钾,C,浅蓝,无风化,无风化,98.13999999999999,raw_unweathered,59.01,2.86,12.53,8.7,0.0,6.16,2.88,4.73,0.0,0.0,1.27,0.0,0.0,0.0
14,14,高钾,C,深绿,无风化,无风化,99.0,raw_unweathered,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,0.0,0.16,0.0,0.0,0.0
16,16,高钾,C,浅蓝,无风化,无风化,98.40999999999998,raw_unweathered,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0.0,0.0,0.04,0.0,0.0
18,18,高钾,A,深蓝,无风化,无风化,97.24999999999999,raw_unweathered,79.46,0.0,9.42,0.0,1.53,3.05,0.0,0.0,0.0,0.0,1.36,0.07,2.36,0.0
19,19,铅钡,A,未知,风化,风化,98.75999999999999,question1_preweathering_prediction,65.74446512666415,0.1655843812432301,0.1704495633658576,1.076241033000712,0.758196017045739,5.733560641207035,0.4461475621727534,2.0429998519107566,18.8173666864872,3.884695769031557,0.7197598075239195,0.2269129117524184,0.1069426227840318,0.1066780258106454
20,20,铅钡,A,浅蓝,无风化,无风化,88.41,raw_unweathered,37.36,0.0,0.71,0.0,0.0,5.45,1.51,4.78,9.3,23.55,5.75,0.0,0.0,0.0
21,21,高钾,A,蓝绿,无风化,无风化,98.52,raw_unweathered,76.68,0.0,0.0,4.71,1.22,6.19,2.37,3.28,1.0,1.97,1.1,0.0,0.0,0.0
22,22,高钾,B,蓝绿,风化,风化,99.99999999999997,question1_preweathering_prediction,56.19965049278489,0.0889721757164404,10.578905608220786,11.060825846847626,6.560907017339244,11.15752178095243,2.0745267530549465,0.8684512310771799,0.1833865839670038,0.0946870006020242,0.8506279885970559,0.1019945725154105,0.0844041646832822,0.0951387836416695
23未风化点,23,铅钡,A,蓝绿,风化,无风化,96.5,raw_unweathered,53.79,7.92,0.0,0.5,0.71,1.42,0.0,2.99,16.98,11.86,0.0,0.33,0.0,0.0
24,24,铅钡,C,紫,无风化,无风化,98.88000000000001,raw_unweathered,31.94,0.0,0.0,0.47,0.0,1.59,0.0,8.46,29.14,26.23,0.14,0.91,0.0,0.0
25未风化点,25,铅钡,C,浅蓝,风化,无风化,97.06,raw_unweathered,50.61,2.31,0.0,0.63,0.0,1.9,1.55,1.12,31.9,6.65,0.19,0.2,0.0,0.0
26,26,铅钡,C,紫,风化,风化,99.82,question1_preweathering_prediction,48.14550917231827,0.1813101587516996,0.18663739394373,0.5989497762367468,0.1203192667447903,1.3685198514519157,0.03416215473326,6.611931130026523,14.224386842346808,25.248615223286908,0.2850633754983873,0.4712232051877058,0.1170991114543219,2.406273338018943
26严重风化点,26,铅钡,C,紫,风化,风化,99.89000000000001,question1_preweathering_prediction,11.795825705106148,0.2312949342767237,1.1904540832957984,1.5430288927461318,0.1534896725344078,2.7932838294533364,0.0435802019488694,2.924890479913511,18.38470112860553,35.39540345345129,0.6912756435621945,0.7869378942816252,0.1493817636814365,23.91645231714302
27,27,高钾,B,蓝绿,风化,风化,98.81000000000002,question1_preweathering_prediction,67.59991841469095,0.1065938428568714,1.5088267134668691,7.830439427218429,6.7981390845088505,9.691336167910732,1.6569358299331296,2.625148254350347,0.219707796915493,0.1134405355549336,1.512215602940122,0.1221954318573836,0.101121099874967,0.1139817979208988
28未风化点,28,铅钡,A,浅蓝,风化,无风化,98.69000000000003,raw_unweathered,68.08,0.0,0.26,1.34,1.0,4.7,0.41,0.33,17.14,4.04,1.04,0.12,0.23,0.0
29未风化点,29,铅钡,A,浅蓝,风化,无风化,99.88,raw_unweathered,63.3,0.92,0.3,2.98,1.49,14.34,0.81,0.74,12.31,2.03,0.41,0.25,0.0,0.0
30部位1,30,铅钡,A,深蓝,无风化,无风化,97.94999999999999,raw_unweathered,34.34,0.0,1.41,4.49,0.98,4.35,2.12,0.0,39.22,10.29,0.0,0.35,0.4,0.0
30部位2,30,铅钡,A,深蓝,无风化,无风化,98.7,raw_unweathered,36.93,0.0,0.0,4.24,0.51,3.86,2.74,0.0,37.74,10.35,1.41,0.48,0.44,0.0
31,31,铅钡,C,紫,无风化,无风化,98.42999999999999,raw_unweathered,65.91,0.0,0.0,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,0.0,0.0
32,32,铅钡,C,浅绿,无风化,无风化,98.65999999999998,raw_unweathered,69.71,0.0,0.21,0.46,0.0,2.36,1.0,0.11,19.76,4.88,0.17,0.0,0.0,0.0
33,33,铅钡,C,深绿,无风化,无风化,99.96,raw_unweathered,75.51,0.0,0.15,0.64,1.0,2.35,0.0,0.47,16.16,3.55,0.13,0.0,0.0,0.0
34,34,铅钡,C,深绿,风化,风化,97.52,question1_preweathering_prediction,70.5487030678711,0.1472779522760244,0.5306183991892842,0.2780148264566925,0.0977351481435364,2.39003995104842,0.158174223142382,0.810411092770891,18.19152679133202,6.403246956538538,0.0315433036434577,0.2227047893550146,0.0951194211459087,0.0948840770867276
35,35,铅钡,C,浅绿,无风化,无风化,96.21,raw_unweathered,65.91,0.0,0.0,0.38,0.0,1.44,0.17,0.16,22.05,5.68,0.42,0.0,0.0,0.0
36,36,铅钡,C,深绿,风化,风化,97.62999999999998,question1_preweathering_prediction,71.87778665487414,3.1486299125394384,0.3352906149494791,0.1368292788531026,0.0900630541855535,2.1768150425824824,0.1074004348557448,0.3618011963000704,14.98834175513792,6.38550037657544,0.0112305057983705,0.2052227258263936,0.0876526586748618,0.0874357888469966
37,37,铅钡,C,深绿,无风化,无风化,99.97999999999999,raw_unweathered,60.12,0.0,0.23,0.89,0.0,2.72,0.0,3.01,17.24,10.34,1.46,0.31,0.0,3.66
38,38,铅钡,C,深绿,风化,风化,98.57000000000001,question1_preweathering_prediction,66.2831971500656,2.2246296809664443,0.1547292909579561,0.2515001002880614,0.0997491147868013,3.7865722659666914,0.1104545819267129,0.4263986960972883,19.66484967505733,6.399314349281865,0.0424366182920718,0.3622496956584451,0.0970794871503432,0.0968392935043565
39,39,铅钡,C,深绿,风化,风化,98.75999999999999,question1_preweathering_prediction,62.27406963784405,0.1770222130065604,0.1822234602471586,0.4594737278575967,0.1174737423050752,1.0021159913846656,0.0333542272181015,0.5929193244251791,28.652460769428277,5.578018978002297,0.1085713089382217,0.5939200075259189,0.1143297429855216,0.1140468688313773
40,40,铅钡,C,未知,风化,风化,98.57,question1_preweathering_prediction,48.92596841537048,0.2180082126925467,0.2244137060791466,0.9212693624534491,0.1446724688572566,1.1312914903449771,0.1191225467153138,0.0745100093934025,40.58538942424873,6.372117412276222,0.1984409163740385,0.8035433261847617,0.1408005385456798,0.1404521704639882
41,41,铅钡,C,浅绿,风化,风化,93.71,question1_preweathering_prediction,50.76697335840385,0.2048822984813027,1.1388714895619385,2.223834699711548,3.84772399408288,6.63036648444864,0.7296076166175557,0.2030692660975452,23.988491636041903,8.696059314787218,0.7539507821053655,0.5518501114687947,0.1323231708033283,0.1319957773881308
42未风化点1,42,铅钡,A,浅蓝,风化,无风化,98.00999999999999,raw_unweathered,51.26,5.74,0.15,0.79,1.09,3.53,0.0,2.67,21.88,10.47,0.08,0.35,0.0,0.0
42未风化点2,42,铅钡,A,浅蓝,风化,无风化,97.89999999999999,raw_unweathered,51.33,5.68,0.35,0.0,1.16,5.66,0.0,2.72,20.12,10.88,0.0,0.0,0.0,0.0
43部位1,43,铅钡,C,浅蓝,风化,风化,94.68,question1_preweathering_prediction,39.30979337016532,0.2353664671011109,0.2422819788142854,2.696083841624384,1.5462966732566208,5.218568965656094,0.3813872384316165,4.384124255967284,37.36057409030582,7.487385045966621,0.0114567477599707,0.8230347069421122,0.1520113619305106,0.1516352560782316
43部位2,43,铅钡,C,浅蓝,风化,风化,96.67,question1_preweathering_prediction,58.33641805778126,0.2004400040891439,0.2063293102980516,2.79476507599472,1.3966472815747637,6.637896795530655,0.5627218627760979,1.1029403942583798,23.80272150875557,2.899110848681717,1.261536123139975,0.5398847993180544,0.1294541163073102,0.1291338214943012
44未风化点,44,铅钡,A,浅蓝,风化,无风化,99.12,raw_unweathered,60.74,3.06,0.2,2.14,0.0,12.69,0.77,0.43,13.61,5.22,0.0,0.26,0.0,0.0
45,45,铅钡,A,浅蓝,无风化,无风化,98.33999999999999,raw_unweathered,61.28,2.66,0.11,0.84,0.74,5.0,0.0,0.53,15.99,10.96,0.0,0.23,0.0,0.0
46,46,铅钡,A,浅蓝,无风化,无风化,98.63000000000001,raw_unweathered,55.21,0.0,0.25,0.0,1.67,4.79,0.0,0.77,25.25,10.06,0.2,0.43,0.0,0.0
47,47,铅钡,A,浅蓝,无风化,无风化,97.25999999999999,raw_unweathered,51.54,4.66,0.29,0.87,0.61,3.06,0.0,0.65,25.4,9.23,0.1,0.85,0.0,0.0
48,48,铅钡,A,未知,风化,风化,99.16999999999999,question1_preweathering_prediction,74.16977768817341,0.9358051907003796,0.4495404275328573,0.6512883950796944,1.1316179475940995,13.489150958845098,0.2213831186530059,0.0355373225461488,4.352658306338589,3.3166702032332225,0.0607352675985052,0.171970053354603,0.9468768844782092,0.0669882358722046
49,49,铅钡,A,黑,风化,风化,95.49999999999999,question1_preweathering_prediction,64.84314646103181,0.168119339803707,0.1730590038006359,1.6877615043206775,1.7515815690199843,8.692350115961803,0.8996200647762089,0.4596734566381817,15.259427994471435,4.486942521274603,0.916542190838776,0.4448847757796513,0.1085798250072778,0.1083111772752527
49未风化点,49,铅钡,A,黑,风化,无风化,98.24,raw_unweathered,54.61,0.0,0.3,2.08,1.2,6.5,1.27,0.45,23.02,4.19,4.32,0.3,0.0,0.0
50,50,铅钡,A,黑,风化,风化,90.17,question1_preweathering_prediction,52.00004282302266,0.2154301145626893,0.2217598585528933,1.520371984423219,0.8148812151790693,4.004161771095248,0.1745412111589685,0.9056351861046634,25.15502579234373,13.261223380194018,0.6753191150261076,0.7736808474354658,0.1391354746445347,0.1387912262567244
50未风化点,50,铅钡,A,黑,风化,无风化,96.94000000000001,raw_unweathered,45.02,0.0,0.0,3.12,0.54,4.16,0.0,0.7,30.61,6.22,6.34,0.23,0.0,0.0
51部位1,51,铅钡,C,浅蓝,风化,风化,95.32999999999998,question1_preweathering_prediction,58.63022774699523,0.1777255934373812,0.1829475073246264,1.402960163931101,1.521432614062983,8.971038726987421,0.4319791649669313,0.8929128469604897,18.98303428056635,6.916072612012111,0.7093826924696759,0.4115171075447704,0.6542689198427588,0.1145000228981462
51部位2,51,铅钡,C,浅蓝,风化,风化,91.7,question1_preweathering_prediction,59.52190773773262,0.2078503131103316,0.213957348205879,2.331846293311619,2.137939541245227,5.118352199104382,0.2036465907643399,0.6038253927385948,28.30944844667765,0.0894729638466348,0.8953868599217395,0.0982183252042712,0.1342400621580961,0.1339079259786238
52,52,铅钡,C,浅蓝,风化,风化,94.07999999999998,question1_preweathering_prediction,62.274500386995214,2.382828638543267,0.1858212612249486,0.9177296728535964,0.778655355469503,2.145993496317407,0.1122421396754684,0.49357213197956,22.713030128062798,6.7915898925361775,0.5105188417157706,0.4606323988246879,0.116587057496759,0.1162985983048431
53未风化点,53,铅钡,A,浅蓝,风化,无风化,98.25,raw_unweathered,63.66,3.04,0.11,0.78,1.14,6.06,0.0,0.54,13.66,8.99,0.0,0.27,0.0,0.0
54,54,铅钡,C,浅蓝,风化,风化,99.67,question1_preweathering_prediction,54.357369884857256,0.1819279768912104,0.7865481319417358,1.283934698775377,1.666063748675506,7.295035278932177,0.0342785629865223,0.5782613986276557,26.763412766902423,5.5916353599009705,0.3843315013602943,0.8424951452827277,0.1174981291137578,0.1172074157523992
54严重风化点,54,铅钡,C,浅蓝,风化,风化,96.92,question1_preweathering_prediction,51.059213119715984,0.2222257519858508,0.2287551646492401,0.0476696466210027,1.7844023773930346,7.862571876581762,0.0418714018967486,1.0937010782907275,34.45682186008727,0.095661134090603,1.5392744031409835,1.2811384230238427,0.1435244350287554,0.1431693274942012
55,55,铅钡,C,绿,无风化,无风化,96.38000000000001,raw_unweathered,49.01,2.71,0.0,1.13,0.0,1.45,0.0,0.86,32.92,7.95,0.35,0.0,0.0,0.0
56,56,铅钡,C,蓝绿,风化,风化,92.24000000000001,question1_preweathering_prediction,65.39939277450542,0.1674746129647128,0.1723953336683945,0.4706172334279351,0.1111378577406541,3.0812190238475807,0.0315552844991358,0.5094255853770231,18.335985708486238,11.210384717423498,0.2152135803497241,0.0791390484501992,0.10816342837238,0.1078958108871027
57,57,铅钡,C,蓝绿,风化,风化,92.47,question1_preweathering_prediction,59.89676546725421,0.175802010547869,0.1809674059337001,0.5317291851595738,0.1166640035341165,3.7817921929834393,0.0331243187260086,0.7570701907214559,21.03982084449299,13.167830471577972,0.0085573757185954,0.0830741064815698,0.1135416755948641,0.1132607512736393
58,58,铅钡,C,未知,风化,风化,98.75999999999999,question1_preweathering_prediction,65.82681871026385,0.1617136128562464,0.7324462837419572,1.2453418313626388,0.9551017149493044,5.523242694329893,0.2925101429941309,1.785216391858956,16.89169972011705,5.401936091209151,0.7155289766005497,0.2598168649894707,0.1044426881864233,0.1041842765403739
