方案,场地1,场地2,edge,日期,原预测货量,分流增加货量,调整后货量,线路能力,线路负荷率
min_changed_plus_0,DC14,DC20,DC14->DC20,2023-01-01,0,0,0,15,0.0
min_changed_plus_0,DC14,DC21,DC14->DC21,2023-01-01,0,0,0,17,0.0
min_changed_plus_0,DC14,DC22,DC14->DC22,2023-01-01,0,0,0,9,0.0
min_changed_plus_0,DC14,DC23,DC14->DC23,2023-01-01,0,0,0,57,0.0
min_changed_plus_0,DC14,DC25,DC14->DC25,2023-01-01,0,0,0,5,0.0
min_changed_plus_0,DC14,DC3,DC14->DC3,2023-01-01,1,0,1,98905,1.0110712299681513e-05
min_changed_plus_0,DC14,DC30,DC14->DC30,2023-01-01,0,0,0,7,0.0
min_changed_plus_0,DC14,DC32,DC14->DC32,2023-01-01,0,0,0,57,0.0
min_changed_plus_0,DC14,DC33,DC14->DC33,2023-01-01,0,0,0,27,0.0
min_changed_plus_0,DC14,DC34,DC14->DC34,2023-01-01,0,0,0,116,0.0
min_changed_plus_0,DC14,DC35,DC14->DC35,2023-01-01,478,0,478,16350,0.0292354740061162
min_changed_plus_0,DC14,DC36,DC14->DC36,2023-01-01,0,0,0,9,0.0
min_changed_plus_0,DC14,DC38,DC14->DC38,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC14,DC4,DC14->DC4,2023-01-01,238,0,238,172448,0.0013801261829652
min_changed_plus_0,DC14,DC40,DC14->DC40,2023-01-01,0,0,0,7135,0.0
min_changed_plus_0,DC14,DC43,DC14->DC43,2023-01-01,0,0,0,4,0.0
min_changed_plus_0,DC14,DC61,DC14->DC61,2023-01-01,0,0,0,10,0.0
min_changed_plus_0,DC14,DC62,DC14->DC62,2023-01-01,29236,0,29236,124891,0.2340921283359089
min_changed_plus_0,DC14,DC64,DC14->DC64,2023-01-01,0,0,0,45,0.0
min_changed_plus_0,DC14,DC65,DC14->DC65,2023-01-01,0,0,0,121,0.0
min_changed_plus_0,DC14,DC67,DC14->DC67,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC14,DC70,DC14->DC70,2023-01-01,328,0,328,9442,0.0347384028807456
min_changed_plus_0,DC14,DC76,DC14->DC76,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC14,DC78,DC14->DC78,2023-01-01,0,0,0,4,0.0
min_changed_plus_0,DC14,DC8,DC14->DC8,2023-01-01,129973,0,129973,505833,0.2569484395047377
min_changed_plus_0,DC14,DC81,DC14->DC81,2023-01-01,0,0,0,297,0.0
min_changed_plus_0,DC14,DC9,DC14->DC9,2023-01-01,0,15971,15971,439995,0.036298139751588
min_changed_plus_0,DC15,DC10,DC15->DC10,2023-01-01,7222,0,7222,29502,0.2447969629177682
min_changed_plus_0,DC15,DC12,DC15->DC12,2023-01-01,0,0,0,393,0.0
min_changed_plus_0,DC15,DC13,DC15->DC13,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC15,DC14,DC15->DC14,2023-01-01,7141,0,7141,20046,0.3562306694602414
min_changed_plus_0,DC15,DC3,DC15->DC3,2023-01-01,0,3118,3118,10570,0.2949858088930936
min_changed_plus_0,DC15,DC32,DC15->DC32,2023-01-01,0,0,0,224,0.0
min_changed_plus_0,DC15,DC33,DC15->DC33,2023-01-01,0,0,0,56,0.0
min_changed_plus_0,DC15,DC34,DC15->DC34,2023-01-01,0,0,0,6,0.0
min_changed_plus_0,DC15,DC35,DC15->DC35,2023-01-01,3,0,3,951,0.0031545741324921
min_changed_plus_0,DC15,DC4,DC15->DC4,2023-01-01,62,0,62,50163,0.0012359707354025
min_changed_plus_0,DC15,DC40,DC15->DC40,2023-01-01,0,0,0,220,0.0
min_changed_plus_0,DC15,DC62,DC15->DC62,2023-01-01,6973,0,6973,86858,0.0802804577586405
min_changed_plus_0,DC15,DC64,DC15->DC64,2023-01-01,0,0,0,22,0.0
min_changed_plus_0,DC15,DC65,DC15->DC65,2023-01-01,0,0,0,31,0.0
min_changed_plus_0,DC15,DC70,DC15->DC70,2023-01-01,10,0,10,499,0.0200400801603206
min_changed_plus_0,DC15,DC8,DC15->DC8,2023-01-01,16813,0,16813,62804,0.2677058786064581
min_changed_plus_0,DC15,DC81,DC15->DC81,2023-01-01,0,0,0,17,0.0
min_changed_plus_0,DC15,DC9,DC15->DC9,2023-01-01,0,0,0,80194,0.0
min_changed_plus_0,DC16,DC10,DC16->DC10,2023-01-01,0,0,0,12672,0.0
min_changed_plus_0,DC16,DC14,DC16->DC14,2023-01-01,0,0,0,7817,0.0
min_changed_plus_0,DC16,DC35,DC16->DC35,2023-01-01,0,0,0,3837,0.0
min_changed_plus_0,DC16,DC4,DC16->DC4,2023-01-01,0,0,0,13017,0.0
min_changed_plus_0,DC16,DC62,DC16->DC62,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC16,DC70,DC16->DC70,2023-01-01,0,0,0,297,0.0
min_changed_plus_0,DC16,DC8,DC16->DC8,2023-01-01,0,0,0,37,0.0
min_changed_plus_0,DC17,DC10,DC17->DC10,2023-01-01,15743,0,15743,235018,0.06698635849169
min_changed_plus_0,DC17,DC12,DC17->DC12,2023-01-01,0,0,0,2032,0.0
min_changed_plus_0,DC17,DC14,DC17->DC14,2023-01-01,12524,0,12524,62548,0.2002302231885911
min_changed_plus_0,DC17,DC20,DC17->DC20,2023-01-01,0,0,0,1,0.0
min_changed_plus_0,DC17,DC29,DC17->DC29,2023-01-01,0,0,0,9,0.0
min_changed_plus_0,DC17,DC3,DC17->DC3,2023-01-01,1,0,1,50008,1.999680051191809e-05
min_changed_plus_0,DC17,DC32,DC17->DC32,2023-01-01,0,0,0,17,0.0
min_changed_plus_0,DC17,DC34,DC17->DC34,2023-01-01,0,0,0,27,0.0
min_changed_plus_0,DC17,DC35,DC17->DC35,2023-01-01,163,0,163,10831,0.0150493952543624
min_changed_plus_0,DC17,DC4,DC17->DC4,2023-01-01,37086,0,37086,245699,0.1509407852697813
min_changed_plus_0,DC17,DC40,DC17->DC40,2023-01-01,0,0,0,1332,0.0
min_changed_plus_0,DC17,DC61,DC17->DC61,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC17,DC62,DC17->DC62,2023-01-01,16211,8486,24697,58564,0.4217095826787788
min_changed_plus_0,DC17,DC64,DC17->DC64,2023-01-01,0,0,0,10,0.0
min_changed_plus_0,DC17,DC65,DC17->DC65,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC17,DC70,DC17->DC70,2023-01-01,165,0,165,3561,0.046335299073294
min_changed_plus_0,DC17,DC8,DC17->DC8,2023-01-01,181,0,181,64262,0.0028165945659954
min_changed_plus_0,DC17,DC81,DC17->DC81,2023-01-01,0,0,0,113,0.0
min_changed_plus_0,DC17,DC9,DC17->DC9,2023-01-01,0,0,0,1205,0.0
min_changed_plus_0,DC18,DC10,DC18->DC10,2023-01-01,0,0,0,27506,0.0
min_changed_plus_0,DC18,DC14,DC18->DC14,2023-01-01,0,0,0,15975,0.0
min_changed_plus_0,DC18,DC23,DC18->DC23,2023-01-01,0,0,0,4,0.0
min_changed_plus_0,DC18,DC4,DC18->DC4,2023-01-01,0,0,0,43771,0.0
min_changed_plus_0,DC18,DC62,DC18->DC62,2023-01-01,0,0,0,9843,0.0
min_changed_plus_0,DC18,DC8,DC18->DC8,2023-01-01,0,0,0,135,0.0
min_changed_plus_0,DC19,DC10,DC19->DC10,2023-01-01,12994,0,12994,161384,0.080516036286125
min_changed_plus_0,DC19,DC12,DC19->DC12,2023-01-01,0,5906,5906,54761,0.1078504775296287
min_changed_plus_0,DC19,DC14,DC19->DC14,2023-01-01,9862,0,9862,62233,0.15846897948034
min_changed_plus_0,DC19,DC20,DC19->DC20,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC19,DC3,DC19->DC3,2023-01-01,0,0,0,48217,0.0
min_changed_plus_0,DC19,DC32,DC19->DC32,2023-01-01,0,0,0,376,0.0
min_changed_plus_0,DC19,DC34,DC19->DC34,2023-01-01,0,0,0,4,0.0
min_changed_plus_0,DC19,DC35,DC19->DC35,2023-01-01,225,0,225,26184,0.0085930339138405
min_changed_plus_0,DC19,DC36,DC19->DC36,2023-01-01,0,0,0,3,0.0
min_changed_plus_0,DC19,DC4,DC19->DC4,2023-01-01,39445,0,39445,248759,0.1585671272195176
min_changed_plus_0,DC19,DC40,DC19->DC40,2023-01-01,0,0,0,9969,0.0
min_changed_plus_0,DC19,DC62,DC19->DC62,2023-01-01,14651,0,14651,65493,0.2237032965355076
min_changed_plus_0,DC19,DC64,DC19->DC64,2023-01-01,0,0,0,15,0.0
min_changed_plus_0,DC19,DC65,DC19->DC65,2023-01-01,0,0,0,9577,0.0
min_changed_plus_0,DC19,DC70,DC19->DC70,2023-01-01,455,0,455,13506,0.0336887309343995
min_changed_plus_0,DC19,DC8,DC19->DC8,2023-01-01,155,0,155,67105,0.0023098129796587
min_changed_plus_0,DC19,DC81,DC19->DC81,2023-01-01,0,0,0,1202,0.0
min_changed_plus_0,DC19,DC9,DC19->DC9,2023-01-01,0,0,0,918,0.0
min_changed_plus_0,DC2,DC10,DC2->DC10,2023-01-01,0,0,0,41,0.0
min_changed_plus_0,DC2,DC14,DC2->DC14,2023-01-01,0,0,0,34,0.0
min_changed_plus_0,DC2,DC3,DC2->DC3,2023-01-01,0,0,0,30,0.0
min_changed_plus_0,DC2,DC4,DC2->DC4,2023-01-01,0,0,0,106,0.0
min_changed_plus_0,DC2,DC62,DC2->DC62,2023-01-01,0,0,0,29,0.0
min_changed_plus_0,DC2,DC8,DC2->DC8,2023-01-01,0,0,0,62,0.0
min_changed_plus_0,DC2,DC9,DC2->DC9,2023-01-01,0,0,0,164,0.0
min_changed_plus_0,DC20,DC10,DC20->DC10,2023-01-01,9394,0,9394,130546,0.0719593093622171
min_changed_plus_0,DC20,DC12,DC20->DC12,2023-01-01,0,0,0,4561,0.0
min_changed_plus_0,DC20,DC14,DC20->DC14,2023-01-01,8779,0,8779,30502,0.287817192315258
min_changed_plus_0,DC20,DC3,DC20->DC3,2023-01-01,0,5162,5162,14978,0.3446388035785819
min_changed_plus_0,DC20,DC32,DC20->DC32,2023-01-01,0,0,0,111,0.0
min_changed_plus_0,DC20,DC33,DC20->DC33,2023-01-01,0,0,0,4,0.0
min_changed_plus_0,DC20,DC34,DC20->DC34,2023-01-01,0,0,0,4,0.0
min_changed_plus_0,DC20,DC35,DC20->DC35,2023-01-01,12,0,12,13082,0.0009172909341079
min_changed_plus_0,DC20,DC4,DC20->DC4,2023-01-01,26592,0,26592,121795,0.21833408596412
min_changed_plus_0,DC20,DC40,DC20->DC40,2023-01-01,0,0,0,460,0.0
min_changed_plus_0,DC20,DC62,DC20->DC62,2023-01-01,9772,0,9772,32057,0.3048320179679945
min_changed_plus_0,DC20,DC64,DC20->DC64,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC20,DC65,DC20->DC65,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC20,DC70,DC20->DC70,2023-01-01,23,0,23,7097,0.0032408059743553
min_changed_plus_0,DC20,DC76,DC20->DC76,2023-01-01,0,0,0,3,0.0
min_changed_plus_0,DC20,DC8,DC20->DC8,2023-01-01,119,0,119,51548,0.0023085279739272
min_changed_plus_0,DC20,DC81,DC20->DC81,2023-01-01,0,0,0,63,0.0
min_changed_plus_0,DC20,DC9,DC20->DC9,2023-01-01,0,0,0,857,0.0
min_changed_plus_0,DC21,DC10,DC21->DC10,2023-01-01,0,0,0,116981,0.0
min_changed_plus_0,DC21,DC12,DC21->DC12,2023-01-01,0,0,0,1767,0.0
min_changed_plus_0,DC21,DC14,DC21->DC14,2023-01-01,0,0,0,32070,0.0
min_changed_plus_0,DC21,DC20,DC21->DC20,2023-01-01,0,0,0,3,0.0
min_changed_plus_0,DC21,DC3,DC21->DC3,2023-01-01,0,0,0,19506,0.0
min_changed_plus_0,DC21,DC32,DC21->DC32,2023-01-01,0,0,0,40,0.0
min_changed_plus_0,DC21,DC33,DC21->DC33,2023-01-01,0,0,0,3,0.0
min_changed_plus_0,DC21,DC34,DC21->DC34,2023-01-01,0,0,0,4,0.0
min_changed_plus_0,DC21,DC35,DC21->DC35,2023-01-01,0,0,0,6143,0.0
min_changed_plus_0,DC21,DC4,DC21->DC4,2023-01-01,0,0,0,130684,0.0
min_changed_plus_0,DC21,DC40,DC21->DC40,2023-01-01,0,0,0,430,0.0
min_changed_plus_0,DC21,DC62,DC21->DC62,2023-01-01,0,0,0,32645,0.0
min_changed_plus_0,DC21,DC70,DC21->DC70,2023-01-01,0,0,0,3085,0.0
min_changed_plus_0,DC21,DC76,DC21->DC76,2023-01-01,0,0,0,13,0.0
min_changed_plus_0,DC21,DC8,DC21->DC8,2023-01-01,0,0,0,512,0.0
min_changed_plus_0,DC21,DC81,DC21->DC81,2023-01-01,0,0,0,111,0.0
min_changed_plus_0,DC21,DC9,DC21->DC9,2023-01-01,0,0,0,941,0.0
min_changed_plus_0,DC22,DC10,DC22->DC10,2023-01-01,11399,0,11399,235177,0.0484698758807196
min_changed_plus_0,DC22,DC12,DC22->DC12,2023-01-01,0,0,0,13984,0.0
min_changed_plus_0,DC22,DC13,DC22->DC13,2023-01-01,0,0,0,1,0.0
min_changed_plus_0,DC22,DC14,DC22->DC14,2023-01-01,10579,0,10579,65525,0.1614498283098054
min_changed_plus_0,DC22,DC20,DC22->DC20,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC22,DC21,DC22->DC21,2023-01-01,0,0,0,3,0.0
min_changed_plus_0,DC22,DC3,DC22->DC3,2023-01-01,11,5328,5339,29865,0.1787711367821865
min_changed_plus_0,DC22,DC32,DC22->DC32,2023-01-01,0,0,0,444,0.0
min_changed_plus_0,DC22,DC34,DC22->DC34,2023-01-01,0,0,0,7,0.0
min_changed_plus_0,DC22,DC35,DC22->DC35,2023-01-01,1294,0,1294,101949,0.012692620820214
min_changed_plus_0,DC22,DC4,DC22->DC4,2023-01-01,39395,0,39395,236073,0.1668763475704549
min_changed_plus_0,DC22,DC40,DC22->DC40,2023-01-01,0,0,0,5427,0.0
min_changed_plus_0,DC22,DC62,DC22->DC62,2023-01-01,11763,0,11763,60403,0.1947419830140887
min_changed_plus_0,DC22,DC64,DC22->DC64,2023-01-01,0,0,0,41048,0.0
min_changed_plus_0,DC22,DC65,DC22->DC65,2023-01-01,0,0,0,17537,0.0
min_changed_plus_0,DC22,DC70,DC22->DC70,2023-01-01,1193,0,1193,16266,0.073343169802041
min_changed_plus_0,DC22,DC76,DC22->DC76,2023-01-01,0,0,0,9,0.0
min_changed_plus_0,DC22,DC8,DC22->DC8,2023-01-01,155,0,155,29845,0.0051934997487016
min_changed_plus_0,DC22,DC81,DC22->DC81,2023-01-01,0,0,0,1290,0.0
min_changed_plus_0,DC22,DC9,DC22->DC9,2023-01-01,0,0,0,885,0.0
min_changed_plus_0,DC23,DC10,DC23->DC10,2023-01-01,13536,0,13536,201943,0.0670288150616758
min_changed_plus_0,DC23,DC12,DC23->DC12,2023-01-01,0,0,0,15956,0.0
min_changed_plus_0,DC23,DC14,DC23->DC14,2023-01-01,12132,0,12132,32755,0.3703862005800641
min_changed_plus_0,DC23,DC18,DC23->DC18,2023-01-01,0,0,0,55,0.0
min_changed_plus_0,DC23,DC20,DC23->DC20,2023-01-01,0,0,0,1,0.0
min_changed_plus_0,DC23,DC29,DC23->DC29,2023-01-01,0,0,0,11,0.0
min_changed_plus_0,DC23,DC3,DC23->DC3,2023-01-01,4,0,4,52355,7.640148982905167e-05
min_changed_plus_0,DC23,DC32,DC23->DC32,2023-01-01,0,0,0,604,0.0
min_changed_plus_0,DC23,DC34,DC23->DC34,2023-01-01,0,0,0,27,0.0
min_changed_plus_0,DC23,DC35,DC23->DC35,2023-01-01,2428,0,2428,62887,0.0386089334838678
min_changed_plus_0,DC23,DC36,DC23->DC36,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC23,DC4,DC23->DC4,2023-01-01,52939,6984,59923,204894,0.2924585395375169
min_changed_plus_0,DC23,DC40,DC23->DC40,2023-01-01,0,0,0,6623,0.0
min_changed_plus_0,DC23,DC6,DC23->DC6,2023-01-01,0,0,0,8,0.0
min_changed_plus_0,DC23,DC62,DC23->DC62,2023-01-01,13063,0,13063,58889,0.2218241097658306
min_changed_plus_0,DC23,DC64,DC23->DC64,2023-01-01,0,0,0,49704,0.0
min_changed_plus_0,DC23,DC65,DC23->DC65,2023-01-01,0,0,0,24741,0.0
min_changed_plus_0,DC23,DC70,DC23->DC70,2023-01-01,4693,0,4693,32263,0.1454607445060905
min_changed_plus_0,DC23,DC8,DC23->DC8,2023-01-01,133,0,133,30936,0.0042991983449702
min_changed_plus_0,DC23,DC81,DC23->DC81,2023-01-01,0,0,0,2581,0.0
min_changed_plus_0,DC23,DC9,DC23->DC9,2023-01-01,0,0,0,2667,0.0
min_changed_plus_0,DC24,DC10,DC24->DC10,2023-01-01,0,0,0,10,0.0
min_changed_plus_0,DC24,DC14,DC24->DC14,2023-01-01,0,0,0,5,0.0
min_changed_plus_0,DC24,DC3,DC24->DC3,2023-01-01,0,0,0,3,0.0
min_changed_plus_0,DC24,DC4,DC24->DC4,2023-01-01,0,0,0,6,0.0
min_changed_plus_0,DC24,DC62,DC24->DC62,2023-01-01,0,0,0,6,0.0
min_changed_plus_0,DC24,DC8,DC24->DC8,2023-01-01,0,0,0,6,0.0
min_changed_plus_0,DC24,DC9,DC24->DC9,2023-01-01,0,0,0,36,0.0
min_changed_plus_0,DC25,DC10,DC25->DC10,2023-01-01,8047,0,8047,64006,0.1257225885073274
min_changed_plus_0,DC25,DC12,DC25->DC12,2023-01-01,0,0,0,1048,0.0
min_changed_plus_0,DC25,DC14,DC25->DC14,2023-01-01,7293,0,7293,30950,0.235638126009693
min_changed_plus_0,DC25,DC3,DC25->DC3,2023-01-01,5,0,5,32591,0.0001534165874014
min_changed_plus_0,DC25,DC32,DC25->DC32,2023-01-01,0,0,0,25,0.0
min_changed_plus_0,DC25,DC33,DC25->DC33,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC25,DC34,DC25->DC34,2023-01-01,0,0,0,4,0.0
min_changed_plus_0,DC25,DC35,DC25->DC35,2023-01-01,30,0,30,4679,0.0064116264159008
min_changed_plus_0,DC25,DC4,DC25->DC4,2023-01-01,36,0,36,50932,0.0007068247859891
min_changed_plus_0,DC25,DC40,DC25->DC40,2023-01-01,0,0,0,2274,0.0
min_changed_plus_0,DC25,DC62,DC25->DC62,2023-01-01,7739,3307,11046,30541,0.3616777446710978
min_changed_plus_0,DC25,DC64,DC25->DC64,2023-01-01,0,0,0,53912,0.0
min_changed_plus_0,DC25,DC65,DC25->DC65,2023-01-01,0,0,0,27209,0.0
min_changed_plus_0,DC25,DC70,DC25->DC70,2023-01-01,44,0,44,3338,0.0131815458358298
min_changed_plus_0,DC25,DC76,DC25->DC76,2023-01-01,0,0,0,5,0.0
min_changed_plus_0,DC25,DC8,DC25->DC8,2023-01-01,21159,0,21159,93188,0.2270571318195476
min_changed_plus_0,DC25,DC81,DC25->DC81,2023-01-01,0,0,0,219,0.0
min_changed_plus_0,DC25,DC9,DC25->DC9,2023-01-01,0,0,0,126037,0.0
min_changed_plus_0,DC26,DC10,DC26->DC10,2023-01-01,2667,0,2667,8082,0.3299925760950259
min_changed_plus_0,DC26,DC12,DC26->DC12,2023-01-01,0,0,0,177,0.0
min_changed_plus_0,DC26,DC14,DC26->DC14,2023-01-01,2452,0,2452,7471,0.3282023825458439
min_changed_plus_0,DC26,DC3,DC26->DC3,2023-01-01,0,0,0,8033,0.0
min_changed_plus_0,DC26,DC32,DC26->DC32,2023-01-01,0,0,0,113,0.0
min_changed_plus_0,DC26,DC34,DC26->DC34,2023-01-01,0,0,0,2,0.0
min_changed_plus_0,DC26,DC35,DC26->DC35,2023-01-01,0,0,0,8989,0.0
min_changed_plus_0,DC26,DC4,DC26->DC4,2023-01-01,15,0,15,26989,0.0005557819852532
min_changed_plus_0,DC26,DC40,DC26->DC40,2023-01-01,0,0,0,600,0.0
min_changed_plus_0,DC26,DC62,DC26->DC62,2023-01-01,2784,1466,4250,27667,0.1536126070770231
min_changed_plus_0,DC26,DC64,DC26->DC64,2023-01-01,0,0,0,11493,0.0
min_changed_plus_0,DC26,DC65,DC26->DC65,2023-01-01,0,0,0,11121,0.0
min_changed_plus_0,DC26,DC70,DC26->DC70,2023-01-01,0,0,0,1976,0.0
min_changed_plus_0,DC26,DC8,DC26->DC8,2023-01-01,7200,0,7200,31380,0.2294455066921606
min_changed_plus_0,DC26,DC81,DC26->DC81,2023-01-01,0,0,0,25,0.0
min_changed_plus_0,DC26,DC9,DC26->DC9,2023-01-01,0,0,0,27912,0.0
min_changed_plus_0,DC27,DC10,DC27->DC10,2023-01-01,7707,0,7707,16133,0.4777164817454906
min_changed_plus_0,DC27,DC14,DC27->DC14,2023-01-01,6027,0,6027,15669,0.3846448401301934
min_changed_plus_0,DC27,DC3,DC27->DC3,2023-01-01,0,0,0,36,0.0
min_changed_plus_0,DC27,DC32,DC27->DC32,2023-01-01,0,0,0,323,0.0
min_changed_plus_0,DC27,DC34,DC27->DC34,2023-01-01,0,0,0,3,0.0
min_changed_plus_0,DC27,DC35,DC27->DC35,2023-01-01,12,0,12,1317,0.0091116173120728
