artifact_id,glass_type,source,pca1,pca2,pca1_explained,pca2_explained
39,铅钡,known,2.495555191492429,-0.2999266914857676,0.8074447835874282,0.09267785069094042
40,铅钡,known,2.5162593137589897,0.07329550623147008,0.8074447835874282,0.09267785069094042
41,铅钡,known,1.1390098477099102,-0.2149946171740611,0.8074447835874282,0.09267785069094042
42,铅钡,known,2.369162352546152,-0.6930251863043505,0.8074447835874282,0.09267785069094042
43,铅钡,known,1.681997740247632,0.936881080009876,0.8074447835874282,0.09267785069094042
44,铅钡,known,1.1763202428710244,0.6998673168126638,0.8074447835874282,0.09267785069094042
45,铅钡,known,2.2458535280816894,-0.017491297750521963,0.8074447835874282,0.09267785069094042
46,铅钡,known,2.9227102467428665,-1.7564555348791249,0.8074447835874282,0.09267785069094042
47,铅钡,known,2.1997788646179415,-0.22499411914104472,0.8074447835874282,0.09267785069094042
48,铅钡,known,0.27844417314941894,-0.47144599777025004,0.8074447835874282,0.09267785069094042
49,铅钡,known,1.3492764527253733,0.6521216140775289,0.8074447835874282,0.09267785069094042
50,铅钡,known,2.2798600663577098,0.788780104874591,0.8074447835874282,0.09267785069094042
51,铅钡,known,1.4428847091157266,0.8319210057622449,0.8074447835874282,0.09267785069094042
52,铅钡,known,2.1559424984509254,0.04477112359350744,0.8074447835874282,0.09267785069094042
53,铅钡,known,2.0428841899863652,-0.0036415438768492513,0.8074447835874282,0.09267785069094042
54,铅钡,known,1.4164440818093809,-0.08724284812016748,0.8074447835874282,0.09267785069094042
55,铅钡,known,3.0522082508315354,0.8006029863527674,0.8074447835874282,0.09267785069094042
56,铅钡,known,2.4143038829006964,-0.5403836029686607,0.8074447835874282,0.09267785069094042
57,铅钡,known,2.5054560840400573,-0.501908715159186,0.8074447835874282,0.09267785069094042
58,铅钡,known,1.0707711103932507,-0.2784041963111971,0.8074447835874282,0.09267785069094042
A1,高钾,unknown,-3.474237066992122,2.520921223035302,0.8074447835874282,0.09267785069094042
A2,铅钡,unknown,0.2141763295956999,3.963901034808792,0.8074447835874282,0.09267785069094042
A3,铅钡,unknown,0.870384489543913,0.7670013344173876,0.8074447835874282,0.09267785069094042
A4,铅钡,unknown,1.2545756421913763,0.1893587398535443,0.8074447835874282,0.09267785069094042
A5,铅钡,unknown,0.5197101934813735,0.575776697511177,0.8074447835874282,0.09267785069094042
A6,高钾,unknown,-3.953069864456044,-0.6516612731230677,0.8074447835874282,0.09267785069094042
A7,高钾,unknown,-4.127614390657534,-0.04328834642348032,0.8074447835874282,0.09267785069094042
A8,铅钡,unknown,2.3444377512001426,-0.255434888500357,0.8074447835874282,0.09267785069094042
