artifact_id,glass_type,SiO2,K2O,CaO,Al2O3,PbO,BaO,pb_ba_sum,log_ratio_pbba_to_k,threshold_prediction,threshold_correct,loo_threshold_prediction,loo_threshold_correct,centroid_loo_prediction,centroid_loo_correct
20,铅钡,42.25766316027599,0.8030765750480715,0.0,6.164461033819705,10.519172039362063,26.63725822870716,37.15643026806922,3.7197724830166448,铅钡,True,铅钡,True,铅钡,True
21,高钾,77.83191230207066,0.0,4.780755176613885,6.282988225740967,1.0150223304912709,1.9995939910678033,3.014616321559074,3.438691066398168,铅钡,False,铅钡,False,高钾,True
22,高钾,56.199650492784905,10.57890560822079,11.060825846847628,11.157521780952434,0.18338658396700386,0.09468700060202423,0.2780735845690281,-3.3409367912770547,高钾,True,高钾,True,高钾,True
23,铅钡,55.74093264248705,0.0,0.5181347150259068,1.471502590673575,17.595854922279795,12.290155440414507,29.8860103626943,5.703316044651113,铅钡,True,铅钡,True,铅钡,True
24,铅钡,32.30177993527508,0.0,0.4753236245954692,1.608009708737864,29.470064724919094,26.527103559870547,55.99716828478964,6.329670428041771,铅钡,True,铅钡,True,铅钡,True
25,铅钡,52.143004327220275,0.0,0.6490830414176797,1.9575520296723676,32.86626828765712,6.851432103853288,39.717700391510405,5.986896639874861,铅钡,True,铅钡,True,铅钡,True
26,铅钡,29.9706674387122,0.688545738619764,1.070989334491439,2.0809018404526256,16.304543985476165,30.32200933836909,46.62655332384526,4.081877463879318,铅钡,True,铅钡,True,铅钡,True
27,高钾,67.59991841469098,1.5088267134668698,7.8304394272184314,9.691336167910736,0.21970779691549308,0.11344053555493365,0.33314833247042674,-1.3121802043573085,高钾,True,高钾,True,高钾,True
28,铅钡,68.98368629040428,0.26345121086229606,1.3577870098287566,4.762387273279966,17.3675144391529,4.093626507244908,21.461140946397805,4.083002875710633,铅钡,True,铅钡,True,铅钡,True
29,铅钡,63.37605126151382,0.30036043251902284,2.9835802963556266,14.357228674409292,12.324789747697237,2.032438926712054,14.35722867440929,3.586584600063999,铅钡,True,铅钡,True,铅钡,True
30,铅钡,36.242054411390804,0.7170099160945843,4.439359267734553,4.174930078820238,39.135519959318586,10.49580472921434,49.63132468853293,4.108739056978761,铅钡,True,铅钡,True,铅钡,True
31,铅钡,66.9612922889363,0.0,1.6255206745910804,3.1596058112364114,16.813979477801485,3.4745504419384337,20.28852991973992,5.317557576881163,铅钡,True,铅钡,True,铅钡,True
32,铅钡,70.65680113521185,0.21285221974457735,0.46624771944050286,2.392053517129536,20.02838029596595,4.946280154064465,24.974660450030413,4.383882133708607,铅钡,True,铅钡,True,铅钡,True
33,铅钡,75.54021608643458,0.15006002400960386,0.6402561024409764,2.3509403761504606,16.166466586634655,3.5514205682272912,19.71788715486195,4.372639215447446,铅钡,True,铅钡,True,铅钡,True
34,铅钡,70.54870306787107,0.530618399189284,0.27801482645669245,2.3900399510484194,18.191526791332016,6.4032469565385375,24.594773747870555,3.6676459871131,铅钡,True,铅钡,True,铅钡,True
35,铅钡,68.50639226691612,0.0,0.3949693379066625,1.4967259120673526,22.91861552853134,5.903752208710113,28.822367737241454,5.667200358898755,铅钡,True,铅钡,True,铅钡,True
36,铅钡,71.87778665487417,0.3352906149494792,0.13682927885310261,2.176815042582483,14.988341755137924,6.3855003765754415,21.373842131713367,3.898576939999756,铅钡,True,铅钡,True,铅钡,True
37,铅钡,60.13202640528106,0.2300460092018404,0.8901780356071216,2.720544108821765,17.243448689737946,10.342068413682737,27.585517103420685,4.429432640624694,铅钡,True,铅钡,True,铅钡,True
38,铅钡,66.2831971500656,0.15472929095795612,0.2515001002880614,3.7865722659666914,19.664849675057333,6.399314349281866,26.0641640243392,4.631944590975191,铅钡,True,铅钡,True,铅钡,True
39,铅钡,62.27406963784405,0.1822234602471586,0.45947372785759666,1.0021159913846656,28.652460769428277,5.578018978002297,34.23047974743057,4.801089691567711,铅钡,True,铅钡,True,铅钡,True
40,铅钡,48.925968415370484,0.22441370607914662,0.9212693624534493,1.1312914903449771,40.58538942424874,6.372117412276223,46.95750683652496,4.977106110577596,铅钡,True,铅钡,True,铅钡,True
41,铅钡,50.76697335840385,1.1388714895619387,2.2238346997115483,6.630366484448641,23.988491636041907,8.69605931478722,32.68455095082913,3.275756520662998,铅钡,True,铅钡,True,铅钡,True
42,铅钡,52.3658822928896,0.2552192333214231,0.4032463886478485,4.6909295084477565,21.43841559899954,10.897861262824767,32.33627686182431,4.514297574145576,铅钡,True,铅钡,True,铅钡,True
43,铅钡,48.8231057139733,0.22430564455616855,2.7454244588095524,5.9282328805933755,30.5816477995307,5.193247947324169,35.77489574685487,4.7061066285312965,铅钡,True,铅钡,True,铅钡,True
44,铅钡,61.279257465698144,0.20177562550443903,2.158999192897498,12.802663438256657,13.730831315577078,5.266343825665859,18.997175141242938,4.147611925396373,铅钡,True,铅钡,True,铅钡,True
45,铅钡,62.31441936139923,0.11185682326621926,0.8541793776693106,5.084401057555421,16.259914582062233,11.145007118161484,27.404921700223717,4.866209553997904,铅钡,True,铅钡,True,铅钡,True
46,铅钡,55.9768833012268,0.2534725742674643,0.0,4.856534522964615,25.60073000101389,10.19973638852276,35.80046638953665,4.620699666818898,铅钡,True,铅钡,True,铅钡,True
47,铅钡,52.99198025909932,0.29816985399958873,0.8945095619987662,3.146206045650833,26.1155665227226,9.49002673246967,35.60559325519227,4.496183946222875,铅钡,True,铅钡,True,铅钡,True
48,铅钡,74.1697776881734,0.4495404275328572,0.6512883950796943,13.489150958845094,4.352658306338589,3.316670203233222,7.669328509571811,2.6488566760968695,铅钡,True,铅钡,True,铅钡,True
49,铅钡,60.256833364120155,0.23862944098095035,1.9006060857146276,7.663614868826575,19.30963881884152,4.37698876174062,23.68662758058214,4.2519724203259,铅钡,True,铅钡,True,铅钡,True
50,铅钡,49.26375689195829,0.11260275137244505,2.356236409273494,4.145507144864044,28.3157437759438,9.89195865755764,38.20770243350144,5.193980855504566,铅钡,True,铅钡,True,铅钡,True
51,铅钡,59.07606774236393,0.19845242776525268,1.8674032286213602,7.044695463045903,23.646241363622003,3.5027727879293735,27.149014151551377,4.514162072351157,铅钡,True,铅钡,True,铅钡,True
52,铅钡,62.27450038699522,0.18582126122494863,0.9177296728535965,2.145993496317407,22.7130301280628,6.791589892536179,29.50462002059898,4.6403190552111,铅钡,True,铅钡,True,铅钡,True
53,铅钡,64.79389312977098,0.1119592875318066,0.7938931297709925,6.1679389312977095,13.903307888040711,9.150127226463106,23.053435114503817,4.69350421729649,铅钡,True,铅钡,True,铅钡,True
54,铅钡,52.70829150228662,0.5076516482954879,0.6658021726981899,7.578803577756971,30.610117313494843,2.843648246995787,33.45376556049063,4.011302602487184,铅钡,True,铅钡,True,铅钡,True
55,铅钡,50.85079892093795,0.0,1.1724424154388875,1.5044615065366256,34.15646399667981,8.248599294459432,42.40506329113924,6.052208298090356,铅钡,True,铅钡,True,铅钡,True
56,铅钡,65.39939277450544,0.17239533366839455,0.4706172334279352,3.0812190238475816,18.335985708486245,11.210384717423501,29.546370425909746,4.689840539277177,铅钡,True,铅钡,True,铅钡,True
57,铅钡,59.89676546725421,0.18096740593370006,0.5317291851595738,3.781792192983439,21.039820844492986,13.167830471577972,34.20765131607096,4.804885009229388,铅钡,True,铅钡,True,铅钡,True
58,铅钡,65.82681871026385,0.7324462837419572,1.2453418313626388,5.523242694329893,16.89169972011705,5.401936091209151,22.2936358113262,3.292163386169714,铅钡,True,铅钡,True,铅钡,True
