component_a,component_b,high_k_correlation,lead_barium_correlation,correlation_difference_high_minus_lead,high_k_max_zero_rate,lead_barium_max_zero_rate,reliable_in_both_types,permutation_p,bh_q
PbO,P2O5,-0.3051948226361901,-0.05877996201357222,-0.24641486062261786,0.3125,0.1,True,0.3297340531893621,0.6942307190735767
CuO,SnO2,-0.7017844169931524,-0.509172263228708,-0.1926121537644444,0.5625,0.425,True,0.3509298140371926,0.6942307190735767
SiO2,P2O5,0.03347863817425509,-0.24754649235148782,0.2810251305257429,0.0625,0.1,True,0.34693061387722457,0.6942307190735767
MgO,SrO,0.4278544352153409,0.09485685899186641,0.3329975762234745,0.3125,0.2,True,0.34133173365326935,0.6942307190735767
Na2O,SrO,-0.23377844128684655,0.057375842057492826,-0.29115428334433935,0.4375,0.25,True,0.3883223355328934,0.7518581390104958
Na2O,Al2O3,0.29261489894662074,0.004213910475411655,0.2884009884712091,0.4375,0.25,True,0.41091781643671266,0.7790316936612678
Fe2O3,SrO,-0.4983088193983938,-0.35417674106237906,-0.1441320783360147,0.3125,0.25,True,0.46510697860427913,0.7851392684426078
MgO,PbO,-0.017443192966198225,-0.23487644425482151,0.21743325128862329,0.3125,0.2,True,0.46590681863627276,0.7851392684426078
CaO,SO2,0.0796048486177766,-0.11606231506600895,0.19566716368378556,0.4375,0.45,True,0.46250749850029993,0.7851392684426078
CaO,Al2O3,0.23311109600912233,0.03743773519672413,0.1956733608123982,0.0625,0.05,True,0.4453109378124375,0.7851392684426078
Na2O,SO2,-0.38854426089361055,-0.2395574791867623,-0.14898678170684826,0.4375,0.45,True,0.46490701859628075,0.7851392684426078
P2O5,SnO2,0.28735779658236016,-0.11622714719401238,0.40358494377637255,0.5625,0.425,True,0.4351129774045191,0.7851392684426078
MgO,SnO2,0.33293747236295307,0.10415224173849513,0.22878523062445794,0.5625,0.425,True,0.5292941411717657,0.8077990959185213
Na2O,CuO,-0.19311143791035862,0.007234735746949046,-0.20034617365730767,0.4375,0.25,True,0.531493701259748,0.8077990959185213
SiO2,SO2,0.1358667616128857,-0.3568930425735056,0.4927598041863913,0.4375,0.45,True,0.510497900419916,0.8077990959185213
Na2O,P2O5,-0.5940765092687593,-0.703836821213197,0.1097603119444377,0.4375,0.25,True,0.5408918216356728,0.8077990959185213
SiO2,BaO,0.0818974071783637,-0.10400184088170926,0.18589924806007296,0.4375,0.0,True,0.4911017796440712,0.8077990959185213
SiO2,Na2O,0.06780852985640706,0.1962606609778887,-0.12845213112148163,0.4375,0.25,True,0.5414917016596681,0.8077990959185213
Fe2O3,P2O5,0.20447188500316452,0.3647919623243014,-0.16032007732113687,0.0625,0.25,True,0.518496300739852,0.8077990959185213
SiO2,CuO,-0.4352965053882274,-0.22071732132540794,-0.21457918406281945,0.0625,0.025,True,0.614877024595081,0.8109247715674256
Al2O3,SO2,-0.25574697312407985,-0.4371779349976308,0.18143096187355096,0.4375,0.45,True,0.5836832633473306,0.8109247715674256
MgO,P2O5,0.17264476808226437,-0.029420806747747313,0.20206557483001167,0.0625,0.2,True,0.5690861827634474,0.8109247715674256
Na2O,SnO2,-0.05380615137774953,-0.1909363252585557,0.13713017388080617,0.5625,0.425,True,0.6120775844831033,0.8109247715674256
Na2O,PbO,0.16501698000019427,0.012139514291423152,0.15287746570877112,0.4375,0.25,True,0.5990801839632074,0.8109247715674256
CuO,SO2,0.1718320635940087,0.30547858878056133,-0.13364652518655262,0.4375,0.45,True,0.5844831033793242,0.8109247715674256
CuO,PbO,-0.2070326287285221,-0.04056373070437686,-0.16646889802414525,0.3125,0.025,True,0.5856828634273146,0.8109247715674256
SrO,SO2,-0.02459648588013971,0.1137294013863228,-0.1383258872664625,0.4375,0.45,True,0.5916816636672666,0.8109247715674256
K2O,SO2,0.21401267651987754,0.07123112774020772,0.1427815487796698,0.4375,0.45,True,0.6270745850829834,0.8151969606078785
MgO,Fe2O3,-0.2115001675505381,-0.06085440203536156,-0.15064576551517656,0.0625,0.25,True,0.6492701459708058,0.8206053233797684
Al2O3,SnO2,-0.13289762442167455,0.07705500872692296,-0.20995263314859752,0.5625,0.425,True,0.6466706658668266,0.8206053233797684
MgO,Al2O3,0.26773656165117216,0.40617457001922064,-0.13843800836804848,0.0625,0.2,True,0.6852629474105179,0.8542318933473578
CaO,BaO,-0.25417957521518575,-0.35674580768684344,0.10256623247165769,0.4375,0.05,True,0.7458508298340332,0.9171949393905002
Al2O3,SrO,-0.2516581789041346,-0.3248834652046545,0.07322528630051989,0.3125,0.125,True,0.763247350529894,0.9260734519762714
K2O,CaO,-0.16041046276303203,-0.26492647380780004,0.10451601104476801,0.0625,0.15,True,0.7822435512897421,0.9366337258864018
SiO2,MgO,0.029029853568091006,-0.016331533894197302,0.04536138746228831,0.0625,0.2,True,0.907618476304739,0.9520740296385167
SiO2,K2O,0.08121363203341074,0.053103665856562905,0.028109966176847835,0.0625,0.15,True,0.9190161967606478,0.9520740296385167
Na2O,Fe2O3,-0.3282707024255677,-0.297488769395292,-0.03078193303027571,0.4375,0.25,True,0.9192161567686463,0.9520740296385167
K2O,CuO,-0.37040048394215874,-0.3091071547438534,-0.061293329198305324,0.0625,0.15,True,0.8498300339932013,0.9520740296385167
P2O5,SO2,0.0784993750455127,0.036641554084397496,0.041857820961115205,0.4375,0.45,True,0.8774245150969806,0.9520740296385167
Al2O3,CuO,-0.277828107780458,-0.31698565236741244,0.03915754458695442,0.0625,0.025,True,0.9168166366726654,0.9520740296385167
MgO,CuO,-0.44180102021639706,-0.37017829427005644,-0.07162272594634062,0.0625,0.2,True,0.8120375924815036,0.9520740296385167
Al2O3,P2O5,-0.07204867036340605,-0.04827125794423913,-0.02377741241916692,0.0625,0.1,True,0.9416116776644671,0.9520740296385167
K2O,SnO2,0.19043494880802989,0.33354318010874906,-0.14310823130071917,0.5625,0.425,True,0.8366326734653069,0.9520740296385167
CuO,P2O5,0.13015272194119915,0.060828485437090435,0.06932423650410871,0.0625,0.1,True,0.8288342331533693,0.9520740296385167
PbO,SnO2,-0.10823779977459438,-0.03928714303090403,-0.06895065674369036,0.5625,0.425,True,0.9348130373925215,0.9520740296385167
BaO,SrO,0.007640967007386709,0.0345919236456262,-0.026950956638239494,0.4375,0.125,True,0.9098180363927214,0.9520740296385167
SnO2,SO2,0.07179830392629108,0.04582049980323431,0.025977804123056766,0.5625,0.45,True,0.9210157968406318,0.9520740296385167
BaO,SnO2,-0.10348761098476347,-0.1799044499685907,0.07641683898382723,0.5625,0.425,True,0.884623075384923,0.9520740296385167
CaO,PbO,-0.011230335881377677,0.01166565275214747,-0.022895988633525148,0.3125,0.05,True,0.9544091181763648,0.9544091181763649
