origin,dest,edge,forecast_total_volume,forecast_daily_mean,forecast_daily_max,forecast_daily_std,historical_total_volume,edge_capacity,forecast_max_load_rate,forecast_volume_cv,high_load_day_ratio,origin_total_capacity,dest_total_capacity,same_origin_alternative_capacity,same_dest_alternative_capacity,alternative_capacity_ratio,origin_site_importance,dest_site_importance,endpoint_importance_score,volume_score,connection_score,volatility_score,substitution_risk_score,importance_score
DC36,DC3,DC36->DC3,405024.0,13065.290322580646,33043.0,6329.757377980605,2957064.0,60870.0,0.5428454082470751,0.4844712380436313,0.0,938959.0,727980.0,878089.0,667110.0,25.385230819779444,0.8058641975308642,0.8919753086419754,0.8489197530864199,0.9609151572926597,0.9194470924690181,0.9323164918970448,0.9418493803622497,0.9414918970448045
DC44,DC9,DC44->DC9,604439.0,19498.032258064515,38921.0,10757.767265903576,4202917.0,124459.0,0.31272145847226546,0.5517360482083283,0.0,511263.0,1447351.0,386804.0,1322892.0,13.737021830482217,0.7271604938271605,0.9165123456790123,0.8218364197530864,0.9756911344137273,0.8436606291706387,0.9513822688274547,0.9790276453765491,0.9398713060057196
DC10,DC4,DC10->DC4,1234335.0,39817.25806451613,44673.0,5504.938685707835,25126744.0,129442.0,0.34511982200521973,0.13825509222126783,0.0,336532.0,2405716.0,207090.0,2276274.0,19.185148560745205,0.8976851851851853,0.8876543209876543,0.8926697530864198,0.996186844613918,0.9728312678741659,0.7054337464251669,0.9647283126787417,0.9388703527168731
DC23,DC3,DC23->DC3,335621.0,10826.483870967742,19813.0,4697.870216632266,2816242.0,52355.0,0.37843567949574297,0.43392391035002814,0.0,810066.0,727980.0,757711.0,675625.0,27.377251456402877,0.8141975308641975,0.8919753086419754,0.8530864197530865,0.9542421353670162,0.9289799809342231,0.9151572926596759,0.9351763584366063,0.9372974261201145
DC14,DC62,DC14->DC62,752414.0,24271.41935483871,26943.0,3188.9507807750865,12382356.0,124891.0,0.2157321184072494,0.1313870744085352,0.0,1575798.0,1059024.0,1450907.0,934133.0,19.09697256007223,0.9246913580246913,0.8708333333333331,0.8977623456790123,0.9854623450905624,0.9804575786463299,0.6987607244995233,0.9666348903717826,0.9364990467111534
DC25,DC3,DC25->DC3,302864.0,9769.806451612903,19900.0,5382.906897970319,2500020.0,32591.0,0.610598017857672,0.5509737500563381,0.0,535975.0,727980.0,503384.0,695389.0,36.78233254579372,0.8162037037037037,0.8919753086419754,0.8540895061728395,0.9463775023832222,0.9323164918970448,0.9504289799809342,0.9084842707340324,0.9339966634890373
DC14,DC10,DC14->DC10,784382.0,25302.645161290322,27545.0,2971.438986128276,23247610.0,130118.0,0.21169246376365905,0.11743590313134789,0.0,1575798.0,2290621.0,1445680.0,2160503.0,27.714712799151325,0.9246913580246913,0.8976851851851853,0.9111882716049382,0.9890371782650142,0.9976167778836987,0.6939942802669209,0.9342230695900858,0.9332221163012393
DC8,DC14,DC8->DC14,309856.0,9995.354838709678,12271.0,2204.907759732411,6354013.0,32291.0,0.38001300672012694,0.2205932450935205,0.0,218287.0,902659.0,185996.0,870368.0,32.713883125328024,0.8814814814814814,0.9246913580246913,0.9030864197530863,0.9597235462345091,0.9880838894184938,0.7940896091515729,0.9180171591992373,0.9315419447092469
DC23,DC4,DC23->DC4,1331700.0,42958.06451612903,46589.0,5566.893191205422,28483802.0,204894.0,0.22738098724218267,0.12958901323673808,0.0,810066.0,2405716.0,605172.0,2200822.0,13.69485685281163,0.8141975308641975,0.8876543209876543,0.8509259259259259,0.9978551000953289,0.9242135367016205,0.6978074356530028,0.9809342230695901,0.930207340324118
DC36,DC4,DC36->DC4,1302858.0,42027.67741935484,46373.0,5765.122696213268,28814802.0,243230.0,0.19065493565760724,0.13717443004733212,0.0,938959.0,2405716.0,695729.0,2162486.0,11.751079225424448,0.8058641975308642,0.8876543209876543,0.8467592592592592,0.9973784556720686,0.9146806482364156,0.7025738798856054,0.9847473784556721,0.9293255481410867
DC23,DC10,DC23->DC10,348176.0,11231.483870967742,12971.0,1934.8216367068273,22096867.0,201943.0,0.06423099587507335,0.17226767708832977,0.0,810066.0,2290621.0,608123.0,2088678.0,13.354268283624522,0.8141975308641975,0.8976851851851853,0.8559413580246914,0.971163012392755,0.9337464251668256,0.7359389895138226,0.9818875119161106,0.9292063870352716
DC10,DC14,DC10->DC14,253346.0,8172.451612903225,10761.0,1924.8537579759593,5752073.0,31846.0,0.3379074295044797,0.23552953864378137,0.0,336532.0,902659.0,304686.0,870813.0,36.91198266658177,0.8976851851851853,0.9246913580246913,0.9111882716049382,0.9466158245948523,0.9976167778836987,0.8102955195424214,0.9075309818875119,0.929146806482364
DC36,DC10,DC36->DC10,511772.0,16508.774193548386,19031.0,2191.3315691117214,22427613.0,251835.0,0.07556932118252001,0.1327373882167435,0.0,938959.0,2290621.0,687124.0,2038786.0,10.824190442154542,0.8058641975308642,0.8976851851851853,0.8517746913580247,0.9837940896091517,0.9261201143946616,0.7006673021925643,0.990467111534795,0.9285748331744519
DC14,DC5,DC14->DC5,384929.0,12417.064516129032,13999.0,2292.578586762694,6532206.0,63336.0,0.2210275356827046,0.1846312857426637,0.0,1575798.0,693070.0,1512462.0,629734.0,33.822723253757204,0.9246913580246913,0.8759259259259259,0.9003086419753086,0.9671115347950429,0.9842707340324118,0.7550047664442326,0.9142040038131554,0.9263584366062917
DC47,DC9,DC47->DC9,476467.0,15369.90322580645,45689.0,10980.813764294458,2247873.0,65326.0,0.6993999326454904,0.7144361030105045,0.0,579385.0,1447351.0,514059.0,1382025.0,29.02495178030143,0.7172839506172839,0.9165123456790123,0.8168981481481481,0.9618684461391802,0.8274547187797903,0.9742612011439467,0.9304099142040038,0.9222592945662536
DC22,DC4,DC22->DC4,999355.0,32237.25806451613,36499.0,4801.699981006336,22232662.0,236073.0,0.15460895570437894,0.14894877136872464,0.0,884569.0,2405716.0,648496.0,2169643.0,11.937574394361016,0.7834876543209874,0.8876543209876543,0.8355709876543209,0.9921353670162059,0.8841754051477597,0.7130600571973308,0.9837940896091516,0.9211987607244995
DC8,DC62,DC8->DC62,415303.0,13396.870967741936,16980.0,2347.082316985392,5579549.0,42308.0,0.40134253569064005,0.175196306856781,0.0,218287.0,1059024.0,175979.0,1016716.0,28.190767703506946,0.8814814814814814,0.8708333333333331,0.8761574074074072,0.9680648236415634,0.9509056244041945,0.7407054337464252,0.9332697807435653,0.920972354623451
DC10,DC5,DC10->DC5,169358.0,5463.1612903225805,6668.0,1313.6088703674366,2452550.0,32524.0,0.2050178329848664,0.24044848770877714,0.0,336532.0,693070.0,304008.0,660546.0,29.656684294673788,0.8976851851851853,0.8759259259259259,0.8868055555555556,0.9218303145853194,0.9671115347950429,0.8188751191611058,0.9294566253574833,0.9196139180171592
DC17,DC3,DC17->DC3,297326.0,9591.161290322581,17391.0,3967.203940184786,2884658.0,50008.0,0.34776435770276065,0.4136312402740276,0.0,795108.0,727980.0,745100.0,677972.0,28.45688689809574,0.7677469135802468,0.8919753086419754,0.8298611111111112,0.9463775023832222,0.8779790276453765,0.9056244041944709,0.9313632030505243,0.9194113441372735
