origin,dest,edge,forecast_total_volume,forecast_daily_mean,forecast_daily_max,forecast_daily_std,historical_total_volume,edge_capacity,forecast_max_load_rate,forecast_volume_cv,high_load_day_ratio,origin_total_capacity,dest_total_capacity,same_origin_alternative_capacity,same_dest_alternative_capacity,alternative_capacity_ratio,origin_site_importance,dest_site_importance,endpoint_importance_score,volume_score,connection_score,volatility_score,substitution_risk_score,importance_score
DC36,DC3,DC36->DC3,405024.0,13065.290322580646,33043.0,6329.757377980605,2957064.0,60870.0,0.5428454082470751,0.4844712380436313,0.0,938959.0,727980.0,878089.0,667110.0,25.385230819779444,0.8058641975308642,0.8919753086419754,0.8489197530864199,0.9609151572926597,0.9194470924690181,0.9323164918970448,0.9418493803622497,0.9414918970448045
DC44,DC9,DC44->DC9,604439.0,19498.032258064515,38921.0,10757.767265903576,4202917.0,124459.0,0.31272145847226546,0.5517360482083283,0.0,511263.0,1447351.0,386804.0,1322892.0,13.737021830482217,0.7271604938271605,0.9165123456790123,0.8218364197530864,0.9756911344137273,0.8436606291706387,0.9513822688274547,0.9790276453765491,0.9398713060057196
DC10,DC4,DC10->DC4,1234335.0,39817.25806451613,44673.0,5504.938685707835,25126744.0,129442.0,0.34511982200521973,0.13825509222126783,0.0,336532.0,2405716.0,207090.0,2276274.0,19.185148560745205,0.8976851851851853,0.8876543209876543,0.8926697530864198,0.996186844613918,0.9728312678741659,0.7054337464251669,0.9647283126787417,0.9388703527168731
DC23,DC3,DC23->DC3,335621.0,10826.483870967742,19813.0,4697.870216632266,2816242.0,52355.0,0.37843567949574297,0.43392391035002814,0.0,810066.0,727980.0,757711.0,675625.0,27.377251456402877,0.8141975308641975,0.8919753086419754,0.8530864197530865,0.9542421353670162,0.9289799809342231,0.9151572926596759,0.9351763584366063,0.9372974261201145
DC14,DC62,DC14->DC62,752414.0,24271.41935483871,26943.0,3188.9507807750865,12382356.0,124891.0,0.2157321184072494,0.1313870744085352,0.0,1575798.0,1059024.0,1450907.0,934133.0,19.09697256007223,0.9246913580246913,0.8708333333333331,0.8977623456790123,0.9854623450905624,0.9804575786463299,0.6987607244995233,0.9666348903717826,0.9364990467111534
DC25,DC3,DC25->DC3,302864.0,9769.806451612903,19900.0,5382.906897970319,2500020.0,32591.0,0.610598017857672,0.5509737500563381,0.0,535975.0,727980.0,503384.0,695389.0,36.78233254579372,0.8162037037037037,0.8919753086419754,0.8540895061728395,0.9463775023832222,0.9323164918970448,0.9504289799809342,0.9084842707340324,0.9339966634890373
DC14,DC10,DC14->DC10,784382.0,25302.645161290322,27545.0,2971.438986128276,23247610.0,130118.0,0.21169246376365905,0.11743590313134789,0.0,1575798.0,2290621.0,1445680.0,2160503.0,27.714712799151325,0.9246913580246913,0.8976851851851853,0.9111882716049382,0.9890371782650142,0.9976167778836987,0.6939942802669209,0.9342230695900858,0.9332221163012393
DC8,DC14,DC8->DC14,309856.0,9995.354838709678,12271.0,2204.907759732411,6354013.0,32291.0,0.38001300672012694,0.2205932450935205,0.0,218287.0,902659.0,185996.0,870368.0,32.713883125328024,0.8814814814814814,0.9246913580246913,0.9030864197530863,0.9597235462345091,0.9880838894184938,0.7940896091515729,0.9180171591992373,0.9315419447092469
DC23,DC4,DC23->DC4,1331700.0,42958.06451612903,46589.0,5566.893191205422,28483802.0,204894.0,0.22738098724218267,0.12958901323673808,0.0,810066.0,2405716.0,605172.0,2200822.0,13.69485685281163,0.8141975308641975,0.8876543209876543,0.8509259259259259,0.9978551000953289,0.9242135367016205,0.6978074356530028,0.9809342230695901,0.930207340324118
DC36,DC4,DC36->DC4,1302858.0,42027.67741935484,46373.0,5765.122696213268,28814802.0,243230.0,0.19065493565760724,0.13717443004733212,0.0,938959.0,2405716.0,695729.0,2162486.0,11.751079225424448,0.8058641975308642,0.8876543209876543,0.8467592592592592,0.9973784556720686,0.9146806482364156,0.7025738798856054,0.9847473784556721,0.9293255481410867
DC23,DC10,DC23->DC10,348176.0,11231.483870967742,12971.0,1934.8216367068273,22096867.0,201943.0,0.06423099587507335,0.17226767708832977,0.0,810066.0,2290621.0,608123.0,2088678.0,13.354268283624522,0.8141975308641975,0.8976851851851853,0.8559413580246914,0.971163012392755,0.9337464251668256,0.7359389895138226,0.9818875119161106,0.9292063870352716
DC10,DC14,DC10->DC14,253346.0,8172.451612903225,10761.0,1924.8537579759593,5752073.0,31846.0,0.3379074295044797,0.23552953864378137,0.0,336532.0,902659.0,304686.0,870813.0,36.91198266658177,0.8976851851851853,0.9246913580246913,0.9111882716049382,0.9466158245948523,0.9976167778836987,0.8102955195424214,0.9075309818875119,0.929146806482364
DC36,DC10,DC36->DC10,511772.0,16508.774193548386,19031.0,2191.3315691117214,22427613.0,251835.0,0.07556932118252001,0.1327373882167435,0.0,938959.0,2290621.0,687124.0,2038786.0,10.824190442154542,0.8058641975308642,0.8976851851851853,0.8517746913580247,0.9837940896091517,0.9261201143946616,0.7006673021925643,0.990467111534795,0.9285748331744519
DC14,DC5,DC14->DC5,384929.0,12417.064516129032,13999.0,2292.578586762694,6532206.0,63336.0,0.2210275356827046,0.1846312857426637,0.0,1575798.0,693070.0,1512462.0,629734.0,33.822723253757204,0.9246913580246913,0.8759259259259259,0.9003086419753086,0.9671115347950429,0.9842707340324118,0.7550047664442326,0.9142040038131554,0.9263584366062917
DC47,DC9,DC47->DC9,476467.0,15369.90322580645,45689.0,10980.813764294458,2247873.0,65326.0,0.6993999326454904,0.7144361030105045,0.0,579385.0,1447351.0,514059.0,1382025.0,29.02495178030143,0.7172839506172839,0.9165123456790123,0.8168981481481481,0.9618684461391802,0.8274547187797903,0.9742612011439467,0.9304099142040038,0.9222592945662536
DC22,DC4,DC22->DC4,999355.0,32237.25806451613,36499.0,4801.699981006336,22232662.0,236073.0,0.15460895570437894,0.14894877136872464,0.0,884569.0,2405716.0,648496.0,2169643.0,11.937574394361016,0.7834876543209874,0.8876543209876543,0.8355709876543209,0.9921353670162059,0.8841754051477597,0.7130600571973308,0.9837940896091516,0.9211987607244995
DC8,DC62,DC8->DC62,415303.0,13396.870967741936,16980.0,2347.082316985392,5579549.0,42308.0,0.40134253569064005,0.175196306856781,0.0,218287.0,1059024.0,175979.0,1016716.0,28.190767703506946,0.8814814814814814,0.8708333333333331,0.8761574074074072,0.9680648236415634,0.9509056244041945,0.7407054337464252,0.9332697807435653,0.920972354623451
DC10,DC5,DC10->DC5,169358.0,5463.1612903225805,6668.0,1313.6088703674366,2452550.0,32524.0,0.2050178329848664,0.24044848770877714,0.0,336532.0,693070.0,304008.0,660546.0,29.656684294673788,0.8976851851851853,0.8759259259259259,0.8868055555555556,0.9218303145853194,0.9671115347950429,0.8188751191611058,0.9294566253574833,0.9196139180171592
DC17,DC3,DC17->DC3,297326.0,9591.161290322581,17391.0,3967.203940184786,2884658.0,50008.0,0.34776435770276065,0.4136312402740276,0.0,795108.0,727980.0,745100.0,677972.0,28.45688689809574,0.7677469135802468,0.8919753086419754,0.8298611111111112,0.9463775023832222,0.8779790276453765,0.9056244041944709,0.9313632030505243,0.9194113441372735
DC17,DC10,DC17->DC10,465887.0,15028.612903225807,17675.0,2275.2915116659915,21592601.0,235018.0,0.07520700542086106,0.1513973063460475,0.0,795108.0,2290621.0,560090.0,2055603.0,11.129756018687884,0.7677469135802468,0.8976851851851853,0.832716049382716,0.978789323164919,0.8813155386081983,0.7149666348903718,0.9876072449952336,0.9170519542421354
DC17,DC4,DC17->DC4,992315.0,32010.16129032258,37593.0,4368.615962246891,24843020.0,245699.0,0.15300428573172806,0.13647591221502184,0.0,795108.0,2405716.0,549409.0,2160017.0,11.027419729017982,0.7677469135802468,0.8876543209876543,0.8277006172839505,0.9923736892278361,0.8670162059103909,0.7016205910390848,0.988560533841754,0.9164680648236415
DC17,DC14,DC17->DC14,270026.0,8710.516129032258,10636.0,1831.6015179911803,10530257.0,62548.0,0.17004540512885832,0.21027474042395944,0.0,795108.0,902659.0,732560.0,840111.0,25.143425848947608,0.7677469135802468,0.9246913580246913,0.8462191358024691,0.9554337464251668,0.9127740705433747,0.782650142993327,0.9456625357483317,0.9164084842707341
DC36,DC14,DC36->DC14,309724.0,9991.09677419355,12500.0,1936.3878969382527,8737698.0,54215.0,0.2305634971871211,0.19381134431003028,0.0,938959.0,902659.0,884744.0,848444.0,31.968790925020162,0.8058641975308642,0.9246913580246913,0.8652777777777778,0.9611534795042898,0.9394661582459485,0.7664442326024785,0.9199237368922784,0.9162178265014298
DC22,DC14,DC22->DC14,256166.0,8263.41935483871,9740.0,1587.9447210292758,7133003.0,65525.0,0.1486455551316269,0.19216557369792084,0.0,884569.0,902659.0,819044.0,837134.0,25.27551316291453,0.7834876543209874,0.9246913580246913,0.8540895061728393,0.9509056244041945,0.9308865586272641,0.7645376549094376,0.9437559580552908,0.9161582459485225
DC8,DC10,DC8->DC10,515878.0,16641.225806451614,18879.0,2012.928563219358,9164976.0,63396.0,0.2977948135529009,0.1209603539204935,0.0,218287.0,2290621.0,154891.0,2227225.0,37.57517824468361,0.8814814814814814,0.8976851851851853,0.8895833333333334,0.9802192564346996,0.9690181124880839,0.6949475691134414,0.90371782650143,0.9155028598665395
DC19,DC3,DC19->DC3,299503.0,9661.387096774193,18367.0,4261.93461808904,2425820.0,48217.0,0.3809237405894108,0.4411307170904684,0.0,801505.0,727980.0,753288.0,679763.0,29.720866084575366,0.7584876543209877,0.8919753086419754,0.8252314814814816,0.944232602478551,0.8555767397521449,0.9199237368922784,0.9275500476644424,0.9142516682554814
DC25,DC8,DC25->DC8,531020.0,17129.677419354837,20525.0,2378.146233696522,14996038.0,93188.0,0.22025368073142226,0.138831933344484,0.0,535975.0,2130508.0,442787.0,2037320.0,26.614016826200512,0.8162037037037037,0.8814814814814814,0.8488425925925925,0.9830791229742613,0.9175405147759771,0.7063870352716873,0.9389895138226882,0.9141682554814108
DC22,DC3,DC22->DC3,363062.0,11711.677419354839,34513.0,6564.918977890306,2236158.0,29865.0,1.155633684915414,0.5605447232554829,0.03225806451612903,884569.0,727980.0,854704.0,698115.0,51.994609074165346,0.7834876543209874,0.8919753086419754,0.8377314814814814,0.9520972354623451,0.8908484270734033,0.9532888465204957,0.8570066730219257,0.9131911344137273
DC19,DC4,DC19->DC4,1017970.0,32837.74193548387,37535.0,4624.67441900398,24409049.0,248759.0,0.15088901306083338,0.1408341178906245,0.0,801505.0,2405716.0,552746.0,2156957.0,10.892884277553733,0.7584876543209877,0.8876543209876543,0.823070987654321,0.9935653002859868,0.8469971401334604,0.7082936129647283,0.9895138226882746,0.9131196377502384
DC22,DC10,DC22->DC10,235812.0,7606.8387096774195,9066.0,1287.8885720377489,17296524.0,235177.0,0.038549688107255224,0.16930667537345412,0.0,884569.0,2290621.0,649392.0,2055444.0,11.501277761005491,0.7834876543209874,0.8976851851851853,0.8405864197530863,0.9494756911344138,0.8956148713060057,0.7311725452812202,0.9866539561487131,0.9125595805529075
DC46,DC9,DC46->DC9,576907.0,18609.90322580645,39437.0,8104.6606000651045,2851581.0,37361.0,1.0555659645084166,0.43550256558163575,0.12903225806451613,211065.0,1447351.0,173704.0,1409990.0,42.38896175155798,0.7342592592592593,0.9165123456790123,0.8253858024691358,0.9702097235462345,0.8570066730219257,0.9180171591992373,0.8817921830314586,0.9119756911344137
DC51,DC3,DC51->DC3,151488.0,4886.709677419355,8883.0,2213.2474198605205,1261461.0,49638.0,0.17895563882509008,0.45291158385919733,0.0,715715.0,727980.0,666077.0,678342.0,27.084471574196645,0.775,0.8919753086419754,0.8334876543209877,0.9072926596758818,0.882745471877979,0.9256434699714013,0.9380362249761678,0.9115943755958055
DC10,DC62,DC10->DC62,326190.0,10522.258064516129,12301.0,1932.6013551477276,4383976.0,32318.0,0.3806238009777715,0.18366792976355456,0.0,336532.0,1059024.0,304214.0,1026706.0,41.18200383686982,0.8976851851851853,0.8708333333333331,0.8842592592592592,0.9568636796949476,0.9613918017159199,0.7540514775977121,0.8913250714966635,0.9111892278360342
DC62,DC14,DC62->DC14,286491.0,9241.645161290322,11164.0,1496.3950347070595,2151722.0,30732.0,0.3632695561629454,0.1619186853196569,0.0,195979.0,902659.0,165247.0,871927.0,33.74899127944703,0.8708333333333331,0.9246913580246913,0.8977623456790123,0.9382745471877978,0.9804575786463299,0.7235462345090562,0.9151572926596759,0.9108317445185891
DC19,DC10,DC19->DC10,300864.0,9705.290322580646,11738.0,1690.4425683835348,19478416.0,161384.0,0.07273335646656377,0.1741774343885748,0.0,801505.0,2290621.0,640121.0,2129237.0,17.16005304119357,0.7584876543209877,0.8976851851851853,0.8280864197530865,0.9621067683508103,0.8689227836034319,0.7387988560533841,0.9733079122974261,0.9081148713060058
DC14,DC4,DC14->DC4,7442.0,240.06451612903226,369.0,77.59944108705896,2345709.0,172448.0,0.002139775468547028,0.32324411094985317,0.0,1575798.0,2405716.0,1403350.0,2233268.0,21.088200501020477,0.9246913580246913,0.8876543209876543,0.9061728395061728,0.8222116301239275,0.9918970448045757,0.877025738798856,0.9571020019065777,0.9065776930409915
DC51,DC8,DC51->DC8,488327.0,15752.483870967742,18378.0,2415.571112206584,11868263.0,118955.0,0.15449539741919083,0.15334541092014028,0.0,715715.0,2130508.0,596760.0,2011553.0,21.926888319112084,0.775,0.8814814814814814,0.8282407407407407,0.9802192564346996,0.8703527168732126,0.7168732125834127,0.9523355576739753,0.9062797902764537
DC19,DC14,DC19->DC14,262628.0,8471.870967741936,10099.0,1488.3557011104892,8955173.0,62233.0,0.16227724840518437,0.175682054976696,0.0,801505.0,902659.0,739272.0,840426.0,25.383606768112973,0.7584876543209877,0.9246913580246913,0.8415895061728396,0.9535271687321258,0.8994280266920877,0.7426120114394662,0.9428026692087702,0.9056839847473783
DC20,DC4,DC20->DC4,596252.0,19233.935483870966,24590.0,3193.9988479958724,16729999.0,121795.0,0.20189662958249352,0.16606059902166687,0.0,422975.0,2405716.0,301180.0,2283921.0,21.22501744734988,0.7592592592592592,0.8876543209876543,0.8234567901234567,0.9849857006673022,0.8489037178265014,0.7273593898951383,0.9551954242135366,0.904873689227836
DC20,DC10,DC20->DC10,256113.0,8261.709677419354,9127.0,1333.4294178871985,12769474.0,130546.0,0.0699140532838994,0.1613987261657868,0.0,422975.0,2290621.0,292429.0,2160075.0,18.786512034072135,0.7592592592592592,0.8976851851851853,0.8284722222222223,0.9535271687321258,0.8717826501429933,0.7225929456625357,0.9675881792183031,0.9019661582459485
DC23,DC62,DC23->DC62,330601.0,10664.548387096775,12298.0,1645.3417889597888,4737926.0,58889.0,0.20883356823854696,0.1542814312653279,0.0,810066.0,1059024.0,751177.0,1000135.0,29.739204265651825,0.8141975308641975,0.8708333333333331,0.8425154320987653,0.959485224022879,0.9041944709246902,0.7178265014299333,0.9265967588179218,0.9011916110581506
DC8,DC5,DC8->DC5,126752.0,4088.7741935483873,5065.0,651.8475830990643,642727.0,56714.0,0.08930775469901454,0.1594237177801222,0.0,218287.0,693070.0,161573.0,636356.0,14.069347956412631,0.8814814814814814,0.8759259259259259,0.8787037037037037,0.886558627264061,0.9528122020972355,0.7197330791229742,0.9771210676835081,0.9007387988560533
DC36,DC62,DC36->DC62,402110.0,12971.290322580646,15383.0,1823.9735282733222,5827318.0,61633.0,0.24959031687569566,0.14061619799673877,0.0,938959.0,1059024.0,877326.0,997391.0,30.417422484707377,0.8058641975308642,0.8708333333333331,0.8383487654320987,0.9678265014299332,0.8932316491897044,0.7073403241182078,0.9237368922783603,0.899082459485224
DC23,DC14,DC23->DC14,260425.0,8400.806451612903,10346.0,1598.2110849998637,7003949.0,32755.0,0.31586017401922406,0.19024495971965008,0.0,810066.0,902659.0,777311.0,869904.0,50.288963517018765,0.8141975308641975,0.9246913580246913,0.8694444444444445,0.9513822688274547,0.9451858913250715,0.7607244995233555,0.8608198284080076,0.8985938989513822
DC25,DC10,DC25->DC10,245571.0,7921.645161290323,9020.0,1270.3486833603192,9772362.0,64006.0,0.1409242883479652,0.16036424978586608,0.0,535975.0,2290621.0,471969.0,2226615.0,42.16142236665247,0.8162037037037037,0.8976851851851853,0.8569444444444445,0.9485224022878932,0.9356530028598665,0.7206863679694948,0.8846520495710201,0.8951620591039086
DC73,DC4,DC73->DC4,475328.0,15333.161290322581,23065.0,4893.754268958871,5527078.0,132787.0,0.17369923260560016,0.3191614681603337,0.0,352936.0,2405716.0,220149.0,2272929.0,18.775015626529566,0.6802469135802469,0.8876543209876543,0.7839506172839505,0.9721163012392755,0.7235462345090562,0.8732125834127741,0.9685414680648237,0.8942445185891326
DC25,DC14,DC25->DC14,194425.0,6271.774193548387,7467.0,1043.56747651683,5786985.0,30950.0,0.24126009693052533,0.16639111108147908,0.0,535975.0,902659.0,505025.0,871709.0,44.48252019385963,0.8162037037037037,0.9246913580246913,0.8704475308641975,0.9389895138226884,0.9470924690181125,0.7292659675881792,0.8732125834127741,0.8931124880838894
DC44,DC8,DC44->DC8,469854.0,15156.58064516129,18708.0,2346.991413514174,11515542.0,192275.0,0.09729814068391576,0.15484966355279425,0.0,511263.0,2130508.0,318988.0,1938233.0,11.739544922636789,0.7271604938271605,0.8814814814814814,0.8043209876543209,0.977121067683508,0.7859866539561488,0.7187797902764538,0.9857006673021925,0.8927311725452812
DC51,DC10,DC51->DC10,140439.0,4530.290322580645,5527.0,1132.6642355753575,3734715.0,73471.0,0.07522696029725912,0.25002023157974873,0.0,715715.0,2290621.0,642244.0,2217150.0,38.91867539573384,0.775,0.8976851851851853,0.8363425925925927,0.9192087702573879,0.8870352716873212,0.8293612964728313,0.897998093422307,0.8923856053384175
DC17,DC5,DC17->DC5,226651.0,7311.322580645161,8741.0,1520.0744758302997,3105438.0,59867.0,0.14600698214374955,0.20790690864250697,0.0,795108.0,693070.0,735241.0,633203.0,22.85806871899339,0.7677469135802468,0.8759259259259259,0.8218364197530863,0.934699714013346,0.8427073403241182,0.780743565300286,0.9494756911344138,0.892302192564347
DC22,DC62,DC22->DC62,293684.0,9473.677419354839,10862.0,1629.1212629789457,4524196.0,60403.0,0.17982550535569128,0.1719629232520055,0.0,884569.0,1059024.0,824166.0,998621.0,30.177093852953824,0.7834876543209874,0.8708333333333331,0.8271604938271603,0.9504289799809342,0.8632030505243089,0.7349857006673022,0.9256434699714013,0.89010962821735
DC48,DC9,DC48->DC9,226008.0,7290.580645161291,18431.0,4374.751530449904,1392359.0,62978.0,0.29265775350121803,0.6000552964670649,0.0,201093.0,1447351.0,138115.0,1384373.0,24.174918225411666,0.666820987654321,0.9165123456790123,0.7916666666666666,0.9232602478551001,0.7440419447092469,0.9590085795996187,0.9475691134413727,0.8898951382268828
DC20,DC14,DC20->DC14,190143.0,6133.645161290323,7499.0,1150.5287858166416,5711421.0,30502.0,0.24585273096845303,0.18757667839631262,0.0,422975.0,902659.0,392473.0,872157.0,41.460559963279735,0.7592592592592592,0.9246913580246913,0.8419753086419752,0.9349380362249762,0.9013346043851287,0.7569113441372736,0.8894184938036225,0.8884532888465205
DC19,DC62,DC19->DC62,328642.0,10601.354838709678,12504.0,1903.272776347695,5405648.0,65493.0,0.1909211671476312,0.17953108874329202,0.0,801505.0,1059024.0,736012.0,993531.0,26.40805887652075,0.7584876543209877,0.8708333333333331,0.8146604938271604,0.9597235462345091,0.8179218303145853,0.7464251668255482,0.9399428026692088,0.8873331744518589
DC23,DC5,DC23->DC5,152396.0,4916.0,6221.0,1139.8649891756422,2644098.0,30164.0,0.2062392255668941,0.2318683867321827,0.0,810066.0,693070.0,779902.0,662906.0,47.83211775626416,0.8141975308641975,0.8759259259259259,0.8450617283950617,0.9184938036224977,0.9080076263107721,0.8045757864632984,0.8665395614871306,0.8857959961868446
DC38,DC4,DC38->DC4,325600.0,10503.225806451614,12849.0,1861.5920988658695,9806723.0,100451.0,0.12791311186548537,0.17724003398291294,0.0,321772.0,2405716.0,221321.0,2305265.0,25.15242257419015,0.7305555555555555,0.8876543209876543,0.8091049382716049,0.9637750238322211,0.8012392755004767,0.7454718779790277,0.9447092469018112,0.8856291706387036
DC17,DC62,DC17->DC62,388864.0,12544.0,13828.0,1575.2332341388317,6065688.0,58564.0,0.2361177515197009,0.12557662899702696,0.0,795108.0,1059024.0,736544.0,1000460.0,29.659927600573226,0.7677469135802468,0.8708333333333331,0.81929012345679,0.9673498570066731,0.836510962821735,0.6959008579599618,0.9285033365109628,0.8842111534795043
DC15,DC62,DC15->DC62,193579.0,6244.4838709677415,7270.0,1104.134484298572,2409519.0,86858.0,0.08369983190955256,0.17681757325562303,0.0,357552.0,1059024.0,270694.0,972166.0,14.309102212806945,0.7561728395061729,0.8708333333333331,0.813503086419753,0.9275500476644423,0.8145853193517636,0.7445185891325071,0.9761677788369876,0.8840085795996186
DC51,DC14,DC51->DC14,127154.0,4101.741935483871,5224.0,1114.8221026242168,3323435.0,25068.0,0.20839317057602488,0.2717923555793942,0.0,715715.0,902659.0,690647.0,877591.0,62.55935854475576,0.775,0.9246913580246913,0.8498456790123456,0.9118207816968542,0.9208770257387988,0.8427073403241182,0.8322211630123928,0.8838179218303146
DC38,DC14,DC38->DC14,125952.0,4062.967741935484,4965.0,925.4633184508865,3577900.0,31801.0,0.15612716581239092,0.22778012950941962,0.0,321772.0,902659.0,289971.0,870858.0,36.50290871356132,0.7305555555555555,0.9246913580246913,0.8276234567901234,0.9101525262154433,0.8651096282173498,0.8017159199237369,0.9103908484270734,0.8826858913250715
DC15,DC8,DC15->DC8,434703.0,14022.677419354839,15445.0,2063.658095385814,9305527.0,62804.0,0.24592382650786185,0.14716576825316519,0.0,357552.0,2130508.0,294748.0,2067704.0,37.61626647984145,0.7561728395061729,0.8814814814814814,0.8188271604938271,0.9740228789323164,0.834604385128694,0.7121067683508103,0.9027645376549094,0.882066253574833
DC21,DC3,DC21->DC3,243880.0,7867.096774193548,18121.0,3926.215803929001,2297939.0,19506.0,0.9289962062954512,0.4990679429300622,0.0967741935483871,360996.0,727980.0,341490.0,708474.0,53.82774530913289,0.7339506172839506,0.8919753086419754,0.812962962962963,0.9323164918970448,0.8117254528122021,0.9361296472831268,0.8493803622497617,0.8820066730219256
DC10,DC8,DC10->DC8,29460.0,950.3225806451613,1298.0,221.964307955679,1003695.0,57645.0,0.022517130713851637,0.23356733016357123,0.0,336532.0,2130508.0,278887.0,2072863.0,40.79712030531632,0.8976851851851853,0.8814814814814814,0.8895833333333334,0.8427073403241182,0.9690181124880839,0.8074356530028599,0.8932316491897044,0.8816253574833174
DC44,DC3,DC44->DC3,112816.0,3639.2258064516127,9574.0,2044.5260939913303,944661.0,31563.0,0.30332984824001824,0.5618024829254169,0.0,511263.0,727980.0,479700.0,696417.0,37.262522573898636,0.7271604938271605,0.8919753086419754,0.809567901234568,0.8872735938989513,0.8026692087702574,0.9542421353670162,0.9056244041944709,0.8807554814108675
DC62,DC5,DC62->DC5,65751.0,2121.0,3144.0,717.6269585327068,323635.0,16004.0,0.19645088727816817,0.33834368624816996,0.0,195979.0,693070.0,179975.0,677066.0,53.551674581351314,0.8708333333333331,0.8759259259259259,0.8733796296296295,0.849857006673022,0.9489990467111534,0.8836987607244995,0.8503336510962822,0.8798379408960916
DC62,DC10,DC62->DC10,305293.0,9848.161290322581,10841.0,1479.7694479704337,2616379.0,31614.0,0.3429176946922141,0.15025844970922617,0.0,195979.0,2290621.0,164365.0,2259007.0,76.65502625418875,0.8708333333333331,0.8976851851851853,0.8842592592592592,0.9475691134413727,0.9613918017159199,0.7140133460438512,0.8007626310772163,0.8792897998093422
