site,historical_total_throughput,site_capacity,forecast_total_throughput,forecast_daily_mean,forecast_daily_max,forecast_daily_std,in_degree,out_degree,total_degree,forecast_max_load_rate,high_load_day_ratio,forecast_throughput_cv,direct_shutdown_affected_volume,volume_score,structure_score,volatility_score,failure_impact_score,importance_score
DC36,73670459.0,369686.0,3174596.0,102406.32258064517,127663.0,16463.16828048069,11.0,21.0,32.0,0.3453281974432347,0.0,0.16076320158372795,3174596.0,0.9074074074074074,0.7777777777777778,0.4567901234567901,0.9012345679012346,0.8058641975308642
DC22,58701294.0,402134.0,2349690.0,75796.45161290323,105141.0,14976.203246050498,10.0,21.0,31.0,0.2614576235782096,0.0,0.19758449013595805,2349690.0,0.8487654320987653,0.7654320987654321,0.5679012345679012,0.8395061728395061,0.7834876543209874
DC51,29966893.0,400791.0,2224369.0,71753.83870967742,120421.0,20826.041946743837,3.0,18.0,21.0,0.30045834362547985,0.0,0.2902428960073845,2224369.0,0.8209876543209876,0.6419753086419753,0.8024691358024691,0.8271604938271605,0.775
DC17,70145496.0,437920.0,2649485.0,85467.25806451614,100743.0,11874.500114348426,5.0,20.0,25.0,0.23004886737303565,0.0,0.1389362474385765,2649485.0,0.8858024691358025,0.7098765432098766,0.4074074074074074,0.8765432098765432,0.7677469135802468
DC20,42512252.0,186445.0,1594744.0,51443.354838709674,63044.0,9454.535714870768,14.0,19.0,33.0,0.3381372522727864,0.0,0.1837853643976639,1594744.0,0.8024691358024691,0.7901234567901234,0.5555555555555556,0.7901234567901234,0.7592592592592592
DC19,65568508.0,320853.0,2359137.0,76101.19354838709,92403.0,12009.408326376273,6.0,19.0,25.0,0.28799169713233075,0.0,0.15780840965050338,2359137.0,0.861111111111111,0.7098765432098766,0.4444444444444444,0.8518518518518519,0.7584876543209877
DC15,26100946.0,109833.0,2046882.0,66028.45161290323,122306.0,16382.04522825407,4.0,19.0,23.0,1.1135633188567997,0.03225806451612903,0.24810585176667166,2046882.0,0.802469135802469,0.6790123456790124,0.6790123456790124,0.8148148148148148,0.7561728395061729
DC46,16341005.0,100327.0,1028080.0,33163.87096774193,52236.0,9045.86876207974,1.0,20.0,21.0,0.5206574501380433,0.0,0.27276275350601464,1028080.0,0.771604938271605,0.6419753086419753,0.7283950617283951,0.7777777777777778,0.7342592592592593
DC21,45119040.0,182916.0,460431.0,14852.612903225807,25080.0,5816.953030567936,9.0,18.0,27.0,0.13711211703732787,0.0,0.39164509763155364,460431.0,0.7160493827160493,0.7407407407407407,0.8765432098765432,0.6666666666666666,0.7339506172839506
DC38,28278470.0,156577.0,1021158.0,32940.58064516129,43553.0,6751.33418486705,8.0,18.0,26.0,0.2781570728778794,0.0,0.20495492346029923,1021158.0,0.7716049382716049,0.7283950617283951,0.5802469135802469,0.7654320987654321,0.7305555555555555
DC44,27338864.0,257960.0,1654731.0,53378.41935483871,76696.0,14500.987358539716,1.0,18.0,19.0,0.29731741355248764,0.0,0.27166385842455526,1654731.0,0.7962962962962963,0.5617283950617284,0.7160493827160493,0.8024691358024691,0.7271604938271605
DC47,15250448.0,168273.0,1013526.0,32694.387096774193,68813.0,13388.888167666693,1.0,17.0,18.0,0.4089366683900542,0.0,0.4095164141794634,1013526.0,0.7469135802469137,0.5370370370370371,0.8888888888888888,0.7530864197530864,0.7172839506172839
DC35,12911197.0,152113.0,266826.0,8607.290322580646,11923.0,2550.7859281399274,55.0,18.0,73.0,0.07838251825945135,0.0,0.29635179394934735,266826.0,0.6203703703703703,0.9012345679012346,0.8271604938271605,0.5925925925925926,0.7146604938271605
DC70,9722315.0,63799.0,433957.0,13998.612903225807,18435.0,3662.7587494411505,46.0,12.0,58.0,0.2889543723255805,0.0,0.26165154896145826,433957.0,0.6481481481481481,0.8765432098765432,0.691358024691358,0.6419753086419753,0.7101851851851853
DC28,16308582.0,84320.0,755261.0,24363.25806451613,33160.0,5805.30588212332,2.0,19.0,21.0,0.39326375711574485,0.0,0.23828118007657687,755261.0,0.712962962962963,0.6419753086419753,0.654320987654321,0.7037037037037037,0.684104938271605
DC73,15216392.0,282927.0,1012160.0,32650.322580645163,46844.0,9102.944633068792,2.0,15.0,17.0,0.16556921043237244,0.0,0.27880106270265953,1012160.0,0.7345679012345679,0.5,0.7530864197530864,0.7407407407407407,0.6802469135802469
DC30,12369331.0,64482.0,527176.0,17005.677419354837,19810.0,3017.739117255284,10.0,19.0,29.0,0.3072175180670527,0.0,0.17745480187813614,527176.0,0.6820987654320988,0.7530864197530864,0.5308641975308642,0.6790123456790124,0.6763888888888888
DC48,9635963.0,93463.0,630758.0,20347.032258064515,33040.0,5486.345157981568,2.0,18.0,20.0,0.3535088751698495,0.0,0.2696385934025732,630758.0,0.6820987654320987,0.5987654320987654,0.7037037037037037,0.691358024691358,0.666820987654321
DC40,3442931.0,36831.0,105916.0,3416.6451612903224,4685.0,1118.2407135515718,48.0,17.0,65.0,0.12720262822078882,0.0,0.3272920250017805,105916.0,0.5308641975308641,0.8888888888888888,0.8518518518518519,0.5185185185185185,0.6654320987654321
DC12,3539627.0,118793.0,79958.0,2579.2903225806454,9829.0,2635.8948066722674,40.0,12.0,52.0,0.08274056552153676,0.0,1.0219457591086396,79958.0,0.5092592592592593,0.8518518518518519,0.9876543209876543,0.48148148148148145,0.6597222222222222
DC26,9745961.0,49816.0,766364.0,24721.41935483871,33662.0,5662.299856317326,0.0,17.0,17.0,0.6757266741608986,0.0,0.22904428645634453,766364.0,0.70679012345679,0.5,0.6296296296296297,0.7160493827160493,0.6458333333333333
DC27,5480043.0,95355.0,839868.0,27092.516129032258,36453.0,5731.264342134053,2.0,15.0,17.0,0.3822872424099378,0.0,0.21154418861791266,839868.0,0.7006172839506173,0.5,0.6049382716049383,0.7283950617283951,0.6430555555555555
DC50,5868659.0,65406.0,323257.0,10427.645161290322,17031.0,2880.2980641950267,2.0,18.0,20.0,0.26038895514172616,0.0,0.2762174987395084,323257.0,0.6296296296296297,0.5987654320987654,0.7407407407407407,0.6296296296296297,0.6385802469135802
DC43,8223177.0,85702.0,443785.0,14315.645161290322,19528.0,3340.3560419501264,3.0,17.0,20.0,0.22785932650346283,0.0,0.23333604628467994,443785.0,0.6512345679012346,0.5987654320987654,0.6419753086419753,0.654320987654321,0.6375
DC34,874078.0,8201.0,32476.0,1047.6129032258063,1613.0,437.31812274209267,37.0,16.0,53.0,0.19668333130103685,0.0,0.4174424745963768,32476.0,0.44753086419753085,0.8641975308641975,0.9012345679012346,0.4444444444444444,0.6189814814814814
DC42,4552571.0,35227.0,292486.0,9435.032258064517,16248.0,2781.1925091861162,0.0,17.0,17.0,0.46123711925510374,0.0,0.294772973013274,292486.0,0.6141975308641975,0.5,0.8148148148148148,0.6172839506172839,0.6165123456790124
DC58,3482288.0,76509.0,152947.0,4933.774193548387,18560.0,5766.652177486363,1.0,14.0,15.0,0.24258583957442598,0.0,1.1688115327665205,152947.0,0.5524691358024691,0.42592592592592593,1.0,0.5432098765432098,0.5856481481481481
DC7,3110503.0,14128.0,210126.0,6778.258064516129,12088.0,2373.8530129203646,0.0,14.0,14.0,0.855605889014662,0.06451612903225806,0.3502157914799713,210126.0,0.5740740740740742,0.4012345679012346,0.8641975308641975,0.5802469135802469,0.575925925925926
DC60,1167520.0,47685.0,182017.0,5871.5161290322585,13072.0,3097.162060723497,1.0,12.0,13.0,0.2741323267274767,0.0,0.5274893217798998,182017.0,0.5493827160493827,0.37037037037037035,0.9506172839506173,0.5679012345679012,0.5694444444444444
DC41,1004618.0,35763.0,291012.0,9387.483870967742,35553.0,7183.588257252768,0.0,10.0,10.0,0.9941280093951572,0.03225806451612903,0.7652304234011383,291012.0,0.5740740740740741,0.2716049382716049,0.9629629629629629,0.6049382716049383,0.5645061728395062
DC31,1429373.0,22266.0,98439.0,3175.451612903226,4232.0,897.2736065872236,1.0,18.0,19.0,0.19006557082546527,0.0,0.2825656681213256,98439.0,0.5092592592592593,0.5617283950617284,0.7654320987654321,0.5061728395061729,0.5600308641975309
DC45,1658328.0,36681.0,166001.0,5354.870967741936,11886.0,2334.501628681895,1.0,11.0,12.0,0.3240369673672931,0.0,0.4359585212686985,166001.0,0.5493827160493827,0.3333333333333333,0.9135802469135802,0.5555555555555556,0.5515432098765432
DC59,667707.0,31036.0,122285.0,3944.6774193548385,5172.0,1127.393980055024,2.0,12.0,14.0,0.16664518623533423,0.0,0.28580131154022886,122285.0,0.5061728395061729,0.4012345679012346,0.7901234567901234,0.5308641975308642,0.5287037037037037
DC53,497750.0,26382.0,80943.0,2611.064516129032,5500.0,1204.5987401910759,0.0,13.0,13.0,0.20847547570312303,0.0,0.46134392036258914,80943.0,0.4722222222222222,0.37037037037037035,0.9382716049382716,0.49382716049382713,0.5220679012345679
DC56,192609.0,2564.0,2940.0,94.83870967741936,202.0,43.08139091877557,0.0,13.0,13.0,0.07878315132602232,0.0,0.45425956410474844,2940.0,0.38580246913580246,0.37037037037037035,0.9259259259259259,0.3950617283950617,0.4652777777777778
DC69,77233.0,50191.0,72074.0,2324.967741935484,7626.0,1945.7887277792945,0.0,7.0,7.0,0.15193959076328123,0.0,0.8369099891934981,72074.0,0.42592592592592593,0.15432098765432098,0.9753086419753086,0.4691358024691358,0.4512345679012345
DC71,1379406.0,22358.0,19997.0,645.0645161290323,851.0,135.8110488839528,0.0,12.0,12.0,0.038062438500758654,0.0,0.21053870657578685,19997.0,0.4506172839506173,0.3333333333333333,0.5925925925925926,0.43209876543209874,0.43796296296296294
DC68,574408.0,29457.0,52233.0,1684.9354838709678,2084.0,302.4500956419061,0.0,12.0,12.0,0.07074719082051564,0.0,0.17950247860344082,52233.0,0.44753086419753085,0.3333333333333333,0.5432098765432098,0.4567901234567901,0.4356481481481481
DC52,264849.0,5209.0,10385.0,335.0,387.0,38.98055760206287,1.0,14.0,15.0,0.07429449030522665,0.0,0.11635987343864632,10385.0,0.4012345679012345,0.42592592592592593,0.3950617283950617,0.4074074074074074,0.40802469135802466
DC55,485931.0,3406.0,15732.0,507.48387096774195,603.0,82.52423728732255,0.0,11.0,11.0,0.17704051673512125,0.0,0.16261450266348576,15732.0,0.4135802469135802,0.30246913580246915,0.4691358024691358,0.41975308641975306,0.39567901234567904
DC64,1720476.0,237441.0,0.0,0.0,0.0,0.0,33.0,7.0,40.0,0.0,0.0,0.0,0.0,0.2839506172839506,0.8271604938271605,0.19753086419753085,0.19753086419753085,0.38518518518518513
DC65,887165.0,104965.0,0.0,0.0,0.0,0.0,33.0,7.0,40.0,0.0,0.0,0.0,0.0,0.26543209876543206,0.8271604938271605,0.19753086419753085,0.19753086419753085,0.37870370370370365
DC32,52130.0,2098.0,0.0,0.0,0.0,0.0,34.0,6.0,40.0,0.0,0.0,0.0,0.0,0.21296296296296297,0.8271604938271605,0.19753086419753085,0.19753086419753085,0.3603395061728395
DC81,52691.0,18035.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.21604938271604937,0.6666666666666666,0.19753086419753085,0.19753086419753085,0.32129629629629625
DC33,10020.0,3052.0,0.0,0.0,0.0,0.0,11.0,9.0,20.0,0.0,0.0,0.0,0.0,0.2006172839506173,0.5987654320987654,0.19753086419753085,0.19753086419753085,0.2989197530864197
DC67,28247.0,3826.0,0.0,0.0,0.0,0.0,8.0,10.0,18.0,0.0,0.0,0.0,0.0,0.2067901234567901,0.5370370370370371,0.19753086419753085,0.19753086419753085,0.28564814814814815
DC13,4809.0,664.0,0.0,0.0,0.0,0.0,7.0,9.0,16.0,0.0,0.0,0.0,0.0,0.19753086419753085,0.4567901234567901,0.19753086419753085,0.19753086419753085,0.2623456790123456
DC29,3433.0,1158.0,0.0,0.0,0.0,0.0,14.0,2.0,16.0,0.0,0.0,0.0,0.0,0.19444444444444442,0.4567901234567901,0.19753086419753085,0.19753086419753085,0.2612654320987654
DC76,223.0,49.0,0.0,0.0,0.0,0.0,9.0,7.0,16.0,0.0,0.0,0.0,0.0,0.17901234567901234,0.4567901234567901,0.19753086419753085,0.19753086419753085,0.2558641975308642
DC37,198768.0,8433.0,0.0,0.0,0.0,0.0,2.0,9.0,11.0,0.0,0.0,0.0,0.0,0.24074074074074073,0.30246913580246915,0.19753086419753085,0.19753086419753085,0.23888888888888887
DC72,120765.0,10016.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.22530864197530864,0.24691358024691357,0.19753086419753085,0.19753086419753085,0.21959876543209875
DC57,19120.0,425.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.2037037037037037,0.2716049382716049,0.19753086419753085,0.19753086419753085,0.21820987654320984
DC16,141882.0,31516.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.23148148148148145,0.21604938271604937,0.19753086419753085,0.19753086419753085,0.21404320987654318
DC61,640.0,369.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.18518518518518517,0.2716049382716049,0.19753086419753085,0.19753086419753085,0.21172839506172836
DC49,675866.0,39976.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.25925925925925924,0.15432098765432098,0.19753086419753085,0.19753086419753085,0.20833333333333331
DC6,2085.0,1832.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.19135802469135801,0.21604938271604937,0.19753086419753085,0.19753086419753085,0.19999999999999998
DC11,178246.0,14036.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.2345679012345679,0.15432098765432098,0.19753086419753085,0.19753086419753085,0.19969135802469132
DC2,831.0,250.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.1882716049382716,0.21604938271604937,0.19753086419753085,0.19753086419753085,0.19891975308641974
DC18,139869.0,97230.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.22839506172839505,0.15432098765432098,0.19753086419753085,0.19753086419753085,0.19753086419753083
DC24,413.0,36.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.18209876543209874,0.21604938271604937,0.19753086419753085,0.19753086419753085,0.19675925925925922
DC74,76280.0,5331.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.21913580246913578,0.15432098765432098,0.19753086419753085,0.19753086419753085,0.1942901234567901
DC66,32998.0,587.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.20987654320987653,0.15432098765432098,0.19753086419753085,0.19753086419753085,0.19104938271604935
DC39,127.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.16975308641975306,0.1111111111111111,0.19753086419753085,0.19753086419753085,0.1662037037037037
DC63,182.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.17592592592592593,0.08641975308641975,0.19753086419753085,0.19753086419753085,0.16219135802469137
DC54,140.0,53.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.1728395061728395,0.08641975308641975,0.19753086419753085,0.19753086419753085,0.1611111111111111
DC78,29.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.08641975308641975,0.19753086419753085,0.19753086419753085,0.1589506172839506
DC1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16358024691358025,0.037037037037037035,0.19753086419753085,0.19753086419753085,0.1455246913580247
DC75,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.15740740740740738,0.037037037037037035,0.19753086419753085,0.19753086419753085,0.14336419753086418
DC77,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.15740740740740738,0.037037037037037035,0.19753086419753085,0.19753086419753085,0.14336419753086418
DC79,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15740740740740738,0.037037037037037035,0.19753086419753085,0.19753086419753085,0.14336419753086418
DC80,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15123456790123457,0.037037037037037035,0.19753086419753085,0.19753086419753085,0.1412037037037037
