task_id,region,original_price,practical_milp_price,practical_milp_probability,scheme,release_type,selected_price,selected_probability,package_task_count,package_task_ids
A0016,2,66.0,74.0,0.394618424697849,joint-bundle-0pct-extra,bundle,81.39999999999999,0.6205779472105987,3,A0010;A0016;A0124
A0017,2,65.5,73.5,0.4169028498264908,joint-bundle-0pct-extra,bundle,80.85000000000001,0.6445633657939869,3,A0017;A0027;A0356
A0018,2,66.0,74.0,0.5365297956685856,joint-bundle-0pct-extra,single,74.0,0.5365297956685856,1,A0018
A0019,2,65.5,73.5,0.4036696688862485,joint-bundle-0pct-extra,bundle,80.85000000000001,0.6370375954096926,3,A0007;A0013;A0019
A0020,2,66.0,74.0,0.4315473420010193,joint-bundle-0pct-extra,bundle,77.7,0.6532153926759752,3,A0015;A0020;A0026
A0021,2,66.0,74.0,0.5887576776284094,joint-bundle-0pct-extra,single,74.0,0.5887576776284094,1,A0021
A0022,2,65.0,73.0,0.4284883657174973,joint-bundle-0pct-extra,bundle,80.66666666666667,0.669898677958237,3,A0012;A0022;A0023
A0023,2,65.5,73.5,0.4321646408226655,joint-bundle-0pct-extra,bundle,80.66666666666667,0.669898677958237,3,A0012;A0022;A0023
A0024,2,66.5,74.5,0.3825009405959868,joint-bundle-0pct-extra,bundle,81.95,0.600861432438871,2,A0024;A0369
A0025,2,67.5,75.5,0.4164177945102531,joint-bundle-0pct-extra,single,75.5,0.4164177945102531,1,A0025
A0026,2,66.0,74.0,0.4374853786054072,joint-bundle-0pct-extra,bundle,77.7,0.6532153926759752,3,A0015;A0020;A0026
A0027,2,65.5,73.5,0.407806940249612,joint-bundle-0pct-extra,bundle,80.85000000000001,0.6445633657939869,3,A0017;A0027;A0356
A0028,2,66.5,74.5,0.3942130061098809,joint-bundle-0pct-extra,single,74.5,0.39421300610988097,1,A0028
A0029,2,66.0,74.0,0.4880318749151854,joint-bundle-0pct-extra,bundle,77.7,0.6746665290677332,2,A0001;A0029
A0030,2,68.0,76.0,0.5727863167623747,joint-bundle-0pct-extra,single,76.0,0.5727863167623747,1,A0030
A0031,2,67.0,75.0,0.2636996655685478,joint-bundle-0pct-extra,bundle,82.22500000000001,0.4401037674036114,2,A0031;A0035
A0032,2,65.5,73.5,0.4169278283940281,joint-bundle-0pct-extra,bundle,77.175,0.6533406058181459,2,A0032;A0462
A0033,2,65.5,73.5,0.3933545570748389,joint-bundle-0pct-extra,single,73.5,0.3933545570748389,1,A0033
A0034,2,66.0,74.0,0.3814268938690597,joint-bundle-0pct-extra,single,74.0,0.38142689386905976,1,A0034
A0035,2,66.5,74.5,0.2634373778854983,joint-bundle-0pct-extra,bundle,82.22500000000001,0.4401037674036114,2,A0031;A0035
A0036,2,65.5,73.5,0.4035418069216834,joint-bundle-0pct-extra,bundle,80.85000000000001,0.6227336566059122,2,A0011;A0036
A0037,2,70.0,78.0,0.4842993953128824,joint-bundle-0pct-extra,single,78.0,0.4842993953128824,1,A0037
A0038,2,75.0,82.0,0.7183440784815746,joint-bundle-0pct-extra,single,78.5,0.678668759543585,1,A0038
A0039,2,66.5,74.5,0.4135732149261826,joint-bundle-0pct-extra,single,74.5,0.41357321492618265,1,A0039
A0040,2,66.0,74.0,0.2313869708832185,joint-bundle-0pct-extra,single,74.0,0.23138697088321858,1,A0040
A0041,2,65.0,73.0,0.4522906963890357,joint-bundle-0pct-extra,bundle,77.04375,0.6665694645962098,4,A0041;A0052;A0061;A0068
A0042,2,66.5,74.5,0.4577323429355893,joint-bundle-0pct-extra,bundle,82.22500000000001,0.6462073324010336,2,A0042;A0055
A0043,2,67.0,75.0,0.4568771676716789,joint-bundle-0pct-extra,single,75.0,0.45687716767167896,1,A0043
A0044,2,69.0,77.0,0.3439332781957971,joint-bundle-0pct-extra,bundle,83.41666666666667,0.5282385555817928,3,A0044;A0062;A0082
A0045,2,66.0,74.0,0.2294446494785939,joint-bundle-0pct-extra,single,74.0,0.22944464947859392,1,A0045
A0046,2,66.0,74.0,0.3049826020216465,joint-bundle-0pct-extra,bundle,81.125,0.5175710035642452,2,A0046;A0453
A0047,2,67.0,75.0,0.3173568640890148,joint-bundle-0pct-extra,single,75.0,0.3173568640890148,1,A0047
A0048,2,67.0,75.0,0.3002742210839268,joint-bundle-0pct-extra,bundle,85.25,0.6015787881864118,2,A0048;A0445
A0049,2,68.5,76.5,0.3557925469996345,joint-bundle-0pct-extra,single,76.5,0.3557925469996345,1,A0049
A0050,2,70.0,78.0,0.4512019052051204,joint-bundle-0pct-extra,single,78.0,0.45120190520512043,1,A0050
A0051,2,66.5,74.5,0.3783122852185615,joint-bundle-0pct-extra,single,74.5,0.3783122852185615,1,A0051
A0052,2,65.5,73.5,0.461090975481031,joint-bundle-0pct-extra,bundle,77.04375,0.6665694645962098,4,A0041;A0052;A0061;A0068
A0053,2,70.0,78.0,0.4981349756621132,joint-bundle-0pct-extra,single,78.0,0.49813497566211323,1,A0053
A0054,2,67.0,75.0,0.5363519971070972,joint-bundle-0pct-extra,single,75.0,0.5363519971070972,1,A0054
A0055,2,67.0,75.0,0.4655896302670061,joint-bundle-0pct-extra,bundle,82.22500000000001,0.6462073324010336,2,A0042;A0055
A0056,2,73.0,81.0,0.6620628131972078,joint-bundle-0pct-extra,single,81.0,0.6620628131972078,1,A0056
A0057,2,66.0,74.0,0.4523567058577614,joint-bundle-0pct-extra,bundle,81.21666666666667,0.6350694862438706,3,A0057;A0119;A0123
A0058,2,69.0,77.0,0.5740011325167572,joint-bundle-0pct-extra,single,77.0,0.5740011325167572,1,A0058
A0059,2,66.0,74.0,0.2564874778415238,joint-bundle-0pct-extra,single,74.0,0.25648747784152387,1,A0059
A0060,2,65.5,73.5,0.3404449961150665,joint-bundle-0pct-extra,bundle,80.85000000000001,0.6053450997880137,3,A0060;A0355;A0375
A0061,2,65.5,73.5,0.4454353207864541,joint-bundle-0pct-extra,bundle,77.04375,0.6665694645962098,4,A0041;A0052;A0061;A0068
A0062,2,67.5,75.5,0.3285025419162345,joint-bundle-0pct-extra,bundle,83.41666666666667,0.5282385555817928,3,A0044;A0062;A0082
A0063,2,75.0,82.0,0.7183440784815746,joint-bundle-0pct-extra,single,78.5,0.678668759543585,1,A0063
A0064,2,73.0,80.5,0.7039397440507609,joint-bundle-0pct-extra,single,78.5,0.6809969800659975,1,A0064
A0065,2,67.0,75.0,0.4898165702852798,joint-bundle-0pct-extra,single,75.0,0.48981657028527986,1,A0065
A0066,2,67.0,75.0,0.4144978848207188,joint-bundle-0pct-extra,single,75.0,0.4144978848207188,1,A0066
A0067,2,65.0,73.0,0.2374675655148573,joint-bundle-0pct-extra,bundle,80.48333333333335,0.4606385629212507,3,A0067;A0084;A0456
A0068,2,65.5,73.5,0.462546722140862,joint-bundle-0pct-extra,bundle,77.04375,0.6665694645962098,4,A0041;A0052;A0061;A0068
A0069,2,66.0,74.0,0.4176975292198299,joint-bundle-0pct-extra,bundle,81.4,0.6351156536313471,2,A0069;A0073
A0070,2,66.5,74.5,0.3690784334834348,joint-bundle-0pct-extra,bundle,81.95,0.6539396412092886,2,A0070;A0078
A0071,2,70.0,78.0,0.5790711704525835,joint-bundle-0pct-extra,single,78.0,0.5790711704525835,1,A0071
A0072,2,66.5,74.5,0.3650077996914159,joint-bundle-0pct-extra,single,74.5,0.3650077996914159,1,A0072
A0073,2,66.0,74.0,0.4124890516499065,joint-bundle-0pct-extra,bundle,81.4,0.6351156536313471,2,A0069;A0073
A0074,2,66.5,74.5,0.2565928414960426,joint-bundle-0pct-extra,single,74.5,0.25659284149604267,1,A0074
A0075,2,66.5,74.5,0.2414987003613791,joint-bundle-0pct-extra,single,74.5,0.24149870036137913,1,A0075
A0076,2,68.5,76.5,0.421243005076388,joint-bundle-0pct-extra,bundle,84.97500000000001,0.6058320416813492,2,A0076;A0102
A0077,2,65.5,73.5,0.4861196912414419,joint-bundle-0pct-extra,bundle,80.66666666666667,0.69197944712111,3,A0077;A0121;A0723
A0078,2,66.5,74.5,0.3690784334834348,joint-bundle-0pct-extra,bundle,81.95,0.6539396412092886,2,A0070;A0078
A0079,2,71.0,79.0,0.6993774603959946,joint-bundle-0pct-extra,single,77.5,0.6821143957484924,1,A0079
A0080,2,66.0,74.0,0.2231914090787271,joint-bundle-0pct-extra,bundle,81.4,0.4054609774340378,2,A0080;A0451
A0081,2,70.0,78.0,0.4020148114010393,joint-bundle-0pct-extra,single,78.0,0.40201481140103934,1,A0081
A0082,2,67.0,75.0,0.3078957052767594,joint-bundle-0pct-extra,bundle,83.41666666666667,0.5282385555817928,3,A0044;A0062;A0082
A0083,2,66.0,74.0,0.1895469539181644,joint-bundle-0pct-extra,single,74.0,0.18954695391816448,1,A0083
A0084,2,65.5,73.5,0.225895994975713,joint-bundle-0pct-extra,bundle,80.48333333333335,0.4606385629212507,3,A0067;A0084;A0456
A0085,2,66.0,74.0,0.2964267559382945,joint-bundle-0pct-extra,single,74.0,0.29642675593829454,1,A0085
A0086,2,66.5,74.5,0.3740673444743194,joint-bundle-0pct-extra,single,74.5,0.3740673444743194,1,A0086
A0087,2,66.0,74.0,0.3607057721610804,joint-bundle-0pct-extra,bundle,81.21666666666667,0.6561721792562843,3,A0087;A0099;A0452
A0088,2,70.0,78.0,0.372100081817265,joint-bundle-0pct-extra,single,78.0,0.37210008181726506,1,A0088
A0089,2,66.5,74.5,0.2611970673220209,joint-bundle-0pct-extra,single,74.5,0.2611970673220209,1,A0089
A0090,2,70.0,78.0,0.5360103920153695,joint-bundle-0pct-extra,single,78.0,0.5360103920153695,1,A0090
A0091,2,65.5,73.5,0.2195139943851158,joint-bundle-0pct-extra,single,73.5,0.21951399438511585,1,A0091
A0092,2,67.0,75.0,0.5443911311175218,joint-bundle-0pct-extra,single,75.0,0.5443911311175218,1,A0092
A0093,2,70.0,78.0,0.4916560440969293,joint-bundle-0pct-extra,bundle,78.75,0.6994374207979227,3,A0093;A0097;A0361
A0094,2,66.0,74.0,0.2824288557888601,joint-bundle-0pct-extra,single,74.0,0.2824288557888601,1,A0094
A0095,2,65.5,73.5,0.4052365748108787,joint-bundle-0pct-extra,bundle,80.85000000000001,0.6698092811977144,2,A0095;A0118
A0096,2,67.0,75.0,0.5494720926925267,joint-bundle-0pct-extra,single,75.0,0.5494720926925267,1,A0096
A0097,2,65.5,73.5,0.4467482209419058,joint-bundle-0pct-extra,bundle,78.75,0.6994374207979227,3,A0093;A0097;A0361
A0098,2,65.5,73.5,0.4567041699590409,joint-bundle-0pct-extra,bundle,80.575,0.6837729298321337,2,A0098;A0105
A0099,2,66.0,74.0,0.3607057721610804,joint-bundle-0pct-extra,bundle,81.21666666666667,0.6561721792562843,3,A0087;A0099;A0452
A0100,2,66.0,74.0,0.2087553218884508,joint-bundle-0pct-extra,single,74.0,0.20875532188845086,1,A0100
A0101,2,66.5,74.5,0.5390419385936284,joint-bundle-0pct-extra,single,74.5,0.5390419385936284,1,A0101
A0102,2,70.0,78.0,0.4012958010361129,joint-bundle-0pct-extra,bundle,84.97500000000001,0.6058320416813492,2,A0076;A0102
A0103,2,66.0,74.0,0.5264911500613463,joint-bundle-0pct-extra,single,74.0,0.5264911500613463,1,A0103
A0104,2,70.0,78.0,0.5179778263570761,joint-bundle-0pct-extra,single,78.0,0.5179778263570761,1,A0104
A0105,2,65.0,73.0,0.4531863546845487,joint-bundle-0pct-extra,bundle,80.575,0.6837729298321337,2,A0098;A0105
A0106,2,67.5,75.5,0.2968384327667621,joint-bundle-0pct-extra,single,75.5,0.29683843276676214,1,A0106
A0107,2,70.0,78.0,0.3473255009383976,joint-bundle-0pct-extra,single,78.0,0.34732550093839765,1,A0107
A0108,2,66.0,74.0,0.2968171249186847,joint-bundle-0pct-extra,single,74.0,0.2968171249186847,1,A0108
A0109,2,65.5,73.5,0.367896125611438,joint-bundle-0pct-extra,single,73.5,0.367896125611438,1,A0109
A0110,2,68.5,76.5,0.3438103287230831,joint-bundle-0pct-extra,single,76.5,0.34381032872308315,1,A0110
A0111,2,70.5,78.5,0.5305371162977371,joint-bundle-0pct-extra,single,78.5,0.5305371162977371,1,A0111
A0112,2,65.5,73.5,0.4058084514008051,joint-bundle-0pct-extra,bundle,80.85000000000001,0.6660212943150721,3,A0112;A0120;A0467
A0113,2,66.5,74.5,0.2731985385395398,joint-bundle-0pct-extra,single,74.5,0.2731985385395398,1,A0113
A0114,2,66.5,74.5,0.4430261198054987,joint-bundle-0pct-extra,single,74.5,0.4430261198054987,1,A0114
A0115,2,67.0,75.0,0.3250473599326235,joint-bundle-0pct-extra,single,75.0,0.32504735993262357,1,A0115
A0116,2,66.0,74.0,0.3310842822928506,joint-bundle-0pct-extra,single,74.0,0.33108428229285064,1,A0116
A0117,2,67.0,75.0,0.5473244947235136,joint-bundle-0pct-extra,single,75.0,0.5473244947235136,1,A0117
A0118,2,65.5,73.5,0.4055705818617046,joint-bundle-0pct-extra,bundle,80.85000000000001,0.6698092811977144,2,A0095;A0118
A0119,2,66.0,74.0,0.3751584640747875,joint-bundle-0pct-extra,bundle,81.21666666666667,0.6350694862438706,3,A0057;A0119;A0123
A0120,2,65.5,73.5,0.4377789139788899,joint-bundle-0pct-extra,bundle,80.85000000000001,0.6660212943150721,3,A0112;A0120;A0467
A0121,2,65.0,73.0,0.4497717532823302,joint-bundle-0pct-extra,bundle,80.66666666666667,0.69197944712111,3,A0077;A0121;A0723
A0122,2,66.5,74.5,0.425851987662008,joint-bundle-0pct-extra,bundle,78.22500000000001,0.6610026628231894,2,A0122;A0458
A0123,2,65.5,73.5,0.3854105478061889,joint-bundle-0pct-extra,bundle,81.21666666666667,0.6350694862438706,3,A0057;A0119;A0123
A0124,2,66.0,74.0,0.3774350544206587,joint-bundle-0pct-extra,bundle,81.39999999999999,0.6205779472105987,3,A0010;A0016;A0124
A0125,2,66.0,74.0,0.4545805053543686,joint-bundle-0pct-extra,bundle,77.7,0.6652244170191983,2,A0125;A0454
A0126,1,75.0,67.5,0.968087964530578,joint-bundle-0pct-extra,single,67.0,0.9672450130769978,1,A0126
A0127,0,65.5,73.5,0.508584975896147,joint-bundle-0pct-extra,single,73.5,0.508584975896147,1,A0127
A0128,0,65.5,73.5,0.6115950413777212,joint-bundle-0pct-extra,single,73.5,0.6115950413777212,1,A0128
A0129,0,66.5,71.0,0.79776335014364,joint-bundle-0pct-extra,single,65.0,0.740593599069542,1,A0129
A0130,0,65.0,73.0,0.6139698402124293,joint-bundle-0pct-extra,single,73.0,0.6139698402124293,1,A0130
A0131,0,65.5,73.5,0.5113480638986766,joint-bundle-0pct-extra,single,73.5,0.5113480638986766,1,A0131
A0132,0,65.0,73.0,0.4595651553659033,joint-bundle-0pct-extra,bundle,76.64999999999999,0.6754998063906569,3,A0132;A0144;A0191
A0133,0,75.0,76.0,0.840509607792049,joint-bundle-0pct-extra,single,67.0,0.7644167258118852,1,A0133
A0134,0,65.0,73.0,0.4847092647358564,joint-bundle-0pct-extra,bundle,76.64999999999999,0.7051220507808315,3,A0134;A0142;A0474
A0135,0,65.5,73.5,0.4948024275750465,joint-bundle-0pct-extra,bundle,73.33333333333333,0.6883738860566624,3,A0135;A0183;A0197
A0136,0,68.5,76.5,0.6535644768555402,joint-bundle-0pct-extra,single,76.5,0.6535644768555402,1,A0136
A0137,0,65.5,73.5,0.5802373476738695,joint-bundle-0pct-extra,single,73.5,0.5802373476738695,1,A0137
A0138,0,65.5,73.5,0.5537157156708481,joint-bundle-0pct-extra,single,73.5,0.5537157156708481,1,A0138
A0139,0,68.0,76.0,0.5987053589305004,joint-bundle-0pct-extra,single,76.0,0.5987053589305004,1,A0139
A0140,0,69.0,77.0,0.6515444974686883,joint-bundle-0pct-extra,single,77.0,0.6515444974686883,1,A0140
A0141,0,66.5,74.5,0.7030712994841519,joint-bundle-0pct-extra,single,74.0,0.6974159995558464,1,A0141
A0142,0,65.0,73.0,0.4941899044779246,joint-bundle-0pct-extra,bundle,76.64999999999999,0.7051220507808315,3,A0134;A0142;A0474
A0143,0,66.0,74.0,0.6801971514571017,joint-bundle-0pct-extra,single,74.0,0.6801971514571017,1,A0143
A0144,0,65.0,73.0,0.4377648427838483,joint-bundle-0pct-extra,bundle,76.64999999999999,0.6754998063906569,3,A0132;A0144;A0191
A0145,0,65.0,73.0,0.6022446113257179,joint-bundle-0pct-extra,single,73.0,0.6022446113257179,1,A0145
A0146,0,66.0,74.0,0.5487429222824846,joint-bundle-0pct-extra,single,74.0,0.5487429222824846,1,A0146
A0147,0,66.0,74.0,0.6414885558061209,joint-bundle-0pct-extra,single,74.0,0.6414885558061209,1,A0147
A0148,0,66.0,74.0,0.5694082112959464,joint-bundle-0pct-extra,single,74.0,0.5694082112959464,1,A0148
A0149,0,66.0,74.0,0.5693582963672348,joint-bundle-0pct-extra,single,74.0,0.5693582963672348,1,A0149
A0150,0,73.0,78.5,0.7591182922755172,joint-bundle-0pct-extra,single,73.5,0.7064948025088639,1,A0150
A0151,0,66.5,74.5,0.7030712994841519,joint-bundle-0pct-extra,single,74.0,0.6974159995558464,1,A0151
A0152,0,65.5,73.5,0.688095093382138,joint-bundle-0pct-extra,single,73.5,0.688095093382138,1,A0152
A0153,0,70.5,73.5,0.8165600205041952,joint-bundle-0pct-extra,single,65.0,0.7379189026843351,1,A0153
A0154,0,67.0,75.0,0.6494066551740966,joint-bundle-0pct-extra,single,75.0,0.6494066551740966,1,A0154
A0155,0,66.5,74.5,0.7030712994841519,joint-bundle-0pct-extra,single,74.0,0.6974159995558464,1,A0155
A0156,0,65.5,73.5,0.6872671773356213,joint-bundle-0pct-extra,single,73.5,0.6872671773356213,1,A0156
A0157,0,73.5,79.5,0.7403466894643651,joint-bundle-0pct-extra,single,75.5,0.696825471431893,1,A0157
A0158,0,69.0,77.0,0.6655311307155957,joint-bundle-0pct-extra,single,77.0,0.6655311307155957,1,A0158
A0159,0,66.0,74.0,0.4811752564859976,joint-bundle-0pct-extra,single,74.0,0.4811752564859976,1,A0159
A0160,1,70.0,65.0,0.945281325129258,joint-bundle-0pct-extra,single,65.0,0.9452813251292579,1,A0160
A0161,4,75.0,79.0,0.7923311947784384,joint-bundle-0pct-extra,single,71.0,0.7125794861087501,1,A0161
A0162,0,70.0,78.0,0.658814288923702,joint-bundle-0pct-extra,single,78.0,0.658814288923702,1,A0162
A0163,0,66.0,74.0,0.6406076461920274,joint-bundle-0pct-extra,single,74.0,0.6406076461920274,1,A0163
A0164,1,66.5,65.0,0.9648945590658814,joint-bundle-0pct-extra,single,65.0,0.9648945590658814,1,A0164
A0165,0,65.5,73.5,0.7009779985497696,joint-bundle-0pct-extra,single,73.5,0.7009779985497696,1,A0165
A0166,0,69.0,72.5,0.8044054888774285,joint-bundle-0pct-extra,single,65.5,0.7382429486627946,1,A0166
A0167,0,70.0,75.5,0.765118527417591,joint-bundle-0pct-extra,single,70.5,0.7133108143271335,1,A0167
A0168,4,74.5,81.5,0.7114475644199582,joint-bundle-0pct-extra,single,78.5,0.677163382032434,1,A0168
A0169,4,74.0,78.5,0.7738170412104254,joint-bundle-0pct-extra,single,72.0,0.7067664227940411,1,A0169
A0170,0,65.5,73.5,0.5939741122432076,joint-bundle-0pct-extra,single,73.5,0.5939741122432076,1,A0170
A0171,3,67.5,75.5,0.4638834077481384,joint-bundle-0pct-extra,single,75.5,0.4638834077481384,1,A0171
A0172,0,65.5,73.5,0.7009779985497696,joint-bundle-0pct-extra,single,73.5,0.7009779985497696,1,A0172
A0173,0,66.5,74.5,0.6867085769271476,joint-bundle-0pct-extra,single,74.5,0.6867085769271476,1,A0173
A0174,0,65.5,73.5,0.6670406663539887,joint-bundle-0pct-extra,single,73.5,0.6670406663539887,1,A0174
A0175,0,65.0,73.0,0.6517017989152087,joint-bundle-0pct-extra,single,73.0,0.6517017989152087,1,A0175
A0176,0,67.5,73.5,0.7500939995132226,joint-bundle-0pct-extra,single,70.5,0.7185852915704669,1,A0176
A0177,2,66.0,74.0,0.4425505130178502,joint-bundle-0pct-extra,single,74.0,0.4425505130178502,1,A0177
A0178,1,70.0,65.0,0.968160252237406,joint-bundle-0pct-extra,single,65.0,0.968160252237406,1,A0178
A0179,0,67.0,75.0,0.6796599663678462,joint-bundle-0pct-extra,single,75.0,0.6796599663678462,1,A0179
A0180,0,65.0,73.0,0.458155329559706,joint-bundle-0pct-extra,bundle,76.64999999999999,0.6939550024259881,3,A0180;A0378;A0379
A0181,0,65.5,73.5,0.5414917638696318,joint-bundle-0pct-extra,single,73.5,0.5414917638696318,1,A0181
A0182,0,65.5,73.5,0.528839615007663,joint-bundle-0pct-extra,single,73.5,0.528839615007663,1,A0182
A0183,0,65.5,73.5,0.4948024275750465,joint-bundle-0pct-extra,bundle,73.33333333333333,0.6883738860566624,3,A0135;A0183;A0197
A0184,0,65.0,73.0,0.5464588711751724,joint-bundle-0pct-extra,single,73.0,0.5464588711751724,1,A0184
A0185,0,65.5,73.5,0.5437829647623906,joint-bundle-0pct-extra,single,73.5,0.5437829647623906,1,A0185
A0186,0,65.0,73.0,0.6007022057262733,joint-bundle-0pct-extra,single,73.0,0.6007022057262733,1,A0186
A0187,0,65.5,73.5,0.6044631128030615,joint-bundle-0pct-extra,single,73.5,0.6044631128030615,1,A0187
A0188,0,65.5,73.5,0.6085672469064487,joint-bundle-0pct-extra,single,73.5,0.6085672469064487,1,A0188
A0189,1,69.5,65.0,0.974078216392834,joint-bundle-0pct-extra,single,65.0,0.974078216392834,1,A0189
A0190,0,65.5,73.5,0.6330592105139387,joint-bundle-0pct-extra,single,73.5,0.6330592105139387,1,A0190
A0191,0,65.0,73.0,0.4529587329905204,joint-bundle-0pct-extra,bundle,76.64999999999999,0.6754998063906569,3,A0132;A0144;A0191
A0192,0,65.0,73.0,0.6237666509112081,joint-bundle-0pct-extra,single,73.0,0.6237666509112081,1,A0192
A0193,0,65.5,73.5,0.5309362605921594,joint-bundle-0pct-extra,single,73.5,0.5309362605921594,1,A0193
A0194,0,66.0,70.5,0.791827220704426,joint-bundle-0pct-extra,single,65.0,0.7387729238820192,1,A0194
A0195,0,65.5,73.5,0.6611129237323168,joint-bundle-0pct-extra,single,73.5,0.6611129237323168,1,A0195
A0196,0,66.5,74.5,0.6295939205393997,joint-bundle-0pct-extra,single,74.5,0.6295939205393997,1,A0196
A0197,0,65.0,73.0,0.4871029970835749,joint-bundle-0pct-extra,bundle,73.33333333333333,0.6883738860566624,3,A0135;A0183;A0197
A0198,1,75.0,67.0,0.9747698204131584,joint-bundle-0pct-extra,single,67.0,0.9747698204131585,1,A0198
A0199,1,74.5,66.5,0.9725212639207788,joint-bundle-0pct-extra,single,66.5,0.9725212639207788,1,A0199
A0200,1,75.0,67.0,0.975204623524761,joint-bundle-0pct-extra,single,67.0,0.975204623524761,1,A0200
A0201,0,67.0,75.0,0.7051509333745353,joint-bundle-0pct-extra,single,74.5,0.6995183139944451,1,A0201
A0202,4,70.0,77.5,0.7072436555318237,joint-bundle-0pct-extra,single,76.0,0.6902322306038066,1,A0202
A0203,0,67.0,75.0,0.7050082558661758,joint-bundle-0pct-extra,single,74.5,0.699374072872438,1,A0203
A0204,1,66.5,65.0,0.978703338742931,joint-bundle-0pct-extra,single,65.0,0.978703338742931,1,A0204
A0205,1,66.5,65.0,0.9787957646661224,joint-bundle-0pct-extra,single,65.0,0.9787957646661224,1,A0205
A0206,1,70.0,65.0,0.9786096680234402,joint-bundle-0pct-extra,single,65.0,0.9786096680234402,1,A0206
A0207,1,70.0,65.0,0.9711448902254748,joint-bundle-0pct-extra,single,65.0,0.9711448902254749,1,A0207
A0208,1,75.0,67.0,0.972967717738108,joint-bundle-0pct-extra,single,67.0,0.9729677177381081,1,A0208
A0209,1,70.0,65.0,0.971236302369696,joint-bundle-0pct-extra,single,65.0,0.971236302369696,1,A0209
A0210,0,67.0,75.0,0.7086650553518454,joint-bundle-0pct-extra,single,74.0,0.6974159995558464,1,A0210
A0211,0,66.0,73.0,0.7339750888895692,joint-bundle-0pct-extra,single,71.0,0.7124089636382024,1,A0211
A0212,4,70.0,75.0,0.7777155078481771,joint-bundle-0pct-extra,single,69.5,0.722325933872381,1,A0212
A0213,4,68.0,76.0,0.5657905434057585,joint-bundle-0pct-extra,single,76.0,0.5657905434057585,1,A0213
A0214,4,70.0,75.0,0.7813427344499027,joint-bundle-0pct-extra,single,69.0,0.7211535903738687,1,A0214
A0215,0,66.0,73.0,0.7354830761484382,joint-bundle-0pct-extra,single,71.0,0.7139915634420458,1,A0215
A0216,4,70.5,77.0,0.7389989834951048,joint-bundle-0pct-extra,single,73.5,0.7010222436616657,1,A0216
A0217,4,70.0,75.0,0.7793748283164863,joint-bundle-0pct-extra,single,69.5,0.7242521270026586,1,A0217
A0218,0,66.0,74.0,0.4681590136025107,joint-bundle-0pct-extra,single,74.0,0.4681590136025107,1,A0218
A0219,4,70.5,78.0,0.7109448168376787,joint-bundle-0pct-extra,single,76.0,0.6883045347661515,1,A0219
A0220,4,65.0,73.0,0.6579953412674284,joint-bundle-0pct-extra,single,73.0,0.6579953412674284,1,A0220
A0221,4,70.0,75.5,0.7676555443700582,joint-bundle-0pct-extra,single,70.5,0.7161998556745087,1,A0221
A0222,1,75.0,67.5,0.9697683424450684,joint-bundle-0pct-extra,single,67.0,0.9689683551090051,1,A0222
A0223,4,70.0,75.0,0.7807201859777078,joint-bundle-0pct-extra,single,69.0,0.7204209931523179,1,A0223
A0224,4,70.0,78.0,0.702357826315615,joint-bundle-0pct-extra,single,76.5,0.6851888694575351,1,A0224
A0225,4,75.0,79.0,0.7937873873545802,joint-bundle-0pct-extra,single,71.0,0.7143933241388553,1,A0225
