option_type,task_id,task_ids,task_count,price,expected_completions,expected_payout,single_probability,region,route_length_km,compactness,price_multiplier,bundle_probability,scheme,budget_relaxation
single,A0053,A0053,1,78.0,0.49813497566211323,38.85452810164483,0.49813497566211323,,,,,,joint-bundle-0pct-extra,0.0
single,A0054,A0054,1,75.0,0.5363519971070972,40.22639978303229,0.5363519971070972,,,,,,joint-bundle-0pct-extra,0.0
single,A0056,A0056,1,81.0,0.6620628131972078,53.62708786897383,0.6620628131972078,,,,,,joint-bundle-0pct-extra,0.0
single,A0058,A0058,1,77.0,0.5740011325167572,44.19808720379031,0.5740011325167572,,,,,,joint-bundle-0pct-extra,0.0
single,A0059,A0059,1,74.0,0.25648747784152387,18.980073360272765,0.25648747784152387,,,,,,joint-bundle-0pct-extra,0.0
single,A0063,A0063,1,78.5,0.678668759543585,53.27549762417142,0.678668759543585,,,,,,joint-bundle-0pct-extra,0.0
single,A0064,A0064,1,78.5,0.6809969800659975,53.458262935180805,0.6809969800659975,,,,,,joint-bundle-0pct-extra,0.0
single,A0065,A0065,1,75.0,0.48981657028527986,36.73624277139599,0.48981657028527986,,,,,,joint-bundle-0pct-extra,0.0
single,A0066,A0066,1,75.0,0.4144978848207188,31.08734136155391,0.4144978848207188,,,,,,joint-bundle-0pct-extra,0.0
single,A0071,A0071,1,78.0,0.5790711704525835,45.167551295301514,0.5790711704525835,,,,,,joint-bundle-0pct-extra,0.0
single,A0072,A0072,1,74.5,0.3650077996914159,27.193081077010483,0.3650077996914159,,,,,,joint-bundle-0pct-extra,0.0
single,A0074,A0074,1,74.5,0.25659284149604267,19.116166691455177,0.25659284149604267,,,,,,joint-bundle-0pct-extra,0.0
single,A0075,A0075,1,74.5,0.24149870036137913,17.991653176922746,0.24149870036137913,,,,,,joint-bundle-0pct-extra,0.0
single,A0079,A0079,1,77.5,0.6821143957484924,52.86386567050816,0.6821143957484924,,,,,,joint-bundle-0pct-extra,0.0
single,A0081,A0081,1,78.0,0.40201481140103934,31.357155289281067,0.40201481140103934,,,,,,joint-bundle-0pct-extra,0.0
single,A0083,A0083,1,74.0,0.18954695391816448,14.026474589944172,0.18954695391816448,,,,,,joint-bundle-0pct-extra,0.0
single,A0085,A0085,1,74.0,0.29642675593829454,21.935579939433797,0.29642675593829454,,,,,,joint-bundle-0pct-extra,0.0
single,A0086,A0086,1,74.5,0.3740673444743194,27.868017163336795,0.3740673444743194,,,,,,joint-bundle-0pct-extra,0.0
single,A0088,A0088,1,78.0,0.37210008181726506,29.023806381746674,0.37210008181726506,,,,,,joint-bundle-0pct-extra,0.0
single,A0089,A0089,1,74.5,0.2611970673220209,19.45918151549056,0.2611970673220209,,,,,,joint-bundle-0pct-extra,0.0
single,A0090,A0090,1,78.0,0.5360103920153695,41.80881057719882,0.5360103920153695,,,,,,joint-bundle-0pct-extra,0.0
single,A0091,A0091,1,73.5,0.21951399438511585,16.134278587306014,0.21951399438511585,,,,,,joint-bundle-0pct-extra,0.0
single,A0092,A0092,1,75.0,0.5443911311175218,40.82933483381414,0.5443911311175218,,,,,,joint-bundle-0pct-extra,0.0
single,A0094,A0094,1,74.0,0.2824288557888601,20.899735328375648,0.2824288557888601,,,,,,joint-bundle-0pct-extra,0.0
single,A0096,A0096,1,75.0,0.5494720926925267,41.210406951939504,0.5494720926925267,,,,,,joint-bundle-0pct-extra,0.0
single,A0100,A0100,1,74.0,0.20875532188845086,15.447893819745364,0.20875532188845086,,,,,,joint-bundle-0pct-extra,0.0
single,A0101,A0101,1,74.5,0.5390419385936284,40.15862442522531,0.5390419385936284,,,,,,joint-bundle-0pct-extra,0.0
single,A0103,A0103,1,74.0,0.5264911500613463,38.96034510453963,0.5264911500613463,,,,,,joint-bundle-0pct-extra,0.0
single,A0104,A0104,1,78.0,0.5179778263570761,40.40227045585194,0.5179778263570761,,,,,,joint-bundle-0pct-extra,0.0
single,A0106,A0106,1,75.5,0.29683843276676214,22.41130167389054,0.29683843276676214,,,,,,joint-bundle-0pct-extra,0.0
single,A0107,A0107,1,78.0,0.34732550093839765,27.091389073195018,0.34732550093839765,,,,,,joint-bundle-0pct-extra,0.0
single,A0108,A0108,1,74.0,0.2968171249186847,21.96446724398267,0.2968171249186847,,,,,,joint-bundle-0pct-extra,0.0
single,A0109,A0109,1,73.5,0.367896125611438,27.040365232440692,0.367896125611438,,,,,,joint-bundle-0pct-extra,0.0
single,A0110,A0110,1,76.5,0.34381032872308315,26.30149014731586,0.34381032872308315,,,,,,joint-bundle-0pct-extra,0.0
single,A0111,A0111,1,78.5,0.5305371162977371,41.647163629372365,0.5305371162977371,,,,,,joint-bundle-0pct-extra,0.0
single,A0113,A0113,1,74.5,0.2731985385395398,20.353291121195713,0.2731985385395398,,,,,,joint-bundle-0pct-extra,0.0
single,A0114,A0114,1,74.5,0.4430261198054987,33.005445925509655,0.4430261198054987,,,,,,joint-bundle-0pct-extra,0.0
single,A0115,A0115,1,75.0,0.32504735993262357,24.37855199494677,0.32504735993262357,,,,,,joint-bundle-0pct-extra,0.0
single,A0116,A0116,1,74.0,0.33108428229285064,24.500236889670948,0.33108428229285064,,,,,,joint-bundle-0pct-extra,0.0
single,A0117,A0117,1,75.0,0.5473244947235136,41.04933710426352,0.5473244947235136,,,,,,joint-bundle-0pct-extra,0.0
single,A0126,A0126,1,67.0,0.9672450130769978,64.80541587615886,0.9672450130769978,,,,,,joint-bundle-0pct-extra,0.0
single,A0127,A0127,1,73.5,0.508584975896147,37.380995728366806,0.508584975896147,,,,,,joint-bundle-0pct-extra,0.0
single,A0128,A0128,1,73.5,0.6115950413777212,44.95223554126251,0.6115950413777212,,,,,,joint-bundle-0pct-extra,0.0
single,A0129,A0129,1,65.0,0.740593599069542,48.13858393952023,0.740593599069542,,,,,,joint-bundle-0pct-extra,0.0
single,A0130,A0130,1,73.0,0.6139698402124293,44.819798335507336,0.6139698402124293,,,,,,joint-bundle-0pct-extra,0.0
single,A0131,A0131,1,73.5,0.5113480638986766,37.58408269655273,0.5113480638986766,,,,,,joint-bundle-0pct-extra,0.0
single,A0133,A0133,1,67.0,0.7644167258118852,51.21592062939631,0.7644167258118852,,,,,,joint-bundle-0pct-extra,0.0
single,A0136,A0136,1,76.5,0.6535644768555402,49.99768247944883,0.6535644768555402,,,,,,joint-bundle-0pct-extra,0.0
single,A0137,A0137,1,73.5,0.5802373476738695,42.647445054029404,0.5802373476738695,,,,,,joint-bundle-0pct-extra,0.0
single,A0138,A0138,1,73.5,0.5537157156708481,40.698105101807336,0.5537157156708481,,,,,,joint-bundle-0pct-extra,0.0
single,A0139,A0139,1,76.0,0.5987053589305004,45.501607278718026,0.5987053589305004,,,,,,joint-bundle-0pct-extra,0.0
single,A0140,A0140,1,77.0,0.6515444974686883,50.168926305088995,0.6515444974686883,,,,,,joint-bundle-0pct-extra,0.0
single,A0141,A0141,1,74.0,0.6974159995558464,51.60878396713264,0.6974159995558464,,,,,,joint-bundle-0pct-extra,0.0
single,A0143,A0143,1,74.0,0.6801971514571017,50.33458920782552,0.6801971514571017,,,,,,joint-bundle-0pct-extra,0.0
single,A0145,A0145,1,73.0,0.6022446113257179,43.96385662677741,0.6022446113257179,,,,,,joint-bundle-0pct-extra,0.0
single,A0146,A0146,1,74.0,0.5487429222824846,40.606976248903855,0.5487429222824846,,,,,,joint-bundle-0pct-extra,0.0
single,A0147,A0147,1,74.0,0.6414885558061209,47.47015312965294,0.6414885558061209,,,,,,joint-bundle-0pct-extra,0.0
single,A0148,A0148,1,74.0,0.5694082112959464,42.136207635900035,0.5694082112959464,,,,,,joint-bundle-0pct-extra,0.0
single,A0149,A0149,1,74.0,0.5693582963672348,42.132513931175374,0.5693582963672348,,,,,,joint-bundle-0pct-extra,0.0
single,A0150,A0150,1,73.5,0.7064948025088639,51.92736798440149,0.7064948025088639,,,,,,joint-bundle-0pct-extra,0.0
single,A0151,A0151,1,74.0,0.6974159995558464,51.60878396713264,0.6974159995558464,,,,,,joint-bundle-0pct-extra,0.0
single,A0152,A0152,1,73.5,0.688095093382138,50.57498936358714,0.688095093382138,,,,,,joint-bundle-0pct-extra,0.0
single,A0153,A0153,1,65.0,0.7379189026843351,47.96472867448178,0.7379189026843351,,,,,,joint-bundle-0pct-extra,0.0
single,A0154,A0154,1,75.0,0.6494066551740966,48.70549913805724,0.6494066551740966,,,,,,joint-bundle-0pct-extra,0.0
single,A0155,A0155,1,74.0,0.6974159995558464,51.60878396713264,0.6974159995558464,,,,,,joint-bundle-0pct-extra,0.0
single,A0156,A0156,1,73.5,0.6872671773356213,50.514137534168164,0.6872671773356213,,,,,,joint-bundle-0pct-extra,0.0
single,A0157,A0157,1,75.5,0.696825471431893,52.61032309310792,0.696825471431893,,,,,,joint-bundle-0pct-extra,0.0
single,A0158,A0158,1,77.0,0.6655311307155957,51.24589706510086,0.6655311307155957,,,,,,joint-bundle-0pct-extra,0.0
single,A0159,A0159,1,74.0,0.4811752564859976,35.606968979963824,0.4811752564859976,,,,,,joint-bundle-0pct-extra,0.0
single,A0160,A0160,1,65.0,0.9452813251292579,61.44328613340176,0.9452813251292579,,,,,,joint-bundle-0pct-extra,0.0
single,A0161,A0161,1,71.0,0.7125794861087501,50.59314351372126,0.7125794861087501,,,,,,joint-bundle-0pct-extra,0.0
single,A0162,A0162,1,78.0,0.658814288923702,51.387514536048755,0.658814288923702,,,,,,joint-bundle-0pct-extra,0.0
single,A0163,A0163,1,74.0,0.6406076461920274,47.40496581821002,0.6406076461920274,,,,,,joint-bundle-0pct-extra,0.0
single,A0164,A0164,1,65.0,0.9648945590658814,62.71814633928229,0.9648945590658814,,,,,,joint-bundle-0pct-extra,0.0
single,A0165,A0165,1,73.5,0.7009779985497696,51.52188289340807,0.7009779985497696,,,,,,joint-bundle-0pct-extra,0.0
single,A0166,A0166,1,65.5,0.7382429486627946,48.35491313741305,0.7382429486627946,,,,,,joint-bundle-0pct-extra,0.0
single,A0167,A0167,1,70.5,0.7133108143271335,50.28841241006291,0.7133108143271335,,,,,,joint-bundle-0pct-extra,0.0
single,A0168,A0168,1,78.5,0.677163382032434,53.15732548954607,0.677163382032434,,,,,,joint-bundle-0pct-extra,0.0
single,A0169,A0169,1,72.0,0.7067664227940411,50.887182441170964,0.7067664227940411,,,,,,joint-bundle-0pct-extra,0.0
single,A0170,A0170,1,73.5,0.5939741122432076,43.65709724987576,0.5939741122432076,,,,,,joint-bundle-0pct-extra,0.0
single,A0171,A0171,1,75.5,0.4638834077481384,35.02319728498445,0.4638834077481384,,,,,,joint-bundle-0pct-extra,0.0
single,A0172,A0172,1,73.5,0.7009779985497696,51.52188289340807,0.7009779985497696,,,,,,joint-bundle-0pct-extra,0.0
single,A0173,A0173,1,74.5,0.6867085769271476,51.159788981072495,0.6867085769271476,,,,,,joint-bundle-0pct-extra,0.0
single,A0174,A0174,1,73.5,0.6670406663539887,49.02748897701817,0.6670406663539887,,,,,,joint-bundle-0pct-extra,0.0
single,A0175,A0175,1,73.0,0.6517017989152087,47.57423132081024,0.6517017989152087,,,,,,joint-bundle-0pct-extra,0.0
single,A0176,A0176,1,70.5,0.7185852915704669,50.66026305571792,0.7185852915704669,,,,,,joint-bundle-0pct-extra,0.0
single,A0177,A0177,1,74.0,0.4425505130178502,32.74873796332091,0.4425505130178502,,,,,,joint-bundle-0pct-extra,0.0
single,A0178,A0178,1,65.0,0.968160252237406,62.930416395431386,0.968160252237406,,,,,,joint-bundle-0pct-extra,0.0
single,A0179,A0179,1,75.0,0.6796599663678462,50.974497477588464,0.6796599663678462,,,,,,joint-bundle-0pct-extra,0.0
single,A0181,A0181,1,73.5,0.5414917638696318,39.79964464441794,0.5414917638696318,,,,,,joint-bundle-0pct-extra,0.0
single,A0182,A0182,1,73.5,0.528839615007663,38.86971170306323,0.528839615007663,,,,,,joint-bundle-0pct-extra,0.0
single,A0184,A0184,1,73.0,0.5464588711751724,39.89149759578759,0.5464588711751724,,,,,,joint-bundle-0pct-extra,0.0
single,A0185,A0185,1,73.5,0.5437829647623906,39.968047910035715,0.5437829647623906,,,,,,joint-bundle-0pct-extra,0.0
single,A0186,A0186,1,73.0,0.6007022057262733,43.85126101801795,0.6007022057262733,,,,,,joint-bundle-0pct-extra,0.0
single,A0187,A0187,1,73.5,0.6044631128030615,44.428038791025024,0.6044631128030615,,,,,,joint-bundle-0pct-extra,0.0
single,A0188,A0188,1,73.5,0.6085672469064487,44.72969264762398,0.6085672469064487,,,,,,joint-bundle-0pct-extra,0.0
single,A0189,A0189,1,65.0,0.974078216392834,63.31508406553421,0.974078216392834,,,,,,joint-bundle-0pct-extra,0.0
single,A0190,A0190,1,73.5,0.6330592105139387,46.52985197277449,0.6330592105139387,,,,,,joint-bundle-0pct-extra,0.0
single,A0192,A0192,1,73.0,0.6237666509112081,45.53496551651819,0.6237666509112081,,,,,,joint-bundle-0pct-extra,0.0
single,A0193,A0193,1,73.5,0.5309362605921594,39.023815153523714,0.5309362605921594,,,,,,joint-bundle-0pct-extra,0.0
single,A0194,A0194,1,65.0,0.7387729238820192,48.020240052331246,0.7387729238820192,,,,,,joint-bundle-0pct-extra,0.0
single,A0195,A0195,1,73.5,0.6611129237323168,48.591799894325284,0.6611129237323168,,,,,,joint-bundle-0pct-extra,0.0
single,A0196,A0196,1,74.5,0.6295939205393997,46.904747080185274,0.6295939205393997,,,,,,joint-bundle-0pct-extra,0.0
single,A0198,A0198,1,67.0,0.9747698204131585,65.30957796768162,0.9747698204131585,,,,,,joint-bundle-0pct-extra,0.0
single,A0199,A0199,1,66.5,0.9725212639207788,64.67266405073178,0.9725212639207788,,,,,,joint-bundle-0pct-extra,0.0
single,A0200,A0200,1,67.0,0.975204623524761,65.33870977615899,0.975204623524761,,,,,,joint-bundle-0pct-extra,0.0
single,A0201,A0201,1,74.5,0.6995183139944451,52.11411439258616,0.6995183139944451,,,,,,joint-bundle-0pct-extra,0.0
single,A0202,A0202,1,76.0,0.6902322306038066,52.4576495258893,0.6902322306038066,,,,,,joint-bundle-0pct-extra,0.0
single,A0203,A0203,1,74.5,0.699374072872438,52.10336842899663,0.699374072872438,,,,,,joint-bundle-0pct-extra,0.0
single,A0204,A0204,1,65.0,0.978703338742931,63.61571701829052,0.978703338742931,,,,,,joint-bundle-0pct-extra,0.0
single,A0205,A0205,1,65.0,0.9787957646661224,63.62172470329796,0.9787957646661224,,,,,,joint-bundle-0pct-extra,0.0
single,A0206,A0206,1,65.0,0.9786096680234402,63.60962842152361,0.9786096680234402,,,,,,joint-bundle-0pct-extra,0.0
single,A0207,A0207,1,65.0,0.9711448902254749,63.12441786465587,0.9711448902254749,,,,,,joint-bundle-0pct-extra,0.0
single,A0208,A0208,1,67.0,0.9729677177381081,65.18883708845324,0.9729677177381081,,,,,,joint-bundle-0pct-extra,0.0
single,A0209,A0209,1,65.0,0.971236302369696,63.130359654030244,0.971236302369696,,,,,,joint-bundle-0pct-extra,0.0
single,A0210,A0210,1,74.0,0.6974159995558464,51.60878396713264,0.6974159995558464,,,,,,joint-bundle-0pct-extra,0.0
single,A0211,A0211,1,71.0,0.7124089636382024,50.58103641831237,0.7124089636382024,,,,,,joint-bundle-0pct-extra,0.0
single,A0212,A0212,1,69.5,0.722325933872381,50.20165240413048,0.722325933872381,,,,,,joint-bundle-0pct-extra,0.0
single,A0213,A0213,1,76.0,0.5657905434057585,43.00008129883765,0.5657905434057585,,,,,,joint-bundle-0pct-extra,0.0
single,A0214,A0214,1,69.0,0.7211535903738687,49.759597735796945,0.7211535903738687,,,,,,joint-bundle-0pct-extra,0.0
single,A0215,A0215,1,71.0,0.7139915634420458,50.69340100438526,0.7139915634420458,,,,,,joint-bundle-0pct-extra,0.0
single,A0216,A0216,1,73.5,0.7010222436616657,51.525134909132426,0.7010222436616657,,,,,,joint-bundle-0pct-extra,0.0
single,A0217,A0217,1,69.5,0.7242521270026586,50.33552282668477,0.7242521270026586,,,,,,joint-bundle-0pct-extra,0.0
single,A0218,A0218,1,74.0,0.4681590136025107,34.64376700658579,0.4681590136025107,,,,,,joint-bundle-0pct-extra,0.0
single,A0219,A0219,1,76.0,0.6883045347661515,52.31114464222751,0.6883045347661515,,,,,,joint-bundle-0pct-extra,0.0
single,A0220,A0220,1,73.0,0.6579953412674284,48.033659912522275,0.6579953412674284,,,,,,joint-bundle-0pct-extra,0.0
single,A0221,A0221,1,70.5,0.7161998556745087,50.492089825052865,0.7161998556745087,,,,,,joint-bundle-0pct-extra,0.0
single,A0222,A0222,1,67.0,0.9689683551090051,64.92087979230334,0.9689683551090051,,,,,,joint-bundle-0pct-extra,0.0
single,A0223,A0223,1,69.0,0.7204209931523179,49.709048527509935,0.7204209931523179,,,,,,joint-bundle-0pct-extra,0.0
single,A0224,A0224,1,76.5,0.6851888694575351,52.41694851350144,0.6851888694575351,,,,,,joint-bundle-0pct-extra,0.0
single,A0225,A0225,1,71.0,0.7143933241388553,50.72192601385872,0.7143933241388553,,,,,,joint-bundle-0pct-extra,0.0
single,A0226,A0226,1,76.5,0.6844972505259344,52.364039665233975,0.6844972505259344,,,,,,joint-bundle-0pct-extra,0.0
single,A0227,A0227,1,69.0,0.7250107031268271,50.02573851575107,0.7250107031268271,,,,,,joint-bundle-0pct-extra,0.0
single,A0228,A0228,1,73.5,0.6697772512610329,49.228627967685924,0.6697772512610329,,,,,,joint-bundle-0pct-extra,0.0
single,A0229,A0229,1,75.5,0.6930597709721906,52.32601270840039,0.6930597709721906,,,,,,joint-bundle-0pct-extra,0.0
single,A0230,A0230,1,74.0,0.5557113212205901,41.122637770323664,0.5557113212205901,,,,,,joint-bundle-0pct-extra,0.0
single,A0231,A0231,1,76.0,0.6881166205899707,52.296863164837774,0.6881166205899707,,,,,,joint-bundle-0pct-extra,0.0
single,A0232,A0232,1,66.5,0.7303718588573643,48.56972861401473,0.7303718588573643,,,,,,joint-bundle-0pct-extra,0.0
single,A0233,A0233,1,72.5,0.7060032914185572,51.1852386278454,0.7060032914185572,,,,,,joint-bundle-0pct-extra,0.0
single,A0234,A0234,1,75.0,0.6947190182099606,52.10392636574705,0.6947190182099606,,,,,,joint-bundle-0pct-extra,0.0
single,A0235,A0235,1,73.0,0.7064649403277419,51.57194064392516,0.7064649403277419,,,,,,joint-bundle-0pct-extra,0.0
single,A0236,A0236,1,74.0,0.7013337247002743,51.8986956278203,0.7013337247002743,,,,,,joint-bundle-0pct-extra,0.0
single,A0237,A0237,1,74.0,0.5102210475309895,37.756357517293225,0.5102210475309895,,,,,,joint-bundle-0pct-extra,0.0
single,A0238,A0238,1,71.5,0.710359459538255,50.79070135698523,0.710359459538255,,,,,,joint-bundle-0pct-extra,0.0
single,A0239,A0239,1,73.0,0.6014027160325155,43.90239827037363,0.6014027160325155,,,,,,joint-bundle-0pct-extra,0.0
single,A0240,A0240,1,76.5,0.6851888694575351,52.41694851350144,0.6851888694575351,,,,,,joint-bundle-0pct-extra,0.0
single,A0241,A0241,1,73.5,0.6108856172575615,44.900092868430775,0.6108856172575615,,,,,,joint-bundle-0pct-extra,0.0
single,A0242,A0242,1,73.5,0.7004190919925869,51.48080326145514,0.7004190919925869,,,,,,joint-bundle-0pct-extra,0.0
single,A0243,A0243,1,73.5,0.5019485208310844,36.893216281084705,0.5019485208310844,,,,,,joint-bundle-0pct-extra,0.0
single,A0244,A0244,1,74.0,0.4682419118070177,34.64990147371931,0.4682419118070177,,,,,,joint-bundle-0pct-extra,0.0
single,A0245,A0245,1,69.0,0.7255646783435046,50.06396280570181,0.7255646783435046,,,,,,joint-bundle-0pct-extra,0.0
single,A0246,A0246,1,74.5,0.6586311369841713,49.068019705320765,0.6586311369841713,,,,,,joint-bundle-0pct-extra,0.0
single,A0247,A0247,1,74.0,0.7026458415549818,51.99579227506865,0.7026458415549818,,,,,,joint-bundle-0pct-extra,0.0
single,A0248,A0248,1,73.0,0.5225902176762146,38.149085890363665,0.5225902176762146,,,,,,joint-bundle-0pct-extra,0.0
single,A0249,A0249,1,74.5,0.6579760851316135,49.01921834230521,0.6579760851316135,,,,,,joint-bundle-0pct-extra,0.0
single,A0250,A0250,1,73.5,0.5756191788142826,42.30800964284977,0.5756191788142826,,,,,,joint-bundle-0pct-extra,0.0
single,A0251,A0251,1,72.0,0.7089786912344611,51.0464657688812,0.7089786912344611,,,,,,joint-bundle-0pct-extra,0.0
single,A0252,A0252,1,72.5,0.708495938122855,51.36595551390699,0.708495938122855,,,,,,joint-bundle-0pct-extra,0.0
single,A0253,A0253,1,73.0,0.6211263042199745,45.34222020805814,0.6211263042199745,,,,,,joint-bundle-0pct-extra,0.0
single,A0254,A0254,1,73.5,0.5271815121947182,38.747841146311785,0.5271815121947182,,,,,,joint-bundle-0pct-extra,0.0
single,A0255,A0255,1,73.0,0.6176414617347223,45.08782670663473,0.6176414617347223,,,,,,joint-bundle-0pct-extra,0.0
single,A0256,A0256,1,73.5,0.6461036928952163,47.4886214277984,0.6461036928952163,,,,,,joint-bundle-0pct-extra,0.0
single,A0257,A0257,1,73.0,0.6296220485258953,45.96240954239036,0.6296220485258953,,,,,,joint-bundle-0pct-extra,0.0
single,A0258,A0258,1,74.5,0.6875691965098463,51.22390513998355,0.6875691965098463,,,,,,joint-bundle-0pct-extra,0.0
single,A0259,A0259,1,68.0,0.7244770202941252,49.264437380000516,0.7244770202941252,,,,,,joint-bundle-0pct-extra,0.0
single,A0260,A0260,1,73.5,0.6482489933561765,47.64630101167897,0.6482489933561765,,,,,,joint-bundle-0pct-extra,0.0
single,A0261,A0261,1,77.0,0.6655311307155957,51.24589706510086,0.6655311307155957,,,,,,joint-bundle-0pct-extra,0.0
single,A0262,A0262,1,73.0,0.6010232145419814,43.87469466156464,0.6010232145419814,,,,,,joint-bundle-0pct-extra,0.0
single,A0263,A0263,1,73.0,0.5168569257792048,37.73055558188195,0.5168569257792048,,,,,,joint-bundle-0pct-extra,0.0
single,A0264,A0264,1,73.5,0.6026717641350527,44.29637466392638,0.6026717641350527,,,,,,joint-bundle-0pct-extra,0.0
single,A0265,A0265,1,73.5,0.592099730490423,43.51933019104609,0.592099730490423,,,,,,joint-bundle-0pct-extra,0.0
single,A0266,A0266,1,67.0,0.9746934937285527,65.30446407981303,0.9746934937285527,,,,,,joint-bundle-0pct-extra,0.0
single,A0267,A0267,1,65.0,0.9431437749349406,61.30434537077114,0.9431437749349406,,,,,,joint-bundle-0pct-extra,0.0
single,A0268,A0268,1,65.0,0.9452813251292579,61.44328613340176,0.9452813251292579,,,,,,joint-bundle-0pct-extra,0.0
single,A0269,A0269,1,65.0,0.7396220526906693,48.075433424893504,0.7396220526906693,,,,,,joint-bundle-0pct-extra,0.0
single,A0270,A0270,1,65.0,0.9550272943969522,62.07677413580189,0.9550272943969522,,,,,,joint-bundle-0pct-extra,0.0
single,A0271,A0271,1,65.0,0.9738467992878401,63.30004195370961,0.9738467992878401,,,,,,joint-bundle-0pct-extra,0.0
single,A0272,A0272,1,76.0,0.628373301903268,47.75637094464837,0.628373301903268,,,,,,joint-bundle-0pct-extra,0.0
single,A0273,A0273,1,67.0,0.9739143775781056,65.25226329773308,0.9739143775781056,,,,,,joint-bundle-0pct-extra,0.0
single,A0274,A0274,1,74.5,0.6983591380472278,52.027755784518476,0.6983591380472278,,,,,,joint-bundle-0pct-extra,0.0
single,A0275,A0275,1,73.5,0.4965519123359681,36.49656555669366,0.4965519123359681,,,,,,joint-bundle-0pct-extra,0.0
single,A0276,A0276,1,65.0,0.942036504942803,61.2323728212822,0.942036504942803,,,,,,joint-bundle-0pct-extra,0.0
single,A0277,A0277,1,74.5,0.502074608139269,37.404558306375534,0.502074608139269,,,,,,joint-bundle-0pct-extra,0.0
single,A0278,A0278,1,65.0,0.9452813251292579,61.44328613340176,0.9452813251292579,,,,,,joint-bundle-0pct-extra,0.0
single,A0279,A0279,1,74.0,0.5354008184867762,39.619660568021445,0.5354008184867762,,,,,,joint-bundle-0pct-extra,0.0
single,A0280,A0280,1,65.0,0.954575561554339,62.04741150103203,0.954575561554339,,,,,,joint-bundle-0pct-extra,0.0
single,A0281,A0281,1,65.0,0.9446106994836342,61.39969546643622,0.9446106994836342,,,,,,joint-bundle-0pct-extra,0.0
single,A0282,A0282,1,74.5,0.5347163512024795,39.83636816458473,0.5347163512024795,,,,,,joint-bundle-0pct-extra,0.0
single,A0283,A0283,1,65.0,0.9261885110419636,60.20225321772764,0.9261885110419636,,,,,,joint-bundle-0pct-extra,0.0
single,A0284,A0284,1,73.0,0.503758486041897,36.77436948105848,0.503758486041897,,,,,,joint-bundle-0pct-extra,0.0
single,A0287,A0287,1,65.0,0.9437272452276758,61.34227093979893,0.9437272452276758,,,,,,joint-bundle-0pct-extra,0.0
single,A0288,A0288,1,73.5,0.5802097274636089,42.64541496857525,0.5802097274636089,,,,,,joint-bundle-0pct-extra,0.0
