glass_type,component_a,component_b,correlation,abs_correlation,zero_rate_a,zero_rate_b,max_zero_rate,reliable_pair
高钾,K2O,CaO,-0.16041046276303203,0.16041046276303203,0.0625,0.0625,0.0625,True
高钾,K2O,MgO,-0.21848020234166393,0.21848020234166393,0.0625,0.0625,0.0625,True
高钾,K2O,Al2O3,-0.22041776015216147,0.22041776015216147,0.0625,0.0,0.0625,True
高钾,K2O,Fe2O3,-0.288830530764504,0.288830530764504,0.0625,0.0625,0.0625,True
高钾,K2O,CuO,-0.37040048394215874,0.37040048394215874,0.0625,0.0625,0.0625,True
高钾,K2O,PbO,-0.4002115578965811,0.4002115578965811,0.0625,0.3125,0.3125,True
高钾,K2O,BaO,-0.5852167412671742,0.5852167412671742,0.0625,0.4375,0.4375,True
高钾,K2O,P2O5,-0.3182045149566317,0.3182045149566317,0.0625,0.0625,0.0625,True
高钾,K2O,SrO,0.2002615722801369,0.2002615722801369,0.0625,0.3125,0.3125,True
高钾,K2O,SnO2,0.19043494880802989,0.19043494880802989,0.0625,0.5625,0.5625,True
高钾,K2O,SO2,0.21401267651987754,0.21401267651987754,0.0625,0.4375,0.4375,True
高钾,CaO,MgO,-0.2796394010507852,0.2796394010507852,0.0625,0.0625,0.0625,True
高钾,CaO,Al2O3,0.23311109600912233,0.23311109600912233,0.0625,0.0,0.0625,True
高钾,CaO,Fe2O3,0.5336425253938183,0.5336425253938183,0.0625,0.0625,0.0625,True
高钾,CaO,CuO,0.6218531071170199,0.6218531071170199,0.0625,0.0625,0.0625,True
高钾,CaO,PbO,-0.011230335881377677,0.011230335881377677,0.0625,0.3125,0.3125,True
高钾,CaO,BaO,-0.25417957521518575,0.25417957521518575,0.0625,0.4375,0.4375,True
高钾,CaO,P2O5,-0.4610834713528756,0.4610834713528756,0.0625,0.0625,0.0625,True
高钾,CaO,SrO,-0.7007743349972928,0.7007743349972928,0.0625,0.3125,0.3125,True
高钾,CaO,SnO2,-0.8478385165362602,0.8478385165362602,0.0625,0.5625,0.5625,True
高钾,CaO,SO2,0.0796048486177766,0.0796048486177766,0.0625,0.4375,0.4375,True
高钾,MgO,Al2O3,0.26773656165117216,0.26773656165117216,0.0625,0.0,0.0625,True
高钾,MgO,Fe2O3,-0.2115001675505381,0.2115001675505381,0.0625,0.0625,0.0625,True
高钾,MgO,CuO,-0.44180102021639706,0.44180102021639706,0.0625,0.0625,0.0625,True
高钾,MgO,PbO,-0.017443192966198225,0.017443192966198225,0.0625,0.3125,0.3125,True
高钾,MgO,BaO,0.045318849451420395,0.045318849451420395,0.0625,0.4375,0.4375,True
高钾,MgO,P2O5,0.17264476808226437,0.17264476808226437,0.0625,0.0625,0.0625,True
高钾,MgO,SrO,0.4278544352153409,0.4278544352153409,0.0625,0.3125,0.3125,True
高钾,MgO,SnO2,0.33293747236295307,0.33293747236295307,0.0625,0.5625,0.5625,True
高钾,MgO,SO2,0.29012543903138427,0.29012543903138427,0.0625,0.4375,0.4375,True
高钾,Al2O3,Fe2O3,-0.15508630244874547,0.15508630244874547,0.0,0.0625,0.0625,True
高钾,Al2O3,CuO,-0.277828107780458,0.277828107780458,0.0,0.0625,0.0625,True
高钾,Al2O3,PbO,0.11634705782211302,0.11634705782211302,0.0,0.3125,0.3125,True
高钾,Al2O3,BaO,-0.09899486237040779,0.09899486237040779,0.0,0.4375,0.4375,True
高钾,Al2O3,P2O5,-0.07204867036340605,0.07204867036340605,0.0,0.0625,0.0625,True
高钾,Al2O3,SrO,-0.2516581789041346,0.2516581789041346,0.0,0.3125,0.3125,True
高钾,Al2O3,SnO2,-0.13289762442167455,0.13289762442167455,0.0,0.5625,0.5625,True
高钾,Al2O3,SO2,-0.25574697312407985,0.25574697312407985,0.0,0.4375,0.4375,True
高钾,Fe2O3,CuO,0.7807793221154581,0.7807793221154581,0.0625,0.0625,0.0625,True
高钾,Fe2O3,PbO,-0.24240325956384703,0.24240325956384703,0.0625,0.3125,0.3125,True
高钾,Fe2O3,BaO,0.16141250187693193,0.16141250187693193,0.0625,0.4375,0.4375,True
高钾,Fe2O3,P2O5,0.20447188500316452,0.20447188500316452,0.0625,0.0625,0.0625,True
高钾,Fe2O3,SrO,-0.4983088193983938,0.4983088193983938,0.0625,0.3125,0.3125,True
高钾,Fe2O3,SnO2,-0.7425923206829201,0.7425923206829201,0.0625,0.5625,0.5625,True
高钾,Fe2O3,SO2,0.1342721498511876,0.1342721498511876,0.0625,0.4375,0.4375,True
高钾,CuO,PbO,-0.2070326287285221,0.2070326287285221,0.0625,0.3125,0.3125,True
高钾,CuO,BaO,0.13833921778178276,0.13833921778178276,0.0625,0.4375,0.4375,True
高钾,CuO,P2O5,0.13015272194119915,0.13015272194119915,0.0625,0.0625,0.0625,True
高钾,CuO,SrO,-0.5087381471300875,0.5087381471300875,0.0625,0.3125,0.3125,True
高钾,CuO,SnO2,-0.7017844169931524,0.7017844169931524,0.0625,0.5625,0.5625,True
高钾,CuO,SO2,0.1718320635940087,0.1718320635940087,0.0625,0.4375,0.4375,True
高钾,PbO,BaO,0.5874796663508655,0.5874796663508655,0.3125,0.4375,0.4375,True
高钾,PbO,P2O5,-0.3051948226361901,0.3051948226361901,0.3125,0.0625,0.3125,True
高钾,PbO,SrO,-0.10561650327870067,0.10561650327870067,0.3125,0.3125,0.3125,True
高钾,PbO,SnO2,-0.10823779977459438,0.10823779977459438,0.3125,0.5625,0.5625,True
高钾,PbO,SO2,-0.6407440077270213,0.6407440077270213,0.3125,0.4375,0.4375,True
高钾,BaO,P2O5,0.2736527236389434,0.2736527236389434,0.4375,0.0625,0.4375,True
高钾,BaO,SrO,0.007640967007386709,0.007640967007386709,0.4375,0.3125,0.4375,True
高钾,BaO,SnO2,-0.10348761098476347,0.10348761098476347,0.4375,0.5625,0.5625,True
高钾,BaO,SO2,-0.5346253135048962,0.5346253135048962,0.4375,0.4375,0.4375,True
高钾,P2O5,SrO,0.1738634681514137,0.1738634681514137,0.0625,0.3125,0.3125,True
高钾,P2O5,SnO2,0.28735779658236016,0.28735779658236016,0.0625,0.5625,0.5625,True
高钾,P2O5,SO2,0.0784993750455127,0.0784993750455127,0.0625,0.4375,0.4375,True
高钾,SrO,SnO2,0.7441854202059647,0.7441854202059647,0.3125,0.5625,0.5625,True
高钾,SrO,SO2,-0.02459648588013971,0.02459648588013971,0.3125,0.4375,0.4375,True
高钾,SnO2,SO2,0.07179830392629108,0.07179830392629108,0.5625,0.4375,0.5625,True
铅钡,SiO2,Na2O,0.1962606609778887,0.1962606609778887,0.0,0.25,0.25,True
铅钡,SiO2,K2O,0.053103665856562905,0.053103665856562905,0.0,0.15,0.15,True
铅钡,SiO2,CaO,-0.16835028838037103,0.16835028838037103,0.0,0.05,0.05,True
铅钡,SiO2,MgO,-0.016331533894197302,0.016331533894197302,0.0,0.2,0.2,True
铅钡,SiO2,Al2O3,0.20973573074561505,0.20973573074561505,0.0,0.0,0.0,True
铅钡,SiO2,Fe2O3,0.09914323462391265,0.09914323462391265,0.0,0.25,0.25,True
铅钡,SiO2,CuO,-0.22071732132540794,0.22071732132540794,0.0,0.025,0.025,True
铅钡,SiO2,PbO,0.3349684422049095,0.3349684422049095,0.0,0.0,0.0,True
铅钡,SiO2,BaO,-0.10400184088170926,0.10400184088170926,0.0,0.0,0.0,True
铅钡,SiO2,P2O5,-0.24754649235148782,0.24754649235148782,0.0,0.1,0.1,True
铅钡,SiO2,SrO,-0.29028327959017475,0.29028327959017475,0.0,0.125,0.125,True
铅钡,SiO2,SnO2,0.1812239250745595,0.1812239250745595,0.0,0.425,0.425,True
铅钡,SiO2,SO2,-0.3568930425735056,0.3568930425735056,0.0,0.45,0.45,True
铅钡,Na2O,K2O,-0.26770351877864007,0.26770351877864007,0.25,0.15,0.25,True
铅钡,Na2O,CaO,-0.0849138680011777,0.0849138680011777,0.25,0.05,0.25,True
铅钡,Na2O,MgO,-0.04914250957673136,0.04914250957673136,0.25,0.2,0.25,True
铅钡,Na2O,Al2O3,0.004213910475411655,0.004213910475411655,0.25,0.0,0.25,True
铅钡,Na2O,Fe2O3,-0.297488769395292,0.297488769395292,0.25,0.25,0.25,True
铅钡,Na2O,CuO,0.007234735746949046,0.007234735746949046,0.25,0.025,0.25,True
铅钡,Na2O,PbO,0.012139514291423152,0.012139514291423152,0.25,0.0,0.25,True
铅钡,Na2O,BaO,0.07752151831161855,0.07752151831161855,0.25,0.0,0.25,True
铅钡,Na2O,P2O5,-0.703836821213197,0.703836821213197,0.25,0.1,0.25,True
铅钡,Na2O,SrO,0.057375842057492826,0.057375842057492826,0.25,0.125,0.25,True
铅钡,Na2O,SnO2,-0.1909363252585557,0.1909363252585557,0.25,0.425,0.425,True
铅钡,Na2O,SO2,-0.2395574791867623,0.2395574791867623,0.25,0.45,0.45,True
铅钡,K2O,CaO,-0.26492647380780004,0.26492647380780004,0.15,0.05,0.15,True
铅钡,K2O,MgO,0.16026627991355843,0.16026627991355843,0.15,0.2,0.2,True
铅钡,K2O,Al2O3,0.34127718512945165,0.34127718512945165,0.15,0.0,0.15,True
铅钡,K2O,Fe2O3,0.08466027926106283,0.08466027926106283,0.15,0.25,0.25,True
铅钡,K2O,CuO,-0.3091071547438534,0.3091071547438534,0.15,0.025,0.15,True
铅钡,K2O,PbO,-0.23435935654313056,0.23435935654313056,0.15,0.0,0.15,True
铅钡,K2O,BaO,-0.3296800981992743,0.3296800981992743,0.15,0.0,0.15,True
铅钡,K2O,P2O5,0.002681931322939306,0.002681931322939306,0.15,0.1,0.15,True
铅钡,K2O,SrO,-0.12579942042207698,0.12579942042207698,0.15,0.125,0.15,True
铅钡,K2O,SnO2,0.33354318010874906,0.33354318010874906,0.15,0.425,0.425,True
铅钡,K2O,SO2,0.07123112774020772,0.07123112774020772,0.15,0.45,0.45,True
铅钡,CaO,MgO,0.1827941637043732,0.1827941637043732,0.05,0.2,0.2,True
铅钡,CaO,Al2O3,0.03743773519672413,0.03743773519672413,0.05,0.0,0.05,True
铅钡,CaO,Fe2O3,0.211350603092863,0.211350603092863,0.05,0.25,0.25,True
铅钡,CaO,CuO,-0.4086381881961137,0.4086381881961137,0.05,0.025,0.05,True
铅钡,CaO,PbO,0.01166565275214747,0.01166565275214747,0.05,0.0,0.05,True
铅钡,CaO,BaO,-0.35674580768684344,0.35674580768684344,0.05,0.0,0.05,True
铅钡,CaO,P2O5,0.05512420145631875,0.05512420145631875,0.05,0.1,0.1,True
铅钡,CaO,SrO,0.007989875351491047,0.007989875351491047,0.05,0.125,0.125,True
铅钡,CaO,SnO2,0.05060194703641605,0.05060194703641605,0.05,0.425,0.425,True
铅钡,CaO,SO2,-0.11606231506600895,0.11606231506600895,0.05,0.45,0.45,True
铅钡,MgO,Al2O3,0.40617457001922064,0.40617457001922064,0.2,0.0,0.2,True
铅钡,MgO,Fe2O3,-0.06085440203536156,0.06085440203536156,0.2,0.25,0.25,True
铅钡,MgO,CuO,-0.37017829427005644,0.37017829427005644,0.2,0.025,0.2,True
铅钡,MgO,PbO,-0.23487644425482151,0.23487644425482151,0.2,0.0,0.2,True
铅钡,MgO,BaO,-0.5264327278653859,0.5264327278653859,0.2,0.0,0.2,True
铅钡,MgO,P2O5,-0.029420806747747313,0.029420806747747313,0.2,0.1,0.2,True
铅钡,MgO,SrO,0.09485685899186641,0.09485685899186641,0.2,0.125,0.2,True
铅钡,MgO,SnO2,0.10415224173849513,0.10415224173849513,0.2,0.425,0.425,True
铅钡,MgO,SO2,-0.4198568801417729,0.4198568801417729,0.2,0.45,0.45,True
铅钡,Al2O3,Fe2O3,0.28060076970318637,0.28060076970318637,0.0,0.25,0.25,True
铅钡,Al2O3,CuO,-0.31698565236741244,0.31698565236741244,0.0,0.025,0.025,True
铅钡,Al2O3,PbO,-0.4406895977301012,0.4406895977301012,0.0,0.0,0.0,True
铅钡,Al2O3,BaO,-0.4753659733206475,0.4753659733206475,0.0,0.0,0.0,True
铅钡,Al2O3,P2O5,-0.04827125794423913,0.04827125794423913,0.0,0.1,0.1,True
铅钡,Al2O3,SrO,-0.3248834652046545,0.3248834652046545,0.0,0.125,0.125,True
铅钡,Al2O3,SnO2,0.07705500872692296,0.07705500872692296,0.0,0.425,0.425,True
铅钡,Al2O3,SO2,-0.4371779349976308,0.4371779349976308,0.0,0.45,0.45,True
铅钡,Fe2O3,CuO,-0.40872282852381864,0.40872282852381864,0.25,0.025,0.25,True
铅钡,Fe2O3,PbO,-0.014857694703905433,0.014857694703905433,0.25,0.0,0.25,True
铅钡,Fe2O3,BaO,-0.34206557981674673,0.34206557981674673,0.25,0.0,0.25,True
铅钡,Fe2O3,P2O5,0.3647919623243014,0.3647919623243014,0.25,0.1,0.25,True
铅钡,Fe2O3,SrO,-0.35417674106237906,0.35417674106237906,0.25,0.125,0.25,True
铅钡,Fe2O3,SnO2,0.04211913956391752,0.04211913956391752,0.25,0.425,0.425,True
铅钡,Fe2O3,SO2,-0.3914259351828659,0.3914259351828659,0.25,0.45,0.45,True
铅钡,CuO,PbO,-0.04056373070437686,0.04056373070437686,0.025,0.0,0.025,True
铅钡,CuO,BaO,0.48170225926045107,0.48170225926045107,0.025,0.0,0.025,True
铅钡,CuO,P2O5,0.060828485437090435,0.060828485437090435,0.025,0.1,0.1,True
铅钡,CuO,SrO,0.026232123218589743,0.026232123218589743,0.025,0.125,0.125,True
铅钡,CuO,SnO2,-0.509172263228708,0.509172263228708,0.025,0.425,0.425,True
铅钡,CuO,SO2,0.30547858878056133,0.30547858878056133,0.025,0.45,0.45,True
铅钡,PbO,BaO,0.19642076165604222,0.19642076165604222,0.0,0.0,0.0,True
铅钡,PbO,P2O5,-0.05877996201357222,0.05877996201357222,0.0,0.1,0.1,True
铅钡,PbO,SrO,0.2226840726553871,0.2226840726553871,0.0,0.125,0.125,True
铅钡,PbO,SnO2,-0.03928714303090403,0.03928714303090403,0.0,0.425,0.425,True
铅钡,PbO,SO2,-0.18353875226310307,0.18353875226310307,0.0,0.45,0.45,True
铅钡,BaO,P2O5,-0.09145733510163749,0.09145733510163749,0.0,0.1,0.1,True
铅钡,BaO,SrO,0.0345919236456262,0.0345919236456262,0.0,0.125,0.125,True
铅钡,BaO,SnO2,-0.1799044499685907,0.1799044499685907,0.0,0.425,0.425,True
铅钡,BaO,SO2,0.2285505384702029,0.2285505384702029,0.0,0.45,0.45,True
铅钡,P2O5,SrO,-0.26640922765555103,0.26640922765555103,0.1,0.125,0.125,True
铅钡,P2O5,SnO2,-0.11622714719401238,0.11622714719401238,0.1,0.425,0.425,True
铅钡,P2O5,SO2,0.036641554084397496,0.036641554084397496,0.1,0.45,0.45,True
铅钡,SrO,SnO2,-0.021121599588910432,0.021121599588910432,0.125,0.425,0.425,True
铅钡,SrO,SO2,0.1137294013863228,0.1137294013863228,0.125,0.45,0.45,True
铅钡,SnO2,SO2,0.04582049980323431,0.04582049980323431,0.425,0.45,0.45,True
