zone_id,radial_inner_m,radial_outer_m,azimuth_start_deg,azimuth_end_deg,direction,mirror_count,total_power_kw,avg_power_per_mirror_kw,avg_unit_area_power_kw_m2,field_power_share_pct,relative_to_field_avg_pct,is_low_power_zone
R3-S02,140.0,210.0,30.0,60.0,东北,60,1203.747102039451,20.062451700657515,0.5054787528510334,1.9926958368448442,105.21434018540778,False
R3-S03,140.0,210.0,60.0,90.0,北,54,1262.9256032754515,23.38751117176762,0.5892545016822278,2.0906605611992384,122.65208625702199,False
R3-S04,140.0,210.0,90.0,120.0,北,57,1334.38115488538,23.41019569974351,0.5898260443372011,2.2089488461482225,122.7710516596065,False
R3-S05,140.0,210.0,120.0,150.0,西北,60,1206.937937165911,20.115632286098517,0.5068186517031624,1.9979779794658172,105.49323731579514,False
R3-S06,140.0,210.0,150.0,180.0,西,56,1324.8064655129479,23.657258312731212,0.5960508519206655,2.1930988028798293,124.06673227720178,False
R3-S07,140.0,210.0,180.0,210.0,西,58,1264.9352172070871,21.809227882880812,0.5494892386717262,2.093987297611273,114.37503032469851,False
R3-S08,140.0,210.0,210.0,240.0,西南,55,1158.1275561545351,21.056864657355185,0.5305332491145172,1.917176752304905,110.42938093276254,False
R3-S09,140.0,210.0,240.0,270.0,南,49,966.2088413745261,19.718547783153593,0.4968140031028872,1.5994724576845527,103.41079073356454,False
R3-S10,140.0,210.0,270.0,300.0,南,51,1003.9916235777122,19.68611026622965,0.4959967313234984,1.6620184797461175,103.24067733011178,False
R3-S11,140.0,210.0,300.0,330.0,东南,55,1152.5152507531225,20.954822740965863,0.5279622761644208,1.9078860818729273,109.89423831588061,False
R3-S12,140.0,210.0,330.0,360.0,东,58,1262.62311255905,21.769364009638792,0.5484848578896143,2.0901598148296427,114.16597057552256,False
R4-S01,210.0,280.0,0.0,30.0,东,80,1732.9619564683212,21.662024455854016,0.545780409570522,2.868763771239172,113.60304534107122,False
R4-S02,210.0,280.0,30.0,60.0,东北,81,1350.798627568425,16.676526266276852,0.4201694700498073,2.2361265061497213,87.45739224052244,True
R4-S03,210.0,280.0,60.0,90.0,北,75,1490.726188027599,19.876349173701318,0.5007898506853444,2.4677640874277467,104.23835505294802,False
R4-S04,210.0,280.0,90.0,120.0,北,79,1575.1284013908676,19.93833419482111,0.5023515796125249,2.607484414815886,104.56342564730035,False
R4-S05,210.0,280.0,120.0,150.0,西北,81,1358.2970474497463,16.769099351231436,0.422501873298852,2.2485394706794866,87.94287707546438,True
R4-S06,210.0,280.0,150.0,180.0,西,80,1736.4437331070264,21.70554666383783,0.5468769630596582,2.874527541553565,113.83129064552118,False
R4-S07,210.0,280.0,180.0,210.0,西,83,1494.6849654415828,18.00825259568172,0.45372266555005597,2.4743174899310434,94.44141937471743,False
R4-S08,210.0,280.0,210.0,240.0,西南,80,1599.9643702572141,19.999554628215176,0.5038940445506469,2.6485981435053487,104.88448648281181,False
R4-S09,210.0,280.0,240.0,270.0,南,82,1530.0422730996231,18.659052110971015,0.47011973068710045,2.5328483554698664,97.85443402595779,False
R4-S10,210.0,280.0,270.0,300.0,南,86,1604.360454643063,18.655354123756545,0.470026558925587,2.6558754686505206,97.83504051959127,False
R4-S11,210.0,280.0,300.0,330.0,东南,80,1603.3871323221356,20.042339154026696,0.5049720119432274,2.6542642204626468,105.1088631303208,False
R4-S12,210.0,280.0,330.0,360.0,东,83,1489.6589321669421,17.947697977914967,0.45219697601196696,2.465997340652801,94.12385030347076,True
R5-S01,280.0,350.0,0.0,30.0,东,102,1876.483788022198,18.39689988257057,0.46351473627035955,3.106351347358117,96.47961831794622,False
R5-S02,280.0,350.0,30.0,60.0,东北,105,1516.617116728577,14.443972540272162,0.36391969111292927,2.510624207919065,75.7491189589295,True
R5-S03,280.0,350.0,60.0,90.0,北,99,1662.9365627152843,16.797339017326102,0.423213379121343,2.752842984913969,88.090975517247,True
R5-S04,280.0,350.0,90.0,120.0,北,102,1721.9912980626855,16.882267628065545,0.42535317782981974,2.850602825891666,88.53637012181176,True
R5-S05,280.0,350.0,120.0,150.0,西北,105,1525.1602628158812,14.525335836341725,0.3659696607795849,2.5247666233922867,76.17581583720727,True
R5-S06,280.0,350.0,150.0,180.0,西,102,1887.0214067912239,18.500209870502193,0.4661176586168353,3.1237954342562033,97.0214111345456,False
R5-S07,280.0,350.0,180.0,210.0,西,105,1569.3552944282953,14.946240899317099,0.3765744746615545,2.5979275517584495,78.38318556162636,True
R5-S08,280.0,350.0,210.0,240.0,西南,100,1803.2637089392526,18.032637089392527,0.4543370392893053,2.985142044743942,94.5692999774881,False
R5-S09,280.0,350.0,240.0,270.0,南,103,1650.1311241444762,16.020690525674524,0.40364551589001074,2.731644724842739,84.01796590584269,True
R5-S10,280.0,350.0,270.0,300.0,南,106,1700.9965214469669,16.047136994782708,0.4043118416422955,2.815847847967525,84.15666021095397,True
R5-S11,280.0,350.0,300.0,330.0,东南,100,1802.4359382301925,18.024359382301924,0.4541284802797159,2.983771744252243,94.52588885791104,False
R5-S12,280.0,350.0,330.0,360.0,东,105,1555.3580341969412,14.812933659018487,0.3732157636437009,2.5747563373538647,77.68407692130518,True
