year,survey_date,method,distance_m,bed_elevation_m
2020,2020-07-10,linear,1960.0,40.96
2020,2020-07-10,linear,1965.0,40.96
2020,2020-07-10,linear,1970.0,40.936470588235295
2020,2020-07-10,linear,1975.0,40.877647058823534
2020,2020-07-10,linear,1980.0,40.818823529411766
2020,2020-07-10,linear,1985.0,40.760000000000005
2020,2020-07-10,linear,1990.0,40.73058823529412
2020,2020-07-10,linear,1995.0,40.70117647058824
2020,2020-07-10,linear,2000.0,40.67176470588236
2020,2020-07-10,linear,2005.0,40.642352941176476
2020,2020-07-10,linear,2010.0,40.61294117647059
2020,2020-07-10,linear,2015.0,40.58352941176471
2020,2020-07-10,linear,2020.0,40.62111111111111
2020,2020-07-10,linear,2025.0,40.92666666666667
2020,2020-07-10,linear,2030.0,41.23222222222223
2020,2020-07-10,linear,2035.0,41.537777777777784
2020,2020-07-10,linear,2040.0,41.81
2020,2020-07-10,linear,2045.0,42.06
2020,2020-07-10,linear,2050.0,42.31
2020,2020-07-10,linear,2055.0,42.56
2020,2020-07-10,linear,2060.0,42.96
2020,2020-07-10,linear,2065.0,43.36
2020,2020-07-10,linear,2070.0,43.760000000000005
2020,2020-07-10,linear,2075.0,44.160000000000004
2020,2020-07-29,linear,1680.0,44.04470588235294
2020,2020-07-29,linear,1685.0,43.368235294117646
2020,2020-07-29,linear,1690.0,42.691764705882356
2020,2020-07-29,linear,1695.0,42.01529411764706
2020,2020-07-29,linear,1700.0,41.8564705882353
2020,2020-07-29,linear,1705.0,41.82705882352941
2020,2020-07-29,linear,1710.0,41.79764705882353
2020,2020-07-29,linear,1715.0,41.768235294117645
2020,2020-07-29,linear,1720.0,41.73882352941177
2020,2020-07-29,linear,1725.0,41.709411764705884
2020,2020-07-29,linear,1730.0,41.68
2020,2020-07-29,linear,1735.0,41.650588235294116
2020,2020-07-29,linear,1740.0,41.62117647058823
2020,2020-07-29,linear,1745.0,41.591764705882355
2020,2020-07-29,linear,1750.0,41.58
2020,2020-07-29,linear,1755.0,41.58
2020,2020-07-29,linear,1760.0,41.58
2020,2020-07-29,linear,1765.0,41.58
2020,2020-07-29,linear,1770.0,41.58
2020,2020-07-29,linear,1775.0,41.58
2020,2020-07-29,linear,1780.0,41.58
2020,2020-07-29,linear,1785.0,41.58
2020,2020-07-29,linear,1790.0,41.58
2020,2020-07-29,linear,1795.0,41.58
2020,2020-07-29,linear,1800.0,41.567499999999995
2020,2020-07-29,linear,1805.0,41.536249999999995
2020,2020-07-29,linear,1810.0,41.504999999999995
2020,2020-07-29,linear,1815.0,41.48
2020,2020-07-29,linear,1820.0,41.48
2020,2020-07-29,linear,1825.0,41.48
2020,2020-07-29,linear,1830.0,41.48
2020,2020-07-29,linear,1835.0,41.446666666666665
2020,2020-07-29,linear,1840.0,41.413333333333334
2020,2020-07-29,linear,1845.0,41.38
2020,2020-07-29,linear,1850.0,41.34666666666667
2020,2020-07-29,linear,1855.0,41.31333333333333
2020,2020-07-29,linear,1860.0,41.28
2020,2020-07-29,linear,1865.0,41.24666666666667
2020,2020-07-29,linear,1870.0,41.21333333333333
2020,2020-07-29,linear,1875.0,41.18
2020,2020-07-29,linear,1880.0,41.18
2020,2020-07-29,linear,1885.0,41.18
2020,2020-07-29,linear,1890.0,41.18
2020,2020-07-29,linear,1895.0,41.14666666666667
2020,2020-07-29,linear,1900.0,41.11333333333333
2020,2020-07-29,linear,1905.0,41.08
2020,2020-07-29,linear,1910.0,41.04666666666667
2020,2020-07-29,linear,1915.0,41.01333333333333
2020,2020-07-29,linear,1920.0,40.98
2020,2020-07-29,linear,1925.0,40.98
2020,2020-07-29,linear,1930.0,40.98
2020,2020-07-29,linear,1935.0,40.98
2020,2020-07-29,linear,1940.0,40.955
2020,2020-07-29,linear,1945.0,40.92375
2020,2020-07-29,linear,1950.0,40.8925
2020,2020-07-29,linear,1955.0,40.861250000000005
2020,2020-07-29,linear,1960.0,40.83
2020,2020-07-29,linear,1965.0,40.79875
2020,2020-07-29,linear,1970.0,40.768235294117645
2020,2020-07-29,linear,1975.0,40.73882352941177
2020,2020-07-29,linear,1980.0,40.709411764705884
2020,2020-07-29,linear,1985.0,40.68
2020,2020-07-29,linear,1990.0,40.709411764705884
2020,2020-07-29,linear,1995.0,40.73882352941177
2020,2020-07-29,linear,2000.0,40.768235294117645
2020,2020-07-29,linear,2005.0,40.815294117647056
2020,2020-07-29,linear,2010.0,40.874117647058824
2020,2020-07-29,linear,2015.0,40.932941176470585
2020,2020-07-29,linear,2020.0,41.03294117647059
2020,2020-07-29,linear,2025.0,41.29764705882353
2020,2020-07-29,linear,2030.0,41.56235294117647
2020,2020-07-29,linear,2035.0,41.82705882352941
2020,2020-07-29,linear,2040.0,41.94315789473684
2020,2020-07-29,linear,2045.0,42.0221052631579
2020,2020-07-29,linear,2050.0,42.101052631578945
2020,2020-07-29,linear,2055.0,42.18
2020,2020-07-29,linear,2060.0,42.61478260869565
2020,2020-07-29,linear,2065.0,43.049565217391304
2020,2020-07-29,linear,2070.0,43.48434782608695
2020,2020-07-29,linear,2075.0,43.91913043478261
2020,2020-07-10,pchip,1680.0,42.96443076923077
2020,2020-07-10,pchip,1685.0,42.21161666666667
2020,2020-07-10,pchip,1690.0,41.80027692307692
2020,2020-07-10,pchip,1695.0,41.760000000000005
2020,2020-07-10,pchip,1700.0,41.760000000000005
2020,2020-07-10,pchip,1705.0,41.760000000000005
2020,2020-07-10,pchip,1710.0,41.760000000000005
2020,2020-07-10,pchip,1715.0,41.75250114311844
2020,2020-07-10,pchip,1720.0,41.726666666666674
2020,2020-07-10,pchip,1725.0,41.69054412437129
2020,2020-07-10,pchip,1730.0,41.6520119402018
2020,2020-07-10,pchip,1735.0,41.598621504387275
2020,2020-07-10,pchip,1740.0,41.53494300272912
2020,2020-07-10,pchip,1745.0,41.47751574731221
2020,2020-07-10,pchip,1750.0,41.43615150811855
2020,2020-07-10,pchip,1755.0,41.3972092674033
2020,2020-07-10,pchip,1760.0,41.36848350785032
2020,2020-07-10,pchip,1765.0,41.36
2020,2020-07-10,pchip,1770.0,41.36
2020,2020-07-10,pchip,1775.0,41.36
2020,2020-07-10,pchip,1780.0,41.36
2020,2020-07-10,pchip,1785.0,41.36
2020,2020-07-10,pchip,1790.0,41.36
2020,2020-07-10,pchip,1795.0,41.36
2020,2020-07-10,pchip,1800.0,41.355703125
2020,2020-07-10,pchip,1805.0,41.319326171875005
2020,2020-07-10,pchip,1810.0,41.275625000000005
2020,2020-07-10,pchip,1815.0,41.260000000000005
2020,2020-07-10,pchip,1820.0,41.260000000000005
2020,2020-07-10,pchip,1825.0,41.260000000000005
2020,2020-07-10,pchip,1830.0,41.260000000000005
2020,2020-07-10,pchip,1835.0,41.23407407407408
2020,2020-07-10,pchip,1840.0,41.18592592592593
2020,2020-07-10,pchip,1845.0,41.160000000000004
2020,2020-07-10,pchip,1850.0,41.160000000000004
2020,2020-07-10,pchip,1855.0,41.160000000000004
2020,2020-07-10,pchip,1860.0,41.160000000000004
2020,2020-07-10,pchip,1865.0,41.13407407407408
2020,2020-07-10,pchip,1870.0,41.08592592592593
2020,2020-07-10,pchip,1875.0,41.06
2020,2020-07-10,pchip,1880.0,41.06
2020,2020-07-10,pchip,1885.0,41.06
2020,2020-07-10,pchip,1890.0,41.06
2020,2020-07-10,pchip,1895.0,41.06
2020,2020-07-10,pchip,1900.0,41.06
2020,2020-07-10,pchip,1905.0,41.06
2020,2020-07-10,pchip,1910.0,41.06
2020,2020-07-10,pchip,1915.0,41.06
2020,2020-07-10,pchip,1920.0,41.06
2020,2020-07-10,pchip,1925.0,41.036806640625
2020,2020-07-10,pchip,1930.0,40.991640625
2020,2020-07-10,pchip,1935.0,40.961123046874995
2020,2020-07-10,pchip,1940.0,40.96
2020,2020-07-10,pchip,1945.0,40.96
2020,2020-07-10,pchip,1950.0,40.96
2020,2020-07-10,pchip,1955.0,40.96
2020,2020-07-10,pchip,1960.0,40.96
2020,2020-07-10,pchip,1965.0,40.96
2020,2020-07-10,pchip,1970.0,40.95397516792184
2020,2020-07-10,pchip,1975.0,40.89949385982767
2020,2020-07-10,pchip,1980.0,40.82126602890292
2020,2020-07-10,pchip,1985.0,40.760000000000005
2020,2020-07-10,pchip,1990.0,40.72570323631183
2020,2020-07-10,pchip,1995.0,40.69785195739196
2020,2020-07-10,pchip,2000.0,40.671357622633835
2020,2020-07-10,pchip,2005.0,40.63978831671077
2020,2020-07-10,pchip,2010.0,40.60121717891309
2020,2020-07-10,pchip,2015.0,40.569769997964585
2020,2020-07-10,pchip,2020.0,40.56692215363512
2020,2020-07-10,pchip,2025.0,40.77185185185186
2020,2020-07-10,pchip,2030.0,41.14653463648834
2020,2020-07-10,pchip,2035.0,41.53536351165982
2020,2020-07-10,pchip,2040.0,41.815926089517085
2020,2020-07-10,pchip,2045.0,42.05105701696986
2020,2020-07-10,pchip,2050.0,42.28690774549579
2020,2020-07-10,pchip,2055.0,42.56
2020,2020-07-10,pchip,2060.0,42.884534144136744
2020,2020-07-10,pchip,2065.0,43.248938121456156
2020,2020-07-10,pchip,2070.0,43.65107502670721
2020,2020-07-10,pchip,2075.0,44.088807954638845
2020,2020-07-29,pchip,1680.0,43.98052242350227
2020,2020-07-29,pchip,1685.0,43.03575005088541
2020,2020-07-29,pchip,1690.0,42.29155098717688
2020,2020-07-29,pchip,1695.0,41.90185358572495
2020,2020-07-29,pchip,1700.0,41.84385779225185
2020,2020-07-29,pchip,1705.0,41.81631182576837
2020,2020-07-29,pchip,1710.0,41.7952961530633
2020,2020-07-29,pchip,1715.0,41.768235294117645
2020,2020-07-29,pchip,1720.0,41.73882352941177
2020,2020-07-29,pchip,1725.0,41.709411764705884
2020,2020-07-29,pchip,1730.0,41.68
2020,2020-07-29,pchip,1735.0,41.64448198656625
2020,2020-07-29,pchip,1740.0,41.606928556889876
2020,2020-07-29,pchip,1745.0,41.58260533279056
2020,2020-07-29,pchip,1750.0,41.58
2020,2020-07-29,pchip,1755.0,41.58
2020,2020-07-29,pchip,1760.0,41.58
2020,2020-07-29,pchip,1765.0,41.58
2020,2020-07-29,pchip,1770.0,41.58
2020,2020-07-29,pchip,1775.0,41.58
2020,2020-07-29,pchip,1780.0,41.58
2020,2020-07-29,pchip,1785.0,41.58
2020,2020-07-29,pchip,1790.0,41.58
2020,2020-07-29,pchip,1795.0,41.58
2020,2020-07-29,pchip,1800.0,41.575703125
2020,2020-07-29,pchip,1805.0,41.539326171875
2020,2020-07-29,pchip,1810.0,41.495625
2020,2020-07-29,pchip,1815.0,41.48
2020,2020-07-29,pchip,1820.0,41.48
2020,2020-07-29,pchip,1825.0,41.48
2020,2020-07-29,pchip,1830.0,41.48
2020,2020-07-29,pchip,1835.0,41.461481481481485
2020,2020-07-29,pchip,1840.0,41.42074074074074
2020,2020-07-29,pchip,1845.0,41.38
2020,2020-07-29,pchip,1850.0,41.34666666666667
2020,2020-07-29,pchip,1855.0,41.31333333333334
2020,2020-07-29,pchip,1860.0,41.28
2020,2020-07-29,pchip,1865.0,41.23925925925926
2020,2020-07-29,pchip,1870.0,41.19851851851852
2020,2020-07-29,pchip,1875.0,41.18
2020,2020-07-29,pchip,1880.0,41.18
2020,2020-07-29,pchip,1885.0,41.18
2020,2020-07-29,pchip,1890.0,41.18
2020,2020-07-29,pchip,1895.0,41.16148148148148
2020,2020-07-29,pchip,1900.0,41.12074074074074
2020,2020-07-29,pchip,1905.0,41.08
2020,2020-07-29,pchip,1910.0,41.03925925925926
2020,2020-07-29,pchip,1915.0,40.998518518518516
2020,2020-07-29,pchip,1920.0,40.98
2020,2020-07-29,pchip,1925.0,40.98
2020,2020-07-29,pchip,1930.0,40.98
2020,2020-07-29,pchip,1935.0,40.98
2020,2020-07-29,pchip,1940.0,40.9690625
2020,2020-07-29,pchip,1945.0,40.9345166015625
2020,2020-07-29,pchip,1950.0,40.8938671875
2020,2020-07-29,pchip,1955.0,40.86116428914862
2020,2020-07-29,pchip,1960.0,40.82962492345377
2020,2020-07-29,pchip,1965.0,40.79837858631067
2020,2020-07-29,pchip,1970.0,40.766733598165956
2020,2020-07-29,pchip,1975.0,40.72841374016895
2020,2020-07-29,pchip,1980.0,40.6945698036216
2020,2020-07-29,pchip,1985.0,40.68
2020,2020-07-29,pchip,1990.0,40.69272135151638
2020,2020-07-29,pchip,1995.0,40.7241006852568
2020,2020-07-29,pchip,2000.0,40.763960920008145
2020,2020-07-29,pchip,2005.0,40.804051218474186
2020,2020-07-29,pchip,2010.0,40.85040319745388
2020,2020-07-29,pchip,2015.0,40.912606751413996
2020,2020-07-29,pchip,2020.0,41.00466898105535
2020,2020-07-29,pchip,2025.0,41.25188946105101
2020,2020-07-29,pchip,2030.0,41.58746055171923
2020,2020-07-29,pchip,2035.0,41.850324961434396
2020,2020-07-29,pchip,2040.0,41.95816051778237
2020,2020-07-29,pchip,2045.0,42.02074754102245
2020,2020-07-29,pchip,2050.0,42.08143755914848
2020,2020-07-29,pchip,2055.0,42.18
2020,2020-07-29,pchip,2060.0,42.395420609303855
2020,2020-07-29,pchip,2065.0,42.759536013569395
2020,2020-07-29,pchip,2070.0,43.24139196180993
2020,2020-07-29,pchip,2075.0,43.81003420303877
2021,2021-07-07,linear,1680.0,44.160000000000004
2021,2021-07-07,linear,1685.0,43.56
2021,2021-07-07,linear,1690.0,42.96
2021,2021-07-07,linear,1695.0,42.36000000000001
2021,2021-07-07,linear,1700.0,42.09
2021,2021-07-07,linear,1705.0,42.040000000000006
2021,2021-07-07,linear,1710.0,41.99
2021,2021-07-07,linear,1715.0,41.940000000000005
2021,2021-07-07,linear,1720.0,41.89
2021,2021-07-07,linear,1725.0,41.84
2021,2021-07-07,linear,1730.0,41.790000000000006
2021,2021-07-07,linear,1735.0,41.74000000000001
2021,2021-07-07,linear,1740.0,41.7042105263158
2021,2021-07-07,linear,1745.0,41.67789473684211
2021,2021-07-07,linear,1750.0,41.65157894736843
2021,2021-07-07,linear,1755.0,41.62526315789474
2021,2021-07-07,linear,1760.0,41.620000000000005
2021,2021-07-07,linear,1765.0,41.620000000000005
2021,2021-07-07,linear,1770.0,41.620000000000005
2021,2021-07-07,linear,1775.0,41.60888888888889
2021,2021-07-07,linear,1780.0,41.553333333333335
2021,2021-07-07,linear,1785.0,41.49777777777778
2021,2021-07-07,linear,1790.0,41.44222222222223
2021,2021-07-07,linear,1795.0,41.38666666666667
2021,2021-07-07,linear,1800.0,41.33111111111111
2021,2021-07-07,linear,1805.0,41.27555555555556
2021,2021-07-07,linear,1810.0,41.220000000000006
2021,2021-07-07,linear,1815.0,41.19222222222223
2021,2021-07-07,linear,1820.0,41.16444444444445
2021,2021-07-07,linear,1825.0,41.13666666666667
2021,2021-07-07,linear,1830.0,41.1075
2021,2021-07-07,linear,1835.0,41.07625
2021,2021-07-07,linear,1840.0,41.045
2021,2021-07-07,linear,1845.0,41.013333333333335
2021,2021-07-07,linear,1850.0,40.980000000000004
2021,2021-07-07,linear,1855.0,40.946666666666665
2021,2021-07-07,linear,1860.0,40.91285714285714
2021,2021-07-07,linear,1865.0,40.87714285714286
2021,2021-07-07,linear,1870.0,40.84142857142857
2021,2021-07-07,linear,1875.0,40.82
2021,2021-07-07,linear,1880.0,40.82
2021,2021-07-07,linear,1885.0,40.82
2021,2021-07-07,linear,1890.0,40.79857142857143
2021,2021-07-07,linear,1895.0,40.76285714285714
2021,2021-07-07,linear,1900.0,40.727142857142866
2021,2021-07-07,linear,1905.0,40.720000000000006
2021,2021-07-07,linear,1910.0,40.720000000000006
2021,2021-07-07,linear,1915.0,40.720000000000006
2021,2021-07-07,linear,1920.0,40.686666666666675
2021,2021-07-07,linear,1925.0,40.653333333333336
2021,2021-07-07,linear,1930.0,40.620000000000005
2021,2021-07-07,linear,1935.0,40.620000000000005
2021,2021-07-07,linear,1940.0,40.620000000000005
2021,2021-07-07,linear,1945.0,40.620000000000005
2021,2021-07-07,linear,1950.0,40.620000000000005
2021,2021-07-07,linear,1955.0,40.620000000000005
2021,2021-07-07,linear,1960.0,40.620000000000005
2021,2021-07-07,linear,1965.0,40.620000000000005
2021,2021-07-07,linear,1970.0,40.620000000000005
2021,2021-07-07,linear,1975.0,40.620000000000005
2021,2021-07-07,linear,1980.0,40.614117647058826
2021,2021-07-07,linear,1985.0,40.58470588235294
2021,2021-07-07,linear,1990.0,40.555294117647065
2021,2021-07-07,linear,1995.0,40.52588235294118
2021,2021-07-07,linear,2000.0,40.54352941176471
2021,2021-07-07,linear,2005.0,40.57294117647059
2021,2021-07-07,linear,2010.0,40.60235294117648
2021,2021-07-07,linear,2015.0,40.64352941176471
2021,2021-07-07,linear,2020.0,40.70235294117647
2021,2021-07-07,linear,2025.0,40.76117647058824
2021,2021-07-07,linear,2030.0,40.82
2021,2021-07-07,linear,2035.0,41.181111111111115
2021,2021-07-07,linear,2040.0,41.54222222222222
2021,2021-07-07,linear,2045.0,41.903333333333336
2021,2021-07-07,linear,2050.0,42.21000000000001
2021,2021-07-07,linear,2055.0,42.435
2021,2021-07-07,linear,2060.0,42.660000000000004
2021,2021-07-07,linear,2065.0,42.885000000000005
2021,2021-07-07,linear,2070.0,43.18666666666667
2021,2021-07-07,linear,2075.0,43.60333333333334
2021,2021-07-22,linear,1680.0,44.43739130434783
2021,2021-07-22,linear,1685.0,43.78521739130435
2021,2021-07-22,linear,1690.0,43.133043478260866
2021,2021-07-22,linear,1695.0,42.48086956521739
2021,2021-07-22,linear,1700.0,42.205
2021,2021-07-22,linear,1705.0,42.18
2021,2021-07-22,linear,1710.0,42.155
2021,2021-07-22,linear,1715.0,42.129999999999995
2021,2021-07-22,linear,1720.0,42.074999999999996
2021,2021-07-22,linear,1725.0,42.0
2021,2021-07-22,linear,1730.0,41.925
2021,2021-07-22,linear,1735.0,41.85
2021,2021-07-22,linear,1740.0,41.82
2021,2021-07-22,linear,1745.0,41.82
2021,2021-07-22,linear,1750.0,41.82
2021,2021-07-22,linear,1755.0,41.82
2021,2021-07-22,linear,1760.0,41.797777777777775
2021,2021-07-22,linear,1765.0,41.769999999999996
2021,2021-07-22,linear,1770.0,41.742222222222225
2021,2021-07-22,linear,1775.0,41.72
2021,2021-07-22,linear,1780.0,41.72
2021,2021-07-22,linear,1785.0,41.72
2021,2021-07-22,linear,1790.0,41.72
2021,2021-07-22,linear,1795.0,41.70333333333333
2021,2021-07-22,linear,1800.0,41.675555555555555
2021,2021-07-22,linear,1805.0,41.647777777777776
2021,2021-07-22,linear,1810.0,41.62
2021,2021-07-22,linear,1815.0,41.62
2021,2021-07-22,linear,1820.0,41.62
2021,2021-07-22,linear,1825.0,41.62
2021,2021-07-22,linear,1830.0,41.62
2021,2021-07-22,linear,1835.0,41.62
2021,2021-07-22,linear,1840.0,41.62
2021,2021-07-22,linear,1845.0,41.60666666666666
2021,2021-07-22,linear,1850.0,41.54
2021,2021-07-22,linear,1855.0,41.473333333333336
2021,2021-07-22,linear,1860.0,41.42
2021,2021-07-22,linear,1865.0,41.42
2021,2021-07-22,linear,1870.0,41.42
2021,2021-07-22,linear,1875.0,41.39142857142857
2021,2021-07-22,linear,1880.0,41.32
2021,2021-07-22,linear,1885.0,41.24857142857143
2021,2021-07-22,linear,1890.0,41.15571428571428
2021,2021-07-22,linear,1895.0,41.04857142857143
2021,2021-07-22,linear,1900.0,40.941428571428574
2021,2021-07-22,linear,1905.0,40.92
2021,2021-07-22,linear,1910.0,40.92
2021,2021-07-22,linear,1915.0,40.92
2021,2021-07-22,linear,1920.0,40.92
2021,2021-07-22,linear,1925.0,40.92
2021,2021-07-22,linear,1930.0,40.92
2021,2021-07-22,linear,1935.0,40.92
2021,2021-07-22,linear,1940.0,40.92
2021,2021-07-22,linear,1945.0,40.92
2021,2021-07-22,linear,1950.0,40.86375
2021,2021-07-22,linear,1955.0,40.769999999999996
2021,2021-07-22,linear,1960.0,40.676249999999996
2021,2021-07-22,linear,1965.0,40.62
2021,2021-07-22,linear,1970.0,40.62
2021,2021-07-22,linear,1975.0,40.62
2021,2021-07-22,linear,1980.0,40.625882352941176
2021,2021-07-22,linear,1985.0,40.65529411764706
2021,2021-07-22,linear,1990.0,40.68470588235294
2021,2021-07-22,linear,1995.0,40.71411764705882
2021,2021-07-22,linear,2000.0,40.790588235294116
2021,2021-07-22,linear,2005.0,40.87882352941176
2021,2021-07-22,linear,2010.0,40.967058823529406
2021,2021-07-22,linear,2015.0,41.099999999999994
2021,2021-07-22,linear,2020.0,41.3
2021,2021-07-22,linear,2025.0,41.5
2021,2021-07-22,linear,2030.0,41.6825
2021,2021-07-22,linear,2035.0,41.83875
2021,2021-07-22,linear,2040.0,41.995
2021,2021-07-22,linear,2045.0,42.144999999999996
2021,2021-07-22,linear,2050.0,42.269999999999996
2021,2021-07-22,linear,2055.0,42.394999999999996
2021,2021-07-22,linear,2060.0,42.519999999999996
2021,2021-07-22,linear,2065.0,43.363749999999996
2021,2021-07-22,linear,2070.0,44.207499999999996
2021,2021-07-22,linear,2075.0,45.051249999999996
2021,2021-07-07,pchip,1680.0,44.00194903846155
2021,2021-07-07,pchip,1685.0,43.20664615384616
2021,2021-07-07,pchip,1690.0,42.5721125
2021,2021-07-07,pchip,1695.0,42.1856076923077
2021,2021-07-07,pchip,1700.0,42.07165961538462
2021,2021-07-07,pchip,1705.0,42.01563076923077
2021,2021-07-07,pchip,1710.0,41.976525
2021,2021-07-07,pchip,1715.0,41.93847692307693
2021,2021-07-07,pchip,1720.0,41.888805952380956
2021,2021-07-07,pchip,1725.0,41.834006349206355
2021,2021-07-07,pchip,1730.0,41.780767592592596
2021,2021-07-07,pchip,1735.0,41.73494285714287
2021,2021-07-07,pchip,1740.0,41.69867498848692
2021,2021-07-07,pchip,1745.0,41.663299924171774
2021,2021-07-07,pchip,1750.0,41.634701573879305
2021,2021-07-07,pchip,1755.0,41.62045890349142
2021,2021-07-07,pchip,1760.0,41.620000000000005
2021,2021-07-07,pchip,1765.0,41.620000000000005
2021,2021-07-07,pchip,1770.0,41.620000000000005
2021,2021-07-07,pchip,1775.0,41.618799725651584
2021,2021-07-07,pchip,1780.0,41.58296296296297
2021,2021-07-07,pchip,1785.0,41.51626200274349
2021,2021-07-07,pchip,1790.0,41.44441700960219
2021,2021-07-07,pchip,1795.0,41.385123456790126
2021,2021-07-07,pchip,1800.0,41.32379515317787
2021,2021-07-07,pchip,1805.0,41.265896204846825
2021,2021-07-07,pchip,1810.0,41.220000000000006
2021,2021-07-07,pchip,1815.0,41.18772716640743
2021,2021-07-07,pchip,1820.0,41.16161014434444
2021,2021-07-07,pchip,1825.0,41.136590040772106
2021,2021-07-07,pchip,1830.0,41.10809715097231
2021,2021-07-07,pchip,1835.0,41.07740040238846
2021,2021-07-07,pchip,1840.0,41.04572930673464
2021,2021-07-07,pchip,1845.0,41.01353319310591
2021,2021-07-07,pchip,1850.0,40.98079465302149
2021,2021-07-07,pchip,1855.0,40.94733352606198
2021,2021-07-07,pchip,1860.0,40.91259339965736
2021,2021-07-07,pchip,1865.0,40.86712443037711
2021,2021-07-07,pchip,1870.0,40.82832273659435
2021,2021-07-07,pchip,1875.0,40.82
2021,2021-07-07,pchip,1880.0,40.82
2021,2021-07-07,pchip,1885.0,40.82
2021,2021-07-07,pchip,1890.0,40.80819241982507
2021,2021-07-07,pchip,1895.0,40.75935860058309
2021,2021-07-07,pchip,1900.0,40.72145772594753
2021,2021-07-07,pchip,1905.0,40.720000000000006
2021,2021-07-07,pchip,1910.0,40.720000000000006
2021,2021-07-07,pchip,1915.0,40.720000000000006
2021,2021-07-07,pchip,1920.0,40.69407407407408
2021,2021-07-07,pchip,1925.0,40.64592592592593
2021,2021-07-07,pchip,1930.0,40.620000000000005
2021,2021-07-07,pchip,1935.0,40.620000000000005
2021,2021-07-07,pchip,1940.0,40.620000000000005
2021,2021-07-07,pchip,1945.0,40.620000000000005
2021,2021-07-07,pchip,1950.0,40.620000000000005
2021,2021-07-07,pchip,1955.0,40.620000000000005
2021,2021-07-07,pchip,1960.0,40.620000000000005
2021,2021-07-07,pchip,1965.0,40.620000000000005
2021,2021-07-07,pchip,1970.0,40.620000000000005
2021,2021-07-07,pchip,1975.0,40.620000000000005
2021,2021-07-07,pchip,1980.0,40.61900264604112
2021,2021-07-07,pchip,1985.0,40.591422755953595
2021,2021-07-07,pchip,1990.0,40.54857724404641
2021,2021-07-07,pchip,1995.0,40.52099735395889
2021,2021-07-07,pchip,2000.0,40.52835877603637
2021,2021-07-07,pchip,2005.0,40.55682067982903
2021,2021-07-07,pchip,2010.0,40.59579890087523
2021,2021-07-07,pchip,2015.0,40.635693546172305
2021,2021-07-07,pchip,2020.0,40.67872912765046
2021,2021-07-07,pchip,2025.0,40.73635023572847
2021,2021-07-07,pchip,2030.0,40.82
2021,2021-07-07,pchip,2035.0,41.06176005071448
2021,2021-07-07,pchip,2040.0,41.48010845637416
2021,2021-07-07,pchip,2045.0,41.91608300395193
2021,2021-07-07,pchip,2050.0,42.224821963980844
