日期,原线路,替代场地1,替代场地2,替代线路,分流货量
2023-01-02,DC68->DC5,DC68,DC8,DC68->DC8,123.0
2023-01-02,DC69->DC5,DC69,DC14,DC69->DC14,42.0
2023-01-02,DC7->DC5,DC7,DC9,DC7->DC9,84.0
2023-01-02,DC71->DC5,DC71,DC4,DC71->DC4,32.0
2023-01-02,DC73->DC5,DC73,DC10,DC73->DC10,3804.0
2023-01-02,DC8->DC5,DC8,DC10,DC8->DC10,8165.0
2023-01-03,DC10->DC5,DC10,DC8,DC10->DC8,7823.0
2023-01-03,DC14->DC5,DC14,DC62,DC14->DC62,15284.0
2023-01-03,DC15->DC5,DC15,DC14,DC15->DC14,3204.0
2023-01-03,DC17->DC5,DC17,DC14,DC17->DC14,8798.0
2023-01-03,DC19->DC5,DC19,DC70,DC19->DC70,5901.0
2023-01-03,DC20->DC5,DC20,DC14,DC20->DC14,5260.0
2023-01-03,DC22->DC5,DC22,DC3,DC22->DC3,5613.0
2023-01-03,DC23->DC5,DC23,DC62,DC23->DC62,7851.0
2023-01-03,DC25->DC5,DC25,DC65,DC25->DC65,5075.0
2023-01-03,DC26->DC5,DC26,DC8,DC26->DC8,1390.0
2023-01-03,DC27->DC5,DC27,DC65,DC27->DC65,2429.0
2023-01-03,DC28->DC5,DC28,DC64,DC28->DC64,2510.0
2023-01-03,DC30->DC5,DC30,DC35,DC30->DC35,1719.0
2023-01-03,DC31->DC5,DC31,DC4,DC31->DC4,226.0
2023-01-03,DC34->DC5,DC34,DC12,DC34->DC12,26.0
2023-01-03,DC36->DC5,DC36,DC62,DC36->DC62,7703.0
2023-01-03,DC38->DC5,DC38,DC8,DC38->DC8,2910.0
2023-01-03,DC4->DC5,DC4,DC23,DC4->DC23,8.0
2023-01-03,DC40->DC5,DC40,DC10,DC40->DC10,5.0
2023-01-03,DC42->DC5,DC42,DC35,DC42->DC35,435.0
2023-01-03,DC43->DC5,DC43,DC62,DC43->DC62,805.0
2023-01-03,DC44->DC5,DC44,DC14,DC44->DC14,3035.0
2023-01-03,DC46->DC5,DC46,DC3,DC46->DC3,997.0
2023-01-03,DC47->DC5,DC47,DC14,DC47->DC14,1822.0
2023-01-03,DC48->DC5,DC48,DC8,DC48->DC8,1323.0
2023-01-03,DC5->DC10,DC7,DC10,DC7->DC10,181.0
2023-01-03,DC5->DC14,DC20,DC14,DC20->DC14,110.0
2023-01-03,DC5->DC4,DC31,DC4,DC31->DC4,1208.0
2023-01-03,DC5->DC62,DC43,DC62,DC43->DC62,169.0
2023-01-03,DC5->DC70,DC19,DC70,DC19->DC70,9.0
2023-01-03,DC5->DC8,DC55,DC8,DC55->DC8,8.0
2023-01-03,DC50->DC5,DC50,DC9,DC50->DC9,884.0
2023-01-03,DC51->DC5,DC51,DC8,DC51->DC8,3296.0
2023-01-03,DC52->DC5,DC52,DC10,DC52->DC10,55.0
2023-01-03,DC53->DC5,DC53,DC64,DC53->DC64,705.0
2023-01-03,DC55->DC5,DC55,DC8,DC55->DC8,46.0
2023-01-03,DC59->DC5,DC59,DC8,DC59->DC8,401.0
2023-01-03,DC60->DC5,DC60,DC62,DC60->DC62,1448.0
2023-01-03,DC62->DC5,DC62,DC8,DC62->DC8,6399.0
2023-01-03,DC68->DC5,DC68,DC14,DC68->DC14,122.0
2023-01-03,DC69->DC5,DC69,DC8,DC69->DC8,19.0
2023-01-03,DC7->DC5,DC7,DC10,DC7->DC10,91.0
2023-01-03,DC71->DC5,DC71,DC8,DC71->DC8,42.0
2023-01-03,DC73->DC5,DC73,DC4,DC73->DC4,3853.0
2023-01-03,DC8->DC5,DC8,DC10,DC8->DC10,8313.0
2023-01-04,DC10->DC5,DC10,DC8,DC10->DC8,7825.0
2023-01-04,DC14->DC5,DC14,DC62,DC14->DC62,15142.0
2023-01-04,DC15->DC5,DC15,DC9,DC15->DC9,3220.0
2023-01-04,DC17->DC5,DC17,DC14,DC17->DC14,8689.0
2023-01-04,DC19->DC5,DC19,DC70,DC19->DC70,5924.0
2023-01-04,DC20->DC5,DC20,DC14,DC20->DC14,5270.0
2023-01-04,DC22->DC5,DC22,DC10,DC22->DC10,5583.0
2023-01-04,DC23->DC5,DC23,DC62,DC23->DC62,7539.0
2023-01-04,DC25->DC5,DC25,DC65,DC25->DC65,4930.0
2023-01-04,DC26->DC5,DC26,DC8,DC26->DC8,1363.0
2023-01-04,DC27->DC5,DC27,DC65,DC27->DC65,2423.0
2023-01-04,DC28->DC5,DC28,DC64,DC28->DC64,2500.0
2023-01-04,DC30->DC5,DC30,DC35,DC30->DC35,1741.0
2023-01-04,DC31->DC5,DC31,DC4,DC31->DC4,208.0
2023-01-04,DC34->DC5,DC34,DC70,DC34->DC70,20.0
2023-01-04,DC36->DC5,DC36,DC62,DC36->DC62,7743.0
2023-01-04,DC38->DC5,DC38,DC8,DC38->DC8,2795.0
2023-01-04,DC4->DC5,DC4,DC23,DC4->DC23,10.0
2023-01-04,DC40->DC5,DC40,DC8,DC40->DC8,6.0
2023-01-04,DC42->DC5,DC42,DC35,DC42->DC35,433.0
2023-01-04,DC43->DC5,DC43,DC62,DC43->DC62,813.0
2023-01-04,DC44->DC5,DC44,DC14,DC44->DC14,3033.0
2023-01-04,DC46->DC5,DC46,DC10,DC46->DC10,936.0
2023-01-04,DC47->DC5,DC47,DC14,DC47->DC14,1822.0
2023-01-04,DC48->DC5,DC48,DC8,DC48->DC8,1320.0
2023-01-04,DC5->DC10,DC22,DC10,DC22->DC10,173.0
2023-01-04,DC5->DC14,DC60,DC14,DC60->DC14,104.0
2023-01-04,DC5->DC4,DC31,DC4,DC31->DC4,1663.0
2023-01-04,DC5->DC62,DC23,DC62,DC23->DC62,182.0
2023-01-04,DC5->DC70,DC19,DC70,DC19->DC70,8.0
2023-01-04,DC5->DC8,DC69,DC8,DC69->DC8,8.0
2023-01-04,DC50->DC5,DC50,DC9,DC50->DC9,778.0
2023-01-04,DC51->DC5,DC51,DC8,DC51->DC8,3298.0
2023-01-04,DC52->DC5,DC52,DC8,DC52->DC8,45.0
2023-01-04,DC53->DC5,DC53,DC64,DC53->DC64,504.0
2023-01-04,DC55->DC5,DC55,DC8,DC55->DC8,44.0
2023-01-04,DC59->DC5,DC59,DC8,DC59->DC8,353.0
2023-01-04,DC60->DC5,DC60,DC14,DC60->DC14,1431.0
2023-01-04,DC62->DC5,DC62,DC8,DC62->DC8,6389.0
2023-01-04,DC68->DC5,DC68,DC14,DC68->DC14,111.0
2023-01-04,DC69->DC5,DC69,DC8,DC69->DC8,29.0
2023-01-04,DC7->DC5,DC7,DC10,DC7->DC10,83.0
2023-01-04,DC71->DC5,DC71,DC4,DC71->DC4,39.0
2023-01-04,DC73->DC5,DC73,DC14,DC73->DC14,3752.0
2023-01-04,DC8->DC5,DC8,DC10,DC8->DC10,8282.9999
2023-01-05,DC10->DC5,DC10,DC9,DC10->DC9,7560.0
2023-01-05,DC14->DC5,DC14,DC62,DC14->DC62,15194.0
2023-01-05,DC15->DC5,DC15,DC9,DC15->DC9,3184.0
2023-01-05,DC17->DC5,DC17,DC14,DC17->DC14,8377.0
2023-01-05,DC19->DC5,DC19,DC62,DC19->DC62,6029.0
2023-01-05,DC20->DC5,DC20,DC14,DC20->DC14,5514.0
2023-01-05,DC22->DC5,DC22,DC3,DC22->DC3,5678.0
2023-01-05,DC23->DC5,DC23,DC62,DC23->DC62,7462.0
2023-01-05,DC25->DC5,DC25,DC65,DC25->DC65,4752.0
2023-01-05,DC26->DC5,DC26,DC8,DC26->DC8,1510.0
2023-01-05,DC27->DC5,DC27,DC65,DC27->DC65,2376.0
2023-01-05,DC28->DC5,DC28,DC64,DC28->DC64,2505.0
2023-01-05,DC30->DC5,DC30,DC35,DC30->DC35,1723.0
2023-01-05,DC31->DC5,DC31,DC4,DC31->DC4,209.0
2023-01-05,DC34->DC5,DC34,DC12,DC34->DC12,25.0
2023-01-05,DC36->DC5,DC36,DC62,DC36->DC62,7830.0
2023-01-05,DC38->DC5,DC38,DC8,DC38->DC8,2599.0
2023-01-05,DC4->DC5,DC4,DC23,DC4->DC23,10.0
2023-01-05,DC40->DC5,DC40,DC10,DC40->DC10,6.0
2023-01-05,DC42->DC5,DC42,DC35,DC42->DC35,389.0
2023-01-05,DC43->DC5,DC43,DC62,DC43->DC62,851.0
2023-01-05,DC44->DC5,DC44,DC14,DC44->DC14,2444.0
2023-01-05,DC46->DC5,DC46,DC3,DC46->DC3,928.0
2023-01-05,DC47->DC5,DC47,DC14,DC47->DC14,1765.0
2023-01-05,DC48->DC5,DC48,DC8,DC48->DC8,1328.0
2023-01-05,DC5->DC10,DC7,DC10,DC7->DC10,165.0
2023-01-05,DC5->DC14,DC17,DC14,DC17->DC14,98.0
2023-01-05,DC5->DC4,DC31,DC4,DC31->DC4,1597.0
2023-01-05,DC5->DC62,DC19,DC62,DC19->DC62,165.0
2023-01-05,DC5->DC70,DC71,DC70,DC71->DC70,6.0
2023-01-05,DC5->DC8,DC62,DC8,DC62->DC8,8.0
2023-01-05,DC50->DC5,DC50,DC9,DC50->DC9,778.0
2023-01-05,DC51->DC5,DC51,DC8,DC51->DC8,3173.0
2023-01-05,DC52->DC5,DC52,DC8,DC52->DC8,46.0
2023-01-05,DC53->DC5,DC53,DC64,DC53->DC64,406.0
2023-01-05,DC55->DC5,DC55,DC8,DC55->DC8,45.0
2023-01-05,DC59->DC5,DC59,DC8,DC59->DC8,402.0
2023-01-05,DC60->DC5,DC60,DC14,DC60->DC14,1330.0
2023-01-05,DC62->DC5,DC62,DC8,DC62->DC8,6346.0
2023-01-05,DC68->DC5,DC68,DC14,DC68->DC14,114.0
2023-01-05,DC69->DC5,DC69,DC10,DC69->DC10,33.0
2023-01-05,DC7->DC5,DC7,DC10,DC7->DC10,108.0
2023-01-05,DC71->DC5,DC71,DC70,DC71->DC70,49.0
2023-01-05,DC73->DC5,DC73,DC4,DC73->DC4,3657.0
2023-01-05,DC8->DC5,DC8,DC10,DC8->DC10,8020.0
2023-01-06,DC10->DC5,DC10,DC9,DC10->DC9,7599.0
2023-01-06,DC14->DC5,DC14,DC62,DC14->DC62,15449.0
2023-01-06,DC15->DC5,DC15,DC9,DC15->DC9,3231.0
2023-01-06,DC17->DC5,DC17,DC14,DC17->DC14,8522.0
2023-01-06,DC19->DC5,DC19,DC62,DC19->DC62,6001.0
2023-01-06,DC20->DC5,DC20,DC14,DC20->DC14,5555.0
2023-01-06,DC22->DC5,DC22,DC3,DC22->DC3,5728.0
2023-01-06,DC23->DC5,DC23,DC62,DC23->DC62,7870.0
2023-01-06,DC25->DC5,DC25,DC65,DC25->DC65,5073.0
2023-01-06,DC26->DC5,DC26,DC8,DC26->DC8,1556.0
2023-01-06,DC27->DC5,DC27,DC65,DC27->DC65,2222.0
2023-01-06,DC28->DC5,DC28,DC64,DC28->DC64,2521.0
2023-01-06,DC30->DC5,DC30,DC35,DC30->DC35,1743.0
2023-01-06,DC31->DC5,DC31,DC4,DC31->DC4,194.0
2023-01-06,DC34->DC5,DC34,DC10,DC34->DC10,21.0
2023-01-06,DC36->DC5,DC36,DC10,DC36->DC10,7614.0
2023-01-06,DC38->DC5,DC38,DC70,DC38->DC70,2838.0
2023-01-06,DC4->DC5,DC4,DC23,DC4->DC23,14.0
2023-01-06,DC40->DC5,DC40,DC8,DC40->DC8,6.0
2023-01-06,DC42->DC5,DC42,DC35,DC42->DC35,401.0
2023-01-06,DC43->DC5,DC43,DC62,DC43->DC62,867.0
2023-01-06,DC44->DC5,DC44,DC14,DC44->DC14,2873.0
2023-01-06,DC46->DC5,DC46,DC3,DC46->DC3,994.0
2023-01-06,DC47->DC5,DC47,DC14,DC47->DC14,1709.0
2023-01-06,DC48->DC5,DC48,DC8,DC48->DC8,1472.0
2023-01-06,DC5->DC10,DC34,DC10,DC34->DC10,161.0
2023-01-06,DC5->DC14,DC47,DC14,DC47->DC14,103.0
2023-01-06,DC5->DC4,DC73,DC4,DC73->DC4,1015.0
2023-01-06,DC5->DC62,DC19,DC62,DC19->DC62,169.0
2023-01-06,DC5->DC70,DC38,DC70,DC38->DC70,5.0
2023-01-06,DC5->DC8,DC51,DC8,DC51->DC8,8.0
2023-01-06,DC50->DC5,DC50,DC9,DC50->DC9,830.0
2023-01-06,DC51->DC5,DC51,DC8,DC51->DC8,3402.0
2023-01-06,DC52->DC5,DC52,DC8,DC52->DC8,50.0
2023-01-06,DC53->DC5,DC53,DC64,DC53->DC64,451.0
2023-01-06,DC55->DC5,DC55,DC8,DC55->DC8,43.0
2023-01-06,DC59->DC5,DC59,DC8,DC59->DC8,390.0
2023-01-06,DC60->DC5,DC60,DC14,DC60->DC14,1358.0
2023-01-06,DC62->DC5,DC62,DC8,DC62->DC8,6433.0
2023-01-06,DC68->DC5,DC68,DC14,DC68->DC14,116.0
2023-01-06,DC69->DC5,DC69,DC8,DC69->DC8,33.0
2023-01-06,DC7->DC5,DC7,DC8,DC7->DC8,98.0
2023-01-06,DC71->DC5,DC71,DC8,DC71->DC8,50.0
2023-01-06,DC73->DC5,DC73,DC4,DC73->DC4,3619.0
2023-01-06,DC8->DC5,DC8,DC10,DC8->DC10,8306.0
2023-01-07,DC10->DC5,DC10,DC9,DC10->DC9,7066.0
2023-01-07,DC14->DC5,DC14,DC62,DC14->DC62,15255.0
2023-01-07,DC15->DC5,DC15,DC9,DC15->DC9,3209.0
2023-01-07,DC17->DC5,DC17,DC14,DC17->DC14,8168.0
2023-01-07,DC19->DC5,DC19,DC62,DC19->DC62,5338.0
2023-01-07,DC20->DC5,DC20,DC14,DC20->DC14,5484.0
2023-01-07,DC22->DC5,DC22,DC3,DC22->DC3,5674.0
2023-01-07,DC23->DC5,DC23,DC62,DC23->DC62,7633.0
2023-01-07,DC25->DC5,DC25,DC65,DC25->DC65,4200.0
2023-01-07,DC26->DC5,DC26,DC8,DC26->DC8,1556.0
2023-01-07,DC27->DC5,DC27,DC65,DC27->DC65,2964.0
2023-01-07,DC28->DC5,DC28,DC64,DC28->DC64,2506.0
2023-01-07,DC30->DC5,DC30,DC35,DC30->DC35,1736.0
2023-01-07,DC31->DC5,DC31,DC62,DC31->DC62,129.0
2023-01-07,DC34->DC5,DC34,DC32,DC34->DC32,19.0
2023-01-07,DC36->DC5,DC36,DC62,DC36->DC62,7526.0
2023-01-07,DC38->DC5,DC38,DC8,DC38->DC8,2745.0
2023-01-07,DC4->DC5,DC4,DC70,DC4->DC70,10.0
2023-01-07,DC40->DC5,DC40,DC8,DC40->DC8,6.0
2023-01-07,DC42->DC5,DC42,DC62,DC42->DC62,375.0
2023-01-07,DC43->DC5,DC43,DC62,DC43->DC62,850.0
2023-01-07,DC44->DC5,DC44,DC14,DC44->DC14,2708.0
2023-01-07,DC46->DC5,DC46,DC3,DC46->DC3,872.0
2023-01-07,DC47->DC5,DC47,DC14,DC47->DC14,1713.0
2023-01-07,DC48->DC5,DC48,DC8,DC48->DC8,1224.0
2023-01-07,DC5->DC10,DC8,DC10,DC8->DC10,170.0
2023-01-07,DC5->DC14,DC44,DC14,DC44->DC14,101.0
2023-01-07,DC5->DC4,DC59,DC4,DC59->DC4,1196.0
2023-01-07,DC5->DC62,DC14,DC62,DC14->DC62,154.0
2023-01-07,DC5->DC70,DC4,DC70,DC4->DC70,4.0
2023-01-07,DC5->DC8,DC55,DC8,DC55->DC8,8.0
2023-01-07,DC50->DC5,DC50,DC9,DC50->DC9,773.0
2023-01-07,DC51->DC5,DC51,DC8,DC51->DC8,3063.0
2023-01-07,DC52->DC5,DC52,DC10,DC52->DC10,49.0
2023-01-07,DC53->DC5,DC53,DC14,DC53->DC14,332.0
2023-01-07,DC55->DC5,DC55,DC8,DC55->DC8,42.0
2023-01-07,DC59->DC5,DC59,DC4,DC59->DC4,332.0
2023-01-07,DC60->DC5,DC60,DC14,DC60->DC14,1313.0
2023-01-07,DC62->DC5,DC62,DC8,DC62->DC8,6189.0
2023-01-07,DC68->DC5,DC68,DC10,DC68->DC10,96.0
2023-01-07,DC69->DC5,DC69,DC8,DC69->DC8,27.0
2023-01-07,DC7->DC5,DC7,DC8,DC7->DC8,89.0
2023-01-07,DC71->DC5,DC71,DC70,DC71->DC70,44.0
2023-01-07,DC73->DC5,DC73,DC14,DC73->DC14,3550.0
2023-01-07,DC8->DC5,DC8,DC10,DC8->DC10,7061.0
2023-01-08,DC10->DC5,DC10,DC9,DC10->DC9,6859.0
2023-01-08,DC14->DC5,DC14,DC62,DC14->DC62,15242.0
2023-01-08,DC15->DC5,DC15,DC9,DC15->DC9,3090.0
2023-01-08,DC17->DC5,DC17,DC14,DC17->DC14,7757.0
2023-01-08,DC19->DC5,DC19,DC62,DC19->DC62,5153.0
2023-01-08,DC20->DC5,DC20,DC14,DC20->DC14,5277.0
2023-01-08,DC22->DC5,DC22,DC3,DC22->DC3,5460.0
2023-01-08,DC23->DC5,DC23,DC62,DC23->DC62,7584.0
2023-01-08,DC25->DC5,DC25,DC65,DC25->DC65,3513.0
2023-01-08,DC26->DC5,DC26,DC8,DC26->DC8,1407.0
2023-01-08,DC27->DC5,DC27,DC65,DC27->DC65,2902.0
2023-01-08,DC28->DC5,DC28,DC64,DC28->DC64,2306.0
2023-01-08,DC30->DC5,DC30,DC35,DC30->DC35,1672.0
2023-01-08,DC31->DC5,DC31,DC4,DC31->DC4,100.0
2023-01-08,DC34->DC5,DC34,DC70,DC34->DC70,13.0
2023-01-08,DC36->DC5,DC36,DC62,DC36->DC62,7440.0
2023-01-08,DC38->DC5,DC38,DC8,DC38->DC8,2411.0
2023-01-08,DC4->DC5,DC4,DC23,DC4->DC23,10.0
2023-01-08,DC40->DC5,DC40,DC8,DC40->DC8,8.0
2023-01-08,DC42->DC5,DC42,DC35,DC42->DC35,375.0
2023-01-08,DC43->DC5,DC43,DC62,DC43->DC62,826.0
2023-01-08,DC44->DC5,DC44,DC14,DC44->DC14,2803.0
2023-01-08,DC46->DC5,DC46,DC3,DC46->DC3,969.0
2023-01-08,DC47->DC5,DC47,DC14,DC47->DC14,1595.0
2023-01-08,DC48->DC5,DC48,DC8,DC48->DC8,1358.0
2023-01-08,DC5->DC10,DC8,DC10,DC8->DC10,164.0
2023-01-08,DC5->DC14,DC44,DC14,DC44->DC14,98.0
2023-01-08,DC5->DC4,DC73,DC4,DC73->DC4,1424.0
2023-01-08,DC5->DC62,DC43,DC62,DC43->DC62,130.0
2023-01-08,DC5->DC70,DC71,DC70,DC71->DC70,3.0
2023-01-08,DC5->DC8,DC38,DC8,DC38->DC8,8.0
2023-01-08,DC50->DC5,DC50,DC9,DC50->DC9,700.0
2023-01-08,DC51->DC5,DC51,DC8,DC51->DC8,2975.0
2023-01-08,DC52->DC5,DC52,DC8,DC52->DC8,44.0
2023-01-08,DC53->DC5,DC53,DC64,DC53->DC64,326.0
2023-01-08,DC55->DC5,DC55,DC8,DC55->DC8,44.0
2023-01-08,DC59->DC5,DC59,DC8,DC59->DC8,326.0
2023-01-08,DC60->DC5,DC60,DC14,DC60->DC14,1195.0
2023-01-08,DC62->DC5,DC62,DC8,DC62->DC8,5761.0
2023-01-08,DC68->DC5,DC68,DC10,DC68->DC10,96.0
2023-01-08,DC69->DC5,DC69,DC8,DC69->DC8,25.0
2023-01-08,DC7->DC5,DC7,DC10,DC7->DC10,133.0
2023-01-08,DC71->DC5,DC71,DC70,DC71->DC70,44.0
2023-01-08,DC73->DC5,DC73,DC4,DC73->DC4,3422.0
2023-01-08,DC8->DC5,DC8,DC10,DC8->DC10,7040.0
2023-01-09,DC10->DC5,DC10,DC9,DC10->DC9,7507.0
2023-01-09,DC14->DC5,DC14,DC62,DC14->DC62,15524.0
2023-01-09,DC15->DC5,DC15,DC9,DC15->DC9,3237.0
2023-01-09,DC17->DC5,DC17,DC14,DC17->DC14,8413.0
2023-01-09,DC19->DC5,DC19,DC62,DC19->DC62,5258.0
2023-01-09,DC20->DC5,DC20,DC14,DC20->DC14,5497.0
2023-01-09,DC22->DC5,DC22,DC3,DC22->DC3,5476.0
2023-01-09,DC23->DC5,DC23,DC62,DC23->DC62,7946.0
2023-01-09,DC25->DC5,DC25,DC65,DC25->DC65,4660.0
2023-01-09,DC26->DC5,DC26,DC8,DC26->DC8,1581.0
2023-01-09,DC27->DC5,DC27,DC65,DC27->DC65,3040.0
2023-01-09,DC28->DC5,DC28,DC64,DC28->DC64,2496.0
2023-01-09,DC30->DC5,DC30,DC4,DC30->DC4,1611.0
2023-01-09,DC31->DC5,DC31,DC4,DC31->DC4,155.0
2023-01-09,DC34->DC5,DC34,DC70,DC34->DC70,15.0
2023-01-09,DC36->DC5,DC36,DC62,DC36->DC62,7472.0
2023-01-09,DC38->DC5,DC38,DC8,DC38->DC8,2761.0
2023-01-09,DC4->DC5,DC4,DC23,DC4->DC23,10.0
2023-01-09,DC40->DC5,DC40,DC8,DC40->DC8,9.0
2023-01-09,DC42->DC5,DC42,DC35,DC42->DC35,410.0
2023-01-09,DC43->DC5,DC43,DC62,DC43->DC62,880.0
2023-01-09,DC44->DC5,DC44,DC14,DC44->DC14,3102.0
2023-01-09,DC46->DC5,DC46,DC3,DC46->DC3,1014.0
2023-01-09,DC47->DC5,DC47,DC14,DC47->DC14,1848.0
2023-01-09,DC48->DC5,DC48,DC8,DC48->DC8,1358.0
2023-01-09,DC5->DC10,DC8,DC10,DC8->DC10,163.0
2023-01-09,DC5->DC14,DC60,DC14,DC60->DC14,113.0
2023-01-09,DC5->DC4,DC31,DC4,DC31->DC4,1701.0
2023-01-09,DC5->DC62,DC23,DC62,DC23->DC62,139.0
