场地1,场地2,edge,日期,预测货量,线路能力,分流增加货量,调整后货量,线路负荷率
DC11,DC9,DC11->DC9,2023-01-01,0,99,0.0,0.0,0.0
DC12,DC10,DC12->DC10,2023-01-01,0,32,0.0,0.0,0.0
DC12,DC14,DC12->DC14,2023-01-01,0,48,0.0,0.0,0.0
DC12,DC23,DC12->DC23,2023-01-01,0,11,0.0,0.0,0.0
DC12,DC3,DC12->DC3,2023-01-01,0,21,0.0,0.0,0.0
DC12,DC32,DC12->DC32,2023-01-01,0,58,0.0,0.0,0.0
DC12,DC35,DC12->DC35,2023-01-01,0,548,0.0,0.0,0.0
DC12,DC36,DC12->DC36,2023-01-01,0,35,0.0,0.0,0.0
DC12,DC38,DC12->DC38,2023-01-01,0,9,0.0,0.0,0.0
DC12,DC40,DC12->DC40,2023-01-01,0,66,0.0,0.0,0.0
DC12,DC67,DC12->DC67,2023-01-01,0,9,0.0,0.0,0.0
DC12,DC9,DC12->DC9,2023-01-01,0,71,0.0,0.0,0.0
DC13,DC10,DC13->DC10,2023-01-01,0,400,0.0,0.0,0.0
DC13,DC14,DC13->DC14,2023-01-01,0,73,0.0,0.0,0.0
DC13,DC15,DC13->DC15,2023-01-01,0,2,0.0,0.0,0.0
DC13,DC3,DC13->DC3,2023-01-01,0,106,0.0,0.0,0.0
DC13,DC4,DC13->DC4,2023-01-01,0,437,0.0,0.0,0.0
DC13,DC62,DC13->DC62,2023-01-01,0,62,0.0,0.0,0.0
DC13,DC8,DC13->DC8,2023-01-01,0,7,0.0,0.0,0.0
DC13,DC9,DC13->DC9,2023-01-01,0,25,0.0,0.0,0.0
DC14,DC10,DC14->DC10,2023-01-01,30157,130118,0.0,30157.0,0.23176655036197913
DC14,DC11,DC14->DC11,2023-01-01,0,1,0.0,0.0,0.0
DC14,DC12,DC14->DC12,2023-01-01,0,6525,0.0,0.0,0.0
DC14,DC13,DC14->DC13,2023-01-01,0,6,0.0,0.0,0.0
DC14,DC17,DC14->DC17,2023-01-01,0,5,0.0,0.0,0.0
DC14,DC19,DC14->DC19,2023-01-01,0,2,0.0,0.0,0.0
DC14,DC20,DC14->DC20,2023-01-01,0,15,0.0,0.0,0.0
DC14,DC21,DC14->DC21,2023-01-01,0,17,0.0,0.0,0.0
DC14,DC22,DC14->DC22,2023-01-01,0,9,0.0,0.0,0.0
DC14,DC23,DC14->DC23,2023-01-01,0,57,0.0,0.0,0.0
DC14,DC25,DC14->DC25,2023-01-01,0,5,0.0,0.0,0.0
DC14,DC3,DC14->DC3,2023-01-01,1,98905,0.0,1.0,1.0110712299681513e-05
DC14,DC30,DC14->DC30,2023-01-01,0,7,0.0,0.0,0.0
DC14,DC32,DC14->DC32,2023-01-01,0,57,0.0,0.0,0.0
DC14,DC33,DC14->DC33,2023-01-01,0,27,0.0,0.0,0.0
DC14,DC34,DC14->DC34,2023-01-01,0,116,0.0,0.0,0.0
DC14,DC35,DC14->DC35,2023-01-01,478,16350,0.0,478.0,0.02923547400611621
DC14,DC36,DC14->DC36,2023-01-01,0,9,0.0,0.0,0.0
DC14,DC38,DC14->DC38,2023-01-01,0,2,0.0,0.0,0.0
DC14,DC4,DC14->DC4,2023-01-01,238,172448,0.0,238.0,0.0013801261829652998
DC14,DC40,DC14->DC40,2023-01-01,0,7135,0.0,0.0,0.0
DC14,DC43,DC14->DC43,2023-01-01,0,4,0.0,0.0,0.0
DC14,DC61,DC14->DC61,2023-01-01,0,10,0.0,0.0,0.0
DC14,DC62,DC14->DC62,2023-01-01,29236,124891,0.0,29236.0,0.23409212833590892
DC14,DC64,DC14->DC64,2023-01-01,0,45,0.0,0.0,0.0
DC14,DC65,DC14->DC65,2023-01-01,0,121,0.0,0.0,0.0
DC14,DC67,DC14->DC67,2023-01-01,0,2,0.0,0.0,0.0
DC14,DC70,DC14->DC70,2023-01-01,328,9442,0.0,328.0,0.0347384028807456
DC14,DC76,DC14->DC76,2023-01-01,0,2,0.0,0.0,0.0
DC14,DC78,DC14->DC78,2023-01-01,0,4,0.0,0.0,0.0
DC14,DC8,DC14->DC8,2023-01-01,129973,505833,0.0,129973.0,0.2569484395047377
DC14,DC81,DC14->DC81,2023-01-01,0,297,0.0,0.0,0.0
DC14,DC9,DC14->DC9,2023-01-01,0,439995,15971.0,15971.0,0.036298139751588084
DC15,DC10,DC15->DC10,2023-01-01,7222,29502,3118.0,10340.0,0.3504847129008203
DC15,DC12,DC15->DC12,2023-01-01,0,393,0.0,0.0,0.0
DC15,DC13,DC15->DC13,2023-01-01,0,2,0.0,0.0,0.0
DC15,DC14,DC15->DC14,2023-01-01,7141,20046,0.0,7141.0,0.35623066946024146
DC15,DC3,DC15->DC3,2023-01-01,0,10570,0.0,0.0,0.0
DC15,DC32,DC15->DC32,2023-01-01,0,224,0.0,0.0,0.0
DC15,DC33,DC15->DC33,2023-01-01,0,56,0.0,0.0,0.0
DC15,DC34,DC15->DC34,2023-01-01,0,6,0.0,0.0,0.0
DC15,DC35,DC15->DC35,2023-01-01,3,951,0.0,3.0,0.0031545741324921135
DC15,DC4,DC15->DC4,2023-01-01,62,50163,0.0,62.0,0.0012359707354025876
DC15,DC40,DC15->DC40,2023-01-01,0,220,0.0,0.0,0.0
DC15,DC62,DC15->DC62,2023-01-01,6973,86858,0.0,6973.0,0.08028045775864054
DC15,DC64,DC15->DC64,2023-01-01,0,22,0.0,0.0,0.0
DC15,DC65,DC15->DC65,2023-01-01,0,31,0.0,0.0,0.0
DC15,DC70,DC15->DC70,2023-01-01,10,499,0.0,10.0,0.02004008016032064
DC15,DC8,DC15->DC8,2023-01-01,16813,62804,0.0,16813.0,0.26770587860645817
DC15,DC81,DC15->DC81,2023-01-01,0,17,0.0,0.0,0.0
DC15,DC9,DC15->DC9,2023-01-01,0,80194,0.0,0.0,0.0
DC16,DC10,DC16->DC10,2023-01-01,0,12672,0.0,0.0,0.0
DC16,DC14,DC16->DC14,2023-01-01,0,7817,0.0,0.0,0.0
DC16,DC35,DC16->DC35,2023-01-01,0,3837,0.0,0.0,0.0
DC16,DC4,DC16->DC4,2023-01-01,0,13017,0.0,0.0,0.0
DC16,DC62,DC16->DC62,2023-01-01,0,2,0.0,0.0,0.0
DC16,DC70,DC16->DC70,2023-01-01,0,297,0.0,0.0,0.0
DC16,DC8,DC16->DC8,2023-01-01,0,37,0.0,0.0,0.0
DC17,DC10,DC17->DC10,2023-01-01,15743,235018,8486.0,24229.0,0.10309423108017259
DC17,DC12,DC17->DC12,2023-01-01,0,2032,0.0,0.0,0.0
DC17,DC14,DC17->DC14,2023-01-01,12524,62548,0.0,12524.0,0.20023022318859116
DC17,DC20,DC17->DC20,2023-01-01,0,1,0.0,0.0,0.0
DC17,DC29,DC17->DC29,2023-01-01,0,9,0.0,0.0,0.0
DC17,DC3,DC17->DC3,2023-01-01,1,50008,0.0,1.0,1.9996800511918092e-05
DC17,DC32,DC17->DC32,2023-01-01,0,17,0.0,0.0,0.0
DC17,DC34,DC17->DC34,2023-01-01,0,27,0.0,0.0,0.0
DC17,DC35,DC17->DC35,2023-01-01,163,10831,0.0,163.0,0.015049395254362477
DC17,DC4,DC17->DC4,2023-01-01,37086,245699,0.0,37086.0,0.15094078526978133
DC17,DC40,DC17->DC40,2023-01-01,0,1332,0.0,0.0,0.0
DC17,DC61,DC17->DC61,2023-01-01,0,2,0.0,0.0,0.0
DC17,DC62,DC17->DC62,2023-01-01,16211,58564,0.0,16211.0,0.276808278123079
DC17,DC64,DC17->DC64,2023-01-01,0,10,0.0,0.0,0.0
DC17,DC65,DC17->DC65,2023-01-01,0,2,0.0,0.0,0.0
DC17,DC70,DC17->DC70,2023-01-01,165,3561,0.0,165.0,0.04633529907329402
DC17,DC8,DC17->DC8,2023-01-01,181,64262,0.0,181.0,0.002816594565995456
DC17,DC81,DC17->DC81,2023-01-01,0,113,0.0,0.0,0.0
DC17,DC9,DC17->DC9,2023-01-01,0,1205,0.0,0.0,0.0
DC18,DC10,DC18->DC10,2023-01-01,0,27506,0.0,0.0,0.0
DC18,DC14,DC18->DC14,2023-01-01,0,15975,0.0,0.0,0.0
DC18,DC23,DC18->DC23,2023-01-01,0,4,0.0,0.0,0.0
DC18,DC4,DC18->DC4,2023-01-01,0,43771,0.0,0.0,0.0
DC18,DC62,DC18->DC62,2023-01-01,0,9843,0.0,0.0,0.0
DC18,DC8,DC18->DC8,2023-01-01,0,135,0.0,0.0,0.0
DC19,DC10,DC19->DC10,2023-01-01,12994,161384,0.0,12994.0,0.08051603628612501
DC19,DC12,DC19->DC12,2023-01-01,0,54761,0.0,0.0,0.0
DC19,DC14,DC19->DC14,2023-01-01,9862,62233,5906.0,15768.0,0.2533703983417158
DC19,DC20,DC19->DC20,2023-01-01,0,2,0.0,0.0,0.0
DC19,DC3,DC19->DC3,2023-01-01,0,48217,0.0,0.0,0.0
DC19,DC32,DC19->DC32,2023-01-01,0,376,0.0,0.0,0.0
DC19,DC34,DC19->DC34,2023-01-01,0,4,0.0,0.0,0.0
DC19,DC35,DC19->DC35,2023-01-01,225,26184,0.0,225.0,0.008593033913840514
DC19,DC36,DC19->DC36,2023-01-01,0,3,0.0,0.0,0.0
DC19,DC4,DC19->DC4,2023-01-01,39445,248759,0.0,39445.0,0.15856712721951768
DC19,DC40,DC19->DC40,2023-01-01,0,9969,0.0,0.0,0.0
DC19,DC62,DC19->DC62,2023-01-01,14651,65493,0.0,14651.0,0.2237032965355076
DC19,DC64,DC19->DC64,2023-01-01,0,15,0.0,0.0,0.0
DC19,DC65,DC19->DC65,2023-01-01,0,9577,0.0,0.0,0.0
DC19,DC70,DC19->DC70,2023-01-01,455,13506,0.0,455.0,0.03368873093439952
DC19,DC8,DC19->DC8,2023-01-01,155,67105,0.0,155.0,0.002309812979658744
DC19,DC81,DC19->DC81,2023-01-01,0,1202,0.0,0.0,0.0
DC19,DC9,DC19->DC9,2023-01-01,0,918,0.0,0.0,0.0
DC2,DC10,DC2->DC10,2023-01-01,0,41,0.0,0.0,0.0
DC2,DC14,DC2->DC14,2023-01-01,0,34,0.0,0.0,0.0
DC2,DC3,DC2->DC3,2023-01-01,0,30,0.0,0.0,0.0
DC2,DC4,DC2->DC4,2023-01-01,0,106,0.0,0.0,0.0
DC2,DC62,DC2->DC62,2023-01-01,0,29,0.0,0.0,0.0
DC2,DC8,DC2->DC8,2023-01-01,0,62,0.0,0.0,0.0
DC2,DC9,DC2->DC9,2023-01-01,0,164,0.0,0.0,0.0
DC20,DC10,DC20->DC10,2023-01-01,9394,130546,0.0,9394.0,0.07195930936221714
DC20,DC12,DC20->DC12,2023-01-01,0,4561,0.0,0.0,0.0
DC20,DC14,DC20->DC14,2023-01-01,8779,30502,0.0,8779.0,0.28781719231525804
DC20,DC3,DC20->DC3,2023-01-01,0,14978,0.0,0.0,0.0
DC20,DC32,DC20->DC32,2023-01-01,0,111,0.0,0.0,0.0
DC20,DC33,DC20->DC33,2023-01-01,0,4,0.0,0.0,0.0
DC20,DC34,DC20->DC34,2023-01-01,0,4,0.0,0.0,0.0
DC20,DC35,DC20->DC35,2023-01-01,12,13082,0.0,12.0,0.0009172909341079345
DC20,DC4,DC20->DC4,2023-01-01,26592,121795,0.0,26592.0,0.21833408596412004
DC20,DC40,DC20->DC40,2023-01-01,0,460,0.0,0.0,0.0
DC20,DC62,DC20->DC62,2023-01-01,9772,32057,5162.0,14934.0,0.46585769098792773
DC20,DC64,DC20->DC64,2023-01-01,0,2,0.0,0.0,0.0
DC20,DC65,DC20->DC65,2023-01-01,0,2,0.0,0.0,0.0
DC20,DC70,DC20->DC70,2023-01-01,23,7097,0.0,23.0,0.0032408059743553614
DC20,DC76,DC20->DC76,2023-01-01,0,3,0.0,0.0,0.0
DC20,DC8,DC20->DC8,2023-01-01,119,51548,0.0,119.0,0.0023085279739272135
DC20,DC81,DC20->DC81,2023-01-01,0,63,0.0,0.0,0.0
DC20,DC9,DC20->DC9,2023-01-01,0,857,0.0,0.0,0.0
DC21,DC10,DC21->DC10,2023-01-01,0,116981,0.0,0.0,0.0
DC21,DC12,DC21->DC12,2023-01-01,0,1767,0.0,0.0,0.0
DC21,DC14,DC21->DC14,2023-01-01,0,32070,0.0,0.0,0.0
DC21,DC20,DC21->DC20,2023-01-01,0,3,0.0,0.0,0.0
DC21,DC3,DC21->DC3,2023-01-01,0,19506,0.0,0.0,0.0
DC21,DC32,DC21->DC32,2023-01-01,0,40,0.0,0.0,0.0
DC21,DC33,DC21->DC33,2023-01-01,0,3,0.0,0.0,0.0
DC21,DC34,DC21->DC34,2023-01-01,0,4,0.0,0.0,0.0
DC21,DC35,DC21->DC35,2023-01-01,0,6143,0.0,0.0,0.0
DC21,DC4,DC21->DC4,2023-01-01,0,130684,0.0,0.0,0.0
DC21,DC40,DC21->DC40,2023-01-01,0,430,0.0,0.0,0.0
DC21,DC62,DC21->DC62,2023-01-01,0,32645,0.0,0.0,0.0
DC21,DC70,DC21->DC70,2023-01-01,0,3085,0.0,0.0,0.0
DC21,DC76,DC21->DC76,2023-01-01,0,13,0.0,0.0,0.0
DC21,DC8,DC21->DC8,2023-01-01,0,512,0.0,0.0,0.0
DC21,DC81,DC21->DC81,2023-01-01,0,111,0.0,0.0,0.0
DC21,DC9,DC21->DC9,2023-01-01,0,941,0.0,0.0,0.0
DC22,DC10,DC22->DC10,2023-01-01,11399,235177,0.0,11399.0,0.048469875880719625
DC22,DC12,DC22->DC12,2023-01-01,0,13984,0.0,0.0,0.0
DC22,DC13,DC22->DC13,2023-01-01,0,1,0.0,0.0,0.0
DC22,DC14,DC22->DC14,2023-01-01,10579,65525,5328.0,15907.0,0.24276230446394506
DC22,DC20,DC22->DC20,2023-01-01,0,2,0.0,0.0,0.0
DC22,DC21,DC22->DC21,2023-01-01,0,3,0.0,0.0,0.0
DC22,DC3,DC22->DC3,2023-01-01,11,29865,0.0,11.0,0.00036832412523020257
DC22,DC32,DC22->DC32,2023-01-01,0,444,0.0,0.0,0.0
DC22,DC34,DC22->DC34,2023-01-01,0,7,0.0,0.0,0.0
DC22,DC35,DC22->DC35,2023-01-01,1294,101949,0.0,1294.0,0.012692620820214029
DC22,DC4,DC22->DC4,2023-01-01,39395,236073,0.0,39395.0,0.1668763475704549
DC22,DC40,DC22->DC40,2023-01-01,0,5427,0.0,0.0,0.0
DC22,DC62,DC22->DC62,2023-01-01,11763,60403,0.0,11763.0,0.1947419830140887
DC22,DC64,DC22->DC64,2023-01-01,0,41048,0.0,0.0,0.0
DC22,DC65,DC22->DC65,2023-01-01,0,17537,0.0,0.0,0.0
DC22,DC70,DC22->DC70,2023-01-01,1193,16266,0.0,1193.0,0.07334316980204107
DC22,DC76,DC22->DC76,2023-01-01,0,9,0.0,0.0,0.0
DC22,DC8,DC22->DC8,2023-01-01,155,29845,0.0,155.0,0.005193499748701625
DC22,DC81,DC22->DC81,2023-01-01,0,1290,0.0,0.0,0.0
DC22,DC9,DC22->DC9,2023-01-01,0,885,0.0,0.0,0.0
DC23,DC10,DC23->DC10,2023-01-01,13536,201943,0.0,13536.0,0.06702881506167582
DC23,DC12,DC23->DC12,2023-01-01,0,15956,6984.0,6984.0,0.43770368513411884
DC23,DC14,DC23->DC14,2023-01-01,12132,32755,0.0,12132.0,0.3703862005800641
DC23,DC18,DC23->DC18,2023-01-01,0,55,0.0,0.0,0.0
DC23,DC20,DC23->DC20,2023-01-01,0,1,0.0,0.0,0.0
DC23,DC29,DC23->DC29,2023-01-01,0,11,0.0,0.0,0.0
DC23,DC3,DC23->DC3,2023-01-01,4,52355,0.0,4.0,7.640148982905167e-05
DC23,DC32,DC23->DC32,2023-01-01,0,604,0.0,0.0,0.0
DC23,DC34,DC23->DC34,2023-01-01,0,27,0.0,0.0,0.0
DC23,DC35,DC23->DC35,2023-01-01,2428,62887,0.0,2428.0,0.03860893348386789
DC23,DC36,DC23->DC36,2023-01-01,0,2,0.0,0.0,0.0
DC23,DC4,DC23->DC4,2023-01-01,52939,204894,0.0,52939.0,0.2583726219411013
DC23,DC40,DC23->DC40,2023-01-01,0,6623,0.0,0.0,0.0
DC23,DC6,DC23->DC6,2023-01-01,0,8,0.0,0.0,0.0
DC23,DC62,DC23->DC62,2023-01-01,13063,58889,0.0,13063.0,0.22182410976583064
DC23,DC64,DC23->DC64,2023-01-01,0,49704,0.0,0.0,0.0
DC23,DC65,DC23->DC65,2023-01-01,0,24741,0.0,0.0,0.0
DC23,DC70,DC23->DC70,2023-01-01,4693,32263,0.0,4693.0,0.14546074450609056
DC23,DC8,DC23->DC8,2023-01-01,133,30936,0.0,133.0,0.004299198344970261
DC23,DC81,DC23->DC81,2023-01-01,0,2581,0.0,0.0,0.0
DC23,DC9,DC23->DC9,2023-01-01,0,2667,0.0,0.0,0.0
DC24,DC10,DC24->DC10,2023-01-01,0,10,0.0,0.0,0.0
DC24,DC14,DC24->DC14,2023-01-01,0,5,0.0,0.0,0.0
DC24,DC3,DC24->DC3,2023-01-01,0,3,0.0,0.0,0.0
DC24,DC4,DC24->DC4,2023-01-01,0,6,0.0,0.0,0.0
DC24,DC62,DC24->DC62,2023-01-01,0,6,0.0,0.0,0.0
DC24,DC8,DC24->DC8,2023-01-01,0,6,0.0,0.0,0.0
DC24,DC9,DC24->DC9,2023-01-01,0,36,0.0,0.0,0.0
DC25,DC10,DC25->DC10,2023-01-01,8047,64006,0.0,8047.0,0.12572258850732743
DC25,DC12,DC25->DC12,2023-01-01,0,1048,0.0,0.0,0.0
DC25,DC14,DC25->DC14,2023-01-01,7293,30950,0.0,7293.0,0.23563812600969306
DC25,DC3,DC25->DC3,2023-01-01,5,32591,0.0,5.0,0.00015341658740142985
DC25,DC32,DC25->DC32,2023-01-01,0,25,0.0,0.0,0.0
DC25,DC33,DC25->DC33,2023-01-01,0,2,0.0,0.0,0.0
DC25,DC34,DC25->DC34,2023-01-01,0,4,0.0,0.0,0.0
DC25,DC35,DC25->DC35,2023-01-01,30,4679,0.0,30.0,0.006411626415900834
DC25,DC4,DC25->DC4,2023-01-01,36,50932,0.0,36.0,0.000706824785989162
DC25,DC40,DC25->DC40,2023-01-01,0,2274,0.0,0.0,0.0
DC25,DC62,DC25->DC62,2023-01-01,7739,30541,0.0,7739.0,0.25339707278740053
DC25,DC64,DC25->DC64,2023-01-01,0,53912,0.0,0.0,0.0
DC25,DC65,DC25->DC65,2023-01-01,0,27209,0.0,0.0,0.0
DC25,DC70,DC25->DC70,2023-01-01,44,3338,0.0,44.0,0.013181545835829839
DC25,DC76,DC25->DC76,2023-01-01,0,5,0.0,0.0,0.0
DC25,DC8,DC25->DC8,2023-01-01,21159,93188,0.0,21159.0,0.2270571318195476
DC25,DC81,DC25->DC81,2023-01-01,0,219,0.0,0.0,0.0
DC25,DC9,DC25->DC9,2023-01-01,0,126037,3307.0,3307.0,0.026238326840530957
DC26,DC10,DC26->DC10,2023-01-01,2667,8082,0.0,2667.0,0.32999257609502597
DC26,DC12,DC26->DC12,2023-01-01,0,177,0.0,0.0,0.0
DC26,DC14,DC26->DC14,2023-01-01,2452,7471,0.0,2452.0,0.32820238254584394
DC26,DC3,DC26->DC3,2023-01-01,0,8033,1295.0,1295.0,0.16121000871405453
DC26,DC32,DC26->DC32,2023-01-01,0,113,0.0,0.0,0.0
DC26,DC34,DC26->DC34,2023-01-01,0,2,0.0,0.0,0.0
DC26,DC35,DC26->DC35,2023-01-01,0,8989,0.0,0.0,0.0
DC26,DC4,DC26->DC4,2023-01-01,15,26989,0.0,15.0,0.0005557819852532514
DC26,DC40,DC26->DC40,2023-01-01,0,600,0.0,0.0,0.0
DC26,DC62,DC26->DC62,2023-01-01,2784,27667,0.0,2784.0,0.10062529367116059
DC26,DC64,DC26->DC64,2023-01-01,0,11493,0.0,0.0,0.0
DC26,DC65,DC26->DC65,2023-01-01,0,11121,0.0,0.0,0.0
DC26,DC70,DC26->DC70,2023-01-01,0,1976,0.0,0.0,0.0
DC26,DC8,DC26->DC8,2023-01-01,7200,31380,0.0,7200.0,0.2294455066921606
DC26,DC81,DC26->DC81,2023-01-01,0,25,0.0,0.0,0.0
DC26,DC9,DC26->DC9,2023-01-01,0,27912,0.0,0.0,0.0
DC27,DC10,DC27->DC10,2023-01-01,7707,16133,0.0,7707.0,0.4777164817454906
DC27,DC14,DC27->DC14,2023-01-01,6027,15669,0.0,6027.0,0.3846448401301934
DC27,DC3,DC27->DC3,2023-01-01,0,36,0.0,0.0,0.0
DC27,DC32,DC27->DC32,2023-01-01,0,323,0.0,0.0,0.0
DC27,DC34,DC27->DC34,2023-01-01,0,3,0.0,0.0,0.0
DC27,DC35,DC27->DC35,2023-01-01,12,1317,0.0,12.0,0.009111617312072893
DC27,DC4,DC27->DC4,2023-01-01,57,237,0.0,57.0,0.24050632911392406
DC27,DC40,DC27->DC40,2023-01-01,0,657,0.0,0.0,0.0
DC27,DC62,DC27->DC62,2023-01-01,6263,22037,2355.0,8618.0,0.39106956482279803
DC27,DC64,DC27->DC64,2023-01-01,0,10905,0.0,0.0,0.0
DC27,DC65,DC27->DC65,2023-01-01,0,16032,0.0,0.0,0.0
DC27,DC70,DC27->DC70,2023-01-01,5,2043,0.0,5.0,0.0024473813020068525
DC27,DC8,DC27->DC8,2023-01-01,21987,57062,0.0,21987.0,0.3853177245802811
DC27,DC9,DC27->DC9,2023-01-01,0,3,0.0,0.0,0.0
DC28,DC10,DC28->DC10,2023-01-01,5035,60448,0.0,5035.0,0.08329473266278455
DC28,DC12,DC28->DC12,2023-01-01,0,1018,0.0,0.0,0.0
DC28,DC14,DC28->DC14,2023-01-01,3707,15076,0.0,3707.0,0.2458875033165296
DC28,DC20,DC28->DC20,2023-01-01,0,2,0.0,0.0,0.0
DC28,DC23,DC28->DC23,2023-01-01,0,5,0.0,0.0,0.0
DC28,DC3,DC28->DC3,2023-01-01,0,7645,0.0,0.0,0.0
DC28,DC32,DC28->DC32,2023-01-01,0,119,0.0,0.0,0.0
DC28,DC34,DC28->DC34,2023-01-01,0,4,0.0,0.0,0.0
DC28,DC35,DC28->DC35,2023-01-01,29,1836,0.0,29.0,0.01579520697167756
DC28,DC4,DC28->DC4,2023-01-01,14918,59369,0.0,14918.0,0.2512759184085971
DC28,DC40,DC28->DC40,2023-01-01,0,1251,0.0,0.0,0.0
DC28,DC62,DC28->DC62,2023-01-01,3740,16141,2304.0,6044.0,0.37445015798277675
DC28,DC64,DC28->DC64,2023-01-01,0,7946,0.0,0.0,0.0
DC28,DC65,DC28->DC65,2023-01-01,0,5355,0.0,0.0,0.0
DC28,DC70,DC28->DC70,2023-01-01,15,3735,0.0,15.0,0.004016064257028112
DC28,DC8,DC28->DC8,2023-01-01,91,24604,0.0,91.0,0.003698585595838075
DC28,DC81,DC28->DC81,2023-01-01,0,89,0.0,0.0,0.0
DC28,DC9,DC28->DC9,2023-01-01,0,223,0.0,0.0,0.0
DC29,DC36,DC29->DC36,2023-01-01,0,1,0.0,0.0,0.0
DC29,DC9,DC29->DC9,2023-01-01,0,1,0.0,0.0,0.0
DC3,DC10,DC3->DC10,2023-01-01,0,2011,0.0,0.0,0.0
DC3,DC12,DC3->DC12,2023-01-01,0,469,0.0,0.0,0.0
DC3,DC14,DC3->DC14,2023-01-01,0,242,0.0,0.0,0.0
DC3,DC19,DC3->DC19,2023-01-01,0,2,0.0,0.0,0.0
DC3,DC21,DC3->DC21,2023-01-01,0,21,0.0,0.0,0.0
DC3,DC22,DC3->DC22,2023-01-01,0,32,0.0,0.0,0.0
DC3,DC23,DC3->DC23,2023-01-01,0,24,0.0,0.0,0.0
DC3,DC28,DC3->DC28,2023-01-01,0,2,0.0,0.0,0.0
DC3,DC30,DC3->DC30,2023-01-01,0,1,0.0,0.0,0.0
DC3,DC35,DC3->DC35,2023-01-01,0,14,0.0,0.0,0.0
DC3,DC36,DC3->DC36,2023-01-01,0,20,0.0,0.0,0.0
DC3,DC38,DC3->DC38,2023-01-01,0,11,0.0,0.0,0.0
DC3,DC4,DC3->DC4,2023-01-01,0,24,0.0,0.0,0.0
DC3,DC40,DC3->DC40,2023-01-01,0,112,0.0,0.0,0.0
DC3,DC8,DC3->DC8,2023-01-01,0,3,0.0,0.0,0.0
