日期,平均流量_m3s,最大流量_m3s,平均含沙量_kgm3,最大含沙量_kgm3,含沙观测数
2016-10-18,351.8333333333333,366,0.689,0.689,1
2016-10-19,344.57142857142856,349,0.909,0.909,1
2016-10-20,341.42857142857144,349,0.914,0.914,1
2016-10-21,336.4,344,1.2,1.2,1
2016-10-22,350.4,378,0.643,0.643,1
2016-10-23,409.0,454,0.711,0.711,1
2016-10-24,398.57142857142856,405,0.785,0.785,1
2016-10-25,389.8,405,0.807,0.807,1
2016-10-26,394.0,405,0.753,0.753,1
2016-10-27,424.8333333333333,447,0.757,0.757,1
2016-10-28,471.6666666666667,506,0.919,0.919,1
2016-10-29,516.1666666666666,529,1.42,1.42,1
2016-10-30,502.6,536,1.26,1.26,1
2016-10-31,447.4,526,1.11,1.11,1
2016-11-01,468.8,491,1.01,1.01,1
2016-11-02,467.0,483,1.28,1.28,1
2016-11-03,493.0,599,1.03,1.03,1
2016-11-04,444.2857142857143,475,0.804,0.804,1
2016-11-05,426.0,435,1.29,1.29,1
2016-11-06,419.57142857142856,524,1.04,1.04,1
2016-11-07,399.375,447,0.74,0.74,1
2016-11-08,404.2857142857143,454,0.78,0.78,1
2016-11-09,425.42857142857144,496,0.563,0.563,1
2016-11-10,415.6666666666667,475,0.751,0.751,1
2016-11-11,403.14285714285717,461,0.523,0.523,1
2016-11-12,335.1666666666667,405,0.543,0.543,1
2016-11-13,330.7142857142857,412,0.582,0.582,1
2016-11-14,331.875,371,0.64,0.64,1
2016-11-15,339.85714285714283,419,0.548,0.548,1
2016-11-16,355.42857142857144,405,0.497,0.497,1
2016-11-17,333.0,398,0.514,0.514,1
2016-11-18,349.0,384,0.664,0.664,1
2016-11-19,319.14285714285717,364,0.559,0.559,1
2016-11-20,322.85714285714283,364,0.612,0.612,1
2016-11-21,273.14285714285717,345,0.543,0.543,1
2016-11-22,251.0,288,0.645,0.645,1
2016-11-23,261.57142857142856,291,0.556,0.556,1
2016-11-24,292.57142857142856,303,0.613,0.613,1
2016-11-25,308.3333333333333,316,0.656,0.656,1
2016-11-26,326.0,374,0.689,0.689,1
2016-11-27,370.75,427,0.783,0.783,1
2016-11-28,314.14285714285717,367,0.594,0.594,1
2016-11-29,294.7142857142857,312,0.608,0.608,1
2016-11-30,276.85714285714283,294,0.478,0.478,1
2016-12-01,274.3333333333333,281,0.486,0.486,1
2016-12-02,268.7142857142857,273,0.464,0.464,1
2016-12-03,268.8333333333333,273,0.458,0.458,1
2016-12-04,272.375,276,0.453,0.453,1
2016-12-05,263.2,270,0.411,0.411,1
2016-12-06,260.85714285714283,270,0.559,0.559,1
2016-12-07,268.0,273,0.512,0.512,1
2016-12-08,265.8,268,0.549,0.549,1
2016-12-09,267.85714285714283,270,0.508,0.508,1
2016-12-10,268.42857142857144,270,0.626,0.626,1
2016-12-11,269.0,273,0.55,0.55,1
2016-12-12,270.0,273,0.424,0.424,1
2016-12-13,265.3333333333333,268,0.554,0.554,1
2016-12-14,266.0,270,0.593,0.593,1
2016-12-15,263.42857142857144,268,0.522,0.522,1
2016-12-16,258.1666666666667,263,0.635,0.635,1
2016-12-17,256.3333333333333,260,0.5,0.5,1
2016-12-18,251.57142857142858,258,0.486,0.486,1
2016-12-19,231.5,243,0.439,0.439,1
2016-12-20,216.5,221,0.422,0.422,1
2016-12-21,212.57142857142858,215,0.39,0.39,1
2016-12-22,214.66666666666666,217,0.424,0.424,1
2016-12-23,217.66666666666666,219,0.377,0.377,1
2016-12-24,218.66666666666666,221,0.362,0.362,1
2016-12-25,222.14285714285714,227,0.387,0.387,1
2016-12-26,226.33333333333334,227,0.308,0.308,1
2016-12-27,229.0,229,0.302,0.302,1
2016-12-28,227.33333333333334,229,0.285,0.285,1
2016-12-29,223.8,225,0.425,0.425,1
2016-12-30,218.2,221,0.415,0.415,1
2016-12-31,215.66666666666666,217,0.4085,0.461,2
2017-01-01,212.8,215,0.48750000000000004,0.514,2
2017-01-02,202.4,207,0.581,0.581,1
2017-01-03,194.2,197,0.469,0.469,1
2017-01-04,188.66666666666666,190,0.4165,0.418,2
2017-01-05,185.66666666666666,186,0.419,0.419,1
2017-01-06,184.4,186,0.444,0.444,1
2017-01-07,183.2,184,0.468,0.468,1
2017-01-08,202.8,204,0.529,0.529,1
2017-01-09,202.0,202,0.532,0.532,1
2017-01-10,202.4,204,0.526,0.526,1
2017-01-11,202.4,204,0.483,0.483,1
2017-01-12,204.4,206,0.516,0.516,1
2017-01-13,206.0,206,0.519,0.519,1
2017-01-14,206.8,208,0.541,0.541,1
2017-01-15,206.4,208,0.464,0.464,1
2017-01-16,202.57142857142858,204,0.571,0.571,1
2017-01-17,200.2,201,0.458,0.458,1
2017-01-18,199.0,199,0.515,0.515,1
2017-01-19,198.2,199,0.438,0.438,1
2017-01-20,197.4,199,0.386,0.386,1
2017-01-21,195.6,196,0.536,0.536,1
2017-01-22,194.0,196,0.488,0.488,1
2017-01-23,190.6,192,0.354,0.354,1
2017-01-24,188.8,190,0.436,0.436,1
2017-01-25,187.2,188,0.412,0.412,1
2017-01-26,184.2,186,0.468,0.468,1
2017-01-27,183.2,184,0.509,0.509,1
2017-01-28,180.8,182,0.523,0.523,1
2017-01-29,179.66666666666666,180,0.445,0.445,1
2017-01-30,181.2,182,0.451,0.451,1
2017-01-31,181.0,181,0.4,0.4,1
2017-02-01,181.2,182,0.474,0.474,1
2017-02-02,181.83333333333334,182,0.541,0.541,1
2017-02-03,182.2,183,0.405,0.405,1
2017-02-04,182.2,183,0.427,0.427,1
2017-02-05,183.0,183,0.431,0.431,1
2017-02-06,183.2,184,0.44,0.44,1
2017-02-07,188.8,192,0.561,0.561,1
2017-02-08,195.8,199,0.678,0.678,1
2017-02-09,200.6,202,0.7,0.7,1
2017-02-10,212.4,219,0.615,0.615,1
2017-02-11,217.0,221,0.676,0.676,1
2017-02-12,217.8,221,0.515,0.515,1
2017-02-13,213.6,216,0.63,0.63,1
2017-02-14,208.6,211,0.446,0.446,1
2017-02-15,215.8,224,0.822,0.822,1
2017-02-16,253.14285714285714,280,0.871,0.871,1
2017-02-17,300.5,317,0.862,0.862,1
2017-02-18,326.8333333333333,344,1.14,1.14,1
2017-02-19,364.0,375,1.26,1.26,1
2017-02-20,340.3333333333333,367,0.78,0.78,1
2017-02-21,385.42857142857144,403,0.93,0.93,1
2017-02-22,428.14285714285717,455,1.04,1.04,1
2017-02-23,459.0,467,1.27,1.27,1
2017-02-24,460.3333333333333,463,1.36,1.36,1
2017-02-25,436.3333333333333,455,1.22,1.22,1
2017-02-26,439.6666666666667,451,1.28,1.28,1
2017-02-27,418.6666666666667,454,1.18,1.18,1
2017-02-28,430.0,446,1.07,1.07,1
2017-03-01,410.5,442,0.941,0.941,1
2017-03-02,449.8333333333333,475,1.17,1.17,1
2017-03-03,441.8333333333333,462,0.739,0.739,1
2017-03-04,436.8333333333333,450,0.909,0.909,1
2017-03-05,456.5,501,1.11,1.11,1
2017-03-06,513.3333333333334,531,1.44,1.44,1
2017-03-07,547.0,558,1.76,1.76,1
2017-03-08,542.5,545,1.52,1.52,1
2017-03-09,533.8333333333334,554,1.16,1.16,1
2017-03-10,496.0,505,0.967,0.967,1
2017-03-11,493.1666666666667,510,1.22,1.22,1
2017-03-12,468.3333333333333,488,1.11,1.11,1
2017-03-13,520.8333333333334,554,1.01,1.01,1
2017-03-14,514.6666666666666,527,0.879,0.879,1
2017-03-15,522.5,540,1.04,1.04,1
2017-03-16,544.0,564,1.47,1.47,1
2017-03-17,557.8333333333334,574,1.25,1.25,1
2017-03-18,560.0,581,1.2,1.2,1
2017-03-19,558.0,574,1.3,1.3,1
2017-03-20,564.5,577,1.11,1.11,1
2017-03-21,573.8333333333334,605,1.38,1.38,1
2017-03-22,556.8333333333334,571,1.33,1.33,1
2017-03-23,569.3333333333334,594,1.28,1.28,1
2017-03-24,585.5,608,1.09,1.09,1
2017-03-25,557.0,564,1.74,1.74,1
2017-03-26,550.8333333333334,554,1.86,1.86,1
2017-03-27,547.8333333333334,554,1.53,1.53,1
2017-03-28,586.0,619,1.06,1.06,1
2017-03-29,551.1666666666666,557,1.76,1.76,1
2017-03-30,552.8333333333334,557,1.29,1.29,1
2017-03-31,569.3333333333334,577,1.66,1.66,1
2017-04-01,645.0,665,2.05,2.05,1
2017-04-02,662.6666666666666,673,1.3,1.3,1
2017-04-03,669.1666666666666,673,1.88,1.88,1
2017-04-04,661.5,673,1.52,1.52,1
2017-04-05,693.6666666666666,704,1.96,1.96,1
2017-04-06,697.5,704,2.01,2.01,1
2017-04-07,692.5,704,1.99,1.99,1
2017-04-08,721.1666666666666,751,1.85,1.85,1
2017-04-09,735.1666666666666,743,1.4,1.4,1
2017-04-10,755.0,767,1.64,1.64,1
2017-04-11,751.0,767,1.9,1.9,1
2017-04-12,784.3333333333334,799,2.21,2.21,1
2017-04-13,796.3333333333334,799,1.94,1.94,1
2017-04-14,795.0,799,1.92,1.92,1
2017-04-15,804.7142857142857,815,1.96,1.96,1
2017-04-16,825.6666666666666,855,2.03,2.03,1
2017-04-17,870.5,880,2.25,2.25,1
2017-04-18,848.5,864,2.3,2.3,1
2017-04-19,827.0,839,1.96,1.96,1
2017-04-20,843.0,855,1.64,1.64,1
2017-04-21,847.0,855,2.08,2.08,1
2017-04-22,884.6666666666666,948,2.06,2.06,1
2017-04-23,915.5,920,1.73,1.73,1
2017-04-24,936.0,958,2.18,2.18,1
2017-04-25,915.6666666666666,930,2.28,2.28,1
2017-04-26,942.1666666666666,958,2.35,2.35,1
2017-04-27,939.0,967,1.75,1.75,1
2017-04-28,887.0,902,1.8,1.8,1
2017-04-29,834.0,857,1.44,1.44,1
2017-04-30,802.3333333333334,831,1.47,1.47,1
2017-05-01,741.0,763,1.18,1.18,1
2017-05-02,710.0,722,1.12,1.12,1
2017-05-03,697.6666666666666,727,1.11,1.11,1
2017-05-04,746.0,760,1.26,1.27,2
2017-05-05,751.6666666666666,760,1.28,1.28,1
2017-05-06,744.8333333333334,760,1.12,1.12,1
2017-05-07,715.6666666666666,727,1.32,1.32,1
2017-05-08,714.0,718,1.2,1.2,1
2017-05-09,728.1666666666666,735,1.37,1.37,1
2017-05-10,722.6666666666666,735,1.44,1.44,1
2017-05-11,684.8333333333334,702,1.3,1.3,1
2017-05-12,671.8333333333334,685,1.02,1.02,1
2017-05-13,672.0,685,1.03,1.03,1
2017-05-14,664.8333333333334,676,1.09,1.09,1
2017-05-15,666.1666666666666,710,0.996,0.996,1
2017-05-16,694.6666666666666,702,1.23,1.23,1
2017-05-17,680.1666666666666,695,1.2,1.2,1
2017-05-18,660.1666666666666,673,0.96,0.96,1
2017-05-19,635.1666666666666,659,0.947,0.947,1
2017-05-20,631.8333333333334,645,1.06,1.06,1
2017-05-21,639.3333333333334,645,1.0,1.0,1
2017-05-22,625.5,638,0.907,0.907,1
2017-05-23,612.1666666666666,632,1.09,1.09,1
2017-05-24,618.0,619,1.24,1.24,1
2017-05-25,605.0,613,0.902,0.902,1
2017-05-26,618.0,619,0.959,0.959,1
2017-05-27,610.0,619,1.2,1.2,1
2017-05-28,589.6666666666666,595,1.05,1.05,1
2017-05-29,592.1428571428571,607,0.837,0.837,1
2017-05-30,605.0,613,0.982,0.982,1
2017-05-31,605.0,613,1.02,1.02,1
2017-06-01,579.6666666666666,590,0.978,0.978,1
2017-06-02,573.2857142857143,579,0.955,0.955,1
2017-06-03,567.1666666666666,573,1.12,1.12,1
2017-06-04,573.5,590,0.948,0.948,1
2017-06-05,576.5,601,0.934,0.934,1
2017-06-06,564.5,573,0.931,0.931,1
2017-06-07,591.1666666666666,607,1.11,1.11,1
2017-06-08,603.0,618,1.44,1.44,1
2017-06-09,612.5,618,1.04,1.04,1
2017-06-10,614.0,627,1.01,1.01,1
2017-06-11,604.5,618,1.06,1.06,1
2017-06-12,595.3333333333334,607,1.12,1.12,1
2017-06-13,600.6666666666666,618,1.09,1.09,1
2017-06-14,572.6666666666666,581,0.901,0.901,1
2017-06-15,600.1666666666666,618,1.22,1.22,1
2017-06-16,647.8333333333334,665,1.38,1.38,1
2017-06-17,688.6666666666666,726,1.3,1.3,1
2017-06-18,739.5,757,1.49,1.49,1
2017-06-19,749.6666666666666,757,1.36,1.36,1
2017-06-20,773.5,779,1.45,1.45,1
2017-06-21,755.1666666666666,768,1.49,1.49,1
2017-06-22,757.0,768,1.3,1.3,1
2017-06-23,760.6666666666666,768,1.31,1.31,1
2017-06-24,779.0,790,1.35,1.35,1
2017-06-25,775.3333333333334,779,1.39,1.39,1
2017-06-26,771.6666666666666,801,1.35,1.35,1
2017-06-27,790.0,801,1.52,1.52,1
2017-06-28,780.8333333333334,801,1.28,1.28,1
2017-06-29,768.0,779,1.36,1.36,1
2017-06-30,808.3333333333334,823,1.44,1.44,1
2017-07-01,762.6666666666666,790,1.29,1.29,1
2017-07-02,687.1666666666666,726,1.07,1.07,1
2017-07-03,641.5,646,1.2,1.2,1
2017-07-04,620.3333333333334,627,1.23,1.23,1
2017-07-05,604.3333333333334,618,1.14,1.14,1
