date,daily_mean_discharge_m3s,daily_max_discharge_m3s,daily_mean_sediment_kgm3,sediment_observations,sediment_interpolated_kgm3,year
2017-07-09,522.6666666666666,540,0.878,1,0.878,2017
2017-07-10,522.6666666666666,540,0.933,1,0.933,2017
2017-07-11,500.5,542,0.772,1,0.772,2017
2017-07-12,506.5,531,0.794,1,0.794,2017
2017-07-13,442.3333333333333,479,0.817,1,0.817,2017
2017-07-14,398.1666666666667,415,0.853,1,0.853,2017
2017-07-15,375.0,382,0.603,1,0.603,2017
2017-07-16,369.1666666666667,375,0.603,1,0.603,2017
2017-07-17,363.3333333333333,368,0.619,1,0.619,2017
2017-07-18,386.8333333333333,398,0.762,1,0.762,2017
2017-07-19,425.6666666666667,460,0.914,1,0.914,2017
2017-07-20,346.57142857142856,382,0.736,1,0.736,2017
2017-07-21,342.3333333333333,361,0.607,1,0.607,2017
2017-07-22,355.1666666666667,361,0.543,1,0.543,2017
2017-07-23,361.0,368,0.542,1,0.542,2017
2017-07-24,349.5,361,0.619,1,0.619,2017
2017-07-25,342.0,347,0.723,1,0.723,2017
2017-07-26,370.3333333333333,382,0.8,1,0.8,2017
2017-07-27,391.3333333333333,398,0.584,1,0.584,2017
2017-07-28,384.8333333333333,390,0.779,1,0.779,2017
2017-07-29,401.3333333333333,432,0.849,1,0.849,2017
2017-07-30,435.6666666666667,451,0.73,1,0.73,2017
2017-07-31,470.5,531,0.797,1,0.797,2017
2018-06-01,1751.4285714285713,1780,3.1,1,3.1,2018
2018-06-02,1671.6666666666667,1720,2.79,1,2.79,2018
2018-06-03,1641.6666666666667,1660,2.6,1,2.6,2018
2018-06-04,1614.2857142857142,1630,3.22,1,3.22,2018
2018-06-05,1637.142857142857,1680,2.53,1,2.53,2018
2018-06-06,1626.6666666666667,1650,2.61,1,2.61,2018
2018-06-07,1550.0,1620,2.72,1,2.72,2018
2018-06-08,1498.5714285714287,1530,2.79,1,2.79,2018
2018-06-09,1588.3333333333333,1620,3.54,1,3.54,2018
2018-06-10,1618.3333333333333,1650,2.79,1,2.79,2018
2018-06-11,1596.6666666666667,1620,3.0,1,3.0,2018
2018-06-12,1626.6666666666667,1650,2.85,1,2.85,2018
2018-06-13,1563.3333333333333,1580,2.63,1,2.63,2018
2018-06-14,1558.3333333333333,1580,2.41,1,2.41,2018
2018-06-15,1555.0,1570,2.57,1,2.57,2018
2018-06-16,1543.3333333333333,1560,2.51,1,2.51,2018
2018-06-17,1507.142857142857,1520,2.28,1,2.28,2018
2018-06-18,1498.3333333333333,1520,2.45,1,2.45,2018
2018-06-19,1503.3333333333333,1520,2.54,1,2.54,2018
2018-06-20,1538.5714285714287,1560,2.505,2,2.505,2018
2018-06-21,1550.0,1580,2.45,1,2.45,2018
2018-06-22,1505.0,1510,2.55,1,2.55,2018
2018-06-23,1511.6666666666667,1520,2.99,1,2.99,2018
2018-06-24,1543.3333333333333,1560,2.56,1,2.56,2018
2018-06-25,1516.6666666666667,1550,2.19,1,2.19,2018
2018-06-26,1538.3333333333333,1550,2.56,1,2.56,2018
2018-06-27,1480.0,1500,2.12,1,2.12,2018
2018-06-28,1466.6666666666667,1470,2.28,1,2.28,2018
2018-06-29,1493.3333333333333,1500,2.56,1,2.56,2018
2018-06-30,1500.0,1530,2.18,1,2.18,2018
2018-07-01,1290.0,1450,1.86,1,1.86,2018
2018-07-02,1145.0,1160,1.74,1,1.74,2018
2018-07-03,1111.6666666666667,1130,1.8,1,1.8,2018
2018-07-04,1271.6666666666667,1280,2.01,1,2.01,2018
2018-07-05,1526.25,1910,3.105,2,3.105,2018
2018-07-06,2670.4166666666665,3160,4.2283333333333335,6,4.2283333333333335,2018
2018-07-07,2962.0833333333335,3240,3.6,4,3.6,2018
2018-07-08,2851.176470588235,3090,4.6866666666666665,3,4.6866666666666665,2018
2018-07-09,3616.25,3900,14.083333333333334,3,14.083333333333334,2018
2018-07-10,3477.5,3750,19.066666666666666,3,19.066666666666666,2018
2018-07-11,2816.153846153846,3070,23.933333333333334,3,23.933333333333334,2018
2018-07-12,2536.923076923077,2610,27.73333333333333,3,27.73333333333333,2018
2018-07-13,2345.0,2450,26.8,2,26.8,2018
2018-07-14,2150.0,2370,21.200000000000003,2,21.200000000000003,2018
2018-07-15,2939.1666666666665,3240,19.4,2,19.4,2018
2018-07-16,2953.846153846154,3210,21.1,2,21.1,2018
2018-07-17,2870.769230769231,3100,34.766666666666666,3,34.766666666666666,2018
2018-07-18,3312.5,3460,44.75,2,44.75,2018
2018-07-19,3489.1666666666665,3550,45.23333333333333,3,45.23333333333333,2018
2018-07-20,3505.0,3550,35.0,2,35.0,2018
2018-07-21,3637.5,3720,23.1,2,23.1,2018
2018-07-22,3580.769230769231,3680,23.299999999999997,2,23.299999999999997,2018
2018-07-23,3392.5,3510,21.95,2,21.95,2018
2018-07-24,2902.8571428571427,3320,24.9,2,24.9,2018
2018-07-25,2335.0,2450,21.9,2,21.9,2018
2018-07-26,2251.6666666666665,2300,20.1,2,20.1,2018
2018-07-27,1970.8333333333333,2170,18.05,2,18.05,2018
2018-07-28,1599.1666666666667,1780,14.8,2,14.8,2018
2018-07-29,1320.0,1440,10.135,2,10.135,2018
2018-07-30,1137.5,1170,8.175,2,8.175,2018
2018-07-31,1070.7692307692307,1160,9.19,1,9.19,2018
2019-06-01,1293.3333333333333,1310,3.72,1,3.72,2019
2019-06-02,1278.3333333333333,1310,3.09,1,3.09,2019
2019-06-03,1206.6666666666667,1270,3.49,1,3.49,2019
2019-06-04,1231.6666666666667,1260,3.5,1,3.5,2019
2019-06-05,1245.7142857142858,1260,3.32,1,3.32,2019
2019-06-06,1250.0,1300,3.55,1,3.55,2019
2019-06-07,1266.6666666666667,1290,3.25,1,3.25,2019
2019-06-08,1207.142857142857,1270,3.0,1,3.0,2019
2019-06-09,1016.8571428571429,1110,2.18,1,2.18,2019
2019-06-10,1209.0,1290,2.51,1,2.51,2019
2019-06-11,1326.25,1350,3.36,1,3.36,2019
2019-06-12,1215.0,1300,2.99,1,2.99,2019
2019-06-13,1241.6666666666667,1250,2.72,1,2.72,2019
2019-06-14,1201.4285714285713,1230,2.3499999999999996,2,2.3499999999999996,2019
2019-06-15,1160.0,1180,2.44,1,2.44,2019
2019-06-16,1181.6666666666667,1210,2.6,1,2.6,2019
2019-06-17,1125.0,1140,2.59,1,2.59,2019
2019-06-18,1201.6666666666667,1240,2.44,1,2.44,2019
2019-06-19,1178.3333333333333,1250,2.69,1,2.69,2019
2019-06-20,1225.7142857142858,1250,2.56,1,2.56,2019
2019-06-21,1187.142857142857,1200,2.67,1,2.67,2019
2019-06-22,1268.75,1340,2.42,1,2.42,2019
2019-06-23,1768.5,2200,4.41,1,4.41,2019
2019-06-24,2576.25,2950,8.92,2,8.92,2019
2019-06-25,3318.75,3600,7.25,2,7.25,2019
2019-06-26,3522.5,3690,5.65,2,5.65,2019
2019-06-27,3398.75,3470,6.0,1,6.0,2019
2019-06-28,3391.25,3470,5.44,1,5.44,2019
2019-06-29,3520.0,3580,5.68,1,5.68,2019
2019-06-30,3570.4347826086955,3610,5.33,1,5.33,2019
2019-07-01,3586.6666666666665,3620,5.11,1,5.11,2019
2019-07-02,3525.0,3630,4.89,1,4.89,2019
2019-07-03,3540.8333333333335,3600,5.17,1,5.17,2019
2019-07-04,3346.3636363636365,3440,4.98,1,4.98,2019
2019-07-05,3260.8333333333335,3290,6.26,1,6.26,2019
2019-07-06,3183.3333333333335,3230,6.9,1,6.9,2019
2019-07-07,3141.6666666666665,3160,6.65,1,6.65,2019
2019-07-08,3148.3333333333335,3180,5.7,1,5.7,2019
2019-07-09,3353.3333333333335,3420,5.79,1,5.79,2019
2019-07-10,3439.1666666666665,3460,7.04,1,7.04,2019
2019-07-11,3598.4615384615386,3770,6.6,2,6.6,2019
2019-07-12,3379.1666666666665,3430,8.89,1,8.89,2019
2019-07-13,2997.8571428571427,3230,15.866666666666667,3,15.866666666666667,2019
2019-07-14,2588.4615384615386,2700,18.2,3,18.2,2019
2019-07-15,2514.1666666666665,2590,18.8,1,18.8,2019
2019-07-16,2345.0,2450,20.9,1,20.9,2019
2019-07-17,2165.8333333333335,2220,20.9,2,20.9,2019
2019-07-18,2261.6666666666665,2320,28.7,4,28.7,2019
2019-07-19,2636.4285714285716,2730,25.5,5,25.5,2019
2019-07-20,2750.8333333333335,2760,24.2,1,24.2,2019
2019-07-21,2783.3333333333335,2790,16.8,1,16.8,2019
2019-07-22,2710.769230769231,2800,22.5,2,22.5,2019
2019-07-23,2305.8333333333335,2390,24.2,1,24.2,2019
2019-07-24,2488.3333333333335,2720,23.9,1,23.9,2019
2019-07-25,2727.5,2740,24.1,1,24.1,2019
2019-07-26,2719.1666666666665,2760,20.2,1,20.2,2019
2019-07-27,3003.3333333333335,3170,20.8,1,20.8,2019
2019-07-28,3207.5,3250,24.1,1,24.1,2019
2019-07-29,2729.230769230769,2930,21.0,1,21.0,2019
2019-07-30,2397.5,2440,22.0,1,22.0,2019
2019-07-31,2340.0,2380,20.1,1,20.1,2019
2020-06-01,973.3333333333334,1010,3.11,1,3.11,2020
2020-06-02,981.5,999,3.51,1,3.51,2020
2020-06-03,989.1666666666666,1010,3.72,1,3.72,2020
2020-06-04,965.6666666666666,999,3.0,1,3.0,2020
2020-06-05,937.0,964,2.94,1,2.94,2020
2020-06-06,857.0,905,2.74,1,2.74,2020
2020-06-07,828.8333333333334,834,2.25,1,2.25,2020
2020-06-08,808.0,833,2.33,1,2.33,2020
2020-06-09,812.1666666666666,848,2.51,1,2.51,2020
2020-06-10,828.6666666666666,836,1.91,1,1.91,2020
2020-06-11,826.8333333333334,836,2.14,1,2.14,2020
2020-06-12,885.1818181818181,974,2.77,3,2.77,2020
2020-06-13,904.3333333333334,919,2.77,1,2.77,2020
2020-06-14,907.7142857142857,960,3.47,1,3.47,2020
2020-06-15,1028.5714285714287,1160,3.8,1,3.8,2020
2020-06-16,1227.142857142857,1380,4.56,1,4.56,2020
2020-06-17,1532.5,1700,7.51,1,7.51,2020
2020-06-18,1886.25,2050,11.0,1,11.0,2020
2020-06-19,1932.0,2060,9.46,1,9.46,2020
2020-06-20,1788.75,1800,8.22,1,8.22,2020
2020-06-21,1780.0,1800,8.21,1,8.21,2020
2020-06-22,1790.0,1800,7.97,1,7.97,2020
2020-06-23,1826.6666666666667,1850,8.36,1,8.36,2020
2020-06-24,1856.6666666666667,1870,8.73,1,8.73,2020
2020-06-25,1865.7142857142858,1910,7.33,1,7.33,2020
2020-06-26,2552.0833333333335,3090,8.82,1,8.82,2020
2020-06-27,3550.4166666666665,3900,11.4,1,11.4,2020
2020-06-28,4133.333333333333,4280,7.915,2,7.915,2020
2020-06-29,4372.5,4480,7.1,1,7.1,2020
2020-06-30,4708.75,4970,6.86,1,6.86,2020
2020-07-01,4713.636363636364,4850,5.35,1,5.35,2020
2020-07-02,4556.666666666667,4660,5.49,1,5.49,2020
2020-07-03,4336.666666666667,4430,7.17,1,7.17,2020
2020-07-04,4167.5,4230,5.82,1,5.82,2020
2020-07-05,4121.666666666667,4210,7.94,1,7.94,2020
2020-07-06,4224.166666666667,4260,6.12,1,6.12,2020
2020-07-07,4205.0,4300,7.4,1,7.4,2020
2020-07-08,3619.5,4050,8.54,1,8.54,2020
2020-07-09,2985.625,3170,11.9,1,11.9,2020
2020-07-10,2678.5714285714284,2720,16.7,3,16.7,2020
2020-07-11,2595.0,2650,24.3,3,24.3,2020
2020-07-12,2334.6153846153848,2540,22.233333333333334,3,22.233333333333334,2020
2020-07-13,1875.8333333333333,2020,16.2,1,16.2,2020
2020-07-14,1730.8333333333333,1750,14.833333333333334,3,14.833333333333334,2020
2020-07-15,1908.3333333333333,2070,14.8,1,14.8,2020
2020-07-16,2018.3333333333333,2070,12.3,1,12.3,2020
2020-07-17,1880.0,1900,12.4,1,12.4,2020
2020-07-18,1935.8333333333333,2010,9.99,1,9.99,2020
2020-07-19,2033.3333333333333,2060,11.1,1,11.1,2020
2020-07-20,2015.0,2030,9.0,1,9.0,2020
2020-07-21,2030.0,2070,10.1,1,10.1,2020
2020-07-22,2140.0,2240,9.1,1,9.1,2020
2020-07-23,2293.3333333333335,2360,10.3,1,10.3,2020
2020-07-24,2446.25,2520,10.666666666666666,3,10.666666666666666,2020
2020-07-25,2865.0,3280,10.7,1,10.7,2020
2020-07-26,2940.0,3360,16.233333333333334,3,16.233333333333334,2020
2020-07-27,2042.0833333333333,2360,23.919999999999998,5,23.919999999999998,2020
2020-07-28,2128.5714285714284,2300,23.425,4,23.425,2020
2020-07-29,2396.153846153846,2500,17.166666666666668,3,17.166666666666668,2020
2020-07-30,2614.1666666666665,2810,19.0,1,19.0,2020
2020-07-31,2918.3333333333335,2980,19.9,1,19.9,2020
2021-06-01,1503.3333333333333,1530,3.29,1,3.29,2021
2021-06-02,1501.6666666666667,1610,3.07,1,3.07,2021
2021-06-03,1541.6666666666667,1630,3.73,1,3.73,2021
2021-06-04,1481.6666666666667,1540,4.47,1,4.47,2021
2021-06-05,1598.3333333333333,1630,3.75,1,3.75,2021
2021-06-06,1556.6666666666667,1610,3.04,1,3.04,2021
2021-06-07,1473.3333333333333,1500,3.37,1,3.37,2021
2021-06-08,1411.6666666666667,1430,3.03,1,3.03,2021
2021-06-09,1376.6666666666667,1400,3.4,1,3.4,2021
2021-06-10,1368.3333333333333,1380,3.13,1,3.13,2021
2021-06-11,1361.6666666666667,1380,3.22,1,3.22,2021
2021-06-12,1415.0,1460,2.79,1,2.79,2021
2021-06-13,1558.75,1620,3.95,1,3.95,2021
2021-06-14,1749.1666666666667,1850,3.95,1,3.95,2021
2021-06-15,1895.0,1910,4.83,1,4.83,2021
2021-06-16,1955.0,1970,4.79,1,4.79,2021
2021-06-17,1993.3333333333333,2040,4.18,1,4.18,2021
2021-06-18,2090.0,2150,5.22,1,5.22,2021
2021-06-19,2196.6666666666665,2240,4.32,1,4.32,2021
2021-06-20,2233.3333333333335,2250,4.84,1,4.84,2021
2021-06-21,2296.25,2350,4.85,1,4.85,2021
2021-06-22,2506.6666666666665,2660,5.13,1,5.13,2021
2021-06-23,2972.5,3200,4.67,1,4.67,2021
2021-06-24,3527.0833333333335,3760,4.88,1,4.88,2021
2021-06-25,3855.8333333333335,3990,5.27,1,5.27,2021
2021-06-26,4045.8333333333335,4100,5.22,1,5.22,2021
2021-06-27,4082.3076923076924,4110,5.215,2,5.215,2021
2021-06-28,4132.5,4160,5.29,1,5.29,2021
2021-06-29,4200.625,4230,5.81,1,5.81,2021
2021-06-30,4207.692307692308,4240,5.27,1,5.27,2021
2021-07-01,4149.166666666667,4200,4.39,1,4.39,2021
2021-07-02,4078.3333333333335,4140,4.74,1,4.74,2021
2021-07-03,4026.6666666666665,4050,4.53,1,4.53,2021
2021-07-04,3933.846153846154,4000,4.72,1,4.72,2021
2021-07-05,3249.0476190476193,3810,4.01,1,4.01,2021
2021-07-06,2687.5,2780,4.57,1,4.57,2021
2021-07-07,2627.5,2810,11.956,5,11.956,2021
2021-07-08,2303.5,2420,45.1,8,45.1,2021
2021-07-09,1897.857142857143,2220,23.375,4,23.375,2021
2021-07-10,998.5833333333334,1300,6.59,1,6.59,2021
2021-07-11,753.0833333333334,810,4.18,1,4.18,2021
2021-07-12,723.625,734,4.1,1,4.1,2021
2021-07-13,697.3333333333334,717,3.5,1,3.5,2021
2021-07-14,835.4166666666666,1070,2.13,1,2.13,2021
2021-07-15,1058.3333333333333,1080,2.83,1,2.83,2021
2021-07-16,1038.3333333333333,1070,3.63,1,3.63,2021
2021-07-17,950.3333333333334,989,3.02,1,3.02,2021
2021-07-18,853.0,918,2.55,1,2.55,2021
2021-07-19,689.0,739,1.62,1,1.62,2021
2021-07-20,656.3333333333334,674,1.39,1,1.39,2021
2021-07-21,1484.9583333333333,3090,4.85,1,4.85,2021
2021-07-22,3713.75,4030,14.4,3,14.4,2021
2021-07-23,2578.3333333333335,3200,15.2,1,15.2,2021
2021-07-24,2182.222222222222,2220,6.33,1,6.33,2021
2021-07-25,2167.5,2200,6.48,1,6.48,2021
2021-07-26,2176.6666666666665,2200,3.88,1,3.88,2021
2021-07-27,2038.3333333333333,2110,5.45,1,5.45,2021
2021-07-28,1650.0,1870,4.31,1,4.31,2021
2021-07-29,1272.5,1420,3.61,1,3.61,2021
2021-07-30,1030.125,1100,3.02,1,3.02,2021
2021-07-31,949.6666666666666,981,2.39,1,2.39,2021
