方案,日期,原线路,需求类型,替代场地1,替代场地2,替代线路,分流货量
min_changed_plus_0,2023-01-01,DC5->DC70,出DC5,DC68,DC70,DC68->DC70,8
min_changed_plus_0,2023-01-01,DC5->DC8,出DC5,DC69,DC8,DC69->DC8,9
min_changed_plus_0,2023-01-01,DC50->DC5,入DC5,DC50,DC3,DC50->DC3,866
min_changed_plus_0,2023-01-01,DC51->DC5,入DC5,DC51,DC35,DC51->DC35,3070
min_changed_plus_0,2023-01-01,DC52->DC5,入DC5,DC52,DC3,DC52->DC3,46
min_changed_plus_0,2023-01-01,DC53->DC5,入DC5,DC53,DC10,DC53->DC10,592
min_changed_plus_0,2023-01-01,DC55->DC5,入DC5,DC55,DC10,DC55->DC10,40
min_changed_plus_0,2023-01-01,DC56->DC5,入DC5,DC56,DC10,DC56->DC10,1
min_changed_plus_0,2023-01-01,DC59->DC5,入DC5,DC59,DC10,DC59->DC10,317
min_changed_plus_0,2023-01-01,DC60->DC5,入DC5,DC60,DC62,DC60->DC62,1838
min_changed_plus_0,2023-01-01,DC62->DC5,入DC5,DC62,DC14,DC62->DC14,5243
min_changed_plus_0,2023-01-01,DC68->DC5,入DC5,DC68,DC70,DC68->DC70,90
min_changed_plus_0,2023-01-01,DC69->DC5,入DC5,DC69,DC8,DC69->DC8,206
min_changed_plus_0,2023-01-01,DC7->DC5,入DC5,DC7,DC4,DC7->DC4,102
min_changed_plus_0,2023-01-01,DC71->DC5,入DC5,DC71,DC12,DC71->DC12,18
min_changed_plus_0,2023-01-01,DC73->DC5,入DC5,DC73,DC62,DC73->DC62,3694
min_changed_plus_0,2023-01-01,DC8->DC5,入DC5,DC8,DC10,DC8->DC10,7009
min_changed_plus_2,2023-01-01,DC10->DC5,入DC5,DC10,DC3,DC10->DC3,7657
min_changed_plus_2,2023-01-01,DC14->DC5,入DC5,DC14,DC9,DC14->DC9,15971
min_changed_plus_2,2023-01-01,DC15->DC5,入DC5,DC15,DC3,DC15->DC3,3118
min_changed_plus_2,2023-01-01,DC17->DC5,入DC5,DC17,DC62,DC17->DC62,8486
min_changed_plus_2,2023-01-01,DC19->DC5,入DC5,DC19,DC12,DC19->DC12,5906
min_changed_plus_2,2023-01-01,DC20->DC5,入DC5,DC20,DC3,DC20->DC3,5162
min_changed_plus_2,2023-01-01,DC22->DC5,入DC5,DC22,DC3,DC22->DC3,5328
min_changed_plus_2,2023-01-01,DC23->DC5,入DC5,DC23,DC4,DC23->DC4,6984
min_changed_plus_2,2023-01-01,DC25->DC5,入DC5,DC25,DC62,DC25->DC62,3307
min_changed_plus_2,2023-01-01,DC26->DC5,入DC5,DC26,DC62,DC26->DC62,1295
min_changed_plus_2,2023-01-01,DC27->DC5,入DC5,DC27,DC8,DC27->DC8,2355
min_changed_plus_2,2023-01-01,DC28->DC5,入DC5,DC28,DC64,DC28->DC64,2304
min_changed_plus_2,2023-01-01,DC30->DC5,入DC5,DC30,DC3,DC30->DC3,1875
min_changed_plus_2,2023-01-01,DC31->DC5,入DC5,DC31,DC4,DC31->DC4,176
min_changed_plus_2,2023-01-01,DC34->DC5,入DC5,DC34,DC14,DC34->DC14,15
min_changed_plus_2,2023-01-01,DC36->DC5,入DC5,DC36,DC14,DC36->DC14,8784
min_changed_plus_2,2023-01-01,DC38->DC5,入DC5,DC38,DC62,DC38->DC62,2387
min_changed_plus_2,2023-01-01,DC4->DC5,入DC5,DC4,DC10,DC4->DC10,6
min_changed_plus_2,2023-01-01,DC40->DC5,入DC5,DC40,DC9,DC40->DC9,4
min_changed_plus_2,2023-01-01,DC42->DC5,入DC5,DC42,DC9,DC42->DC9,435
min_changed_plus_2,2023-01-01,DC43->DC5,入DC5,DC43,DC14,DC43->DC14,576
min_changed_plus_2,2023-01-01,DC44->DC5,入DC5,DC44,DC3,DC44->DC3,2266
min_changed_plus_2,2023-01-01,DC46->DC5,入DC5,DC46,DC35,DC46->DC35,925
min_changed_plus_2,2023-01-01,DC47->DC5,入DC5,DC47,DC62,DC47->DC62,1428
min_changed_plus_2,2023-01-01,DC48->DC5,入DC5,DC48,DC8,DC48->DC8,1376
min_changed_plus_2,2023-01-01,DC5->DC10,出DC5,DC68,DC10,DC68->DC10,237
min_changed_plus_2,2023-01-01,DC5->DC14,出DC5,DC62,DC14,DC62->DC14,93
min_changed_plus_2,2023-01-01,DC5->DC35,出DC5,DC46,DC35,DC46->DC35,2
min_changed_plus_2,2023-01-01,DC5->DC4,出DC5,DC21,DC4,DC21->DC4,722
min_changed_plus_2,2023-01-01,DC5->DC62,出DC5,DC26,DC62,DC26->DC62,171
min_changed_plus_2,2023-01-01,DC5->DC70,出DC5,DC23,DC70,DC23->DC70,8
min_changed_plus_2,2023-01-01,DC5->DC8,出DC5,DC59,DC8,DC59->DC8,9
min_changed_plus_2,2023-01-01,DC50->DC5,入DC5,DC50,DC3,DC50->DC3,866
min_changed_plus_2,2023-01-01,DC51->DC5,入DC5,DC51,DC35,DC51->DC35,3070
min_changed_plus_2,2023-01-01,DC52->DC5,入DC5,DC52,DC3,DC52->DC3,46
min_changed_plus_2,2023-01-01,DC53->DC5,入DC5,DC53,DC10,DC53->DC10,592
min_changed_plus_2,2023-01-01,DC55->DC5,入DC5,DC55,DC10,DC55->DC10,40
min_changed_plus_2,2023-01-01,DC56->DC5,入DC5,DC56,DC10,DC56->DC10,1
min_changed_plus_2,2023-01-01,DC59->DC5,入DC5,DC59,DC8,DC59->DC8,317
min_changed_plus_2,2023-01-01,DC60->DC5,入DC5,DC60,DC62,DC60->DC62,1838
min_changed_plus_2,2023-01-01,DC62->DC5,入DC5,DC62,DC14,DC62->DC14,5243
min_changed_plus_2,2023-01-01,DC68->DC5,入DC5,DC68,DC10,DC68->DC10,90
min_changed_plus_2,2023-01-01,DC69->DC5,入DC5,DC69,DC8,DC69->DC8,206
min_changed_plus_2,2023-01-01,DC7->DC5,入DC5,DC7,DC62,DC7->DC62,102
min_changed_plus_2,2023-01-01,DC71->DC5,入DC5,DC71,DC12,DC71->DC12,18
min_changed_plus_2,2023-01-01,DC73->DC5,入DC5,DC73,DC62,DC73->DC62,3694
min_changed_plus_2,2023-01-01,DC8->DC5,入DC5,DC8,DC10,DC8->DC10,7009
min_changed_plus_5,2023-01-01,DC10->DC5,入DC5,DC10,DC3,DC10->DC3,7657
min_changed_plus_5,2023-01-01,DC14->DC5,入DC5,DC14,DC9,DC14->DC9,15971
min_changed_plus_5,2023-01-01,DC15->DC5,入DC5,DC15,DC3,DC15->DC3,3118
min_changed_plus_5,2023-01-01,DC17->DC5,入DC5,DC17,DC62,DC17->DC62,8486
min_changed_plus_5,2023-01-01,DC19->DC5,入DC5,DC19,DC12,DC19->DC12,5906
min_changed_plus_5,2023-01-01,DC20->DC5,入DC5,DC20,DC3,DC20->DC3,5162
min_changed_plus_5,2023-01-01,DC22->DC5,入DC5,DC22,DC3,DC22->DC3,5328
min_changed_plus_5,2023-01-01,DC23->DC5,入DC5,DC23,DC4,DC23->DC4,6984
min_changed_plus_5,2023-01-01,DC25->DC5,入DC5,DC25,DC62,DC25->DC62,3307
min_changed_plus_5,2023-01-01,DC26->DC5,入DC5,DC26,DC62,DC26->DC62,1295
min_changed_plus_5,2023-01-01,DC27->DC5,入DC5,DC27,DC8,DC27->DC8,2355
min_changed_plus_5,2023-01-01,DC28->DC5,入DC5,DC28,DC64,DC28->DC64,2304
min_changed_plus_5,2023-01-01,DC30->DC5,入DC5,DC30,DC3,DC30->DC3,1875
min_changed_plus_5,2023-01-01,DC31->DC5,入DC5,DC31,DC4,DC31->DC4,176
min_changed_plus_5,2023-01-01,DC34->DC5,入DC5,DC34,DC14,DC34->DC14,15
min_changed_plus_5,2023-01-01,DC36->DC5,入DC5,DC36,DC14,DC36->DC14,8784
min_changed_plus_5,2023-01-01,DC38->DC5,入DC5,DC38,DC62,DC38->DC62,2387
min_changed_plus_5,2023-01-01,DC4->DC5,入DC5,DC4,DC62,DC4->DC62,6
min_changed_plus_5,2023-01-01,DC40->DC5,入DC5,DC40,DC9,DC40->DC9,4
min_changed_plus_5,2023-01-01,DC42->DC5,入DC5,DC42,DC9,DC42->DC9,435
min_changed_plus_5,2023-01-01,DC43->DC5,入DC5,DC43,DC14,DC43->DC14,576
min_changed_plus_5,2023-01-01,DC44->DC5,入DC5,DC44,DC3,DC44->DC3,2266
min_changed_plus_5,2023-01-01,DC46->DC5,入DC5,DC46,DC35,DC46->DC35,925
min_changed_plus_5,2023-01-01,DC47->DC5,入DC5,DC47,DC62,DC47->DC62,1428
min_changed_plus_5,2023-01-01,DC48->DC5,入DC5,DC48,DC8,DC48->DC8,1376
min_changed_plus_5,2023-01-01,DC5->DC10,出DC5,DC68,DC10,DC68->DC10,237
min_changed_plus_5,2023-01-01,DC5->DC14,出DC5,DC62,DC14,DC62->DC14,93
min_changed_plus_5,2023-01-01,DC5->DC35,出DC5,DC22,DC35,DC22->DC35,2
min_changed_plus_5,2023-01-01,DC5->DC4,出DC5,DC21,DC4,DC21->DC4,722
min_changed_plus_5,2023-01-01,DC5->DC62,出DC5,DC20,DC62,DC20->DC62,171
min_changed_plus_5,2023-01-01,DC5->DC70,出DC5,DC23,DC70,DC23->DC70,8
min_changed_plus_5,2023-01-01,DC5->DC8,出DC5,DC42,DC8,DC42->DC8,9
min_changed_plus_5,2023-01-01,DC50->DC5,入DC5,DC50,DC3,DC50->DC3,866
min_changed_plus_5,2023-01-01,DC51->DC5,入DC5,DC51,DC35,DC51->DC35,3070
min_changed_plus_5,2023-01-01,DC52->DC5,入DC5,DC52,DC3,DC52->DC3,46
min_changed_plus_5,2023-01-01,DC53->DC5,入DC5,DC53,DC10,DC53->DC10,592
min_changed_plus_5,2023-01-01,DC55->DC5,入DC5,DC55,DC10,DC55->DC10,40
min_changed_plus_5,2023-01-01,DC56->DC5,入DC5,DC56,DC10,DC56->DC10,1
min_changed_plus_5,2023-01-01,DC59->DC5,入DC5,DC59,DC8,DC59->DC8,317
min_changed_plus_5,2023-01-01,DC60->DC5,入DC5,DC60,DC62,DC60->DC62,1838
min_changed_plus_5,2023-01-01,DC62->DC5,入DC5,DC62,DC14,DC62->DC14,5243
min_changed_plus_5,2023-01-01,DC68->DC5,入DC5,DC68,DC10,DC68->DC10,90
min_changed_plus_5,2023-01-01,DC69->DC5,入DC5,DC69,DC8,DC69->DC8,206
min_changed_plus_5,2023-01-01,DC7->DC5,入DC5,DC7,DC62,DC7->DC62,102
min_changed_plus_5,2023-01-01,DC71->DC5,入DC5,DC71,DC12,DC71->DC12,18
min_changed_plus_5,2023-01-01,DC73->DC5,入DC5,DC73,DC62,DC73->DC62,3694
min_changed_plus_5,2023-01-01,DC8->DC5,入DC5,DC8,DC10,DC8->DC10,7009
min_changed_plus_0,2023-01-02,DC10->DC5,入DC5,DC10,DC3,DC10->DC3,8017
min_changed_plus_0,2023-01-02,DC14->DC5,入DC5,DC14,DC3,DC14->DC3,15378
min_changed_plus_0,2023-01-02,DC15->DC5,入DC5,DC15,DC4,DC15->DC4,3152
min_changed_plus_0,2023-01-02,DC17->DC5,入DC5,DC17,DC4,DC17->DC4,8895
min_changed_plus_0,2023-01-02,DC19->DC5,入DC5,DC19,DC14,DC19->DC14,6019
min_changed_plus_0,2023-01-02,DC20->DC5,入DC5,DC20,DC8,DC20->DC8,5323
min_changed_plus_0,2023-01-02,DC22->DC5,入DC5,DC22,DC65,DC22->DC65,5743
min_changed_plus_0,2023-01-02,DC23->DC5,入DC5,DC23,DC64,DC23->DC64,7421
min_changed_plus_0,2023-01-02,DC25->DC5,入DC5,DC25,DC3,DC25->DC3,4422
min_changed_plus_0,2023-01-02,DC26->DC5,入DC5,DC26,DC62,DC26->DC62,1413
min_changed_plus_0,2023-01-02,DC27->DC5,入DC5,DC27,DC8,DC27->DC8,2481
min_changed_plus_0,2023-01-02,DC28->DC5,入DC5,DC28,DC64,DC28->DC64,2544
min_changed_plus_0,2023-01-02,DC30->DC5,入DC5,DC30,DC3,DC30->DC3,1787
min_changed_plus_0,2023-01-02,DC31->DC5,入DC5,DC31,DC62,DC31->DC62,244
min_changed_plus_0,2023-01-02,DC34->DC5,入DC5,DC34,DC70,DC34->DC70,24
min_changed_plus_0,2023-01-02,DC36->DC5,入DC5,DC36,DC14,DC36->DC14,8085
min_changed_plus_0,2023-01-02,DC38->DC5,入DC5,DC38,DC62,DC38->DC62,2915
min_changed_plus_0,2023-01-02,DC4->DC5,入DC5,DC4,DC70,DC4->DC70,8
min_changed_plus_0,2023-01-02,DC40->DC5,入DC5,DC40,DC8,DC40->DC8,4
min_changed_plus_0,2023-01-02,DC42->DC5,入DC5,DC42,DC62,DC42->DC62,443
min_changed_plus_0,2023-01-02,DC43->DC5,入DC5,DC43,DC10,DC43->DC10,795
min_changed_plus_0,2023-01-02,DC44->DC5,入DC5,DC44,DC3,DC44->DC3,3012
min_changed_plus_0,2023-01-02,DC46->DC5,入DC5,DC46,DC4,DC46->DC4,959
min_changed_plus_0,2023-01-02,DC47->DC5,入DC5,DC47,DC62,DC47->DC62,1823
min_changed_plus_0,2023-01-02,DC48->DC5,入DC5,DC48,DC4,DC48->DC4,1454
min_changed_plus_0,2023-01-02,DC5->DC10,出DC5,DC69,DC10,DC69->DC10,184
min_changed_plus_0,2023-01-02,DC5->DC14,出DC5,DC19,DC14,DC19->DC14,109
min_changed_plus_0,2023-01-02,DC5->DC35,出DC5,DC51,DC35,DC51->DC35,1
min_changed_plus_0,2023-01-02,DC5->DC4,出DC5,DC71,DC4,DC71->DC4,956
min_changed_plus_0,2023-01-02,DC5->DC62,出DC5,DC7,DC62,DC7->DC62,179
min_changed_plus_0,2023-01-02,DC5->DC70,出DC5,DC4,DC70,DC4->DC70,9
min_changed_plus_0,2023-01-02,DC5->DC8,出DC5,DC27,DC8,DC27->DC8,6
min_changed_plus_0,2023-01-02,DC50->DC5,入DC5,DC50,DC4,DC50->DC4,868
min_changed_plus_0,2023-01-02,DC51->DC5,入DC5,DC51,DC35,DC51->DC35,3412
min_changed_plus_0,2023-01-02,DC52->DC5,入DC5,DC52,DC8,DC52->DC8,49
min_changed_plus_0,2023-01-02,DC53->DC5,入DC5,DC53,DC62,DC53->DC62,632
min_changed_plus_0,2023-01-02,DC55->DC5,入DC5,DC55,DC8,DC55->DC8,40
min_changed_plus_0,2023-01-02,DC59->DC5,入DC5,DC59,DC62,DC59->DC62,401
min_changed_plus_0,2023-01-02,DC60->DC5,入DC5,DC60,DC62,DC60->DC62,1565
min_changed_plus_0,2023-01-02,DC62->DC5,入DC5,DC62,DC10,DC62->DC10,5199
min_changed_plus_0,2023-01-02,DC68->DC5,入DC5,DC68,DC8,DC68->DC8,123
min_changed_plus_0,2023-01-02,DC69->DC5,入DC5,DC69,DC10,DC69->DC10,42
min_changed_plus_0,2023-01-02,DC7->DC5,入DC5,DC7,DC62,DC7->DC62,84
min_changed_plus_0,2023-01-02,DC71->DC5,入DC5,DC71,DC4,DC71->DC4,32
min_changed_plus_0,2023-01-02,DC73->DC5,入DC5,DC73,DC14,DC73->DC14,3804
min_changed_plus_0,2023-01-02,DC8->DC5,入DC5,DC8,DC10,DC8->DC10,8165
min_changed_plus_2,2023-01-02,DC10->DC5,入DC5,DC10,DC3,DC10->DC3,8017
min_changed_plus_2,2023-01-02,DC14->DC5,入DC5,DC14,DC3,DC14->DC3,15378
min_changed_plus_2,2023-01-02,DC15->DC5,入DC5,DC15,DC3,DC15->DC3,3152
min_changed_plus_2,2023-01-02,DC17->DC5,入DC5,DC17,DC4,DC17->DC4,8895
min_changed_plus_2,2023-01-02,DC19->DC5,入DC5,DC19,DC14,DC19->DC14,6019
min_changed_plus_2,2023-01-02,DC20->DC5,入DC5,DC20,DC8,DC20->DC8,5323
min_changed_plus_2,2023-01-02,DC22->DC5,入DC5,DC22,DC65,DC22->DC65,5743
min_changed_plus_2,2023-01-02,DC23->DC5,入DC5,DC23,DC64,DC23->DC64,7421
min_changed_plus_2,2023-01-02,DC25->DC5,入DC5,DC25,DC3,DC25->DC3,4422
min_changed_plus_2,2023-01-02,DC26->DC5,入DC5,DC26,DC3,DC26->DC3,1413
min_changed_plus_2,2023-01-02,DC27->DC5,入DC5,DC27,DC8,DC27->DC8,2481
min_changed_plus_2,2023-01-02,DC28->DC5,入DC5,DC28,DC64,DC28->DC64,2544
min_changed_plus_2,2023-01-02,DC30->DC5,入DC5,DC30,DC3,DC30->DC3,1787
min_changed_plus_2,2023-01-02,DC31->DC5,入DC5,DC31,DC4,DC31->DC4,244
min_changed_plus_2,2023-01-02,DC34->DC5,入DC5,DC34,DC4,DC34->DC4,24
min_changed_plus_2,2023-01-02,DC36->DC5,入DC5,DC36,DC14,DC36->DC14,8085
min_changed_plus_2,2023-01-02,DC38->DC5,入DC5,DC38,DC62,DC38->DC62,2915
min_changed_plus_2,2023-01-02,DC4->DC5,入DC5,DC4,DC62,DC4->DC62,8
min_changed_plus_2,2023-01-02,DC40->DC5,入DC5,DC40,DC9,DC40->DC9,4
min_changed_plus_2,2023-01-02,DC42->DC5,入DC5,DC42,DC9,DC42->DC9,443
min_changed_plus_2,2023-01-02,DC43->DC5,入DC5,DC43,DC14,DC43->DC14,795
min_changed_plus_2,2023-01-02,DC44->DC5,入DC5,DC44,DC3,DC44->DC3,3012
min_changed_plus_2,2023-01-02,DC46->DC5,入DC5,DC46,DC35,DC46->DC35,959
min_changed_plus_2,2023-01-02,DC47->DC5,入DC5,DC47,DC62,DC47->DC62,1823
min_changed_plus_2,2023-01-02,DC48->DC5,入DC5,DC48,DC8,DC48->DC8,1454
min_changed_plus_2,2023-01-02,DC5->DC10,出DC5,DC53,DC10,DC53->DC10,184
min_changed_plus_2,2023-01-02,DC5->DC14,出DC5,DC43,DC14,DC43->DC14,109
min_changed_plus_2,2023-01-02,DC5->DC35,出DC5,DC22,DC35,DC22->DC35,1
min_changed_plus_2,2023-01-02,DC5->DC4,出DC5,DC59,DC4,DC59->DC4,956
min_changed_plus_2,2023-01-02,DC5->DC62,出DC5,DC4,DC62,DC4->DC62,179
min_changed_plus_2,2023-01-02,DC5->DC70,出DC5,DC23,DC70,DC23->DC70,9
min_changed_plus_2,2023-01-02,DC5->DC8,出DC5,DC7,DC8,DC7->DC8,6
min_changed_plus_2,2023-01-02,DC50->DC5,入DC5,DC50,DC3,DC50->DC3,868
min_changed_plus_2,2023-01-02,DC51->DC5,入DC5,DC51,DC35,DC51->DC35,3412
min_changed_plus_2,2023-01-02,DC52->DC5,入DC5,DC52,DC3,DC52->DC3,49
min_changed_plus_2,2023-01-02,DC53->DC5,入DC5,DC53,DC10,DC53->DC10,632
min_changed_plus_2,2023-01-02,DC55->DC5,入DC5,DC55,DC10,DC55->DC10,40
min_changed_plus_2,2023-01-02,DC59->DC5,入DC5,DC59,DC4,DC59->DC4,401
min_changed_plus_2,2023-01-02,DC60->DC5,入DC5,DC60,DC62,DC60->DC62,1565
min_changed_plus_2,2023-01-02,DC62->DC5,入DC5,DC62,DC10,DC62->DC10,5199
min_changed_plus_2,2023-01-02,DC68->DC5,入DC5,DC68,DC62,DC68->DC62,123
min_changed_plus_2,2023-01-02,DC69->DC5,入DC5,DC69,DC14,DC69->DC14,42
min_changed_plus_2,2023-01-02,DC7->DC5,入DC5,DC7,DC8,DC7->DC8,84
min_changed_plus_2,2023-01-02,DC71->DC5,入DC5,DC71,DC10,DC71->DC10,32
min_changed_plus_2,2023-01-02,DC73->DC5,入DC5,DC73,DC14,DC73->DC14,3804
min_changed_plus_2,2023-01-02,DC8->DC5,入DC5,DC8,DC10,DC8->DC10,8165
min_changed_plus_5,2023-01-02,DC10->DC5,入DC5,DC10,DC3,DC10->DC3,8017
min_changed_plus_5,2023-01-02,DC14->DC5,入DC5,DC14,DC3,DC14->DC3,15378
min_changed_plus_5,2023-01-02,DC15->DC5,入DC5,DC15,DC3,DC15->DC3,3152
min_changed_plus_5,2023-01-02,DC17->DC5,入DC5,DC17,DC4,DC17->DC4,8895
min_changed_plus_5,2023-01-02,DC19->DC5,入DC5,DC19,DC14,DC19->DC14,6019
min_changed_plus_5,2023-01-02,DC20->DC5,入DC5,DC20,DC8,DC20->DC8,5323
min_changed_plus_5,2023-01-02,DC22->DC5,入DC5,DC22,DC65,DC22->DC65,5743
min_changed_plus_5,2023-01-02,DC23->DC5,入DC5,DC23,DC64,DC23->DC64,7421
min_changed_plus_5,2023-01-02,DC25->DC5,入DC5,DC25,DC3,DC25->DC3,4422
min_changed_plus_5,2023-01-02,DC26->DC5,入DC5,DC26,DC3,DC26->DC3,1413
min_changed_plus_5,2023-01-02,DC27->DC5,入DC5,DC27,DC8,DC27->DC8,2481
min_changed_plus_5,2023-01-02,DC28->DC5,入DC5,DC28,DC64,DC28->DC64,2544
min_changed_plus_5,2023-01-02,DC30->DC5,入DC5,DC30,DC3,DC30->DC3,1787
min_changed_plus_5,2023-01-02,DC31->DC5,入DC5,DC31,DC4,DC31->DC4,244
min_changed_plus_5,2023-01-02,DC34->DC5,入DC5,DC34,DC14,DC34->DC14,24
min_changed_plus_5,2023-01-02,DC36->DC5,入DC5,DC36,DC14,DC36->DC14,8085
min_changed_plus_5,2023-01-02,DC38->DC5,入DC5,DC38,DC62,DC38->DC62,2915
min_changed_plus_5,2023-01-02,DC4->DC5,入DC5,DC4,DC62,DC4->DC62,8
min_changed_plus_5,2023-01-02,DC40->DC5,入DC5,DC40,DC9,DC40->DC9,4
min_changed_plus_5,2023-01-02,DC42->DC5,入DC5,DC42,DC9,DC42->DC9,443
min_changed_plus_5,2023-01-02,DC43->DC5,入DC5,DC43,DC14,DC43->DC14,795
min_changed_plus_5,2023-01-02,DC44->DC5,入DC5,DC44,DC3,DC44->DC3,3012
min_changed_plus_5,2023-01-02,DC46->DC5,入DC5,DC46,DC35,DC46->DC35,959
min_changed_plus_5,2023-01-02,DC47->DC5,入DC5,DC47,DC62,DC47->DC62,1823
min_changed_plus_5,2023-01-02,DC48->DC5,入DC5,DC48,DC8,DC48->DC8,1454
min_changed_plus_5,2023-01-02,DC5->DC10,出DC5,DC25,DC10,DC25->DC10,184
min_changed_plus_5,2023-01-02,DC5->DC14,出DC5,DC43,DC14,DC43->DC14,109
min_changed_plus_5,2023-01-02,DC5->DC35,出DC5,DC22,DC35,DC22->DC35,1
min_changed_plus_5,2023-01-02,DC5->DC4,出DC5,DC21,DC4,DC21->DC4,956
min_changed_plus_5,2023-01-02,DC5->DC62,出DC5,DC20,DC62,DC20->DC62,179
min_changed_plus_5,2023-01-02,DC5->DC70,出DC5,DC68,DC70,DC68->DC70,9
min_changed_plus_5,2023-01-02,DC5->DC8,出DC5,DC7,DC8,DC7->DC8,6
min_changed_plus_5,2023-01-02,DC50->DC5,入DC5,DC50,DC3,DC50->DC3,868
min_changed_plus_5,2023-01-02,DC51->DC5,入DC5,DC51,DC35,DC51->DC35,3412
min_changed_plus_5,2023-01-02,DC52->DC5,入DC5,DC52,DC3,DC52->DC3,49
min_changed_plus_5,2023-01-02,DC53->DC5,入DC5,DC53,DC10,DC53->DC10,632
min_changed_plus_5,2023-01-02,DC55->DC5,入DC5,DC55,DC10,DC55->DC10,40
min_changed_plus_5,2023-01-02,DC59->DC5,入DC5,DC59,DC4,DC59->DC4,401
min_changed_plus_5,2023-01-02,DC60->DC5,入DC5,DC60,DC62,DC60->DC62,1565
min_changed_plus_5,2023-01-02,DC62->DC5,入DC5,DC62,DC10,DC62->DC10,5199
min_changed_plus_5,2023-01-02,DC68->DC5,入DC5,DC68,DC62,DC68->DC62,123
min_changed_plus_5,2023-01-02,DC69->DC5,入DC5,DC69,DC14,DC69->DC14,42
min_changed_plus_5,2023-01-02,DC7->DC5,入DC5,DC7,DC8,DC7->DC8,84
min_changed_plus_5,2023-01-02,DC71->DC5,入DC5,DC71,DC10,DC71->DC10,32
min_changed_plus_5,2023-01-02,DC73->DC5,入DC5,DC73,DC14,DC73->DC14,3804
min_changed_plus_5,2023-01-02,DC8->DC5,入DC5,DC8,DC10,DC8->DC10,8165
min_changed_plus_0,2023-01-03,DC10->DC5,入DC5,DC10,DC3,DC10->DC3,7823
min_changed_plus_0,2023-01-03,DC14->DC5,入DC5,DC14,DC9,DC14->DC9,15284
min_changed_plus_0,2023-01-03,DC15->DC5,入DC5,DC15,DC14,DC15->DC14,3204
min_changed_plus_0,2023-01-03,DC17->DC5,入DC5,DC17,DC4,DC17->DC4,8798
min_changed_plus_0,2023-01-03,DC19->DC5,入DC5,DC19,DC70,DC19->DC70,5901
min_changed_plus_0,2023-01-03,DC20->DC5,入DC5,DC20,DC10,DC20->DC10,5260
min_changed_plus_0,2023-01-03,DC22->DC5,入DC5,DC22,DC65,DC22->DC65,5613
min_changed_plus_0,2023-01-03,DC23->DC5,入DC5,DC23,DC10,DC23->DC10,7851
