日期,垂线距离(m),垂线平均流速_mps,垂线流速中位数_mps,流速测点数,总水深_m,最浅测点_m,最深测点_m
2020-07-10,1764.0,2.11,2.11,2,3.2,0.64,2.56
2020-07-10,1798.0,2.2800000000000002,2.2800000000000002,2,3.2,0.64,2.56
2020-07-10,1830.0,2.335,2.335,2,3.3,0.66,2.64
2020-07-10,1860.0,2.365,2.365,2,3.4,0.68,2.72
2020-07-10,1890.0,2.365,2.365,2,3.5,0.7,2.8
2020-07-10,1920.0,2.455,2.455,2,3.5,0.7,2.8
2020-07-10,1952.0,2.4,2.4,2,3.6,0.72,2.88
2020-07-10,1985.0,2.2199999999999998,2.2199999999999998,2,3.8,0.76,3.04
2020-07-10,2019.0,1.87,1.87,2,4.0,0.8,3.2
2020-07-10,2055.0,1.205,1.205,2,2.0,0.4,1.6
2020-07-10,2080.0,0.0,0.0,1,0.0,,
2020-07-11,1672.0,0.0,0.0,1,0.0,,
2020-07-11,1692.0,1.014,0.98,5,2.7,0.0,2.7
2020-07-11,1711.0,1.752,1.91,5,2.7,0.0,2.7
2020-07-11,1729.0,2.0140000000000002,2.13,5,2.9,0.0,2.9
2020-07-11,1747.0,2.064,2.18,5,3.0,0.0,3.0
2020-07-11,1764.0,2.158,2.38,5,3.0,0.0,3.0
2020-07-11,1781.0,2.186,2.35,5,3.1,0.0,3.1
2020-07-11,1798.0,2.248,2.43,5,3.2,0.0,3.2
2020-07-11,1814.0,2.176,2.25,5,3.3,0.0,3.3
2020-07-11,1830.0,2.2800000000000002,2.48,5,3.3,0.0,3.3
2020-07-11,1845.0,2.2800000000000002,2.48,5,3.3,0.0,3.3
2020-07-11,1860.0,2.336,2.55,5,3.3,0.0,3.3
2020-07-11,1875.0,2.3299999999999996,2.5,5,3.4,0.0,3.4
2020-07-11,1890.0,2.468,2.53,5,3.4,0.0,3.4
2020-07-11,1905.0,2.3259999999999996,2.43,5,3.5,0.0,3.5
2020-07-11,1920.0,2.2920000000000003,2.38,5,3.6,0.0,3.6
2020-07-11,1936.0,2.3120000000000003,2.38,5,3.6,0.0,3.6
2020-07-11,1952.0,2.288,2.43,5,3.7,0.0,3.7
2020-07-11,1968.0,2.272,2.38,5,3.7,0.0,3.7
2020-07-11,1985.0,2.19,2.26,5,3.7,0.0,3.7
2020-07-11,2002.0,2.0780000000000003,2.11,5,4.0,0.0,4.0
2020-07-11,2019.0,1.8099999999999998,1.79,5,3.8,0.0,3.8
2020-07-11,2037.0,1.35,1.18,5,2.9,0.0,2.9
2020-07-11,2055.0,1.058,1.06,5,2.0,0.0,2.0
2020-07-11,2080.0,0.0,0.0,1,0.0,,
2020-07-29,1679.0,0.0,0.0,1,0.0,,
2020-07-29,1696.0,1.2850000000000001,1.2850000000000001,2,2.3,0.46,1.84
2020-07-29,1730.0,2.06,2.06,2,2.5,0.5,2.08
2020-07-29,1764.0,2.32,2.32,2,2.6,0.52,2.08
2020-07-29,1798.0,2.38,2.38,2,2.6,0.52,2.08
2020-07-29,1830.0,2.53,2.53,2,2.7,0.54,2.32
2020-07-29,1860.0,2.5549999999999997,2.5549999999999997,2,2.9,0.58,2.32
2020-07-29,1890.0,2.63,2.63,2,3.0,0.6,2.4
2020-07-29,1920.0,2.64,2.64,2,3.2,0.64,2.56
2020-07-29,1952.0,2.62,2.62,2,3.3,0.66,2.64
2020-07-29,1985.0,2.38,2.38,2,3.5,0.7,2.8
2020-07-29,2019.0,2.04,2.04,2,3.2,0.64,2.56
2020-07-29,2055.0,1.42,1.42,2,2.0,0.4,1.6
2020-07-29,2078.0,0.0,0.0,1,0.0,,
2021-04-16,1686.0,0.0,0.0,1,0.0,,
2021-04-16,1706.0,0.6799999999999999,0.6799999999999999,2,1.5,0.3,1.2
2021-04-16,1737.0,0.845,0.845,2,2.2,0.44,1.76
2021-04-16,1768.0,1.095,1.095,2,1.7,0.34,1.36
2021-04-16,1798.0,1.4900000000000002,1.4900000000000002,2,1.7,0.34,1.36
2021-04-16,1828.0,1.635,1.635,2,1.8,0.36,1.44
2021-04-16,1859.0,1.735,1.735,2,1.75,0.35,1.4
2021-04-16,1886.0,1.725,1.725,2,1.7,0.34,1.36
2021-04-16,1913.0,1.685,1.685,2,1.6,0.32,1.28
2021-04-16,1941.0,1.5899999999999999,1.5899999999999999,2,1.55,0.31,1.4
2021-04-16,1974.0,1.515,1.515,2,1.6,0.2,1.28
2021-04-16,2007.0,1.365,1.365,2,1.6,0.32,1.28
2021-04-16,2041.0,0.95,0.95,2,1.2,0.24,0.96
2021-04-16,2066.0,0.0,0.0,1,0.0,,
2021-07-07,1677.0,0.0,0.0,1,0.0,,
2021-07-07,1697.0,1.2,1.2,2,2.4,0.48,1.92
2021-07-07,1737.0,1.82,1.82,2,2.8,0.56,2.24
2021-07-07,1774.0,2.0,2.0,2,2.9,0.58,2.32
2021-07-07,1810.0,2.0700000000000003,2.0700000000000003,2,3.3,0.66,2.64
2021-07-07,1844.0,2.19,2.19,2,3.5,0.7,2.8
2021-07-07,1873.0,2.3,2.3,2,3.7,0.74,2.96
2021-07-07,1901.0,2.3,2.3,2,3.8,0.76,3.04
2021-07-07,1930.0,2.185,2.185,2,3.9,0.78,3.12
2021-07-07,1963.0,2.195,2.195,2,3.9,0.78,3.12
2021-07-07,1996.0,2.1,2.1,2,4.0,0.8,3.2
2021-07-07,2030.0,1.73,1.73,2,3.7,0.74,2.96
2021-07-07,2068.0,0.62,0.62,2,1.5,0.3,1.2
2021-07-07,2086.0,0.0,0.0,1,0.0,,
2021-07-08,1677.0,0.0,0.0,1,0.0,,
2021-07-08,1697.0,1.1600000000000001,1.1600000000000001,2,2.4,0.48,1.92
2021-07-08,1737.0,1.685,1.685,2,2.6,0.52,2.08
2021-07-08,1774.0,1.935,1.935,2,2.7,0.54,2.16
2021-07-08,1810.0,2.025,2.025,2,2.9,0.58,2.32
2021-07-08,1844.0,2.16,2.16,2,3.2,0.64,2.56
2021-07-08,1873.0,2.3049999999999997,2.3049999999999997,2,3.28,0.66,2.62
2021-07-08,1901.0,2.3899999999999997,2.3899999999999997,2,3.45,0.69,2.76
2021-07-08,1930.0,2.355,2.355,2,3.5,0.7,2.8
2021-07-08,1963.0,2.075,2.075,2,3.6,0.72,2.88
2021-07-08,1996.0,1.9849999999999999,1.9849999999999999,2,3.8,0.76,3.04
2021-07-08,2028.0,1.77,1.77,2,3.5,0.7,2.8
2021-07-08,2060.0,0.9850000000000001,0.9850000000000001,2,1.6,0.32,1.28
2021-07-08,2078.0,0.0,0.0,1,0.0,,
2021-07-09,1677.0,0.0,0.0,1,0.0,,
2021-07-09,1697.0,1.0,0.92,5,2.0,0.0,2.0
2021-07-09,1717.0,1.258,1.17,5,2.3,0.0,2.3
2021-07-09,1737.0,1.492,1.61,5,2.4,0.0,2.4
2021-07-09,1756.0,1.658,1.74,5,2.5,0.0,2.5
2021-07-09,1774.0,1.8559999999999999,1.96,5,2.6,0.0,2.6
2021-07-09,1792.0,1.86,1.96,5,2.6,0.0,2.6
2021-07-09,1810.0,1.886,1.98,5,2.7,0.0,2.7
2021-07-09,1828.0,1.95,1.98,5,2.8,0.0,2.8
2021-07-09,1844.0,2.0740000000000003,2.31,5,2.8,0.0,2.8
2021-07-09,1859.0,2.116,2.26,5,3.0,0.0,3.0
2021-07-09,1873.0,2.106,2.3,5,3.0,0.0,3.0
2021-07-09,1887.0,2.096,2.33,5,3.0,0.0,3.0
2021-07-09,1901.0,2.096,2.33,5,3.1,0.0,3.1
2021-07-09,1915.0,2.13,2.33,5,3.2,0.0,3.2
2021-07-09,1930.0,2.092,2.3,5,3.2,0.0,3.2
2021-07-09,1947.0,2.096,2.28,5,3.2,0.0,3.2
2021-07-09,1963.0,2.0,2.18,5,3.3,0.0,3.3
2021-07-09,1979.0,1.9579999999999997,2.13,5,3.3,0.0,3.3
2021-07-09,1996.0,1.8559999999999999,1.96,5,3.6,0.0,3.6
2021-07-09,2013.0,1.688,1.75,5,3.6,0.0,3.6
2021-07-09,2028.0,1.624,1.61,5,3.0,0.0,3.0
2021-07-09,2044.0,1.218,1.22,5,2.0,0.0,2.0
2021-07-09,2060.0,1.1099999999999999,1.17,5,1.4,0.0,1.4
2021-07-09,2078.0,0.0,0.0,1,0.0,,
2021-07-22,1674.0,0.0,0.0,1,0.0,,
2021-07-22,1697.0,2.25,2.25,2,3.0,0.6,2.4
2021-07-22,1737.0,2.415,2.415,2,3.4,0.68,2.72
2021-07-22,1774.0,2.715,2.715,2,3.5,0.7,2.8
2021-07-22,1810.0,2.7249999999999996,2.7249999999999996,2,3.6,0.72,2.88
2021-07-22,1844.0,2.885,2.885,2,3.6,0.72,2.88
2021-07-22,1873.0,2.96,2.96,2,3.8,0.76,3.04
2021-07-22,1901.0,2.85,2.85,2,4.3,0.86,3.44
2021-07-22,1930.0,2.8600000000000003,2.8600000000000003,2,4.3,0.86,3.44
2021-07-22,1963.0,2.79,2.79,2,4.6,0.92,3.68
2021-07-22,1996.0,2.665,2.665,2,4.5,0.9,3.6
2021-07-22,2028.0,2.295,2.295,2,3.6,0.72,2.88
2021-07-22,2060.0,1.725,1.725,2,2.7,0.54,2.16
2021-07-22,2076.0,0.0,0.0,1,0.0,,
2022-04-18,1705.0,0.0,0.0,1,0.0,,
2022-04-18,1738.0,0.21999999999999997,0.21999999999999997,2,0.9,0.18,0.72
2022-04-18,1761.0,0.365,0.365,2,1.4,0.28,1.12
2022-04-18,1792.0,0.945,0.945,2,1.9,0.38,1.52
2022-04-18,1820.0,1.27,1.27,2,2.0,0.4,1.6
2022-04-18,1846.0,1.52,1.52,2,1.9,0.38,1.52
2022-04-18,1872.0,1.6949999999999998,1.6949999999999998,2,2.1,0.42,1.68
2022-04-18,1898.0,1.78,1.78,2,2.2,0.44,1.76
2022-04-18,1926.0,1.96,1.96,2,2.3,0.46,1.84
2022-04-18,1956.0,1.9749999999999999,1.9749999999999999,2,2.4,0.48,1.92
2022-04-18,1986.0,1.89,1.89,2,2.6,0.52,2.08
2022-04-18,2018.0,1.6099999999999999,1.6099999999999999,2,2.4,0.48,1.92
2022-04-18,2052.0,0.9550000000000001,0.9550000000000001,2,1.8,0.36,1.44
2022-04-18,2075.0,0.0,0.0,1,0.0,,
2022-07-07,1670.0,0.0,0.0,1,0.0,,
2022-07-07,1694.0,1.97,1.97,2,3.5,0.7,2.8
2022-07-07,1736.0,2.6100000000000003,2.6100000000000003,2,3.8,0.76,3.04
2022-07-07,1774.0,2.76,2.76,2,3.8,0.76,3.04
2022-07-07,1809.0,2.975,2.975,2,4.0,0.8,3.2
2022-07-07,1842.0,3.04,3.04,2,4.0,0.8,3.2
2022-07-07,1873.0,3.0999999999999996,3.0999999999999996,2,4.1,0.82,3.28
2022-07-07,1903.0,3.085,3.085,2,4.2,0.84,3.36
2022-07-07,1933.0,3.0549999999999997,3.0549999999999997,2,4.2,0.84,3.36
2022-07-07,1964.0,2.92,2.92,2,4.33,0.87,3.46
2022-07-07,1996.0,2.71,2.71,2,4.3,0.86,3.44
2022-07-07,2029.0,2.3449999999999998,2.3449999999999998,2,3.9,0.78,3.12
2022-07-07,2063.0,1.435,1.435,2,2.6,0.52,2.08
2022-07-07,2083.0,0.0,0.0,1,0.0,,
2022-07-08,1670.0,0.0,0.0,1,0.0,,
2022-07-08,1694.0,1.87,1.87,2,3.25,0.65,2.6
2022-07-08,1736.0,2.525,2.525,2,3.35,0.67,2.68
2022-07-08,1774.0,2.71,2.71,2,3.5,0.7,2.8
2022-07-08,1809.0,2.8150000000000004,2.8150000000000004,2,3.55,0.71,2.84
2022-07-08,1842.0,2.85,2.85,2,3.6,0.72,2.88
2022-07-08,1873.0,2.975,2.975,2,3.6,0.72,2.88
2022-07-08,1903.0,2.84,2.84,2,3.6,0.72,2.88
2022-07-08,1933.0,2.74,2.74,2,3.8,0.76,3.04
2022-07-08,1964.0,2.495,2.495,2,4.0,0.8,3.2
2022-07-08,1996.0,2.2199999999999998,2.2199999999999998,2,4.1,0.82,3.28
2022-07-08,2029.0,1.9100000000000001,1.9100000000000001,2,3.5,0.7,2.8
2022-07-08,2063.0,1.33,1.33,2,2.15,0.43,1.72
2022-07-08,2083.0,0.0,0.0,1,0.0,,
2022-07-09,1674.0,0.0,0.0,1,0.0,,
2022-07-09,1694.0,1.005,1.005,2,2.36,0.47,1.89
2022-07-09,1736.0,1.295,1.295,2,2.36,0.61,2.44
2022-07-09,1774.0,1.4449999999999998,1.4449999999999998,2,3.05,0.6,2.4
2022-07-09,1809.0,1.565,1.565,2,3.05,0.61,2.44
2022-07-09,1842.0,1.505,1.505,2,3.02,0.6,2.42
2022-07-09,1873.0,1.44,1.44,2,2.84,0.57,2.27
2022-07-09,1903.0,1.385,1.385,2,2.75,0.55,2.2
2022-07-09,1933.0,1.325,1.325,2,2.8,0.56,2.24
2022-07-09,1964.0,1.245,1.245,2,2.8,0.56,2.24
2022-07-09,1996.0,1.1099999999999999,1.1099999999999999,2,2.85,0.57,2.28
2022-07-09,2029.0,0.835,0.835,2,2.8,0.56,2.24
2022-07-09,2063.0,0.615,0.615,2,0.9,0.18,0.72
2022-07-09,2078.0,0.0,0.0,1,0.0,,
2022-07-20,1672.0,0.0,0.0,1,0.0,,
2022-07-20,1696.0,1.38,1.38,2,3.01,0.63,2.41
2022-07-20,1738.0,1.8250000000000002,1.8250000000000002,2,3.13,0.63,2.5
2022-07-20,1775.0,2.0149999999999997,2.0149999999999997,2,3.18,0.64,2.54
2022-07-20,1809.0,2.255,2.255,2,3.21,0.64,2.57
2022-07-20,1842.0,2.36,2.36,2,3.32,0.66,2.66
2022-07-20,1873.0,2.4,2.4,2,3.39,0.68,2.71
2022-07-20,1903.0,2.5,2.5,2,3.43,0.69,2.74
2022-07-20,1933.0,2.465,2.465,2,3.52,0.7,2.82
2022-07-20,1964.0,2.34,2.34,2,3.46,0.69,2.77
2022-07-20,1995.0,2.13,2.13,2,3.51,0.7,2.81
2022-07-20,2021.0,1.8599999999999999,1.8599999999999999,2,3.51,0.7,2.81
2022-07-20,2054.0,1.35,1.35,2,2.04,0.41,1.63
2022-07-20,2076.0,0.0,0.0,1,0.0,,
2022-07-22,1672.0,0.0,0.0,1,0.0,,
2022-07-22,1696.0,1.585,1.585,2,2.4,0.48,1.92
2022-07-22,1738.0,2.13,2.13,2,2.6,0.52,2.08
2022-07-22,1775.0,2.22,2.22,2,2.9,0.58,2.32
2022-07-22,1809.0,2.26,2.26,2,3.1,0.62,2.48
2022-07-22,1842.0,2.39,2.39,2,3.2,0.64,2.56
2022-07-22,1873.0,2.375,2.375,2,3.4,0.68,2.72
2022-07-22,1903.0,2.435,2.435,2,3.5,0.7,2.8
2022-07-22,1933.0,2.3899999999999997,2.3899999999999997,2,3.58,0.72,2.86
2022-07-22,1961.0,2.29,2.29,2,3.55,0.71,2.84
2022-07-22,1991.0,2.235,2.235,2,3.6,0.72,2.88
2022-07-22,2021.0,1.98,1.98,2,3.6,0.72,2.88
2022-07-22,2054.0,1.3,1.3,2,2.2,0.44,1.76
2022-07-22,2076.0,0.0,0.0,1,0.0,,
2022-07-23,1672.0,0.0,0.0,1,0.0,,
2022-07-23,1696.0,1.49,1.49,2,2.6,0.2,0.8
2022-07-23,1738.0,2.025,2.025,2,2.85,0.57,2.28
2022-07-23,1775.0,2.155,2.155,2,3.0,0.6,2.4
2022-07-23,1809.0,2.365,2.365,2,3.16,0.63,2.53
2022-07-23,1842.0,2.5199999999999996,2.5199999999999996,2,3.3,0.66,2.64
2022-07-23,1873.0,2.485,2.485,2,3.4,0.68,2.72
2022-07-23,1903.0,2.51,2.51,2,3.6,0.72,2.88
2022-07-23,1933.0,2.5549999999999997,2.5549999999999997,2,3.7,0.74,2.96
2022-07-23,1961.0,2.585,2.585,2,3.7,0.74,2.96
2022-07-23,1991.0,2.425,2.425,2,3.6,0.72,2.88
2022-07-23,2021.0,2.08,2.08,2,3.7,0.74,2.96
2022-07-23,2054.0,1.5550000000000002,1.5550000000000002,2,2.0,0.4,1.6
2022-07-23,2076.0,0.0,0.0,1,0.0,,
2023-02-26,1838.0,0.14,0.14,1,0.4,0.24,0.24
2023-02-26,1865.0,0.195,0.195,2,0.5,0.1,0.4
2023-02-26,1889.0,0.21999999999999997,0.21999999999999997,2,0.6,0.12,0.48
2023-02-26,1912.0,0.36,0.36,2,0.65,0.13,0.52
2023-02-26,1935.0,0.53,0.53,2,1.3,0.26,1.4
2023-02-26,1958.0,0.8300000000000001,0.8300000000000001,2,2.1,0.42,1.68
2023-02-26,1980.0,0.9849999999999999,0.9849999999999999,2,2.6,0.52,2.08
2023-02-26,2000.0,1.04,1.04,2,2.7,0.54,2.16
2023-02-26,2020.0,0.94,0.94,2,2.9,0.58,2.32
2023-02-26,2043.0,0.515,0.515,2,3.8,0.76,3.04
2023-02-26,2065.0,0.22999999999999998,0.22999999999999998,2,3.5,0.7,2.8
