日期,起点距离(m),水位(m),水深(m),测点水深(m),测点水流速(m/s),测点含沙量(kg/m3),垂线距离(m),垂线总水深(m),断面水位(m)
2022-07-23,1961.0,,3.7,0.74,2.84,,1961.0,3.7,44.3
2022-07-23,,,,2.96,2.33,,1961.0,3.7,44.3
2022-07-23,1933.0,,3.7,0.74,2.78,,1933.0,3.7,44.3
2022-07-23,,,,2.96,2.33,,1933.0,3.7,44.3
2022-07-23,1903.0,,3.6,0.72,2.81,,1903.0,3.6,44.3
2022-07-23,,,,2.88,2.21,,1903.0,3.6,44.3
2022-07-23,1873.0,,3.4,0.68,2.76,,1873.0,3.4,44.3
2022-07-23,,,,2.72,2.21,,1873.0,3.4,44.3
2022-07-23,1842.0,,3.3,0.66,2.76,,1842.0,3.3,44.3
2022-07-23,,,,2.64,2.28,,1842.0,3.3,44.3
2022-07-23,1809.0,,3.16,0.63,2.62,,1809.0,3.16,44.3
2022-07-23,,,,2.53,2.11,,1809.0,3.16,44.3
2022-07-23,1775.0,,3.0,0.6,2.42,,1775.0,3.0,44.3
2022-07-23,,,,2.4,1.89,,1775.0,3.0,44.3
2022-07-23,1738.0,,2.85,0.57,2.3,,1738.0,2.85,44.3
2022-07-23,,,,2.28,1.75,,1738.0,2.85,44.3
2022-07-23,1696.0,,2.6,0.2,1.68,,1696.0,2.6,44.3
2022-07-23,,,,0.8,1.3,,1696.0,2.6,44.3
2022-07-23,1672.0,,0.0,,0.0,,1672.0,0.0,44.3
2022-07-22,2076.0,44.18,0.0,,0.0,,2076.0,0.0,44.18
2022-07-22,2054.0,,2.2,0.44,1.35,,2054.0,2.2,44.18
2022-07-22,,,,1.76,1.25,,2054.0,2.2,44.18
2022-07-22,2021.0,,3.6,0.72,2.21,,2021.0,3.6,44.18
2022-07-22,,,,2.88,1.75,,2021.0,3.6,44.18
2022-07-22,1991.0,,3.6,0.72,2.48,,1991.0,3.6,44.18
2022-07-22,,,,2.88,1.99,,1991.0,3.6,44.18
2022-07-22,1961.0,,3.55,0.71,2.6,,1961.0,3.55,44.18
2022-07-22,,,,2.84,1.98,,1961.0,3.55,44.18
2022-07-22,1933.0,,3.58,0.72,2.75,,1933.0,3.58,44.18
2022-07-22,,,,2.86,2.03,,1933.0,3.58,44.18
2022-07-22,1903.0,,3.5,0.7,2.79,,1903.0,3.5,44.18
2022-07-22,,,,2.8,2.08,,1903.0,3.5,44.18
2022-07-22,1873.0,,3.4,0.68,2.77,,1873.0,3.4,44.18
2022-07-22,,,,2.72,1.98,,1873.0,3.4,44.18
2022-07-22,1842.0,,3.2,0.64,2.72,,1842.0,3.2,44.18
2022-07-22,,,,2.56,2.06,,1842.0,3.2,44.18
2022-07-22,1809.0,,3.1,0.62,2.58,,1809.0,3.1,44.18
2022-07-22,,,,2.48,1.94,,1809.0,3.1,44.18
2022-07-22,1775.0,,2.9,0.58,2.45,,1775.0,2.9,44.18
2022-07-22,,,,2.32,1.99,,1775.0,2.9,44.18
2022-07-22,1738.0,,2.6,0.52,2.43,,1738.0,2.6,44.18
2022-07-22,,,,2.08,1.83,,1738.0,2.6,44.18
2022-07-22,1696.0,,2.4,0.48,1.74,,1696.0,2.4,44.18
2022-07-22,,,,1.92,1.43,,1696.0,2.4,44.18
2022-07-22,1672.0,,0.0,,0.0,,1672.0,0.0,44.18
2022-07-20,2076.0,44.24,0.0,,0.0,,2076.0,0.0,44.24
2022-07-20,2054.0,,2.04,0.41,1.36,,2054.0,2.04,44.24
2022-07-20,,,,1.63,1.34,,2054.0,2.04,44.24
2022-07-20,2021.0,,3.51,0.7,2.11,,2021.0,3.51,44.24
2022-07-20,,,,2.81,1.61,,2021.0,3.51,44.24
2022-07-20,1995.0,,3.51,0.7,2.4,,1995.0,3.51,44.24
2022-07-20,,,,2.81,1.86,,1995.0,3.51,44.24
2022-07-20,1964.0,,3.46,0.69,2.71,,1964.0,3.46,44.24
2022-07-20,,,,2.77,1.97,,1964.0,3.46,44.24
2022-07-20,1933.0,,3.52,0.7,2.89,,1933.0,3.52,44.24
2022-07-20,,,,2.82,2.04,,1933.0,3.52,44.24
2022-07-20,1903.0,,3.43,0.69,2.89,,1903.0,3.43,44.24
2022-07-20,,,,2.74,2.11,,1903.0,3.43,44.24
2022-07-20,1873.0,,3.39,0.68,2.81,,1873.0,3.39,44.24
2022-07-20,,,,2.71,1.99,,1873.0,3.39,44.24
2022-07-20,1842.0,,3.32,0.66,2.59,,1842.0,3.32,44.24
2022-07-20,,,,2.66,2.13,,1842.0,3.32,44.24
2022-07-20,1809.0,,3.21,0.64,2.5,,1809.0,3.21,44.24
2022-07-20,,,,2.57,2.01,,1809.0,3.21,44.24
2022-07-20,1775.0,,3.18,0.64,2.28,,1775.0,3.18,44.24
2022-07-20,,,,2.54,1.75,,1775.0,3.18,44.24
2022-07-20,1738.0,,3.13,0.63,2.06,,1738.0,3.13,44.24
2022-07-20,,,,2.5,1.59,,1738.0,3.13,44.24
2022-07-20,1696.0,,3.01,0.63,1.46,,1696.0,3.01,44.24
2022-07-20,,,,2.41,1.3,,1696.0,3.01,44.24
2022-07-20,1672.0,,0.0,,0.0,,1672.0,0.0,44.24
2022-07-09,2078.0,43.5,0.0,,0.0,,2078.0,0.0,43.5
2022-07-09,2063.0,,0.9,0.18,0.64,,2063.0,0.9,43.5
2022-07-09,,,,0.72,0.59,,2063.0,0.9,43.5
2022-07-09,2029.0,,2.8,0.56,0.89,,2029.0,2.8,43.5
2022-07-09,,,,2.24,0.78,,2029.0,2.8,43.5
2022-07-09,1996.0,,2.85,0.57,1.19,,1996.0,2.85,43.5
2022-07-09,,,,2.28,1.03,,1996.0,2.85,43.5
2022-07-09,1964.0,,2.8,0.56,1.33,,1964.0,2.8,43.5
2022-07-09,,,,2.24,1.16,,1964.0,2.8,43.5
2022-07-09,1933.0,,2.8,0.56,1.48,,1933.0,2.8,43.5
2022-07-09,,,,2.24,1.17,,1933.0,2.8,43.5
2022-07-09,1903.0,,2.75,0.55,1.51,,1903.0,2.75,43.5
2022-07-09,,,,2.2,1.26,,1903.0,2.75,43.5
2022-07-09,1873.0,,2.84,0.57,1.59,,1873.0,2.84,43.5
2022-07-09,,,,2.27,1.29,,1873.0,2.84,43.5
2022-07-09,1842.0,,3.02,0.6,1.64,,1842.0,3.02,43.5
2022-07-09,,,,2.42,1.37,,1842.0,3.02,43.5
2022-07-09,1809.0,,3.05,0.61,1.69,,1809.0,3.05,43.5
2022-07-09,,,,2.44,1.44,,1809.0,3.05,43.5
2022-07-09,1774.0,,3.05,0.6,1.64,,1774.0,3.05,43.5
2022-07-09,,,,2.4,1.25,,1774.0,3.05,43.5
2022-07-09,1736.0,,2.36,0.61,1.5,,1736.0,2.36,43.5
2022-07-09,,,,2.44,1.09,,1736.0,2.36,43.5
2022-07-09,1694.0,,2.36,0.47,1.17,,1694.0,2.36,43.5
2022-07-09,,,,1.89,0.84,,1694.0,2.36,43.5
2022-07-09,1674.0,,0.0,,0.0,,1674.0,0.0,43.5
2022-07-08,2083.0,44.99,0.0,,0.0,,2083.0,0.0,44.99
2022-07-08,2063.0,,2.15,0.43,1.36,,2063.0,2.15,44.99
2022-07-08,,,,1.72,1.3,,2063.0,2.15,44.99
2022-07-08,2029.0,,3.5,0.7,2.06,,2029.0,3.5,44.99
2022-07-08,,,,2.8,1.76,,2029.0,3.5,44.99
2022-07-08,1996.0,,4.1,0.82,2.42,,1996.0,4.1,44.99
2022-07-08,,,,3.28,2.02,,1996.0,4.1,44.99
2022-07-08,1964.0,,4.0,0.8,2.83,,1964.0,4.0,44.99
2022-07-08,,,,3.2,2.16,,1964.0,4.0,44.99
2022-07-08,1933.0,,3.8,0.76,2.99,,1933.0,3.8,44.99
2022-07-08,,,,3.04,2.49,,1933.0,3.8,44.99
2022-07-08,1903.0,,3.6,0.72,3.11,,1903.0,3.6,44.99
2022-07-08,,,,2.88,2.57,,1903.0,3.6,44.99
2022-07-08,1873.0,,3.6,0.72,3.29,,1873.0,3.6,44.99
2022-07-08,,,,2.88,2.66,,1873.0,3.6,44.99
2022-07-08,1842.0,,3.6,0.72,3.16,,1842.0,3.6,44.99
2022-07-08,,,,2.88,2.54,,1842.0,3.6,44.99
2022-07-08,1809.0,,3.55,0.71,3.14,,1809.0,3.55,44.99
2022-07-08,,,,2.84,2.49,,1809.0,3.55,44.99
2022-07-08,1774.0,,3.5,0.7,2.97,,1774.0,3.5,44.99
2022-07-08,,,,2.8,2.45,,1774.0,3.5,44.99
2022-07-08,1736.0,,3.35,0.67,2.73,,1736.0,3.35,44.99
2022-07-08,,,,2.68,2.32,,1736.0,3.35,44.99
2022-07-08,1694.0,,3.25,0.65,2.06,,1694.0,3.25,44.99
2022-07-08,,,,2.6,1.68,,1694.0,3.25,44.99
2022-07-08,1670.0,,0.0,,0.0,,1670.0,0.0,44.99
2022-07-07,2083.0,45.5,0.0,,0.0,,2083.0,0.0,45.5
2022-07-07,2063.0,,2.6,0.52,1.56,,2063.0,2.6,45.5
2022-07-07,,,,2.08,1.31,,2063.0,2.6,45.5
2022-07-07,2029.0,,3.9,0.78,2.6,,2029.0,3.9,45.5
2022-07-07,,,,3.12,2.09,,2029.0,3.9,45.5
2022-07-07,1996.0,,4.3,0.86,3.02,,1996.0,4.3,45.5
2022-07-07,,,,3.44,2.4,,1996.0,4.3,45.5
2022-07-07,1964.0,,4.33,0.87,3.22,,1964.0,4.33,45.5
2022-07-07,,,,3.46,2.62,,1964.0,4.33,45.5
2022-07-07,1933.0,,4.2,0.84,3.36,,1933.0,4.2,45.5
2022-07-07,,,,3.36,2.75,,1933.0,4.2,45.5
2022-07-07,1903.0,,4.2,0.84,3.38,,1903.0,4.2,45.5
2022-07-07,,,,3.36,2.79,,1903.0,4.2,45.5
2022-07-07,1873.0,,4.1,0.82,3.38,,1873.0,4.1,45.5
2022-07-07,,,,3.28,2.82,,1873.0,4.1,45.5
2022-07-07,1842.0,,4.0,0.8,3.33,,1842.0,4.0,45.5
2022-07-07,,,,3.2,2.75,,1842.0,4.0,45.5
2022-07-07,1809.0,,4.0,0.8,3.2,,1809.0,4.0,45.5
2022-07-07,,,,3.2,2.75,,1809.0,4.0,45.5
2022-07-07,1774.0,,3.8,0.76,2.99,,1774.0,3.8,45.5
2022-07-07,,,,3.04,2.53,,1774.0,3.8,45.5
2022-07-07,1736.0,,3.8,0.76,2.72,,1736.0,3.8,45.5
2022-07-07,,,,3.04,2.5,,1736.0,3.8,45.5
2022-07-07,1694.0,,3.5,0.7,2.06,,1694.0,3.5,45.5
2022-07-07,,,,2.8,1.88,,1694.0,3.5,45.5
2022-07-07,1670.0,,0.0,,0.0,,1670.0,0.0,45.5
2022-04-18,2075.0,42.86,0.0,,0.0,,2075.0,0.0,42.86
2022-04-18,2052.0,,1.8,0.36,1.07,,2052.0,1.8,42.86
2022-04-18,,,,1.44,0.84,,2052.0,1.8,42.86
2022-04-18,2018.0,,2.4,0.48,1.75,,2018.0,2.4,42.86
2022-04-18,,,,1.92,1.47,,2018.0,2.4,42.86
2022-04-18,1986.0,,2.6,0.52,2.13,,1986.0,2.6,42.86
2022-04-18,,,,2.08,1.65,,1986.0,2.6,42.86
2022-04-18,1956.0,,2.4,0.48,2.28,,1956.0,2.4,42.86
2022-04-18,,,,1.92,1.67,,1956.0,2.4,42.86
2022-04-18,1926.0,,2.3,0.46,2.25,,1926.0,2.3,42.86
2022-04-18,,,,1.84,1.67,,1926.0,2.3,42.86
2022-04-18,1898.0,,2.2,0.44,1.99,,1898.0,2.2,42.86
2022-04-18,,,,1.76,1.57,,1898.0,2.2,42.86
2022-04-18,1872.0,,2.1,0.42,1.93,,1872.0,2.1,42.86
2022-04-18,,,,1.68,1.46,,1872.0,2.1,42.86
2022-04-18,1846.0,,1.9,0.38,1.72,,1846.0,1.9,42.86
2022-04-18,,,,1.52,1.32,,1846.0,1.9,42.86
2022-04-18,1820.0,,2.0,0.4,1.36,,1820.0,2.0,42.86
2022-04-18,,,,1.6,1.18,,1820.0,2.0,42.86
2022-04-18,1792.0,,1.9,0.38,1.15,,1792.0,1.9,42.86
2022-04-18,,,,1.52,0.74,,1792.0,1.9,42.86
2022-04-18,1761.0,,1.4,0.28,0.48,,1761.0,1.4,42.86
2022-04-18,,,,1.12,0.25,,1761.0,1.4,42.86
2022-04-18,1738.0,,0.9,0.18,0.29,,1738.0,0.9,42.86
2022-04-18,,,,0.72,0.15,,1738.0,0.9,42.86
2022-04-18,1705.0,,0.0,,0.0,,1705.0,0.0,42.86
2021-07-22,2076.0,45.22,0.0,,0.0,,2076.0,0.0,45.22
2021-07-22,2060.0,,2.7,0.54,1.75,,2060.0,2.7,45.22
2021-07-22,,,,2.16,1.7,,2060.0,2.7,45.22
2021-07-22,2028.0,,3.6,0.72,2.43,,2028.0,3.6,45.22
2021-07-22,,,,2.88,2.16,,2028.0,3.6,45.22
2021-07-22,1996.0,,4.5,0.9,2.95,,1996.0,4.5,45.22
2021-07-22,,,,3.6,2.38,,1996.0,4.5,45.22
2021-07-22,1963.0,,4.6,0.92,3.2,,1963.0,4.6,45.22
2021-07-22,,,,3.68,2.38,,1963.0,4.6,45.22
2021-07-22,1930.0,,4.3,0.86,3.22,,1930.0,4.3,45.22
2021-07-22,,,,3.44,2.5,,1930.0,4.3,45.22
2021-07-22,1901.0,,4.3,0.86,3.22,,1901.0,4.3,45.22
2021-07-22,,,,3.44,2.48,,1901.0,4.3,45.22
2021-07-22,1873.0,,3.8,0.76,3.32,,1873.0,3.8,45.22
2021-07-22,,,,3.04,2.6,,1873.0,3.8,45.22
2021-07-22,1844.0,,3.6,0.72,3.17,,1844.0,3.6,45.22
2021-07-22,,,,2.88,2.6,,1844.0,3.6,45.22
2021-07-22,1810.0,,3.6,0.72,3.07,,1810.0,3.6,45.22
2021-07-22,,,,2.88,2.38,,1810.0,3.6,45.22
2021-07-22,1774.0,,3.5,0.7,2.95,,1774.0,3.5,45.22
2021-07-22,,,,2.8,2.48,,1774.0,3.5,45.22
2021-07-22,1737.0,,3.4,0.68,2.67,,1737.0,3.4,45.22
2021-07-22,,,,2.72,2.16,,1737.0,3.4,45.22
2021-07-22,1697.0,,3.0,0.6,2.5,,1697.0,3.0,45.22
2021-07-22,,,,2.4,2.0,,1697.0,3.0,45.22
2021-07-22,1674.0,,0.0,,0.0,,1674.0,0.0,45.22
2021-07-09,2078.0,43.94,0.0,,0.0,,2078.0,0.0,43.94
2021-07-09,2060.0,,1.4,0.0,1.22,26.2,2060.0,1.4,43.94
2021-07-09,,,,0.28,1.21,27.2,2060.0,1.4,43.94
2021-07-09,,,,0.84,1.17,28.3,2060.0,1.4,43.94
2021-07-09,,,,1.12,1.06,29.8,2060.0,1.4,43.94
2021-07-09,,,,1.4,0.89,27.9,2060.0,1.4,43.94
2021-07-09,2044.0,,2.0,0.0,1.36,,2044.0,2.0,43.94
2021-07-09,,,,0.4,1.32,,2044.0,2.0,43.94
2021-07-09,,,,1.2,1.22,,2044.0,2.0,43.94
2021-07-09,,,,1.6,1.16,,2044.0,2.0,43.94
2021-07-09,,,,2.0,1.03,,2044.0,2.0,43.94
2021-07-09,2028.0,,3.0,0.0,1.84,26.1,2028.0,3.0,43.94
2021-07-09,,,,0.6,1.69,27.3,2028.0,3.0,43.94
2021-07-09,,,,1.8,1.61,28.2,2028.0,3.0,43.94
2021-07-09,,,,2.4,1.57,27.0,2028.0,3.0,43.94
2021-07-09,,,,3.0,1.41,27.9,2028.0,3.0,43.94
2021-07-09,2013.0,,3.6,0.0,2.06,,2013.0,3.6,43.94
2021-07-09,,,,0.72,1.96,,2013.0,3.6,43.94
2021-07-09,,,,0.6,1.75,,2013.0,3.6,43.94
2021-07-09,,,,2.88,1.56,,2013.0,3.6,43.94
2021-07-09,,,,3.6,1.11,,2013.0,3.6,43.94
2021-07-09,1996.0,,3.6,0.0,2.33,21.3,1996.0,3.6,43.94
2021-07-09,,,,0.72,2.11,25.9,1996.0,3.6,43.94
2021-07-09,,,,2.16,1.96,28.7,1996.0,3.6,43.94
2021-07-09,,,,2.88,1.65,31.2,1996.0,3.6,43.94
2021-07-09,,,,3.6,1.23,32.3,1996.0,3.6,43.94
2021-07-09,1979.0,,3.3,0.0,2.3,,1979.0,3.3,43.94
2021-07-09,,,,0.66,2.18,,1979.0,3.3,43.94
2021-07-09,,,,1.98,2.13,,1979.0,3.3,43.94
2021-07-09,,,,2.64,1.8,,1979.0,3.3,43.94
2021-07-09,,,,3.3,1.38,,1979.0,3.3,43.94
2021-07-09,1963.0,,3.3,0.0,2.45,23.4,1963.0,3.3,43.94
2021-07-09,,,,0.66,2.21,24.6,1963.0,3.3,43.94
2021-07-09,,,,1.98,2.18,27.4,1963.0,3.3,43.94
2021-07-09,,,,2.64,1.8,28.4,1963.0,3.3,43.94
2021-07-09,,,,3.3,1.36,26.2,1963.0,3.3,43.94
2021-07-09,1947.0,,3.2,0.0,2.48,,1947.0,3.2,43.94
2021-07-09,,,,0.66,2.31,,1947.0,3.2,43.94
2021-07-09,,,,1.98,2.28,,1947.0,3.2,43.94
2021-07-09,,,,2.64,2.05,,1947.0,3.2,43.94
2021-07-09,,,,3.2,1.36,,1947.0,3.2,43.94
2021-07-09,1930.0,,3.2,0.0,2.48,16.7,1930.0,3.2,43.94
2021-07-09,,,,0.64,2.5,24.4,1930.0,3.2,43.94
2021-07-09,,,,1.92,2.3,26.5,1930.0,3.2,43.94
2021-07-09,,,,2.56,1.82,28.6,1930.0,3.2,43.94
2021-07-09,,,,3.2,1.36,32.0,1930.0,3.2,43.94
2021-07-09,1915.0,,3.2,0.0,2.48,,1915.0,3.2,43.94
2021-07-09,,,,0.64,2.55,,1915.0,3.2,43.94
2021-07-09,,,,1.92,2.33,,1915.0,3.2,43.94
2021-07-09,,,,2.56,1.93,,1915.0,3.2,43.94
2021-07-09,,,,3.2,1.36,,1915.0,3.2,43.94
2021-07-09,1901.0,,3.1,0.0,2.5,22.2,1901.0,3.1,43.94
2021-07-09,,,,0.62,2.55,24.2,1901.0,3.1,43.94
2021-07-09,,,,1.86,2.33,27.0,1901.0,3.1,43.94
2021-07-09,,,,2.48,1.8,27.9,1901.0,3.1,43.94
2021-07-09,,,,3.1,1.3,32.6,1901.0,3.1,43.94
2021-07-09,1887.0,,3.0,0.0,2.45,,1887.0,3.0,43.94
2021-07-09,,,,0.6,2.5,,1887.0,3.0,43.94
2021-07-09,,,,1.8,2.33,,1887.0,3.0,43.94
2021-07-09,,,,2.4,1.84,,1887.0,3.0,43.94
2021-07-09,,,,3.0,1.36,,1887.0,3.0,43.94
2021-07-09,1873.0,,3.0,0.0,2.5,24.8,1873.0,3.0,43.94
2021-07-09,,,,0.6,2.4,24.4,1873.0,3.0,43.94
2021-07-09,,,,1.8,2.3,25.8,1873.0,3.0,43.94
2021-07-09,,,,2.4,1.87,26.1,1873.0,3.0,43.94
2021-07-09,,,,3.0,1.46,28.2,1873.0,3.0,43.94
2021-07-09,1859.0,,3.0,0.0,2.48,,1859.0,3.0,43.94
2021-07-09,,,,0.6,2.45,,1859.0,3.0,43.94
2021-07-09,,,,1.8,2.26,,1859.0,3.0,43.94
2021-07-09,,,,2.4,1.93,,1859.0,3.0,43.94
2021-07-09,,,,3.0,1.46,,1859.0,3.0,43.94
2021-07-09,1844.0,,2.8,0.0,2.48,19.7,1844.0,2.8,43.94
2021-07-09,,,,0.56,2.4,23.0,1844.0,2.8,43.94
2021-07-09,,,,1.68,2.31,27.2,1844.0,2.8,43.94
2021-07-09,,,,2.24,1.85,29.5,1844.0,2.8,43.94
2021-07-09,,,,2.8,1.33,37.1,1844.0,2.8,43.94
2021-07-09,1828.0,,2.8,0.0,2.45,,1828.0,2.8,43.94
2021-07-09,,,,0.56,2.3,,1828.0,2.8,43.94
2021-07-09,,,,1.68,1.98,,1828.0,2.8,43.94
2021-07-09,,,,2.24,1.72,,1828.0,2.8,43.94
2021-07-09,,,,2.8,1.3,,1828.0,2.8,43.94
2021-07-09,1810.0,,2.7,0.0,2.4,21.8,1810.0,2.7,43.94
2021-07-09,,,,0.54,2.24,22.0,1810.0,2.7,43.94
2021-07-09,,,,1.62,1.98,22.8,1810.0,2.7,43.94
2021-07-09,,,,2.16,1.59,28.0,1810.0,2.7,43.94
2021-07-09,,,,2.7,1.22,33.9,1810.0,2.7,43.94
2021-07-09,1792.0,,2.6,0.0,2.23,,1792.0,2.6,43.94
2021-07-09,,,,0.52,2.16,,1792.0,2.6,43.94
2021-07-09,,,,1.56,1.96,,1792.0,2.6,43.94
2021-07-09,,,,2.08,1.69,,1792.0,2.6,43.94
2021-07-09,,,,2.6,1.26,,1792.0,2.6,43.94
2021-07-09,1774.0,,2.6,0.0,2.21,18.9,1774.0,2.6,43.94
2021-07-09,,,,0.52,2.16,20.4,1774.0,2.6,43.94
2021-07-09,,,,1.56,1.96,25.3,1774.0,2.6,43.94
2021-07-09,,,,2.08,1.69,33.8,1774.0,2.6,43.94
2021-07-09,,,,2.6,1.26,35.2,1774.0,2.6,43.94
2021-07-09,1756.0,,2.5,0.0,2.06,,1756.0,2.5,43.94
2021-07-09,,,,0.5,1.96,,1756.0,2.5,43.94
2021-07-09,,,,1.5,1.74,,1756.0,2.5,43.94
2021-07-09,,,,2.0,1.43,,1756.0,2.5,43.94
2021-07-09,,,,2.5,1.1,,1756.0,2.5,43.94
2021-07-09,1737.0,,2.4,0.0,1.9,17.9,1737.0,2.4,43.94
2021-07-09,,,,0.48,1.82,21.0,1737.0,2.4,43.94
2021-07-09,,,,1.44,1.61,21.1,1737.0,2.4,43.94
2021-07-09,,,,1.92,1.32,27.2,1737.0,2.4,43.94
2021-07-09,,,,2.4,0.81,31.0,1737.0,2.4,43.94
2021-07-09,1717.0,,2.3,0.0,1.9,,1717.0,2.3,43.94
2021-07-09,,,,0.46,1.62,,1717.0,2.3,43.94
2021-07-09,,,,1.38,1.17,,1717.0,2.3,43.94
2021-07-09,,,,1.84,0.88,,1717.0,2.3,43.94
2021-07-09,,,,2.3,0.72,,1717.0,2.3,43.94
2021-07-09,1697.0,,2.0,0.0,1.72,17.4,1697.0,2.0,43.94
2021-07-09,,,,0.4,1.11,16.8,1697.0,2.0,43.94
2021-07-09,,,,1.2,0.92,17.6,1697.0,2.0,43.94
2021-07-09,,,,1.6,0.7,20.2,1697.0,2.0,43.94
2021-07-09,,,,2.0,0.55,23.7,1697.0,2.0,43.94
2021-07-09,1677.0,,0.0,,0.0,,1677.0,0.0,43.94
2021-07-08,2078.0,44.18,0.0,,0.0,,2078.0,0.0,44.18
2021-07-08,2060.0,,1.6,0.32,1.08,,2060.0,1.6,44.18
2021-07-08,,,,1.28,0.89,,2060.0,1.6,44.18
2021-07-08,2028.0,,3.5,0.7,1.92,,2028.0,3.5,44.18
2021-07-08,,,,2.8,1.62,,2028.0,3.5,44.18
2021-07-08,1996.0,,3.8,0.76,2.25,,1996.0,3.8,44.18
2021-07-08,,,,3.04,1.72,,1996.0,3.8,44.18
2021-07-08,1963.0,,3.6,0.72,2.38,,1963.0,3.6,44.18
2021-07-08,,,,2.88,1.77,,1963.0,3.6,44.18
2021-07-08,1930.0,,3.5,0.7,2.5,,1930.0,3.5,44.18
2021-07-08,,,,2.8,2.21,,1930.0,3.5,44.18
2021-07-08,1901.0,,3.45,0.69,2.55,,1901.0,3.45,44.18
2021-07-08,,,,2.76,2.23,,1901.0,3.45,44.18
2021-07-08,1873.0,,3.28,0.66,2.55,,1873.0,3.28,44.18
2021-07-08,,,,2.62,2.06,,1873.0,3.28,44.18
2021-07-08,1844.0,,3.2,0.64,2.4,,1844.0,3.2,44.18
2021-07-08,,,,2.56,1.92,,1844.0,3.2,44.18
2021-07-08,1810.0,,2.9,0.58,2.33,,1810.0,2.9,44.18
2021-07-08,,,,2.32,1.72,,1810.0,2.9,44.18
2021-07-08,1774.0,,2.7,0.54,2.23,,1774.0,2.7,44.18
2021-07-08,,,,2.16,1.64,,1774.0,2.7,44.18
2021-07-08,1737.0,,2.6,0.52,1.98,,1737.0,2.6,44.18
2021-07-08,,,,2.08,1.39,,1737.0,2.6,44.18
2021-07-08,1697.0,,2.4,0.48,1.24,,1697.0,2.4,44.18
2021-07-08,,,,1.92,1.08,,1697.0,2.4,44.18
2021-07-08,1677.0,,0.0,,0.0,,1677.0,0.0,44.18
2021-07-07,2086.0,44.52,0.0,,0.0,,2086.0,0.0,44.52
2021-07-07,2068.0,,1.5,0.3,0.74,,2068.0,1.5,44.52
2021-07-07,,,,1.2,0.5,,2068.0,1.5,44.52
2021-07-07,2030.0,,3.7,0.74,1.87,,2030.0,3.7,44.52
2021-07-07,,,,2.96,1.59,,2030.0,3.7,44.52
2021-07-07,1996.0,,4.0,0.8,2.38,,1996.0,4.0,44.52
2021-07-07,,,,3.2,1.82,,1996.0,4.0,44.52
2021-07-07,1963.0,,3.9,0.78,2.5,,1963.0,3.9,44.52
2021-07-07,,,,3.12,1.89,,1963.0,3.9,44.52
2021-07-07,1930.0,,3.9,0.78,2.5,,1930.0,3.9,44.52
2021-07-07,,,,3.12,1.87,,1930.0,3.9,44.52
2021-07-07,1901.0,,3.8,0.76,2.67,,1901.0,3.8,44.52
2021-07-07,,,,3.04,1.93,,1901.0,3.8,44.52
2021-07-07,1873.0,,3.7,0.74,2.6,,1873.0,3.7,44.52
2021-07-07,,,,2.96,2.0,,1873.0,3.7,44.52
2021-07-07,1844.0,,3.5,0.7,2.45,,1844.0,3.5,44.52
2021-07-07,,,,2.8,1.93,,1844.0,3.5,44.52
2021-07-07,1810.0,,3.3,0.66,2.35,,1810.0,3.3,44.52
