task_id,latitude,longitude,price,completed,members_2km,tasks_2km,competition_index
A0030,22.5819344788478,114.156395293242,68.0,0,2,2,1.4890507991136213
A0031,22.5429361050784,114.131407227026,67.0,0,16,1,0.9048374180359595
A0032,22.5239495360594,113.943441614942,65.5,0,16,7,6.904837418035959
A0033,22.5510130545882,113.956744570929,65.5,1,10,5,5.22140275816017
A0034,22.5829932950536,114.147122731579,66.0,1,4,2,2.71322745580144
A0035,22.549270134625,114.131744697949,66.5,0,21,2,2.2103418361512954
A0036,22.5259613413852,113.935399270764,65.5,1,23,10,10.010008336111607
A0037,22.7563792952752,114.04213561073,70.0,0,6,2,2.0
A0038,22.6414407060529,114.422742132399,75.0,0,1,1,1.0
A0039,22.711660071995,114.072883627376,66.5,0,8,3,3.1151792541872547
A0040,22.6064932325456,114.124153601375,66.0,0,30,2,2.455029725651651
A0041,22.6622997110033,114.072996896515,65.0,0,5,3,3.315512754226943
A0042,22.635398280659,114.226377185934,66.5,1,5,1,1.1051709180756477
A0043,22.7380284355305,114.264097001048,67.0,0,8,2,1.4111382667173573
A0044,22.6255834838843,114.154966375968,69.0,0,17,2,1.4111382667173573
A0045,22.6526549643723,114.027229172221,66.0,0,32,3,2.542298924191923
A0046,22.7889219689206,113.896632665629,66.0,0,9,1,0.9048374180359595
A0047,22.7010356427446,114.244292079239,67.0,0,10,0,0.0
A0048,22.6315405076403,114.12149281776,67.0,0,15,1,2.718281828459045
A0049,22.6417147970367,114.195532954479,68.5,0,8,0,0.0
A0050,22.689403355188,114.345418821992,70.0,0,5,0,0.0
A0051,22.6301004227929,114.063832661281,66.5,0,9,3,2.4561922592339456
A0052,22.6639167291901,114.071717684316,65.5,0,5,3,2.9048374180359593
A0053,22.7506640039026,114.378843000345,70.0,0,3,0,0.0
A0054,22.7227256081329,114.073801635421,67.0,0,5,6,5.6284055891499
A0055,22.6413803215711,114.229981802978,67.0,0,5,1,0.9048374180359595
A0056,22.7764075422069,114.309587840635,73.0,0,2,1,1.0
A0057,22.5870653356629,113.905761364795,66.0,0,8,4,4.115179254187255
A0058,22.6933957055509,114.147487353786,69.0,0,2,1,24.532530197109352
A0059,22.6040496991942,114.058613751507,66.0,0,9,0,0.0
A0060,22.6376363999893,114.06791620901,65.5,0,11,3,3.2214027581601696
A0061,22.6578852114526,114.07477225632,65.5,0,7,4,3.9048374180359593
A0062,22.6178181688603,114.157260801849,67.5,0,17,2,2.254696225611963
A0063,22.6414407060529,114.422742132399,75.0,0,1,1,1.0
A0064,22.7813987573364,114.300806526091,73.0,0,1,1,1.0
A0065,22.7229412237494,114.27771560183,67.0,0,10,3,2.151956487399075
A0066,22.6747071093467,114.22093326141,67.0,0,5,0,0.0
A0067,22.6628381443602,114.026397428454,65.0,0,31,4,4.676432483811821
A0068,22.6577697242095,114.079493396147,65.5,0,6,4,3.9048374180359593
A0069,22.6569132739748,114.210092791689,66.0,0,7,1,1.0
A0070,22.7385903883485,113.818449251052,66.5,0,11,4,3.6284055891499007
A0071,22.7163633127048,114.32225700256,70.0,0,2,0,0.0
A0072,22.5233140084978,114.04663858269,66.5,0,8,2,1.7235681711139414
A0073,22.6530142206891,114.212454874348,66.0,0,8,1,1.0
A0074,22.5331754025637,114.083134154717,66.5,0,18,1,14.879731724872837
A0075,22.5995590515513,114.130362976515,66.5,0,27,2,2.1262401761961294
A0076,22.6502783683962,113.936624148954,68.5,0,6,1,1.3498588075760032
A0077,22.7378203776219,114.285890066086,65.5,1,8,3,3.254696225611963
A0078,22.7385903883485,113.818449251052,66.5,1,11,4,3.6284055891499007
A0079,22.7430010931667,113.995040147773,71.0,0,0,0,0.0
A0080,22.6349541735094,114.044819584999,66.0,0,21,1,1.0
A0081,22.7513933784059,114.026239909685,70.0,1,8,1,1.0
A0082,22.6155646326245,114.152415879117,67.0,0,19,2,2.596995615716918
A0083,22.6844700633893,114.000085031516,66.0,0,18,0,0.0
A0084,22.6651428008973,114.020001901954,65.5,0,29,4,4.136248512307736
A0085,22.6933155162664,113.81707837037,66.0,0,15,3,3.3265736762358173
A0086,22.7560020308019,113.851361212011,66.5,0,7,2,1.809674836071919
A0087,22.7333561925431,113.831291899127,66.0,0,12,4,4.115179254187255
A0088,22.7778578024144,113.917004348147,70.0,0,8,1,0.4065696597405991
A0089,22.7059717485156,113.8079954237,66.5,0,16,2,1.809674836071919
A0090,22.7046649683488,113.972689897065,70.0,0,1,0,0.0
A0091,22.6520496098925,114.053593678065,65.5,0,20,1,1.1051709180756477
A0092,22.7213341121282,114.061619587743,67.0,0,5,6,5.6284055891499
A0093,22.6800886065083,113.834786135085,70.0,0,8,4,1.5875884203932396
A0094,22.7087497447993,113.816054302089,66.0,0,13,2,2.1051709180756477
A0095,22.607669788426,113.868531174692,65.5,0,7,3,3.3265736762358173
A0096,22.7271036717407,114.061381858376,67.0,1,4,5,4.723568171113941
A0097,22.6795558910636,113.832938493127,65.5,0,7,4,5.364440529192909
A0098,22.675097731447,113.822362023717,65.5,0,8,5,6.714299336768912
A0099,22.7333561925431,113.831291899127,66.0,0,12,4,4.115179254187255
A0100,22.611775078928,114.038058741903,66.0,0,14,0,0.0
A0101,22.7300665719473,114.066647673172,66.5,0,4,5,5.32552109033855
A0102,22.6523537636241,113.929912549169,70.0,0,7,1,0.7408182206817179
A0103,22.7136525650851,114.065237460183,66.0,0,5,6,7.095952868791974
A0104,22.5607343074643,113.89007789741,70.0,1,8,4,1.6262786389623964
A0105,22.6734335276973,113.825705157502,65.0,0,8,5,7.525619280327258
A0106,22.5915549765801,114.125910235104,67.5,0,16,2,1.5595489737596997
A0107,22.6705219973773,113.923561080063,70.0,0,7,0,0.0
A0108,22.7003870654451,113.844902563379,66.0,0,6,0,0.0
A0109,22.5635036060249,113.906894768535,65.5,1,14,4,5.45960311115695
A0110,22.7074327930824,113.930013135693,68.5,0,7,0,0.0
A0111,22.6335574972806,113.851360434976,70.5,0,3,0,0.0
A0112,22.5641925131759,113.896166355239,65.5,0,12,4,5.45960311115695
A0113,22.6691926689555,114.038411728358,66.5,0,24,3,2.3003671944414177
A0114,22.5962807681237,113.855062769694,66.5,0,10,3,2.542298924191923
A0115,22.6851882278014,113.81156753556,67.0,0,13,3,2.229869019795339
A0116,22.7070081399144,114.096776550712,66.0,0,5,0,0.0
A0117,22.7303490034601,114.068783000165,67.0,0,4,5,4.723568171113941
A0118,22.6076110049139,113.869894332642,65.5,0,7,3,3.3265736762358173
A0119,22.5848807593367,113.91327495018,66.0,1,9,2,1.9048374180359595
A0120,22.5609901044042,113.894562979616,65.5,0,9,4,5.45960311115695
A0121,22.7356517809663,114.280464023231,65.0,1,11,4,5.193991231433836
A0122,22.5819431420697,113.888016568333,66.5,1,10,4,3.542298924191923
A0123,22.5829728906449,113.907183429129,65.5,1,12,5,5.653147352471635
A0124,22.5413895409741,113.919110416432,66.0,1,14,4,3.8096748360719186
A0125,22.7704017692631,113.855116111075,66.0,0,5,2,2.1051709180756477
A0126,23.1676903546272,113.665172812936,75.0,1,1,0,0.0
A0127,23.1654980452292,113.387590060323,65.5,1,9,0,0.0
A0128,23.1593359975333,113.338711283964,65.5,0,12,4,4.115179254187255
A0129,23.1687891455769,113.419959772635,66.5,1,1,1,0.9048374180359595
A0130,23.1284929476215,113.350618568732,65.0,0,17,6,6.525854590378239
A0131,23.1307022473192,113.416260868546,65.5,0,23,6,22.993828541626588
A0132,23.1382207893585,113.389486698559,65.0,0,26,5,5.210341836151295
A0133,23.1861168487634,113.597485671544,75.0,1,0,0,0.0
A0134,23.1240189591638,113.411547026554,65.0,0,26,6,25.517281517499132
A0135,23.1381658955335,113.372836112767,65.5,1,20,5,4.619349672143838
A0136,23.1996730122491,113.406846999602,68.5,0,3,0,0.0
A0137,23.1224808721127,113.361124926295,65.5,0,12,3,2.9048374180359593
A0138,23.2001391478776,113.374908952731,65.5,0,6,0,0.0
A0139,23.1012502166771,113.548436650122,68.0,0,6,1,0.8187307530779818
A0140,23.1248664643703,113.561445341886,69.0,0,4,1,0.6703200460356393
A0141,23.1087118142391,113.492884574249,66.5,0,4,5,4.742632424231611
A0142,23.1243156395216,113.408115078202,65.0,0,24,6,25.517281517499132
A0143,23.1675143840217,113.337954403182,66.0,0,7,5,4.628405589149901
A0144,23.1354420411307,113.390007969091,65.0,0,30,5,5.210341836151295
A0145,23.1368057684525,113.331549452559,65.0,0,22,8,8.42068367230259
A0146,23.1159303246968,113.42048908658,66.0,0,16,6,20.710513866402913
A0147,23.1618940670467,113.343334634253,66.0,0,10,4,3.6284055891499007
A0148,23.1097973945641,113.453448444076,66.0,0,8,1,1.0
A0149,23.1097580892894,113.453481189203,66.0,0,8,1,1.0
A0150,23.1909047341958,113.449201701942,73.0,1,1,0,0.0
A0151,23.1087118142391,113.492884574249,66.5,1,4,5,4.742632424231611
A0152,23.0998282189715,113.484963504791,65.5,0,4,5,6.014067082056513
A0153,23.0797894313979,113.429744979892,70.5,1,0,0,0.0
A0154,23.1181011943149,113.544217136668,67.0,1,4,2,2.71322745580144
A0155,23.1087118142391,113.492884574249,66.5,1,4,5,4.742632424231611
A0156,23.1011247274453,113.487241158411,65.5,0,4,5,6.014067082056513
A0157,23.1487229407005,113.515291376765,73.5,0,1,0,0.0
A0158,23.0479763966089,113.289293329367,69.0,0,5,1,1.0
A0159,23.1111406826233,113.278240859545,66.0,0,30,4,19.25432160716897
A0160,22.9345907957979,113.416799529649,70.0,0,3,5,3.103638323514327
A0161,23.3969086250469,113.347511423398,75.0,0,0,0,0.0
A0162,23.0913807065672,113.531677147482,70.0,0,3,0,0.0
A0163,23.2156529919026,113.300569151175,66.0,0,11,7,6.247755261293738
A0164,22.9609932512206,113.442775215343,66.5,0,1,4,5.919011778093999
A0165,23.2128091257282,113.256333074606,65.5,0,8,9,8.914845754147567
A0166,23.2945140830139,113.331306286413,69.0,0,2,3,3.0
A0167,23.2374577140508,113.204265310992,70.0,0,1,0,0.0
A0168,23.3718457592623,113.360399252647,74.5,0,1,0,0.0
A0169,23.3862789522872,113.410598974178,74.0,0,0,0,0.0
A0170,23.2577840626908,113.319993212109,65.5,0,6,2,2.0
A0171,23.0802913180246,113.204206100083,67.5,0,4,0,0.0
A0172,23.2128091257282,113.256333074606,65.5,0,8,9,8.914845754147567
A0173,23.2523133871887,113.264093640781,66.5,0,7,3,2.542298924191923
A0174,23.2617120579038,113.273631743806,65.5,0,6,2,2.2214027581601696
A0175,23.1965714623088,113.248217962292,65.0,0,11,8,8.525854590378238
A0176,23.233763172406,113.223460705564,67.5,0,4,3,1.8833813654609062
A0177,22.604959707051,113.857589590804,66.0,0,9,3,2.9148457541475663
A0178,22.7503426275261,113.583522613719,70.0,1,1,2,2.0
A0179,23.112957963072,113.218596106348,67.0,1,5,1,1.0
A0180,23.1317590111482,113.27575799971,65.0,0,34,5,24.190707841263315
A0181,23.1404538960516,113.288511874539,65.5,1,27,10,9.333861926251718
A0182,23.1288238498394,113.422445466624,65.5,0,18,6,22.993828541626588
A0183,23.1381658955335,113.372836112767,65.5,1,20,5,4.619349672143838
A0184,23.135343036366,113.303714558036,65.0,0,20,8,8.42068367230259
A0185,23.1441611874437,113.293760883836,65.5,1,23,8,7.524187090179797
A0186,23.1350887199493,113.308793343828,65.0,0,14,8,8.315512754226944
A0187,23.1291226806063,113.350269600398,65.5,0,18,6,5.809674836071919
A0188,23.1355991942272,113.350753117381,65.5,0,18,6,5.714512254107878
A0189,22.8914003692739,113.463408611086,69.5,1,0,2,3.2974425414002564
A0190,23.1324472006173,113.339825712796,65.5,1,17,9,8.524187090179797
A0191,23.1378221906984,113.391320724901,65.0,0,27,5,5.210341836151295
A0192,23.1370846778693,113.334185837298,65.0,0,22,10,10.525854590378238
A0193,23.1996540489449,113.347128721895,65.5,0,19,5,5.210341836151295
A0194,23.1628186802684,113.418328010558,66.0,1,1,1,1.1051709180756477
A0195,23.1621334712159,113.33624247722,65.5,0,8,5,5.220350172262902
A0196,23.1745217883214,113.359043890192,66.5,0,4,1,0.9048374180359595
A0197,23.1396300112367,113.373441000257,65.0,0,20,5,5.210341836151295
A0198,22.8292607570027,113.512806615216,75.0,1,0,1,0.8187307530779818
A0199,22.7740343384781,113.563484892444,74.5,1,0,1,1.1051709180756477
A0200,22.7609687421639,113.567051785148,75.0,1,1,3,1.6405963003788442
A0201,23.06873265818,113.259724537227,67.0,1,4,2,2.4918246976412703
A0202,23.3804385369808,113.214808316726,70.0,1,10,8,8.492730929371087
A0203,23.0683224425615,113.259826043953,67.0,0,4,2,2.4918246976412703
A0204,22.8066172363972,113.553841124661,66.5,1,1,4,9.022084755363343
A0205,22.8080831187483,113.554093517069,66.5,1,1,4,9.022084755363343
A0206,22.807546702812,113.552166166666,70.0,1,1,4,3.9768200028653595
A0207,22.7515565254918,113.582300593937,70.0,1,1,3,4.718281828459045
A0208,22.7372249570996,113.493320018744,75.0,1,0,0,0.0
A0209,22.7514939634161,113.583011167968,70.0,1,1,3,4.718281828459045
A0210,23.1087118142391,113.492884574249,67.0,1,4,5,4.196148695471314
A0211,23.1438110113331,113.225977000331,66.0,0,7,6,5.914845754147566
A0212,23.452313317277,113.18650320598,70.0,0,2,3,6.43656365691809
A0213,23.3387320144502,113.28750899998,68.0,1,6,1,0.7408182206817179
A0214,23.4663327934283,113.159491967779,70.0,0,4,7,14.364952011477449
A0215,23.1421736666503,113.225830285482,66.0,0,7,6,5.914845754147566
A0216,23.374775772357,113.178884764987,70.5,1,1,0,0.0
A0217,23.4707976950687,113.162317292602,70.0,0,4,7,14.364952011477449
A0218,23.1369726166487,113.251180512779,66.0,1,24,2,1.7235681711139414
A0219,23.4567319436188,113.281831122566,70.5,1,2,1,0.9048374180359595
A0220,23.3928644657187,113.216877071196,65.0,1,12,10,30.24048164467866
A0221,23.4594832741594,113.190665542288,70.0,0,3,4,9.154845485377136
A0222,22.7102301705629,113.552891213297,75.0,1,0,0,0.0
A0223,23.466897437603,113.156847690528,70.0,0,4,7,14.364952011477449
A0224,23.3948402819022,113.221447149273,70.0,0,13,9,7.774449100912042
A0225,23.3388714432594,113.111064901651,75.0,1,0,0,0.0
A0226,23.4739306979279,113.228661761516,75.0,0,2,0,0.0
A0227,23.415362495971,113.255981176897,70.0,1,0,1,1.0
A0228,23.3962014611059,113.214823185478,65.5,1,10,9,20.58166230729156
A0229,23.4049935441326,113.218564358435,70.0,1,10,8,6.774449100912042
A0230,23.0756222678072,113.288290696452,66.0,1,9,1,1.0
A0231,23.3724341706871,113.207607097319,70.0,1,5,3,4.718281828459045
A0232,23.425831172849,113.208056767498,70.0,1,0,2,2.0
A0233,23.3984107824574,113.25153069652,70.0,1,2,2,3.718281828459045
A0234,23.3895943664696,113.209449233563,70.0,1,10,10,10.492730929371087
A0235,23.4038021496939,113.209090840207,70.0,1,7,8,6.774449100912042
A0236,23.3950883145195,113.209232887461,70.0,1,8,9,7.774449100912042
A0237,23.0969280105105,113.239735000161,66.0,1,11,0,0.0
A0238,23.4084128090178,113.212755376026,70.0,1,5,8,6.774449100912042
A0239,23.0918714635254,113.337875769111,65.0,1,19,8,8.42068367230259
A0240,23.3948402819022,113.221447149273,70.0,0,13,9,7.774449100912042
A0241,23.0953786446699,113.340585953241,65.5,0,19,8,7.524187090179797
A0242,23.4064905563046,113.169637572138,71.5,1,1,0,0.0
A0243,23.1002261378906,113.272654115225,65.5,0,28,4,4.431744594311465
A0244,23.1140539351209,113.268162269676,66.0,0,41,5,4.447136342227883
A0245,23.4260402551923,113.205743562539,70.0,1,0,1,1.0
A0246,23.0914437936008,113.361995204673,66.5,0,7,3,2.8187307530779817
A0247,23.0725067756973,113.323263141182,66.0,1,7,4,3.5613631773095933
A0248,23.0987470300923,113.314500058647,65.0,0,20,4,4.210341836151295
A0249,23.0922354401604,113.361821053777,66.5,0,7,3,2.8187307530779817
A0250,23.0922576316007,113.309217218266,65.5,1,14,4,3.7145122541078788
A0251,23.0781382751711,113.356352889423,66.5,0,6,5,4.742632424231611
A0252,23.0720749507871,113.357390647834,67.0,0,2,1,0.9048374180359595
A0253,23.0868626906769,113.332467287231,65.0,1,17,9,9.642086430462761
A0254,23.0934910827144,113.279266420157,65.5,1,22,4,4.431744594311465
A0255,23.0888786540514,113.328379781568,65.0,1,20,11,11.747257348538408
A0256,23.0869086308023,113.343204462598,65.5,1,15,10,10.188395364660307
A0257,23.0876292287885,113.333841266126,65.0,1,16,9,9.642086430462761
A0258,23.0688473269984,113.322619933776,66.5,1,4,1,0.9048374180359595
A0259,23.0140365266132,113.399594747459,68.0,1,1,2,2.0
A0260,23.0830827872767,113.339986287601,65.5,1,12,8,7.745589848339967
A0261,23.0479763966089,113.289293329367,69.0,0,5,1,1.0
A0262,23.0923158175952,113.333797010249,65.0,1,19,8,8.42068367230259
A0263,22.941040742845,113.364357668065,65.0,1,9,8,8.525854590378238
A0264,23.0960712672027,113.321480990538,65.5,1,22,9,8.333861926251716
A0265,23.0191955713843,113.325271269013,65.5,1,18,6,5.969208479719841
A0266,22.814592396584,113.419107833613,75.0,0,0,1,1.0
A0267,22.9663956802127,113.418650592067,67.0,1,3,5,3.963272882726871
A0268,22.9345907957979,113.416799529649,70.0,1,3,5,3.103638323514327
A0269,22.9910604358432,113.405244729793,70.5,1,0,0,0.0
A0270,22.9617871362599,113.442038240113,66.0,1,2,4,6.646690598972365
A0271,22.889927928137,113.461447492481,72.0,1,0,2,1.6065306597126334
A0272,23.0217001615757,113.357449441031,68.0,1,5,0,0.0
A0273,22.8100654032477,113.414159872993,75.0,0,0,1,1.0
A0274,23.0074313211394,113.320175523213,67.0,1,5,2,1.4816364413634358
A0275,22.9419492749117,113.371203549402,65.5,0,12,9,8.619349672143837
A0276,22.9442835155064,113.404493207404,65.0,1,4,7,12.481419161612955
A0277,22.9648193856445,113.35658051101,66.5,1,8,5,4.274923012311927
A0278,22.9345907957979,113.416799529649,70.0,1,3,5,3.103638323514327
A0279,22.9803507142826,113.322274897324,66.0,1,4,3,2.9048374180359593
A0280,22.9570529358364,113.423847297525,67.0,1,3,6,6.923486440936423
A0281,22.9685945194393,113.408129594819,65.5,1,2,4,4.349858807576004
A0282,22.954544920309,113.345148218755,66.5,1,6,3,2.6374615061559634
A0283,22.9226513421145,113.37549023365,68.0,1,3,0,0.0
A0284,22.9422816695258,113.36044210182,65.0,1,10,8,8.525854590378238
A0285,22.9532139767131,113.365905849252,65.5,0,13,10,9.840752430304008
A0286,22.9543575536001,113.368049181045,65.5,1,12,10,9.840752430304008
A0287,22.9677616002698,113.404437697513,65.5,1,2,4,4.349858807576004
A0288,22.9541090079089,113.35841800032,65.5,0,10,11,11.062155188464178
A0289,22.9400120209537,113.360734032246,65.0,0,10,8,8.525854590378238
A0290,23.0539947236249,113.269913812089,69.0,1,3,2,1.3406400920712787
A0291,22.9428917947507,113.360686171427,65.0,0,10,8,8.525854590378238
A0292,23.5552806571256,113.598866296147,70.0,1,4,12,18.87312731383618
A0293,22.9454816134881,113.403309240742,65.0,1,4,8,13.586590079688602
A0294,22.9695087864523,113.382774251672,67.5,1,3,1,0.6703200460356393
A0295,23.5634113272119,113.580384782268,70.0,1,2,6,11.154845485377134
A0296,23.625476281953,113.431395570977,70.0,1,1,0,0.0
A0297,23.8783980646874,113.539711364689,70.0,1,0,0,0.0
A0298,23.7231177315918,113.739427045502,75.0,1,0,0,0.0
A0299,23.5603869306323,113.601878162707,70.0,1,4,10,15.154845485377134
A0300,23.5443598586509,113.592683288069,70.0,1,5,11,17.87312731383618
A0301,23.5445699394393,113.592693395803,70.0,1,5,12,18.87312731383618
A0302,23.5507963621779,113.596300622424,70.0,1,4,12,18.87312731383618
A0303,23.8161076699866,113.957929440388,75.0,1,0,0,0.0
A0304,23.5496608593721,113.592775572791,70.0,1,4,13,19.87312731383618
A0305,23.2315862158006,113.264376444648,66.5,1,7,7,6.170704513341824
A0306,23.5565433531905,113.59466398704,70.0,1,3,13,19.87312731383618
A0307,23.5509090172857,113.602250999917,70.0,1,5,12,18.87312731383618
A0308,23.451655228992,113.284509235392,70.0,1,3,1,1.1051709180756477
A0309,23.2141768895224,113.283053118991,65.5,1,11,11,11.115179254187254
A0310,23.3433234671707,113.30125296199,66.5,1,7,2,2.5712615657361733
A0311,23.5584065115483,113.589514390519,70.0,1,3,12,17.154845485377134
A0312,23.2410397884986,113.311197191406,65.5,1,10,4,4.0
A0313,23.1726853608924,113.282908079482,67.5,0,7,1,0.6703200460356393
A0314,23.1791674407324,113.25790735052,65.5,0,18,3,19.98382020551498
A0315,23.2290590127881,113.274368000391,66.0,1,10,12,11.267771933516954
A0316,23.1991462436325,113.259458632508,65.5,0,17,10,44.062802992993994
A0317,23.21375407025,113.284813628909,65.5,1,12,8,8.010008336111607
A0318,23.2539606231786,113.3157819451,65.5,1,7,4,4.105170918075648
A0319,23.2138522396319,113.250263998616,65.5,1,6,13,12.724520590219486
A0320,23.2169617302372,113.286259611525,65.0,1,11,9,10.179001942849872
A0321,23.2945140830139,113.331306286413,69.0,1,2,3,3.0
A0322,23.2418876586757,113.277071510111,66.0,0,12,8,8.030025008334821
A0323,23.2422595225982,113.311166428036,65.5,1,9,5,5.0
A0324,23.1836503160286,113.23346030743,65.0,1,9,5,5.105170918075648
A0325,23.1990704508838,113.238775254148,65.5,0,10,4,3.619349672143838
A0326,23.2370947579221,113.283780707827,65.5,1,13,7,7.315512754226943
A0327,23.1871881251048,113.33669812113,66.0,0,18,4,3.7145122541078788
A0328,23.2203504832305,113.249281992413,66.0,0,3,12,11.086502686594937
A0329,23.2184431225644,113.233372520524,65.0,1,8,7,8.290807701162889
A0330,23.2127790884372,113.264933810878,65.5,1,11,11,28.184153705554667
A0331,23.2278329763257,113.309807315155,65.5,0,11,4,4.105170918075648
A0332,23.1780159610261,113.246117778807,65.0,1,18,6,6.326573676235817
A0333,23.2205046444513,113.282637918591,65.5,1,13,11,11.115179254187254
A0334,23.1862330842068,113.236325834633,65.0,1,11,6,6.105170918075648
A0335,23.2945140830139,113.331306286413,69.0,1,2,3,3.0
A0336,23.1589895713282,113.227692632702,65.5,1,11,7,7.747257348538408
A0337,23.2139486173374,113.28101500123,65.5,1,12,11,10.914845754147567
A0338,23.1788683820703,113.248234670775,65.0,1,20,7,7.326573676235817
A0339,23.2187216190125,113.232305309581,65.0,1,8,7,8.290807701162889
A0340,23.2179401249466,113.236867505669,65.5,1,6,6,5.914845754147566
A0341,23.2945140830139,113.331306286413,69.0,1,2,3,3.0
A0342,23.2315862158006,113.264376444648,66.5,1,7,7,6.170704513341824
A0343,23.2315970128017,113.283056999671,65.5,0,14,13,13.557984770507595
A0344,23.153345169411,113.239681806102,66.0,1,14,7,6.914845754147566
A0345,23.2127106445265,113.264474385999,65.5,1,11,11,28.184153705554667
A0346,23.2213710444092,113.236085547791,65.5,1,4,7,7.406670451788837
A0347,23.1728152741435,113.322414943153,66.0,0,7,2,1.9048374180359595
A0348,23.206365215514,113.335895625293,65.5,0,15,3,3.0
A0349,23.2363716469651,113.279566039833,65.5,1,10,8,8.653147352471635
A0350,23.1953868141147,113.24107025225,65.0,0,13,7,7.210341836151295
A0351,23.2262087621914,113.309597291327,65.5,0,11,4,4.105170918075648
A0352,23.1570952030703,113.229730924734,65.5,1,14,7,7.747257348538408
A0353,23.1618569962278,113.267647183093,65.5,0,10,2,2.71322745580144
A0354,23.1564503764983,113.25493629847,66.5,0,11,3,2.628405589149901
A0355,22.6389990620084,114.067579305816,65.5,0,13,3,3.2214027581601696
A0356,22.5192435219873,113.919528084477,65.5,1,12,7,7.010008336111607
A0357,22.6705773556367,113.873589422526,72.5,0,2,0,0.0
A0358,22.5878132063265,113.972902100183,66.5,0,8,1,0.8187307530779818
A0359,22.5720465259862,114.118813432035,66.0,0,17,1,1.2214027581601699
A0360,22.5824326423416,113.959148610744,65.5,0,10,2,2.2214027581601696
A0361,22.6800886065083,113.834786135085,65.5,0,8,4,5.364440529192909
A0362,22.5635259004334,113.989355615712,66.0,0,3,3,3.1051709180756477
A0363,23.0121795664196,113.397404768457,68.0,0,1,2,2.0
A0364,22.6873086955968,113.945959701828,65.0,0,22,2,5.160370884920322
A0365,23.2177188982725,113.235560013017,65.5,0,7,6,5.914845754147566
A0366,23.2737321369292,113.301097836307,66.0,0,5,1,1.0
A0367,23.3008098153715,113.362141773997,65.5,0,5,2,2.0
A0368,23.2617227071835,113.278165851035,65.5,0,5,3,3.3265736762358173
A0369,22.5460535462053,114.025973657322,66.5,0,5,2,1.9048374180359595
A0370,23.1431172149711,113.225451178099,66.0,0,7,6,5.914845754147566
A0371,23.300429499058,113.362121549546,65.5,0,5,2,2.0
A0372,23.199247592595,113.334818026987,65.5,0,18,4,4.105170918075648
A0373,23.0970508132233,113.65815243231,68.0,1,0,2,2.0
A0374,23.1292895501859,113.660440161324,75.0,1,1,0,0.0
A0375,22.6415353446723,114.071911743459,65.5,0,12,5,5.22140275816017
A0376,23.0309814250994,113.315793623072,65.0,1,17,4,4.105170918075648
A0377,22.9798450837371,113.32124534938,66.0,1,4,3,2.9048374180359593
A0378,23.1320667530002,113.274983579513,65.0,0,33,5,24.190707841263315
A0379,23.129749076947,113.27520379821,65.0,1,37,6,25.412110599423485
A0380,22.9626785886346,113.44558975742,66.0,1,2,3,5.425287840812195
A0381,23.1285800369406,113.301162220558,65.5,1,17,9,25.698332459622858
A0382,23.1424679663343,113.300500023872,65.0,0,19,8,8.42068367230259
A0383,23.1824607136605,113.349796552716,66.0,0,13,4,3.9148457541475663
A0384,22.7766539600848,113.593355832336,75.0,1,0,0,0.0
A0385,22.6494630437426,113.61298488569,75.0,1,0,0,0.0
